date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,15.0092,14.82,14.71,1.0,15.34,15.27,126450615.0,0.0
2018-02-07,14.9895,15.31,15.25,1.0,15.52,15.25,75686317.0,0.0
2018-02-08,14.2032,15.19,14.45,1.0,15.205,14.45,133723033.0,0.0
2018-02-09,14.6848,14.69,14.23,1.0,15.03,14.94,128757594.0,0.0
2018-02-12,14.5668,15.06,14.78,1.0,15.14,14.82,75408672.0,0.0
2018-02-13,14.4194,14.74,14.53,1.0,14.79,14.67,73353758.0,0.0
2018-02-14,14.6455,14.69,14.64,1.0,15.03,14.9,85782841.0,0.0
2018-02-15,14.5963,14.93,14.77,1.0,15.14,14.85,54704722.0,0.0
2018-02-16,14.7929,14.85,14.81,1.0,15.23,15.05,64447124.0,0.0
2018-02-20,14.4882,14.92,14.62,1.0,14.97,14.74,61317684.0,0.0
2018-02-21,14.2425,14.71,14.45,1.0,14.73,14.49,97860029.0,0.0
2018-02-22,14.3703,14.53,14.49,1.0,15.07,14.62,78200276.0,0.0
2018-02-23,14.3604,14.53,14.485,1.0,14.67,14.49,52307766.0,0.12
2018-02-26,14.519,14.39,13.95,1.0,14.675,14.65,144854087.0,0.0
2018-02-27,14.3703,14.67,14.5,1.0,15.18,14.5,91924040.0,0.0
2018-02-28,13.9838,14.6,14.09,1.0,14.615,14.11,87781209.0,0.0
2018-03-01,13.8946,14.16,13.95,1.0,14.26,14.02,91875668.0,0.0
2018-03-02,13.9937,13.99,13.97,1.0,14.24,14.12,74629576.0,0.0
2018-03-05,14.2911,14.18,14.12,1.0,14.65,14.42,87449520.0,0.0
2018-03-06,14.5091,14.6,14.51,1.0,14.67,14.64,58106871.0,0.0
2018-03-07,14.3803,14.48,14.18,1.0,14.585,14.51,82999190.0,0.0
2018-03-08,14.3902,14.5,14.41,1.0,14.64,14.52,48822603.0,0.0
2018-03-09,14.8064,14.62,14.51,1.0,14.95,14.94,58882462.0,0.0
2018-03-12,14.965,15.02,14.96,1.0,15.33,15.1,70090137.0,0.0
2018-03-13,14.301,14.69,14.34,1.0,14.74,14.43,117996656.0,0.0
2018-03-14,14.1424,14.46,14.235,1.0,14.59,14.27,56740772.0,0.0
2018-03-15,14.2316,14.31,14.26,1.0,14.55,14.36,47236276.0,0.0
2018-03-16,14.182,14.34,14.175,1.0,14.42,14.31,112720462.0,0.0
2018-03-19,13.9442,14.26,14.0,1.0,14.28,14.07,63730409.0,0.0
2018-03-20,13.518,14.1,13.62,1.0,14.11,13.64,87699197.0,0.0
2018-03-21,13.7559,13.66,13.57,1.0,13.96,13.88,64989359.0,0.0
2018-03-22,13.2306,13.75,13.32,1.0,13.79,13.35,70929333.0,0.0
2018-03-23,12.9531,13.4,13.02,1.0,13.4499,13.07,82930120.0,0.0
2018-03-26,12.7747,13.23,12.73,1.0,13.2395,12.89,101095809.0,0.0
2018-03-27,13.3198,12.92,12.82,1.0,13.72,13.44,153476613.0,0.0
2018-03-28,13.5577,13.52,13.085,1.0,13.95,13.68,139104727.0,0.0
2018-03-29,13.3595,13.58,13.35,1.0,13.66,13.48,74514308.0,0.0
2018-04-02,13.0027,13.45,12.96,1.0,13.54,13.12,72086963.0,0.0
2018-04-03,13.0126,13.12,12.8,1.0,13.14,13.13,59785137.0,0.0
2018-04-04,13.1613,12.82,12.79,1.0,13.3,13.28,57172424.0,0.0
2018-04-05,13.3099,13.29,13.165,1.0,13.56,13.43,53526222.0,0.0
2018-04-06,12.9432,13.32,12.93,1.0,13.47,13.06,63465872.0,0.0
2018-04-09,12.7153,13.1,12.82,1.0,13.16,12.83,68332636.0,0.0
2018-04-10,12.9333,13.01,12.95,1.0,13.14,13.05,57656791.0,0.0
2018-04-11,12.854,12.91,12.85,1.0,13.0799,12.97,50220026.0,0.0
2018-04-12,13.0621,13.03,12.97,1.0,13.245,13.18,63631230.0,0.0
2018-04-13,13.3694,13.41,13.36,1.0,13.68,13.49,71168492.0,0.0
2018-04-16,13.2108,13.5,13.23,1.0,13.58,13.33,58279028.0,0.0
2018-04-17,13.6667,13.38,13.36,1.0,13.87,13.79,72129064.0,0.0
2018-04-18,13.5379,13.88,13.62,1.0,13.92,13.66,42983544.0,0.0
2018-04-19,13.8649,13.67,13.63,1.0,14.06,13.99,87782256.0,0.0
2018-04-20,14.41,14.94,14.34,1.0,15.05,14.54,188686041.0,0.0
2018-04-23,14.3902,14.75,14.39,1.0,14.78,14.52,73316830.0,0.0
2018-04-24,14.5487,14.66,14.54,1.0,14.77,14.68,74261708.0,0.0
2018-04-25,13.9244,14.72,13.91,1.0,14.73,14.05,110141573.0,0.0
2018-04-26,14.2514,14.11,14.06,1.0,14.495,14.38,64858158.0,0.0
2018-04-27,14.2514,14.22,14.19,1.0,14.48,14.38,48827621.0,0.0
2018-04-30,13.9442,14.37,14.07,1.0,14.39,14.07,48534794.0,0.0
2018-05-01,13.9244,14.08,13.825,1.0,14.09,14.05,51372461.0,0.0
2018-05-02,14.0532,14.1,14.08,1.0,14.375,14.18,51678009.0,0.0
