date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,55.1785,53.49,52.96,1.0,55.8538,55.78,5546978.0,0.0
2018-02-07,54.0607,55.47,54.62,1.0,56.24,54.65,3502588.0,0.0
2018-02-08,53.4078,54.75,53.96,1.0,55.27,53.99,3342382.0,0.0
2018-02-09,54.1299,54.41,53.31,1.0,55.23,54.72,3020509.0,0.0
2018-02-12,54.3278,55.0,54.56,1.0,55.45,54.92,2577813.0,0.0
2018-02-13,54.1992,54.71,54.141,1.0,55.05,54.79,2068513.0,0.0
2018-02-14,55.4258,54.87,54.51,1.0,56.08,56.03,3222363.0,0.0
2018-02-15,56.2765,56.12,55.1522,1.0,56.905,56.89,2627091.0,0.0
2018-02-16,55.8215,56.47,56.07,1.0,56.72,56.43,3361001.0,0.0
2018-02-20,55.3467,56.12,55.32,1.0,56.37,55.95,4483211.0,0.0
2018-02-21,53.8925,55.96,54.48,1.0,56.32,54.48,5041129.0,0.0
2018-02-22,54.3574,54.76,54.68,1.0,55.69,54.95,3572679.0,0.0
2018-02-23,52.4087,52.3,51.66,1.0,53.43,52.98,11820514.0,0.0
2018-02-26,50.8655,51.47,51.01,1.0,52.49,51.42,10204140.0,0.0
2018-02-27,50.2324,51.7,50.67,1.0,51.94,50.78,10796938.0,0.0
2018-02-28,50.0049,50.9,50.27,1.0,51.25,50.55,7316888.0,0.0
2018-03-01,50.0247,50.6,50.215,1.0,51.3599,50.57,8649332.0,0.0
2018-03-02,50.3907,50.43,50.43,1.0,51.21,50.94,3815302.0,0.0
2018-03-05,50.0741,50.79,50.61,1.0,51.4155,50.62,5695240.0,0.0
2018-03-06,50.5094,50.62,50.305,1.0,51.13,51.06,6230621.0,0.0
2018-03-07,50.5094,50.64,50.47,1.0,51.34,51.06,4674368.0,0.0
2018-03-08,51.1425,51.18,50.91,1.0,51.79,51.7,4032150.0,0.0
2018-03-09,50.8952,51.9,51.16,1.0,51.98,51.45,2692080.0,0.0
2018-03-12,51.4096,51.58,51.58,1.0,52.48,51.97,3588628.0,0.0
2018-03-13,51.4294,52.23,51.83,1.0,52.35,51.99,4133100.0,0.0
2018-03-14,51.2513,52.1,51.73,1.0,52.87,51.81,4575205.0,0.0
2018-03-15,50.3808,51.79,50.52,1.0,52.11,50.93,5304831.0,0.0
2018-03-16,49.9455,51.0,50.41,1.0,51.27,50.49,8366507.0,0.0
2018-03-19,49.6686,50.38,50.035,1.0,50.825,50.21,4895833.0,0.0
2018-03-20,49.3916,50.34,49.7,1.0,50.53,49.93,6355717.0,0.0
2018-03-21,45.0192,45.03,44.79,1.0,46.25,45.51,24992707.0,0.0
2018-03-22,43.9707,45.43,44.44,1.0,45.94,44.45,11565199.0,0.0
2018-03-23,43.7333,44.96,44.15,1.0,45.68,44.21,10194808.0,0.0
2018-03-26,44.8115,44.63,44.6,1.0,45.48,45.3,9041122.0,0.0
2018-03-27,44.8214,45.6,44.96,1.0,46.43,45.31,9038344.0,0.0
2018-03-28,43.8718,43.96,43.96,1.0,45.05,44.35,19133225.0,0.0
2018-03-29,44.5741,44.83,44.57,1.0,45.26,45.06,7767536.0,0.0
2018-04-02,43.6146,45.0,43.84,1.0,45.12,44.09,9616619.0,0.0
2018-04-03,43.8223,44.31,43.86,1.0,44.49,44.3,6313939.0,0.0
2018-04-04,44.8808,44.08,43.94,1.0,45.5453,45.37,10253022.0,0.0
2018-04-05,44.9401,45.51,45.11,1.0,45.68,45.43,5409456.0,0.0
2018-04-06,44.9797,45.5,45.15,1.0,45.98,45.47,6369073.0,0.0
2018-04-09,44.95,45.14,44.51,1.0,45.5,44.95,5040656.0,0.49
2018-04-10,44.51,45.07,44.43,1.0,45.25,44.51,6724070.0,0.0
2018-04-11,44.87,44.47,44.35,1.0,45.07,44.87,4316278.0,0.0
2018-04-12,44.58,44.99,44.27,1.0,45.11,44.58,3888864.0,0.0
2018-04-13,44.8,44.7,44.36,1.0,45.11,44.8,4340419.0,0.0
2018-04-16,45.24,44.8,44.62,1.0,45.58,45.24,3585813.0,0.0
2018-04-17,45.26,45.36,45.02,1.0,45.545,45.26,3757606.0,0.0
2018-04-18,44.73,45.22,44.7,1.0,45.278,44.73,3768571.0,0.0
2018-04-19,44.03,44.66,43.725,1.0,44.73,44.03,8286864.0,0.0
2018-04-20,43.41,44.2,43.18,1.0,44.5799,43.41,5464653.0,0.0
2018-04-23,44.56,43.88,43.54,1.0,44.59,44.56,5166091.0,0.0
2018-04-24,44.37,44.7,44.0,1.0,44.77,44.37,6492531.0,0.0
2018-04-25,44.04,44.34,43.89,1.0,44.73,44.04,5907630.0,0.0
2018-04-26,44.37,44.01,43.53,1.0,44.5201,44.37,4440551.0,0.0
2018-04-27,44.52,44.56,44.33,1.0,44.9048,44.52,3602337.0,0.0
2018-04-30,43.74,44.65,43.69,1.0,44.73,43.74,4635380.0,0.0
2018-05-01,43.55,43.88,43.2,1.0,43.933,43.55,4366043.0,0.0
2018-05-02,42.49,43.47,42.3375,1.0,43.47,42.49,5543826.0,0.0
2018-05-03,41.21,42.52,41.01,1.0,42.53,41.21,9867066.0,0.0
2018-05-04,42.54,41.25,41.25,1.0,42.82,42.54,6150696.0,0.0
2018-05-07,42.34,42.54,41.9242,1.0,42.63,42.34,4190766.0,0.0
2018-05-08,42.3,42.12,41.91,1.0,42.34,42.3,3704399.0,0.0
2018-05-09,42.51,42.49,42.18,1.0,42.8125,42.51,2989888.0,0.0
2018-05-10,42.62,42.67,42.51,1.0,42.915,42.62,3703317.0,0.0
2018-05-11,42.66,42.73,42.39,1.0,42.96,42.66,3249371.0,0.0
2018-05-14,42.53,42.71,42.41,1.0,42.749,42.53,4398846.0,0.0
2018-05-15,42.49,42.44,42.14,1.0,43.07,42.49,4588558.0,0.0
2018-05-16,43.05,42.71,42.45,1.0,43.05,43.05,3468504.0,0.0
2018-05-17,42.81,42.91,42.57,1.0,43.15,42.81,3686680.0,0.0
2018-05-18,41.82,42.18,41.06,1.0,42.2,41.82,7512283.0,0.0
2018-05-21,41.77,41.93,41.45,1.0,42.19,41.77,4815568.0,0.0
2018-05-22,41.93,41.94,41.66,1.0,42.07,41.93,5184077.0,0.0
2018-05-23,42.29,41.92,41.88,1.0,42.3,42.29,3853258.0,0.0
2018-05-24,42.2,42.25,41.84,1.0,42.38,42.2,4104177.0,0.0
2018-05-25,42.64,42.26,42.26,1.0,43.16,42.64,3901426.0,0.0
2018-05-29,42.48,42.44,42.305,1.0,42.88,42.48,5404798.0,0.0
2018-05-30,42.9,42.63,42.32,1.0,43.115,42.9,5289247.0,0.0
2018-05-31,42.29,42.75,42.015,1.0,42.77,42.29,10900416.0,0.0
2018-06-01,42.6,42.39,42.27,1.0,42.9153,42.6,4189804.0,0.0
2018-06-04,43.28,42.95,42.8159,1.0,43.54,43.28,5105907.0,0.0
2018-06-05,42.49,43.39,42.305,1.0,43.39,42.49,6784323.0,0.0
2018-06-06,42.6,42.65,41.965,1.0,42.65,42.6,4650911.0,0.0
2018-06-07,42.22,41.95,41.82,1.0,42.865,42.22,8108438.0,0.0
2018-06-08,42.91,42.38,42.28,1.0,43.05,42.91,5084717.0,0.0
2018-06-11,44.42,43.1,43.06,1.0,44.565,44.42,8167600.0,0.0
2018-06-12,44.52,44.53,43.8,1.0,44.6399,44.52,5145988.0,0.0
2018-06-13,44.62,44.5,44.39,1.0,44.92,44.62,5782396.0,0.0
2018-06-14,44.51,44.7,44.295,1.0,44.72,44.51,5219713.0,0.0
2018-06-15,45.43,44.35,44.35,1.0,45.51,45.43,12354056.0,0.0
2018-06-18,44.73,45.72,44.3368,1.0,46.65,44.73,8513950.0,0.0
2018-06-19,44.98,44.6,44.485,1.0,45.11,44.98,4149968.0,0.0
