date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,1080.6,1027.18,1023.14,1.0,1081.71,1080.6,3360727.0,0.0
2018-02-07,1048.58,1081.54,1048.26,1.0,1081.78,1048.58,2331374.0,0.0
2018-02-08,1001.52,1055.41,1000.66,1.0,1058.62,1001.52,2720942.0,0.0
2018-02-09,1037.78,1017.25,992.56,1.0,1043.97,1037.78,3267883.0,0.0
2018-02-12,1051.94,1048.0,1040.93,1.0,1061.5,1051.94,2038875.0,0.0
2018-02-13,1052.1,1045.0,1044.09,1.0,1058.37,1052.1,1209341.0,0.0
2018-02-14,1069.7,1048.95,1046.75,1.0,1071.72,1069.7,1515444.0,0.0
2018-02-15,1089.52,1079.07,1064.34,1.0,1091.48,1089.52,1777694.0,0.0
2018-02-16,1094.8,1088.41,1088.31,1.0,1104.67,1094.8,1664969.0,0.0
2018-02-20,1102.46,1090.57,1088.52,1.0,1113.95,1102.46,1381603.0,0.0
2018-02-21,1111.34,1106.47,1106.33,1.0,1133.97,1111.34,1493162.0,0.0
2018-02-22,1106.63,1116.19,1102.59,1.0,1122.82,1106.63,1306276.0,0.0
2018-02-23,1126.79,1112.64,1104.71,1.0,1127.28,1126.79,1158377.0,0.0
2018-02-26,1143.75,1127.8,1126.69,1.0,1143.96,1143.75,1492380.0,0.0
2018-02-27,1118.29,1141.24,1118.0,1.0,1144.04,1118.29,1741578.0,0.0
2018-02-28,1104.73,1123.03,1103.24,1.0,1127.53,1104.73,1858051.0,0.0
2018-03-01,1069.52,1107.87,1067.0,1.0,1110.12,1069.52,2515910.0,0.0
2018-03-02,1078.92,1053.08,1048.12,1.0,1082.0,1078.92,2271551.0,0.0
2018-03-05,1090.93,1075.14,1069.0,1.0,1097.1,1090.93,1202174.0,0.0
2018-03-06,1095.06,1099.22,1089.78,1.0,1101.85,1095.06,1532783.0,0.0
2018-03-07,1109.64,1089.19,1085.48,1.0,1112.22,1109.64,1292537.0,0.0
2018-03-08,1126.0,1115.32,1112.8,1.0,1127.6,1126.0,1240299.0,0.0
2018-03-09,1160.04,1136.0,1132.46,1.0,1160.8,1160.04,2074952.0,0.0
2018-03-12,1164.5,1163.85,1157.42,1.0,1177.05,1164.5,2076306.0,0.0
2018-03-13,1138.17,1170.0,1133.33,1.0,1176.76,1138.17,1808098.0,0.0
2018-03-14,1149.49,1145.21,1141.44,1.0,1158.59,1149.49,1192615.0,0.0
2018-03-15,1149.58,1149.96,1134.54,1.0,1161.08,1149.58,1392521.0,0.0
2018-03-16,1135.73,1154.14,1131.96,1.0,1155.88,1135.73,2560277.0,0.0
2018-03-19,1099.82,1120.01,1089.01,1.0,1121.99,1099.82,2339506.0,0.0
2018-03-20,1097.71,1099.0,1083.46,1.0,1105.2,1097.71,1783872.0,0.0
2018-03-21,1090.88,1092.74,1085.15,1.0,1106.3,1090.88,1640709.0,0.0
2018-03-22,1049.08,1081.88,1045.91,1.0,1082.9,1049.08,2580374.0,0.0
2018-03-23,1021.57,1047.03,1021.22,1.0,1063.36,1021.57,2113497.0,0.0
2018-03-26,1053.21,1046.0,1008.4,1.0,1055.63,1053.21,2558385.0,0.0
2018-03-27,1005.1,1063.0,996.92,1.0,1064.84,1005.1,3029471.0,0.0
2018-03-28,1004.56,998.0,980.64,1.0,1024.23,1004.56,3369275.0,0.0
2018-03-29,1031.79,1011.63,1002.9,1.0,1043.0,1031.79,2726830.0,0.0
2018-04-02,1006.47,1022.82,990.37,1.0,1034.8,1006.47,2680400.0,0.0
2018-04-03,1013.41,1013.91,994.07,1.0,1020.99,1013.41,2275076.0,0.0
2018-04-04,1025.14,993.41,993.0,1.0,1028.72,1025.14,2484651.0,0.0
2018-04-05,1027.81,1041.33,1020.13,1.0,1042.79,1027.81,1363049.0,0.0
2018-04-06,1007.04,1020.0,1003.03,1.0,1031.42,1007.04,1746430.0,0.0
2018-04-09,1015.45,1016.8,1014.08,1.0,1039.6,1015.45,1751559.0,0.0
2018-04-10,1031.64,1026.44,1011.34,1.0,1036.28,1031.64,2029648.0,0.0
2018-04-11,1019.97,1027.99,1015.87,1.0,1031.36,1019.97,1483881.0,0.0
2018-04-12,1032.51,1025.04,1021.43,1.0,1040.69,1032.51,1359389.0,0.0
2018-04-13,1029.27,1040.88,1022.98,1.0,1046.42,1029.27,1223017.0,0.0
2018-04-16,1037.98,1037.0,1026.74,1.0,1043.24,1037.98,1211208.0,0.0
2018-04-17,1074.16,1051.37,1048.26,1.0,1077.88,1074.16,2320266.0,0.0
2018-04-18,1072.08,1077.43,1066.22,1.0,1077.43,1072.08,1344138.0,0.0
2018-04-19,1087.7,1069.4,1068.18,1.0,1094.16,1087.7,1747671.0,0.0
2018-04-20,1072.96,1082.0,1069.57,1.0,1092.35,1072.96,1889686.0,0.0
2018-04-23,1067.45,1077.86,1060.7,1.0,1082.72,1067.45,2341258.0,0.0
2018-04-24,1019.98,1052.0,1010.59,1.0,1057.0,1019.98,4760260.0,0.0
2018-04-25,1021.18,1025.52,1015.31,1.0,1032.49,1021.18,2391105.0,0.0
2018-04-26,1040.04,1029.51,1018.19,1.0,1047.98,1040.04,2079533.0,0.0
2018-04-27,1030.05,1046.0,1025.59,1.0,1049.5,1030.05,1619796.0,0.0
2018-04-30,1017.33,1030.01,1016.85,1.0,1037.0,1017.33,1671254.0,0.0
2018-05-01,1037.31,1013.66,1008.21,1.0,1038.47,1037.31,1427857.0,0.0
2018-05-02,1024.38,1028.1,1022.87,1.0,1040.39,1024.38,1603081.0,0.0
2018-05-03,1023.72,1019.0,1006.29,1.0,1029.67,1023.72,1815058.0,0.0
2018-05-04,1048.21,1016.9,1016.9,1.0,1048.51,1048.21,1938658.0,0.0
2018-05-07,1054.79,1049.23,1047.1,1.0,1061.68,1054.79,1466065.0,0.0
2018-05-08,1053.91,1058.54,1047.14,1.0,1060.55,1053.91,1217721.0,0.0
2018-05-09,1082.76,1058.1,1056.37,1.0,1085.44,1082.76,2032818.0,0.0
2018-05-10,1097.57,1086.03,1085.64,1.0,1100.44,1097.57,1443025.0,0.0
2018-05-11,1098.26,1093.6,1090.91,1.0,1101.33,1098.26,1253665.0,0.0
2018-05-14,1100.2,1100.0,1099.11,1.0,1110.75,1100.2,1518077.0,0.0
2018-05-15,1079.23,1090.0,1073.47,1.0,1090.05,1079.23,1494872.0,0.0
2018-05-16,1081.77,1077.31,1076.26,1.0,1089.27,1081.77,1097317.0,0.0
2018-05-17,1078.59,1079.89,1073.5,1.0,1086.87,1078.59,1043766.0,0.0
2018-05-18,1066.36,1061.86,1060.68,1.0,1069.94,1066.36,1565240.0,0.0
2018-05-21,1079.58,1074.06,1073.65,1.0,1088.0,1079.58,1023211.0,0.0
2018-05-22,1069.73,1083.56,1066.69,1.0,1086.59,1069.73,1090002.0,0.0
2018-05-23,1079.69,1065.13,1061.71,1.0,1080.78,1079.69,1060683.0,0.0
2018-05-24,1079.24,1079.0,1066.15,1.0,1080.47,1079.24,766773.0,0.0
2018-05-25,1075.66,1079.02,1073.78,1.0,1082.56,1075.66,899406.0,0.0
2018-05-29,1060.32,1064.89,1055.22,1.0,1073.37,1060.32,1865139.0,0.0
2018-05-30,1067.8,1063.03,1056.83,1.0,1069.21,1067.8,1138457.0,0.0
2018-05-31,1084.99,1067.56,1067.56,1.0,1097.19,1084.99,3088305.0,0.0
2018-06-01,1119.5,1099.35,1098.5,1.0,1120.0,1119.5,2421598.0,0.0
2018-06-04,1139.29,1122.33,1122.01,1.0,1141.89,1139.29,1889579.0,0.0
2018-06-05,1139.66,1140.99,1133.19,1.0,1145.74,1139.66,1677973.0,0.0
2018-06-06,1136.88,1142.17,1125.74,1.0,1143.0,1136.88,1698247.0,0.0
2018-06-07,1123.86,1131.32,1116.52,1.0,1135.82,1123.86,1520020.0,0.0
2018-06-08,1120.87,1118.18,1112.15,1.0,1126.67,1120.87,1290845.0,0.0
2018-06-11,1129.99,1118.6,1118.6,1.0,1137.26,1129.99,1079294.0,0.0
2018-06-12,1139.32,1131.07,1130.73,1.0,1139.79,1139.32,912018.0,0.0
2018-06-13,1134.79,1141.12,1133.38,1.0,1146.5,1134.79,1506407.0,0.0
2018-06-14,1152.12,1143.85,1140.64,1.0,1155.47,1152.12,1350868.0,0.0
2018-06-15,1152.26,1148.86,1143.48,1.0,1153.42,1152.26,2122476.0,0.0
2018-06-18,1173.46,1143.65,1143.59,1.0,1174.31,1173.46,1413692.0,0.0
2018-06-19,1168.06,1158.5,1154.01,1.0,1171.27,1168.06,1621018.0,0.0
2018-06-20,1169.84,1175.31,1169.16,1.0,1186.29,1169.84,1648536.0,0.0
2018-06-21,1157.66,1174.85,1152.23,1.0,1177.3,1157.66,1238118.0,0.0
2018-06-22,1155.48,1159.14,1147.26,1.0,1162.5,1155.48,1310967.0,0.0
2018-06-25,1124.81,1143.6,1112.78,1.0,1143.91,1124.81,2157310.0,0.0
2018-06-26,1118.46,1128.0,1116.66,1.0,1133.21,1118.46,1563225.0,0.0
