date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,31.9086,29.89,29.28,1.0,32.475,32.16,8440918.0,0.0
2018-02-07,32.365,32.2,31.84,1.0,33.05,32.62,3901318.0,0.0
2018-02-08,30.9263,32.82,31.16,1.0,32.85,31.17,3954846.0,0.0
2018-02-09,32.0376,31.73,30.54,1.0,32.6,32.29,8601637.0,0.0
2018-02-12,31.1744,32.54,31.32,1.0,32.62,31.42,7128082.0,0.0
2018-02-13,32.1765,31.38,31.29,1.0,32.51,32.43,4010894.0,0.0
2018-02-14,32.8512,32.1,31.99,1.0,33.4,33.11,3968972.0,0.0
2018-02-15,33.0695,33.41,32.66,1.0,33.59,33.33,2730786.0,0.0
2018-02-16,33.0099,33.26,33.23,1.0,33.95,33.27,4202541.0,0.0
2018-02-20,31.3629,31.09,30.75,1.0,32.41,31.61,9566211.0,0.0
2018-02-21,31.9681,31.79,31.75,1.0,32.92,32.22,4510422.0,0.0
2018-02-22,32.117,32.33,32.24,1.0,32.7,32.37,2578070.0,0.0
2018-02-23,32.4345,32.49,32.02,1.0,32.72,32.69,3590468.0,0.0
2018-02-26,31.8788,33.04,31.895,1.0,33.13,32.13,5887020.0,0.0
2018-02-27,30.976,32.62,31.21,1.0,33.17,31.22,5180918.0,0.0
2018-02-28,31.3331,31.5,31.44,1.0,32.18,31.58,4554833.0,0.0
2018-03-01,31.4522,31.39,30.73,1.0,31.95,31.7,9283673.0,0.0
2018-03-02,33.9128,33.9,32.7,1.0,34.37,34.18,16535820.0,0.0
2018-03-05,33.8235,34.18,33.442,1.0,34.29,34.09,10937532.0,0.0
2018-03-06,34.3196,34.09,34.02,1.0,34.71,34.59,6900468.0,0.0
2018-03-07,33.0199,34.46,32.97,1.0,34.52,33.28,7064903.0,0.0
2018-03-08,32.3452,33.34,32.58,1.0,33.58,32.6,5295647.0,0.0
2018-03-09,32.8115,32.89,32.17,1.0,33.18,33.07,4509261.0,0.0
2018-03-12,31.988,33.07,32.05,1.0,33.12,32.24,5433266.0,0.0
2018-03-13,32.4146,32.47,32.34,1.0,33.0,32.67,3802599.0,0.0
2018-03-14,32.1666,32.81,32.295,1.0,32.98,32.42,3055977.0,0.0
2018-03-15,31.5812,32.47,31.76,1.0,32.535,31.83,4861123.0,0.0
2018-03-16,31.4919,31.81,31.36,1.0,32.37,31.74,5115466.0,0.0
2018-03-19,31.9781,31.85,31.76,1.0,32.53,32.23,5657370.0,0.0
2018-03-20,32.0674,32.14,32.0,1.0,32.695,32.32,3763394.0,0.0
2018-03-21,31.859,32.29,32.08,1.0,32.79,32.11,4320470.0,0.0
2018-03-22,30.9363,31.71,31.14,1.0,31.95,31.18,4814138.0,0.0
2018-03-23,30.7974,31.38,31.02,1.0,32.09,31.04,4130545.0,0.0
2018-03-26,30.718,31.21,30.4,1.0,31.295,30.96,5774825.0,0.0
2018-03-27,30.2814,30.88,30.345,1.0,31.01,30.52,3839576.0,0.0
2018-03-28,30.6585,30.64,30.32,1.0,31.69,30.9,3845889.0,0.0
2018-03-29,30.9561,30.93,30.93,1.0,31.65,31.2,3001345.0,0.0
2018-04-02,30.5096,31.17,30.19,1.0,31.32,30.75,4555243.0,0.0
2018-04-03,30.9462,30.82,30.81,1.0,31.38,31.19,3568876.0,0.0
2018-04-04,31.6308,30.8,30.8,1.0,31.94,31.88,4050141.0,0.0
2018-04-05,31.7598,32.1,31.67,1.0,32.23,32.01,4197136.0,0.0
2018-04-06,30.5989,31.66,30.595,1.0,31.94,30.84,4979390.0,0.0
2018-04-09,29.8349,31.07,29.97,1.0,31.12,30.07,6155716.0,0.0
2018-04-10,30.78,30.33,30.23,1.0,31.0,30.78,5580000.0,0.2425
2018-04-11,30.55,30.52,30.14,1.0,30.73,30.55,4572924.0,0.0
2018-04-12,30.64,30.71,30.39,1.0,30.925,30.64,3230550.0,0.0
2018-04-13,30.05,30.67,30.0,1.0,30.73,30.05,3333917.0,0.0
2018-04-16,30.16,30.25,29.84,1.0,30.44,30.16,2397196.0,0.0
2018-04-17,30.54,30.46,30.24,1.0,30.77,30.54,3298779.0,0.0
2018-04-18,29.54,30.65,29.52,1.0,30.82,29.54,4422101.0,0.0
2018-04-19,29.55,29.43,29.0,1.0,29.62,29.55,5316916.0,0.0
2018-04-20,28.44,29.3,28.12,1.0,29.35,28.44,7009837.0,0.0
2018-04-23,28.78,28.45,28.385,1.0,29.11,28.78,4206456.0,0.0
2018-04-24,29.19,28.92,28.81,1.0,29.88,29.19,4574469.0,0.0
2018-04-25,29.91,29.1,28.94,1.0,30.07,29.91,5230406.0,0.0
