date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,256.597,247.17,247.17,1.0,263.0999,259.01,1173467.0,0.0
2018-02-07,257.4688,259.01,256.66,1.0,262.51,259.89,983555.0,0.0
2018-02-08,256.1909,259.59,257.3201,1.0,265.03,258.6,910148.0,0.0
2018-02-09,266.1175,259.43,256.51,1.0,269.34,267.34,1723409.0,1.28
2018-02-12,268.1979,269.43,267.845,1.0,272.0,269.43,1328736.0,0.0
2018-02-13,270.1291,267.18,265.945,1.0,272.58,271.37,880668.0,0.0
2018-02-14,263.5294,268.61,261.5285,1.0,269.51,264.74,1150586.0,0.0
2018-02-15,268.3274,266.71,263.67,1.0,271.87,269.56,806986.0,0.0
2018-02-16,265.4605,269.45,266.61,1.0,271.2,266.68,507001.0,0.0
2018-02-20,262.4046,264.49,262.57,1.0,268.07,263.61,478455.0,0.0
2018-02-21,260.5929,264.33,261.78,1.0,266.94,261.79,548350.0,0.0
2018-02-22,262.3946,263.62,262.5,1.0,266.16,263.6,683762.0,0.0
2018-02-23,264.9728,264.87,263.15,1.0,266.59,266.19,462558.0,0.0
2018-02-26,269.5816,267.24,266.23,1.0,271.37,270.82,490880.0,0.0
2018-02-27,263.5692,271.7,264.78,1.0,274.0,264.78,603545.0,0.0
2018-02-28,260.354,266.6,261.55,1.0,267.24,261.55,739147.0,0.0
2018-03-01,254.5407,260.97,254.01,1.0,262.51,255.71,1043301.0,0.0
2018-03-02,254.1326,253.4,248.75,1.0,255.73,255.3,902288.0,0.0
2018-03-05,258.6418,254.85,254.28,1.0,261.505,259.83,701090.0,0.0
2018-03-06,266.5356,262.89,260.83,1.0,273.25,267.76,1232407.0,0.0
2018-03-07,270.0196,264.67,262.93,1.0,271.75,271.26,1008836.0,0.0
2018-03-08,273.4438,273.06,269.945,1.0,274.9,274.7,642391.0,0.0
2018-03-09,279.1476,275.91,275.17,1.0,283.34,280.43,899094.0,0.0
2018-03-12,278.4608,279.97,279.07,1.0,282.78,279.74,697710.0,0.0
2018-03-13,275.3849,282.14,275.01,1.0,282.14,276.65,714516.0,0.0
2018-03-14,278.9287,278.69,275.27,1.0,283.44,280.21,731005.0,0.0
2018-03-15,279.9938,280.36,279.63,1.0,282.385,281.28,722254.0,0.0
2018-03-16,287.4296,282.56,281.55,1.0,289.42,288.75,1289254.0,0.0
2018-03-19,285.0704,289.28,283.5,1.0,291.74,286.38,1071164.0,0.0
2018-03-20,284.4035,287.98,285.19,1.0,292.47,285.71,547690.0,0.0
2018-03-21,284.1646,285.71,283.62,1.0,287.81,285.47,473946.0,0.0
2018-03-22,278.8888,283.59,279.89,1.0,287.72,280.17,566667.0,0.0
2018-03-23,268.8151,281.75,270.02,1.0,283.1,270.05,924296.0,0.0
2018-03-26,275.365,272.56,272.04,1.0,277.76,276.63,792487.0,0.0
2018-03-27,271.7815,276.63,271.41,1.0,277.31,273.03,640604.0,0.0
2018-03-28,276.2111,273.0,272.04,1.0,278.83,277.48,842497.0,0.0
2018-03-29,280.9792,279.07,279.07,1.0,285.0,282.27,917338.0,0.0
2018-04-02,275.375,281.03,273.22,1.0,283.8747,276.64,815173.0,0.0
2018-04-03,282.5719,278.38,276.65,1.0,284.495,283.87,707952.0,0.0
2018-04-04,287.131,281.72,280.15,1.0,290.5,288.45,859034.0,0.0
2018-04-05,292.4266,290.49,289.3,1.0,296.97,293.77,737721.0,0.0
2018-04-06,285.3591,291.26,281.63,1.0,294.71,286.67,849709.0,0.0
2018-04-09,285.3193,290.06,284.32,1.0,290.6852,286.63,871197.0,0.0
2018-04-10,290.6647,289.36,289.2,1.0,293.81,292.0,825843.0,0.0
2018-04-11,277.8934,285.17,275.55,1.0,289.38,279.17,1269571.0,0.0
2018-04-12,282.6018,280.83,280.0,1.0,285.06,283.9,581897.0,0.0
2018-04-13,277.336,286.29,278.61,1.0,286.29,278.61,1151896.0,0.0
2018-04-16,282.8208,282.15,279.82,1.0,284.34,284.12,756194.0,0.0
2018-04-17,282.2534,285.89,280.67,1.0,285.89,283.55,716803.0,0.0
2018-04-18,283.3882,285.4,283.7,1.0,289.12,284.69,1079541.0,0.0
2018-04-19,298.5087,304.0,291.51,1.0,309.8,299.88,3255146.0,0.0
2018-04-20,287.0812,302.49,285.62,1.0,302.88,288.4,1298546.0,0.0
2018-04-23,284.7718,289.4,285.06,1.0,290.8,286.08,687015.0,0.0
2018-04-24,278.2816,288.94,274.65,1.0,289.64,279.56,1072070.0,0.0
2018-04-25,275.9921,278.5,274.82,1.0,280.23,277.26,1235634.0,0.0
2018-04-26,275.6238,277.77,270.2272,1.0,278.76,276.89,959620.0,0.0
2018-04-27,282.5719,276.84,275.925,1.0,285.05,283.87,825354.0,0.0
2018-04-30,280.0634,283.23,281.01,1.0,286.05,281.35,822610.0,0.0
2018-05-01,280.6507,279.93,276.635,1.0,282.21,281.94,652677.0,0.0
2018-05-02,279.6155,281.08,279.9,1.0,286.89,280.9,608104.0,0.0
2018-05-03,278.5603,281.54,272.33,1.0,281.54,279.84,691523.0,0.0
2018-05-04,285.4587,278.86,276.88,1.0,288.19,286.77,593915.0,0.0
2018-05-07,288.0468,287.75,285.11,1.0,291.46,289.37,452091.0,0.0
2018-05-08,288.7436,290.92,288.03,1.0,293.11,290.07,447917.0,0.0
2018-05-09,294.4772,290.82,289.975,1.0,297.96,295.83,550836.0,0.0
2018-05-10,298.7974,298.01,295.1112,1.0,300.39,300.17,814528.0,0.0
2018-05-11,296.05,299.11,295.68,1.0,302.81,296.05,523587.0,1.36
2018-05-14,295.71,297.84,292.32,1.0,299.18,295.71,346544.0,0.0
2018-05-15,300.85,294.92,292.64,1.0,301.08,300.85,709498.0,0.0
2018-05-16,306.37,300.54,300.24,1.0,307.66,306.37,744641.0,0.0
2018-05-17,306.8,304.4,304.4,1.0,309.05,306.8,462384.0,0.0
2018-05-18,307.61,307.06,305.26,1.0,308.4,307.61,708715.0,0.0
2018-05-21,313.9,309.08,308.79,1.0,317.505,313.9,843023.0,0.0
2018-05-22,305.89,313.21,305.3,1.0,314.67,305.89,896710.0,0.0
2018-05-23,305.22,303.41,301.89,1.0,307.39,305.22,663998.0,0.0
2018-05-24,310.93,305.78,305.01,1.0,311.69,310.93,642749.0,0.0
2018-05-25,309.82,310.0,308.52,1.0,311.75,309.82,636226.0,0.0
2018-05-29,302.92,308.71,299.265,1.0,309.88,302.92,701225.0,0.0
2018-05-30,307.46,304.1,301.72,1.0,309.13,307.46,495166.0,0.0
2018-05-31,308.99,306.68,303.04,1.0,310.0,308.99,947869.0,0.0
2018-06-01,309.7,309.81,306.91,1.0,316.41,309.7,534923.0,0.0
2018-06-04,312.03,312.0,308.695,1.0,314.24,312.03,472679.0,0.0
2018-06-05,314.57,312.11,309.97,1.0,315.73,314.57,462924.0,0.0
2018-06-06,310.74,312.0,306.26,1.0,312.0,310.74,583116.0,0.0
2018-06-07,312.36,311.21,310.43,1.0,314.44,312.36,459503.0,0.0
2018-06-08,314.59,312.28,311.09,1.0,314.96,314.59,433658.0,0.0
2018-06-11,316.17,314.06,313.65,1.0,317.1,316.17,694071.0,0.0
2018-06-12,318.77,317.5,316.67,1.0,322.34,318.77,649761.0,0.0
2018-06-13,315.7,319.94,314.9,1.0,321.36,315.7,636886.0,0.0
2018-06-14,317.39,315.9,313.34,1.0,318.53,317.39,856134.0,0.0
2018-06-15,319.62,316.99,314.41,1.0,319.67,319.62,880104.0,0.0
2018-06-18,316.11,317.41,312.831,1.0,318.67,316.11,519615.0,0.0
2018-06-19,312.11,313.44,311.31,1.0,316.04,312.11,578749.0,0.0
2018-06-20,316.93,312.26,312.0,1.0,317.38,316.93,432217.0,0.0
2018-06-21,313.18,315.26,309.79,1.0,315.76,313.18,609051.0,0.0
2018-06-22,312.1,316.51,311.67,1.0,316.68,312.1,669668.0,0.0
2018-06-25,305.61,312.46,303.59,1.0,312.46,305.61,590766.0,0.0
2018-06-26,306.48,306.72,304.56,1.0,308.05,306.48,401603.0,0.0
2018-06-27,305.38,306.19,304.93,1.0,311.16,305.38,471078.0,0.0
2018-06-28,305.135,305.54,303.41,1.0,308.06,305.135,207570.0,0.0
