date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,22.7095,23.06,22.8,1.0,23.59,23.46,7608082.0,0.0
2018-02-07,22.632,23.39,23.24,1.0,23.89,23.38,5310751.0,0.0
2018-02-08,21.9157,23.32,22.63,1.0,23.5,22.64,5772768.0,0.0
2018-02-09,22.4675,22.73,22.22,1.0,23.37,23.21,6998716.0,0.0
2018-02-12,22.119,23.22,22.28,1.0,23.23,22.85,6320253.0,0.0
2018-02-13,22.0706,22.78,21.98,1.0,22.9,22.8,6812647.0,0.0
2018-02-14,21.4317,21.96,21.64,1.0,22.12,21.77,6152219.0,0.37
2018-02-15,21.9436,21.82,21.71,1.0,22.2968,22.29,7601081.0,0.0
2018-02-16,22.3276,22.34,22.34,1.0,22.85,22.68,7984425.0,0.0
2018-02-20,22.1011,22.55,22.44,1.0,22.92,22.45,4319380.0,0.0
2018-02-21,21.4612,22.4,21.78,1.0,22.49,21.8,4468881.0,0.0
2018-02-22,21.5498,21.87,21.805,1.0,22.365,21.89,3035070.0,0.0
2018-02-23,22.0125,22.01,21.91,1.0,22.36,22.36,2523274.0,0.0
2018-02-26,22.0913,22.36,22.12,1.0,22.48,22.44,2724031.0,0.0
2018-02-27,21.412,22.46,21.73,1.0,22.64,21.75,3621911.0,0.0
2018-02-28,21.3037,21.85,21.62,1.0,22.03,21.64,5913049.0,0.0
2018-03-01,21.5892,21.6,21.48,1.0,22.2899,21.93,3653246.0,0.0
2018-03-02,21.5006,21.93,21.65,1.0,21.99,21.84,3170433.0,0.0
2018-03-05,21.9141,21.75,21.75,1.0,22.475,22.26,4284046.0,0.0
2018-03-06,21.9436,22.2,21.88,1.0,22.37,22.29,2505572.0,0.0
2018-03-07,22.2783,22.22,22.07,1.0,22.66,22.63,3957730.0,0.0
2018-03-08,22.5048,22.99,22.555,1.0,23.08,22.86,3468584.0,0.0
2018-03-09,22.2488,22.83,22.38,1.0,22.87,22.6,4255660.0,0.0
2018-03-12,22.7607,22.6,22.48,1.0,23.17,23.12,4800130.0,0.0
2018-03-13,22.6426,23.15,22.81,1.0,23.31,23.0,3972890.0,0.0
2018-03-14,22.5934,22.97,22.68,1.0,23.12,22.95,3645313.0,0.0
2018-03-15,22.5934,22.87,22.74,1.0,23.0901,22.95,2578693.0,0.0
2018-03-16,22.8296,22.94,22.83,1.0,23.26,23.19,6511444.0,0.0
2018-03-19,22.7115,23.19,22.94,1.0,23.225,23.07,4707145.0,0.0
2018-03-20,22.3276,23.04,22.5,1.0,23.21,22.68,4694537.0,0.0
2018-03-21,22.17,22.69,22.28,1.0,22.79,22.52,3949288.0,0.0
2018-03-22,22.2586,22.49,22.45,1.0,23.14,22.61,4693544.0,0.0
2018-03-23,21.9436,22.67,22.21,1.0,22.81,22.29,3800276.0,0.0
2018-03-26,21.9633,22.39,22.03,1.0,22.44,22.31,3016610.0,0.0
2018-03-27,22.4359,22.35,22.0,1.0,23.13,22.79,4379228.0,0.0
2018-03-28,23.0265,22.96,22.96,1.0,23.625,23.39,5593758.0,0.0
2018-03-29,22.869,23.32,23.05,1.0,23.47,23.23,5051298.0,0.0
2018-04-02,22.8198,23.26,23.02,1.0,23.45,23.18,5082241.0,0.0
2018-04-03,22.5934,23.17,22.42,1.0,23.18,22.95,5602952.0,0.0
2018-04-04,23.0068,22.83,22.76,1.0,23.48,23.37,3989935.0,0.0
2018-04-05,22.8001,23.38,22.9499,1.0,23.38,23.16,2706637.0,0.0
2018-04-06,22.8395,23.2,23.1749,1.0,23.5101,23.2,3723382.0,0.0
2018-04-09,22.7804,23.23,22.95,1.0,23.37,23.14,2870480.0,0.0
2018-04-10,22.6623,23.29,22.93,1.0,23.29,23.02,4692648.0,0.0
2018-04-11,22.5245,22.98,22.82,1.0,23.25,22.88,2689768.0,0.0
2018-04-12,21.8944,22.87,22.2,1.0,22.88,22.24,3389603.0,0.0
2018-04-13,22.0716,22.29,22.065,1.0,22.43,22.42,1937007.0,0.0
2018-04-16,22.1799,22.44,22.22,1.0,22.69,22.53,2825064.0,0.0
2018-04-17,22.426,22.53,22.435,1.0,22.92,22.78,2440736.0,0.0
2018-04-18,22.3177,22.89,22.625,1.0,22.94,22.67,2343373.0,0.0
2018-04-19,22.0125,22.58,22.05,1.0,22.62,22.36,2659253.0,0.0
2018-04-20,21.54,22.36,21.825,1.0,22.4599,21.88,2865138.0,0.0
2018-04-23,21.5794,21.89,21.795,1.0,22.05,21.92,1944674.0,0.0
2018-04-24,21.9633,21.97,21.8,1.0,22.4,22.31,4994295.0,0.0
2018-04-25,21.9928,22.18,21.98,1.0,22.38,22.34,4133649.0,0.0
2018-04-26,22.0322,22.45,22.3062,1.0,22.58,22.38,2786528.0,0.0
2018-04-27,22.9773,22.46,22.4325,1.0,23.45,23.34,4502864.0,0.0
2018-04-30,22.997,23.34,23.12,1.0,23.5,23.36,4859771.0,0.0
2018-05-01,23.3022,23.4,23.115,1.0,23.74,23.67,4352187.0,0.0
2018-05-02,23.0757,23.56,23.23,1.0,23.7,23.44,3899244.0,0.0
2018-05-03,23.1644,23.44,23.09,1.0,23.58,23.53,3187642.0,0.0
2018-05-04,23.44,23.08,23.08,1.0,23.46,23.44,3255009.0,0.37
2018-05-07,23.78,23.44,23.4,1.0,23.82,23.78,2700781.0,0.0
2018-05-08,23.52,23.76,23.42,1.0,23.86,23.52,3544162.0,0.0
2018-05-09,23.88,23.45,23.41,1.0,23.9,23.88,2754532.0,0.0
2018-05-10,24.06,23.94,23.925,1.0,24.14,24.06,1943123.0,0.0
2018-05-11,24.08,24.15,24.0339,1.0,24.275,24.08,2274927.0,0.0
2018-05-14,23.79,24.04,23.675,1.0,24.1,23.79,2908053.0,0.0
2018-05-15,23.37,23.68,23.29,1.0,23.7,23.37,2860248.0,0.0
2018-05-16,23.33,23.62,23.26,1.0,23.68,23.33,3107765.0,0.0
2018-05-17,23.14,23.39,23.0638,1.0,23.45,23.14,2663817.0,0.0
2018-05-18,23.02,23.2,22.9401,1.0,23.27,23.02,2607938.0,0.0
2018-05-21,23.13,22.87,22.4899,1.0,23.225,23.13,2840477.0,0.0
2018-05-22,23.1,23.21,22.88,1.0,23.23,23.1,2773815.0,0.0
2018-05-23,23.21,23.19,23.165,1.0,23.51,23.21,3193845.0,0.0
2018-05-24,23.11,23.25,22.9,1.0,23.34,23.11,3767095.0,0.0
2018-05-25,23.52,23.22,23.2,1.0,23.55,23.52,2634509.0,0.0
2018-05-29,23.7,23.46,23.3,1.0,23.735,23.7,2671185.0,0.0
