date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,45.537,43.55,43.48,1.0,46.37,45.96,5153365.0,0.0
2018-02-07,43.704,45.99,43.99,1.0,46.83,44.11,4225193.0,0.0
2018-02-08,42.6042,44.32,42.99,1.0,44.85,43.0,5759220.0,0.0
2018-02-09,41.7323,43.54,40.37,1.0,43.55,42.12,6559224.0,0.0
2018-02-12,43.7337,42.95,42.51,1.0,44.73,44.14,6799952.0,0.0
2018-02-13,42.4061,43.57,42.58,1.0,43.85,42.8,4839536.0,0.0
2018-02-14,44.9524,42.34,42.01,1.0,45.59,45.37,6238222.0,0.0
2018-02-15,45.111,45.28,43.5,1.0,45.56,45.53,4645946.0,0.0
2018-02-16,45.2298,45.12,44.86,1.0,46.13,45.65,4392022.0,0.0
2018-02-20,45.4181,45.75,45.641,1.0,46.53,45.84,4424421.0,0.0
2018-02-21,44.8137,45.52,44.95,1.0,46.4,45.23,5532063.0,0.0
2018-02-22,46.6467,45.49,45.35,1.0,47.269,47.08,5403183.0,0.0
2018-02-23,47.4294,47.15,46.94,1.0,47.955,47.87,4401434.0,0.0
2018-02-26,47.3402,48.37,47.41,1.0,48.47,47.78,4778637.0,0.0
2018-02-27,46.0423,47.51,46.455,1.0,48.66,46.47,4405772.0,0.0
2018-02-28,45.002,47.16,45.39,1.0,47.575,45.42,4125384.0,0.0
2018-03-01,45.2497,45.36,45.27,1.0,46.56,45.67,5393923.0,0.0
2018-03-02,46.2504,45.13,44.21,1.0,46.75,46.68,3981591.0,0.0
2018-03-05,47.9942,46.48,46.33,1.0,48.715,48.44,5796137.0,0.0
2018-03-06,48.0338,48.71,48.1145,1.0,49.22,48.48,4533297.0,0.0
2018-03-07,46.0522,47.78,45.89,1.0,48.32,46.48,3999845.0,0.0
2018-03-08,46.2702,47.21,46.01,1.0,47.33,46.7,4880844.0,0.0
2018-03-09,48.014,47.35,47.14,1.0,48.54,48.46,4412875.0,0.0
2018-03-12,48.2022,48.25,48.17,1.0,49.4,48.65,3065265.0,0.0
2018-03-13,47.9545,49.18,48.25,1.0,49.6,48.4,4777739.0,0.0
2018-03-14,48.123,48.57,48.28,1.0,49.21,48.57,2657637.0,0.0
2018-03-15,48.4103,49.0,48.15,1.0,49.52,48.86,3538697.0,0.0
2018-03-16,48.7769,48.39,47.79,1.0,49.56,48.98,4721973.0,0.25
2018-03-19,46.7653,48.73,46.6357,1.0,48.95,46.96,3560773.0,0.0
2018-03-20,48.1893,47.35,47.3,1.0,48.77,48.39,2417663.0,0.0
2018-03-21,50.4798,48.88,48.83,1.0,51.195,50.69,3635526.0,0.0
2018-03-22,49.8923,49.93,49.68,1.0,51.01,50.1,3485358.0,0.0
2018-03-23,49.2549,50.73,49.385,1.0,50.99,49.46,4410942.0,0.0
2018-03-26,50.2707,50.4,49.18,1.0,50.51,50.48,2646329.0,0.0
2018-03-27,49.6632,50.54,49.43,1.0,50.95,49.87,3127625.0,0.0
2018-03-28,48.5279,50.15,48.335,1.0,50.53,48.73,3973143.0,0.0
2018-03-29,50.4101,49.09,49.07,1.0,51.005,50.62,3358585.0,0.0
2018-04-02,48.2989,50.24,47.52,1.0,50.32,48.5,3658165.0,0.0
2018-04-03,50.2408,48.79,48.33,1.0,50.6748,50.45,3706877.0,0.0
2018-04-04,50.7985,49.38,49.06,1.0,51.13,51.01,3307147.0,0.0
2018-04-05,52.3221,51.49,51.42,1.0,53.22,52.54,5161438.0,0.0
2018-04-06,50.8781,52.01,49.86,1.0,52.74,51.09,3765660.0,0.0
2018-04-09,51.386,51.87,51.23,1.0,52.7,51.6,4161699.0,0.0
2018-04-10,53.4674,52.55,52.38,1.0,54.2275,53.69,5508807.0,0.0
2018-04-11,54.7022,53.6,53.5,1.0,55.54,54.93,4891864.0,0.0
2018-04-12,54.7719,54.98,54.47,1.0,55.98,55.0,4832029.0,0.0
2018-04-13,56.0865,55.55,55.3819,1.0,56.94,56.32,7047858.0,0.0
