date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,80.392,78.58,77.78,1.0,80.97,80.69,4632823.0,0.0
2018-02-07,81.7171,80.99,80.54,1.0,83.28,82.02,3526610.0,0.0
2018-02-08,78.3695,81.95,78.64,1.0,82.374,78.66,5014297.0,0.0
2018-02-09,80.133,79.23,77.561,1.0,81.23,80.43,3211289.0,0.0
2018-02-12,81.5179,80.91,80.59,1.0,82.16,81.82,2196775.0,0.0
2018-02-13,82.9027,81.74,81.66,1.0,83.57,83.21,2466680.0,0.0
2018-02-14,85.6525,82.12,82.01,1.0,87.11,85.97,3880509.0,0.0
2018-02-15,84.2478,86.09,84.33,1.0,86.31,84.56,2980376.0,0.0
2018-02-16,82.9625,84.46,83.26,1.0,84.7232,83.27,2543120.0,0.0
2018-02-20,83.9987,82.73,82.73,1.0,84.7,84.31,1796875.0,0.0
2018-02-21,83.9788,84.43,84.26,1.0,86.44,84.29,1763621.0,0.0
2018-02-22,83.0721,84.74,83.12,1.0,84.9,83.38,1710473.0,0.0
2018-02-23,83.5005,83.75,83.08,1.0,83.97,83.81,1543521.0,0.0
2018-02-26,81.8367,84.03,82.13,1.0,84.29,82.14,2856709.0,0.0
2018-02-27,79.5452,82.36,79.81,1.0,82.62,79.84,3804744.0,0.0
2018-02-28,80.4917,80.4,79.78,1.0,82.08,80.79,4021001.0,0.0
2018-03-01,79.2064,80.51,78.79,1.0,80.66,79.35,2515240.0,0.15
2018-03-02,78.7573,78.73,77.23,1.0,79.12,78.9,2813958.0,0.0
2018-03-05,78.0785,78.29,77.08,1.0,78.69,78.22,2719018.0,0.0
2018-03-06,78.7972,78.62,78.41,1.0,79.37,78.94,2230630.0,0.0
2018-03-07,79.0567,78.25,78.13,1.0,79.315,79.2,1459548.0,0.0
2018-03-08,79.0667,79.53,79.0001,1.0,79.89,79.21,1934015.0,0.0
2018-03-09,81.3226,80.01,79.71,1.0,81.8,81.47,2655669.0,0.0
2018-03-12,80.9832,81.52,80.69,1.0,81.71,81.13,1836807.0,0.0
2018-03-13,81.103,81.42,81.06,1.0,81.82,81.25,1638863.0,0.0
2018-03-14,81.093,81.47,81.05,1.0,81.54,81.24,1563514.0,0.0
