date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,24.6915,24.01,23.8,1.0,25.33,25.17,4363505.0,0.0
2018-02-07,25.2507,25.04,25.0,1.0,25.91,25.74,3764352.0,0.0
2018-02-08,24.7111,25.68,25.18,1.0,25.77,25.19,2509272.0,0.0
2018-02-09,24.4463,25.36,24.25,1.0,25.69,24.92,4746167.0,0.0
2018-02-12,24.6523,25.0,24.87,1.0,25.35,25.13,4985141.0,0.0
2018-02-13,25.4174,25.13,25.12,1.0,26.08,25.91,2710428.0,0.0
2018-02-14,26.4279,25.8,25.76,1.0,26.97,26.94,3395203.0,0.0
2018-02-15,27.0361,27.1,27.05,1.0,27.77,27.56,4689505.0,0.0
2018-02-16,27.507,27.485,27.31,1.0,28.495,28.04,3459642.0,0.0
2018-02-20,26.6535,27.83,27.07,1.0,28.12,27.17,4866664.0,0.0
2018-02-21,25.9079,27.23,26.41,1.0,27.29,26.41,2988100.0,0.0
2018-02-22,25.6529,26.54,26.12,1.0,26.65,26.15,2964113.0,0.0
2018-02-23,26.3101,26.14,26.13,1.0,26.91,26.82,2272160.0,0.0
2018-02-26,26.3592,26.88,26.76,1.0,27.18,26.87,4531970.0,0.0
2018-02-27,25.4371,26.92,25.93,1.0,27.02,25.93,2704846.0,0.0
2018-02-28,24.8485,25.93,25.32,1.0,26.16,25.33,3461567.0,0.0
2018-03-01,24.6523,25.33,24.7,1.0,25.43,25.13,4092897.0,0.0
2018-03-02,24.2206,24.88,24.5,1.0,24.93,24.69,4221598.0,0.0
2018-03-05,25.3095,24.87,24.87,1.0,25.94,25.8,8492080.0,0.0
2018-03-06,25.2801,25.96,25.6,1.0,26.1699,25.77,5145843.0,0.0
2018-03-07,28.1838,28.89,28.02,1.0,29.47,28.73,9447921.0,0.0
2018-03-08,27.144,28.83,27.6075,1.0,28.9,27.67,5450812.0,0.0
2018-03-09,27.1636,27.79,26.815,1.0,27.79,27.69,5331338.0,0.0
2018-03-12,27.4873,27.53,27.425,1.0,27.91,27.78,3940794.0,0.24
2018-03-13,26.9035,27.82,27.08,1.0,27.94,27.19,3276325.0,0.0
