date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,32.5657,31.91,31.71,1.0,32.86,32.74,4824579.0,0.0
2018-02-07,32.5657,32.71,32.6,1.0,33.505,32.74,3293753.0,0.0
2018-02-08,32.0386,33.0,32.21,1.0,33.0,32.21,3571893.0,0.0
2018-02-09,32.6354,32.55,31.83,1.0,33.07,32.81,3792525.0,0.0
2018-02-12,32.894,32.99,32.75,1.0,33.32,33.07,2369431.0,0.0
2018-02-13,32.9039,33.03,32.69,1.0,33.19,33.08,1312496.0,0.0
2018-02-14,33.8588,33.41,33.08,1.0,34.095,34.04,2790421.0,0.0
2018-02-15,33.8986,34.2,33.08,1.0,34.2,34.08,2777875.0,0.0
2018-02-16,34.1672,33.77,33.34,1.0,34.39,34.35,2879364.0,0.0
2018-02-20,33.6201,34.15,33.64,1.0,34.31,33.8,2567283.0,0.0
2018-02-21,32.5061,33.84,32.67,1.0,34.04,32.68,4892645.0,0.0
2018-02-22,32.8244,31.91,31.8317,1.0,33.23,33.0,5530425.0,0.0
2018-02-23,32.4663,33.07,32.01,1.0,33.12,32.64,3832285.0,0.0
2018-02-26,32.894,32.7,32.27,1.0,33.1,33.07,2431933.0,0.0
2018-02-27,32.5757,33.05,32.74,1.0,33.355,32.75,2264803.0,0.0
2018-02-28,32.2872,32.99,32.46,1.0,33.0,32.46,2975517.0,0.0
2018-03-01,32.1878,32.41,31.99,1.0,32.67,32.36,2811992.0,0.0
2018-03-02,32.4762,32.28,32.28,1.0,32.775,32.65,1785757.0,0.0
2018-03-05,32.695,32.53,32.53,1.0,33.145,32.87,2277321.0,0.0
2018-03-06,33.2521,32.86,32.46,1.0,33.55,33.43,3746510.0,0.0
2018-03-07,32.9935,33.13,32.84,1.0,33.215,33.17,2533701.0,0.0
2018-03-08,33.3217,33.18,33.03,1.0,33.52,33.5,1363964.0,0.0
2018-03-09,33.5803,33.74,33.46,1.0,33.87,33.76,2288651.0,0.0
2018-03-12,33.5206,33.8,33.67,1.0,34.015,33.7,2152108.0,0.0
2018-03-13,33.8489,33.91,33.71,1.0,34.09,34.03,2048372.0,0.0
2018-03-14,33.5405,34.08,33.66,1.0,34.5,33.72,2302532.0,0.0
2018-03-15,33.1228,33.69,33.23,1.0,33.99,33.3,1959682.0,0.0
2018-03-16,33.3217,33.39,33.345,1.0,33.61,33.5,3891701.0,0.0
2018-03-19,33.5206,33.51,33.35,1.0,34.04,33.7,1972706.0,0.0
2018-03-20,33.3814,33.66,33.46,1.0,33.96,33.56,1933571.0,0.0
2018-03-21,32.6155,33.13,32.715,1.0,33.35,32.79,3375709.0,0.0
2018-03-22,32.526,32.71,32.42,1.0,33.17,32.7,2422332.0,0.0
2018-03-23,32.3768,32.69,32.47,1.0,33.135,32.55,4630722.0,0.0
2018-03-26,33.2322,32.8,32.75,1.0,33.5,33.41,2176606.0,0.0
2018-03-27,33.3913,33.54,33.34,1.0,34.1,33.57,2533025.0,0.0
2018-03-28,33.4808,33.66,33.48,1.0,34.07,33.66,3081354.0,0.0
2018-03-29,34.1373,33.86,33.84,1.0,34.41,34.32,2776839.0,0.0
2018-04-02,33.3117,34.15,33.23,1.0,34.25,33.49,5097201.0,0.0
2018-04-03,34.0379,33.63,33.35,1.0,34.32,34.22,3212323.0,0.0
2018-04-04,35.6791,34.02,34.02,1.0,36.5,35.87,7944870.0,0.0
2018-04-05,34.9231,36.07,34.6475,1.0,36.07,35.11,4484332.0,0.0
2018-04-06,34.7441,35.05,34.71,1.0,35.69,34.93,3524286.0,0.0
2018-04-09,35.2016,35.03,34.95,1.0,35.785,35.39,2959018.0,0.0
2018-04-10,35.1519,35.52,35.16,1.0,35.75,35.34,4102933.0,0.0
2018-04-11,35.1718,35.25,35.08,1.0,35.57,35.36,2490503.0,0.0
2018-04-12,34.9032,35.35,34.92,1.0,35.42,35.09,3078933.0,0.0
2018-04-13,35.04,35.0,34.77,1.0,35.12,35.04,2094297.0,0.1875
2018-04-16,35.44,35.15,35.05,1.0,35.72,35.44,1966375.0,0.0
2018-04-17,35.42,35.62,35.31,1.0,35.64,35.42,1398792.0,0.0
2018-04-18,35.54,35.43,35.29,1.0,35.635,35.54,2160764.0,0.0
2018-04-19,35.4,35.48,35.13,1.0,35.65,35.4,2181697.0,0.0
2018-04-20,35.45,35.55,35.13,1.0,35.75,35.45,3697129.0,0.0
2018-04-23,35.77,35.63,35.25,1.0,35.81,35.77,2141318.0,0.0
2018-04-24,36.2,35.82,35.64,1.0,36.26,36.2,2946926.0,0.0
2018-04-25,36.15,36.17,35.98,1.0,36.59,36.15,2748408.0,0.0
2018-04-26,36.31,36.19,35.93,1.0,36.455,36.31,2219880.0,0.0
2018-04-27,36.47,36.36,36.165,1.0,36.64,36.47,1822222.0,0.0
2018-04-30,36.25,36.6,36.1565,1.0,36.62,36.25,3541927.0,0.0
2018-05-01,36.12,36.09,35.62,1.0,36.42,36.12,1985230.0,0.0
2018-05-02,35.37,36.06,35.275,1.0,36.08,35.37,1930799.0,0.0
2018-05-03,35.27,35.55,35.16,1.0,35.6,35.27,2058909.0,0.0
2018-05-04,35.77,35.29,35.19,1.0,36.0,35.77,2207513.0,0.0
2018-05-07,35.53,35.72,35.32,1.0,35.8,35.53,2455017.0,0.0
2018-05-08,35.51,35.52,35.32,1.0,35.66,35.51,2764588.0,0.0
2018-05-09,36.09,35.54,35.485,1.0,36.165,36.09,1869878.0,0.0
2018-05-10,36.17,36.26,36.08,1.0,36.36,36.17,1190709.0,0.0
2018-05-11,36.26,36.29,36.03,1.0,36.6,36.26,1290233.0,0.0
2018-05-14,36.08,36.29,35.965,1.0,36.35,36.08,1557396.0,0.0
2018-05-15,35.96,36.03,35.615,1.0,36.07,35.96,1605471.0,0.0
2018-05-16,36.38,35.97,35.8401,1.0,36.42,36.38,1739965.0,0.0
2018-05-17,36.38,36.43,36.24,1.0,36.49,36.38,1618327.0,0.0
2018-05-18,35.9,36.24,35.39,1.0,36.25,35.9,2329470.0,0.0
2018-05-21,36.17,36.11,36.04,1.0,36.43,36.17,1749700.0,0.0
2018-05-22,35.84,36.15,35.8,1.0,36.37,35.84,2057134.0,0.0
2018-05-23,35.82,35.84,35.81,1.0,36.2,35.82,3282770.0,0.0
2018-05-24,35.42,34.89,34.12,1.0,35.65,35.42,5729309.0,0.0
2018-05-25,35.86,35.24,35.12,1.0,36.0098,35.86,3656330.0,0.0
2018-05-29,36.51,35.68,35.53,1.0,36.62,36.51,3475165.0,0.0
2018-05-30,37.17,36.57,36.4,1.0,37.22,37.17,2781579.0,0.0
2018-05-31,35.89,37.13,35.79,1.0,37.14,35.89,3468765.0,0.0
2018-06-01,35.79,36.03,35.73,1.0,36.19,35.79,2327898.0,0.0
2018-06-04,36.19,35.83,35.79,1.0,36.225,36.19,1531527.0,0.0
2018-06-05,36.21,36.18,36.0,1.0,36.34,36.21,1453526.0,0.0
2018-06-06,35.66,36.19,35.45,1.0,36.19,35.66,2048313.0,0.0
2018-06-07,35.97,35.38,35.17,1.0,36.24,35.97,2493668.0,0.0
2018-06-08,36.21,35.97,35.94,1.0,36.21,36.21,1682735.0,0.0
2018-06-11,36.61,36.26,36.16,1.0,36.86,36.61,2182509.0,0.0
2018-06-12,36.36,36.86,36.2,1.0,36.96,36.36,2940877.0,0.0
2018-06-13,36.11,36.39,35.8,1.0,36.655,36.11,2524504.0,0.0
2018-06-14,36.11,36.15,35.75,1.0,36.15,36.11,2197580.0,0.0
2018-06-15,36.44,36.08,35.9275,1.0,36.46,36.44,3093340.0,0.0
2018-06-18,35.67,36.33,35.35,1.0,36.39,35.67,2399099.0,0.0
2018-06-19,35.71,35.6,35.42,1.0,35.95,35.71,2739511.0,0.0
2018-06-20,35.59,35.8,35.35,1.0,35.86,35.59,2747753.0,0.0
2018-06-21,35.67,35.57,35.505,1.0,35.92,35.67,1316060.0,0.0
2018-06-22,36.27,35.88,35.66,1.0,36.36,36.27,2735377.0,0.0
2018-06-25,36.64,36.22,36.13,1.0,37.04,36.64,2263143.0,0.0
2018-06-26,37.06,36.7,36.42,1.0,37.18,37.06,3072410.0,0.0
2018-06-27,36.8,37.03,36.49,1.0,37.09,36.8,3379587.0,0.0
2018-06-28,37.07,36.78,36.6,1.0,37.1075,37.07,1592063.0,0.0
