date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,71.8072,70.17,68.8,1.0,72.4,72.27,5831243.0,0.0
2018-02-07,70.2671,70.23,70.23,1.0,72.56,70.72,4418217.0,0.0
2018-02-08,66.5709,70.75,66.97,1.0,70.86,67.0,5785295.0,0.0
2018-02-09,68.0116,67.61,66.92,1.0,69.0,68.45,5324528.0,0.0
2018-02-12,68.1607,68.82,68.17,1.0,69.59,68.6,4146820.0,0.0
2018-02-13,68.6773,68.25,68.04,1.0,69.19,69.12,2523903.0,0.0
2018-02-14,70.6148,68.83,68.73,1.0,71.17,71.07,3167474.0,0.0
2018-02-15,72.0854,71.63,71.11,1.0,72.56,72.55,3223868.0,0.0
2018-02-16,71.2706,72.15,71.13,1.0,72.36,71.73,3374066.0,0.0
2018-02-20,72.3934,72.25,72.16,1.0,74.5,72.86,4172342.0,0.0
2018-02-21,72.3934,72.82,72.61,1.0,74.15,72.86,2636329.0,0.0
2018-02-22,71.0918,73.08,71.19,1.0,73.5,71.55,2585642.0,0.0
2018-02-23,72.0158,71.89,71.84,1.0,72.64,72.48,1878933.0,0.0
2018-02-26,73.069,72.71,72.32,1.0,73.57,73.54,1717054.0,0.0
2018-02-27,72.9597,73.5,73.38,1.0,74.48,73.43,2518851.0,0.0
2018-02-28,72.612,73.69,73.05,1.0,74.34,73.08,2078544.0,0.0
2018-03-01,71.5985,73.04,71.6252,1.0,73.51,72.06,2035637.0,0.0
2018-03-02,72.0754,71.72,71.34,1.0,72.64,72.54,2632204.0,0.0
2018-03-05,72.2145,71.83,71.32,1.0,72.99,72.68,4089711.0,0.0
2018-03-06,72.8703,72.87,72.1201,1.0,73.35,73.34,2789419.0,0.0
2018-03-07,72.7709,72.62,72.196,1.0,73.46,73.24,1615013.0,0.0
2018-03-08,73.8242,73.6,73.08,1.0,74.48,74.3,2751963.0,0.0
2018-03-09,75.245,74.59,74.5,1.0,75.81,75.73,1767219.0,0.0
2018-03-12,75.1854,76.02,75.43,1.0,76.3,75.67,2228409.0,0.0
2018-03-13,74.5793,75.96,74.81,1.0,76.275,75.06,2982143.0,0.0
2018-03-14,74.0726,75.12,74.01,1.0,75.27,74.31,2805638.0,0.24
2018-03-15,74.0227,74.46,73.85,1.0,74.57,74.26,3026619.0,0.0
2018-03-16,74.2919,74.32,73.8693,1.0,74.9,74.53,6090718.0,0.0
2018-03-19,73.8234,74.36,73.69,1.0,74.85,74.06,3346108.0,0.0
2018-03-20,74.1722,74.18,73.98,1.0,74.73,74.41,2934680.0,0.0
2018-03-21,73.7835,74.63,73.53,1.0,74.71,74.02,2104088.0,0.0
2018-03-22,71.5008,73.27,71.67,1.0,73.75,71.73,2612833.0,0.0
2018-03-23,70.0953,71.93,70.29,1.0,72.13,70.32,2414647.0,0.0
2018-03-26,72.7667,71.18,70.94,1.0,73.15,73.0,2880854.0,0.0
2018-03-27,71.5706,73.0,71.3,1.0,73.57,71.8,3082451.0,0.0
2018-03-28,71.2217,71.65,70.76,1.0,72.4575,71.45,2116979.0,0.0
2018-03-29,72.2883,71.72,71.08,1.0,72.89,72.52,3491138.0,0.0
2018-04-02,70.8728,72.49,69.8,1.0,72.8499,71.1,2960831.0,0.0
2018-04-03,72.4179,71.52,71.17,1.0,72.72,72.65,3126156.0,0.0
2018-04-04,72.1587,71.52,71.49,1.0,72.62,72.39,2290170.0,0.0
2018-04-05,72.2982,72.72,72.48,1.0,73.235,72.53,2235202.0,0.0
2018-04-06,70.3943,71.96,70.09,1.0,72.11,70.62,1833224.0,0.0
2018-04-09,70.6635,71.19,70.78,1.0,72.07,70.89,1928913.0,0.0
2018-04-10,72.2384,72.27,71.86,1.0,72.77,72.47,2507839.0,0.0
2018-04-11,71.1619,71.82,71.12,1.0,72.25,71.39,1722895.0,0.0
2018-04-12,72.2285,71.72,71.56,1.0,72.93,72.46,2591038.0,0.0
2018-04-13,72.3082,73.09,72.12,1.0,73.17,72.54,2095329.0,0.0
2018-04-16,72.9462,73.06,72.975,1.0,73.6,73.18,2739817.0,0.0
2018-04-17,73.1954,73.55,73.43,1.0,74.07,73.43,2616775.0,0.0
2018-04-18,74.0825,73.76,73.66,1.0,74.39,74.32,2108203.0,0.0
2018-04-19,74.3816,74.43,74.36,1.0,75.08,74.62,2668555.0,0.0
2018-04-20,74.1324,74.95,73.93,1.0,74.959,74.37,2475632.0,0.0
2018-04-23,73.6838,74.36,73.47,1.0,74.4384,73.92,1491412.0,0.0
2018-04-24,72.7966,74.18,72.56,1.0,74.38,73.03,2160167.0,0.0
2018-04-25,72.9761,72.95,72.44,1.0,73.31,73.21,1643598.0,0.0
2018-04-26,72.7269,73.35,72.42,1.0,73.7049,72.96,2640262.0,0.0
2018-04-27,72.4876,73.04,72.35,1.0,73.18,72.72,1903569.0,0.0
2018-04-30,72.2285,72.9,72.45,1.0,73.7685,72.46,1722710.0,0.0
2018-05-01,72.1089,72.24,71.66,1.0,72.4325,72.34,2174664.0,0.0
2018-05-02,72.1487,72.33,72.13,1.0,73.0499,72.38,3037693.0,0.0
2018-05-03,69.9159,72.0,67.7,1.0,72.0,70.14,7256646.0,0.0
2018-05-04,70.0255,69.36,69.08,1.0,70.59,70.25,3401968.0,0.0
2018-05-07,70.3445,70.26,70.18,1.0,71.05,70.57,3080160.0,0.0
2018-05-08,69.8461,70.44,69.5666,1.0,70.63,70.07,2595772.0,0.0
2018-05-09,71.6404,70.36,70.32,1.0,72.29,71.87,2670337.0,0.0
2018-05-10,71.1519,71.81,71.13,1.0,71.98,71.38,1910505.0,0.0
2018-05-11,71.1918,71.2,70.85,1.0,71.71,71.42,3478552.0,0.0
2018-05-14,71.4908,71.5,71.24,1.0,72.01,71.72,2235205.0,0.0
2018-05-15,71.6703,71.51,71.32,1.0,71.975,71.9,2277020.0,0.0
2018-05-16,72.0391,71.9,71.44,1.0,72.56,72.27,2862323.0,0.0
2018-05-17,72.1687,72.4,71.98,1.0,72.68,72.4,1754206.0,0.0
2018-05-18,71.3214,72.25,71.46,1.0,72.52,71.55,1659961.0,0.0
2018-05-21,72.1288,71.98,71.9,1.0,72.545,72.36,1777075.0,0.0
2018-05-22,71.5207,72.17,71.47,1.0,72.34,71.75,1447362.0,0.0
2018-05-23,71.0423,71.35,70.46,1.0,71.61,71.27,2185771.0,0.0
2018-05-24,71.0423,71.23,70.6,1.0,71.46,71.27,1567664.0,0.0
2018-05-25,70.6336,71.08,70.55,1.0,71.14,70.86,1802722.0,0.0
2018-05-29,69.5969,70.31,69.335,1.0,70.48,69.82,2682097.0,0.0
2018-05-30,71.431,70.48,70.4,1.0,72.04,71.66,3044624.0,0.0
2018-05-31,70.6635,71.5,70.87,1.0,71.94,70.89,3568046.0,0.0
2018-06-01,71.8796,71.62,71.6,1.0,72.28,72.11,2408270.0,0.0
2018-06-04,72.2783,72.37,72.0175,1.0,72.64,72.51,1572116.0,0.0
2018-06-05,73.5442,72.38,72.325,1.0,74.08,73.78,3133108.0,0.0
2018-06-06,75.7372,74.42,74.21,1.0,76.07,75.98,3663033.0,0.0
2018-06-07,75.2488,76.23,75.1,1.0,76.69,75.49,3451655.0,0.0
2018-06-08,75.4182,75.68,75.21,1.0,75.879,75.66,2642236.0,0.0
2018-06-11,75.0893,75.74,74.99,1.0,75.88,75.33,1995948.0,0.0
2018-06-12,75.1989,75.91,74.81,1.0,76.09,75.44,2954694.0,0.0
2018-06-13,74.87,75.59,74.82,1.0,75.64,74.87,1841941.0,0.24
2018-06-14,74.52,75.1,74.255,1.0,75.25,74.52,1906644.0,0.0
2018-06-15,74.36,74.36,73.56,1.0,74.43,74.36,4074586.0,0.0
2018-06-18,74.41,73.9,73.63,1.0,74.44,74.41,1650953.0,0.0
2018-06-19,74.27,73.73,73.575,1.0,74.78,74.27,1757915.0,0.0
2018-06-20,74.61,74.66,74.55,1.0,75.29,74.61,1775065.0,0.0
2018-06-21,74.93,74.8,73.76,1.0,75.06,74.93,1613236.0,0.0
2018-06-22,74.8,75.41,74.75,1.0,75.625,74.8,2092927.0,0.0
2018-06-25,74.3,74.63,73.57,1.0,74.78,74.3,1830057.0,0.0
2018-06-26,74.57,74.36,74.3,1.0,75.27,74.57,1954091.0,0.0
2018-06-27,73.53,74.5,73.525,1.0,74.95,73.53,2760198.0,0.0
2018-06-28,73.71,73.47,73.395,1.0,73.99,73.71,666961.0,0.0
