date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,45.79,44.74,44.27,1.0,45.82,45.79,4026014.0,0.0
2018-02-07,45.17,45.54,45.14,1.0,46.145,45.17,1571268.0,0.0
2018-02-08,43.73,45.22,43.72,1.0,45.25,43.73,2316429.0,0.0
2018-02-09,44.31,44.2,43.07,1.0,44.66,44.31,2171416.0,0.0
2018-02-12,45.21,44.51,44.345,1.0,45.385,45.21,2516593.0,0.0
2018-02-13,45.3,44.96,44.59,1.0,45.38,45.3,1131666.0,0.0
2018-02-14,46.1,45.0,44.76,1.0,46.16,46.1,1587213.0,0.0
2018-02-15,46.54,46.4,45.84,1.0,46.55,46.54,930796.0,0.0
2018-02-16,46.77,46.42,46.385,1.0,47.05,46.77,1336363.0,0.0
2018-02-20,46.6,46.68,46.47,1.0,46.96,46.6,1569387.0,0.0
2018-02-21,46.45,46.7,46.44,1.0,47.27,46.45,1770346.0,0.0
2018-02-22,46.82,46.57,46.52,1.0,47.25,46.82,1755381.0,0.0
2018-02-23,47.43,47.01,46.775,1.0,47.43,47.43,982547.0,0.0
2018-02-26,47.6,47.55,47.0,1.0,47.64,47.6,958923.0,0.0
2018-02-27,47.01,47.57,46.99,1.0,47.7,47.01,1071164.0,0.0
2018-02-28,47.05,47.2,47.04,1.0,47.64,47.05,1847958.0,0.0
2018-03-01,46.06,47.01,45.85,1.0,47.18,46.06,3071320.0,0.0
2018-03-02,46.16,45.87,45.78,1.0,46.41,46.16,3186857.0,0.0
2018-03-05,47.41,46.0,45.765,1.0,47.66,47.41,3070326.0,0.0
2018-03-06,47.51,47.44,47.18,1.0,47.73,47.51,2229695.0,0.0
2018-03-07,47.48,47.29,46.295,1.0,48.0,47.48,2089168.0,0.0
2018-03-08,48.09,47.53,47.43,1.0,48.17,48.09,1488634.0,0.0
2018-03-09,49.06,48.4,48.13,1.0,49.09,49.06,1535635.0,0.0
2018-03-12,49.11,49.0,48.94,1.0,49.49,49.11,1349279.0,0.0
2018-03-13,48.97,49.27,48.87,1.0,49.41,48.97,1246152.0,0.0
