date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,58.5765,58.53,57.2824,1.0,59.76,59.57,4303469.0,0.0
2018-02-07,58.2618,59.33,59.1322,1.0,60.5995,59.25,3841289.0,0.0
2018-02-08,55.1152,59.15,56.0,1.0,59.22,56.05,3701703.0,0.0
2018-02-09,56.246,56.95,55.13,1.0,57.74,57.2,3340114.0,0.0
2018-02-12,56.9147,57.61,57.16,1.0,58.3099,57.88,2558583.0,0.0
2018-02-13,57.0622,57.7,57.02,1.0,58.14,58.03,2240432.0,0.0
2018-02-14,57.4064,57.57,57.43,1.0,58.5,58.38,2029129.0,0.0
2018-02-15,57.6227,58.84,57.83,1.0,58.9705,58.6,2865144.0,0.0
2018-02-16,57.957,58.44,58.29,1.0,59.58,58.94,2312692.0,0.0
2018-02-20,57.4998,58.23,57.86,1.0,59.05,58.0,2794752.0,0.475
2018-02-21,57.8963,58.0,57.8,1.0,59.5,58.4,2282198.0,0.0
2018-02-22,57.8071,58.74,58.16,1.0,59.08,58.31,1437342.0,0.0
2018-02-23,58.9868,58.71,58.42,1.0,59.52,59.5,2237071.0,0.0
2018-02-26,60.0476,59.85,59.52,1.0,60.75,60.57,1453564.0,0.0
2018-02-27,59.6411,60.6,60.16,1.0,61.3,60.16,1824087.0,0.0
2018-02-28,59.0761,60.47,59.56,1.0,60.74,59.59,2354380.0,0.0
2018-03-01,57.8567,59.64,57.953,1.0,59.8656,58.36,2243668.0,0.0
2018-03-02,57.9657,57.99,57.68,1.0,58.67,58.47,1931886.0,0.0
2018-03-05,58.4317,58.11,58.05,1.0,59.17,58.94,1993546.0,0.0
2018-03-06,57.2024,58.34,57.19,1.0,58.605,57.7,4457365.0,0.0
2018-03-07,54.5256,56.04,54.28,1.0,56.18,55.0,7476810.0,0.0
2018-03-08,54.4265,55.0,54.56,1.0,55.38,54.9,3544686.0,0.0
2018-03-09,54.7636,55.05,54.37,1.0,55.32,55.24,3872745.0,0.0
2018-03-12,54.5058,55.51,54.9,1.0,55.8199,54.98,3262246.0,0.0
2018-03-13,54.5256,55.3,54.9,1.0,55.64,55.0,2845386.0,0.0
2018-03-14,54.2778,55.36,54.44,1.0,55.42,54.75,2977807.0,0.0
2018-03-15,53.9506,54.8,54.35,1.0,54.97,54.42,2529154.0,0.0
2018-03-16,54.0994,54.46,54.29,1.0,55.165,54.57,3700978.0,0.0
2018-03-19,52.761,54.5,52.89,1.0,54.59,53.22,2990410.0,0.0
2018-03-20,52.7412,53.51,53.0,1.0,54.04,53.2,2836092.0,0.0
2018-03-21,53.0683,53.2,52.81,1.0,53.93,53.53,2819536.0,0.0
2018-03-22,50.9666,53.0,50.42,1.0,53.15,51.41,2933457.0,0.0
2018-03-23,49.7175,51.66,50.04,1.0,51.97,50.15,3178185.0,0.0
2018-03-26,51.9183,51.26,51.01,1.0,52.565,52.37,4572513.0,0.0
2018-03-27,51.6804,52.42,51.79,1.0,52.9007,52.13,3351239.0,0.0
2018-03-28,51.9282,52.26,52.0922,1.0,53.17,52.38,2797848.0,0.0
2018-03-29,52.9692,52.82,52.82,1.0,53.97,53.43,2871362.0,0.0
2018-04-02,50.689,53.18,50.42,1.0,53.27,51.13,3263993.0,0.0
2018-04-03,52.0571,51.33,51.18,1.0,52.555,52.51,2954767.0,0.0
2018-04-04,52.7114,51.49,51.49,1.0,53.23,53.17,2339735.0,0.0
2018-04-05,52.9692,53.52,53.15,1.0,53.72,53.43,3283766.0,0.0
2018-04-06,51.7201,52.88,51.71,1.0,53.17,52.17,2845636.0,0.0
2018-04-09,51.5416,52.46,51.76,1.0,52.6,51.99,2924452.0,0.0
2018-04-10,52.0571,52.75,52.135,1.0,52.86,52.51,4116305.0,0.0
2018-04-11,51.9877,52.03,51.96,1.0,52.676,52.44,1460134.0,0.0
2018-04-12,52.1364,52.7,52.4,1.0,52.9,52.59,1313331.0,0.0
2018-04-13,52.761,53.08,52.84,1.0,53.45,53.22,1413407.0,0.0
2018-04-16,53.2864,53.5,53.27,1.0,53.98,53.75,1625727.0,0.0
2018-04-17,53.0584,53.53,53.22,1.0,54.02,53.52,1899520.0,0.0
2018-04-18,53.6037,53.73,53.56,1.0,54.29,54.07,2328509.0,0.0
2018-04-19,53.1278,54.06,53.195,1.0,54.17,53.59,1635085.0,0.0
2018-04-20,52.9494,54.01,53.21,1.0,54.18,53.41,1728943.0,0.0
2018-04-23,53.2468,53.5,53.39,1.0,53.86,53.71,1990923.0,0.0
2018-04-24,52.305,53.99,52.45,1.0,54.06,52.76,3193676.0,0.0
2018-04-25,53.0188,52.71,52.01,1.0,53.81,53.48,3456733.0,0.0
2018-04-26,51.9282,53.47,51.83,1.0,54.14,52.38,2644462.0,0.0
2018-04-27,52.1265,52.43,52.43,1.0,53.42,52.58,2535048.0,0.0
2018-04-30,51.1153,52.6,51.47,1.0,52.76,51.56,2682284.0,0.0
2018-05-01,50.6692,51.43,50.21,1.0,51.48,51.11,2900485.0,0.0
2018-05-02,49.7472,51.11,50.0,1.0,51.21,50.18,2491301.0,0.0
2018-05-03,50.7287,50.18,50.03,1.0,51.31,51.17,4594490.0,0.0
2018-05-04,51.7399,50.95,50.82,1.0,52.51,52.19,2278335.0,0.0
2018-05-07,51.4425,51.99,51.14,1.0,52.04,51.89,2289638.0,0.0
2018-05-08,51.264,51.89,51.411,1.0,51.94,51.71,1879412.0,0.0
2018-05-09,51.7399,51.92,51.61,1.0,52.4,52.19,1786207.0,0.0
2018-05-10,52.3843,52.3,52.2506,1.0,53.3,52.84,1432628.0,0.0
2018-05-11,53.1873,52.95,52.84,1.0,53.835,53.65,1839886.0,0.0
2018-05-14,53.7425,53.75,53.49,1.0,54.34,54.21,2621474.0,0.0
2018-05-15,53.3459,54.01,53.01,1.0,54.12,53.81,3179338.0,0.0
2018-05-16,54.5554,54.0,53.96,1.0,55.81,55.03,4568113.0,0.0
2018-05-17,54.5851,54.89,54.88,1.0,55.35,55.06,2358087.0,0.0
2018-05-18,54.486,55.0,54.75,1.0,55.23,54.96,2145602.0,0.0
2018-05-21,54.7636,55.2,54.73,1.0,55.29,55.24,1851427.0,0.0
2018-05-22,55.2097,55.19,54.7332,1.0,55.97,55.69,2967962.0,0.0
2018-05-23,54.7735,55.34,54.591,1.0,55.64,55.25,3250470.0,0.0
2018-05-24,54.6,54.58,53.81,1.0,54.88,54.6,2747671.0,0.475
2018-05-25,54.13,54.45,53.81,1.0,54.65,54.13,1716160.0,0.0
2018-05-29,52.94,53.67,52.64,1.0,53.81,52.94,2179833.0,0.0
2018-05-30,53.89,53.43,53.33,1.0,54.2,53.89,1842035.0,0.0
2018-05-31,53.5,53.92,53.24,1.0,54.33,53.5,2271861.0,0.0
2018-06-01,55.24,55.08,54.52,1.0,55.67,55.24,3564341.0,0.0
2018-06-04,57.27,55.84,55.84,1.0,57.565,57.27,6672961.0,0.0
2018-06-05,57.19,57.67,57.12,1.0,58.58,57.19,6374876.0,0.0
2018-06-06,58.99,58.03,56.84,1.0,59.0,58.99,4790734.0,0.0
2018-06-07,58.61,59.0,58.535,1.0,59.0588,58.61,3586108.0,0.0
2018-06-08,58.81,58.2,58.08,1.0,58.98,58.81,3392418.0,0.0
2018-06-11,59.01,58.87,58.8,1.0,59.4,59.01,2364022.0,0.0
2018-06-12,58.66,59.3,58.56,1.0,59.57,58.66,2820359.0,0.0
2018-06-13,57.2,58.39,57.1,1.0,58.43,57.2,3607734.0,0.0
2018-06-14,56.84,57.49,56.67,1.0,57.57,56.84,3981630.0,0.0
2018-06-15,55.43,56.1,54.95,1.0,56.36,55.43,6759059.0,0.0
2018-06-18,55.86,55.22,55.061,1.0,56.2,55.86,3835110.0,0.0
2018-06-19,54.78,55.4,54.64,1.0,55.58,54.78,2917927.0,0.0
2018-06-20,54.17,54.99,53.91,1.0,54.99,54.17,2896306.0,0.0
2018-06-21,52.87,54.19,52.58,1.0,54.2371,52.87,4280930.0,0.0
2018-06-22,53.0,53.13,52.95,1.0,53.61,53.0,7694469.0,0.0
2018-06-25,53.04,52.98,52.3,1.0,53.22,53.04,2736107.0,0.0
2018-06-26,53.2,53.15,52.91,1.0,53.44,53.2,2264597.0,0.0
2018-06-27,52.87,53.28,52.85,1.0,53.76,52.87,2687468.0,0.0
2018-06-28,52.465,52.7,52.0284,1.0,52.86,52.465,1200138.0,0.0
