date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,98.06,95.21,93.0989,1.0,98.47,98.06,1621334.0,0.0
2018-02-07,98.21,98.19,98.16,1.0,100.25,98.21,904892.0,0.0
2018-02-08,95.23,98.29,95.22,1.0,98.91,95.23,941590.0,0.0
2018-02-09,96.05,96.26,94.12,1.0,96.88,96.05,1183251.0,0.0
2018-02-12,98.63,96.9,95.95,1.0,99.439,98.63,1257163.0,0.0
2018-02-13,100.06,98.1,97.77,1.0,101.23,100.06,1313741.0,0.0
2018-02-14,104.68,100.98,100.0,1.0,108.38,104.68,2270776.0,0.0
2018-02-15,101.57,105.51,99.78,1.0,106.27,101.57,1869338.0,0.0
2018-02-16,101.72,101.39,101.16,1.0,102.5,101.72,1266937.0,0.0
2018-02-20,100.26,101.58,99.78,1.0,102.07,100.26,1300382.0,0.0
2018-02-21,99.76,100.64,99.73,1.0,101.49,99.76,1364059.0,0.0
2018-02-22,98.38,100.02,97.82,1.0,100.75,98.38,1248036.0,0.0
2018-02-23,99.78,98.87,98.21,1.0,99.925,99.78,1397831.0,0.0
2018-02-26,99.97,100.0,98.51,1.0,100.75,99.97,1655956.0,0.0
2018-02-27,99.57,99.97,98.71,1.0,100.9,99.57,1146329.0,0.0
2018-02-28,98.33,99.86,98.29,1.0,100.22,98.33,1764197.0,0.0
2018-03-01,97.2,98.43,96.725,1.0,98.87,97.2,1237524.0,0.0
2018-03-02,98.17,96.94,96.24,1.0,99.52,98.17,989902.0,0.0
2018-03-05,99.69,98.03,96.94,1.0,100.15,99.69,833141.0,0.0
2018-03-06,100.66,99.92,99.63,1.0,100.76,100.66,620596.0,0.0
2018-03-07,101.93,100.74,100.33,1.0,102.33,101.93,773903.0,0.0
2018-03-08,103.25,102.27,101.77,1.0,103.75,103.25,1033460.0,0.0
2018-03-09,105.6,103.78,102.98,1.0,105.66,105.6,916357.0,0.0
2018-03-12,105.93,105.96,105.45,1.0,106.81,105.93,984527.0,0.0
2018-03-13,105.68,106.12,105.1,1.0,106.74,105.68,760841.0,0.0
2018-03-14,104.84,106.08,104.37,1.0,106.32,104.84,1109950.0,0.0
2018-03-15,105.34,105.32,105.005,1.0,106.5,105.34,716626.0,0.0
2018-03-16,105.69,105.27,104.9283,1.0,106.0,105.69,830959.0,0.0
2018-03-19,104.76,105.46,103.95,1.0,105.5,104.76,577159.0,0.0
2018-03-20,104.81,104.57,104.08,1.0,105.09,104.81,562772.0,0.0
2018-03-21,104.11,105.0,104.09,1.0,105.68,104.11,676297.0,0.0
2018-03-22,101.88,103.27,101.59,1.0,104.18,101.88,670677.0,0.0
2018-03-23,99.72,102.06,99.56,1.0,102.49,99.72,843639.0,0.0
2018-03-26,101.66,101.05,99.04,1.0,101.8,101.66,764218.0,0.0
2018-03-27,100.06,102.19,99.46,1.0,102.19,100.06,935535.0,0.0
2018-03-28,98.62,100.09,97.59,1.0,100.09,98.62,1203437.0,0.0
2018-03-29,98.11,99.02,96.46,1.0,99.04,98.11,2042889.0,0.0
2018-04-02,95.7,98.18,94.76,1.0,99.565,95.7,1063671.0,0.0
2018-04-03,95.72,95.84,94.67,1.0,96.49,95.72,1525027.0,0.0
2018-04-04,96.83,95.58,94.65,1.0,97.03,96.83,630257.0,0.0
2018-04-05,97.0,97.6,96.17,1.0,97.6,97.0,845210.0,0.0
2018-04-06,94.85,96.54,94.26,1.0,96.96,94.85,964842.0,0.0
2018-04-09,95.48,94.85,94.55,1.0,96.7,95.48,542392.0,0.0
2018-04-10,96.61,96.31,95.435,1.0,97.51,96.61,671166.0,0.0
2018-04-11,95.98,95.91,95.75,1.0,96.7,95.98,865412.0,0.0
2018-04-12,96.12,96.24,96.09,1.0,97.0,96.12,561074.0,0.0
2018-04-13,97.71,98.5,96.85,1.0,98.5,97.71,894577.0,0.0
2018-04-16,98.04,98.34,97.42,1.0,98.34,98.04,710066.0,0.0
2018-04-17,98.8,98.57,97.8,1.0,99.06,98.8,662979.0,0.0
2018-04-18,99.25,98.88,98.81,1.0,100.3,99.25,844629.0,0.0
2018-04-19,98.07,99.21,97.53,1.0,100.1,98.07,569667.0,0.0
2018-04-20,97.27,98.38,97.02,1.0,98.45,97.27,603898.0,0.0
2018-04-23,98.01,97.44,97.115,1.0,99.08,98.01,1104917.0,0.0
2018-04-24,96.74,97.84,95.905,1.0,98.345,96.74,864890.0,0.0
2018-04-25,96.49,96.56,95.095,1.0,96.99,96.49,548727.0,0.0
2018-04-26,96.5,96.92,96.15,1.0,97.15,96.5,1037132.0,0.0
2018-04-27,96.45,96.4,95.86,1.0,97.0,96.45,936905.0,0.0
2018-04-30,95.76,96.8,95.75,1.0,97.29,95.76,1097680.0,0.0
2018-05-01,97.99,95.64,95.53,1.0,98.81,97.99,1392842.0,0.0
2018-05-02,96.91,97.61,95.56,1.0,99.24,96.91,1581203.0,0.0
2018-05-03,97.3,96.85,95.745,1.0,97.72,97.3,950175.0,0.0
2018-05-04,99.02,96.43,96.36,1.0,99.39,99.02,951784.0,0.0
2018-05-07,98.17,99.22,97.94,1.0,99.68,98.17,1037108.0,0.0
2018-05-08,98.25,97.65,97.65,1.0,99.04,98.25,708904.0,0.0
2018-05-09,99.39,98.53,97.66,1.0,99.42,99.39,579677.0,0.0
2018-05-10,100.93,99.6,98.92,1.0,100.96,100.93,794107.0,0.0
2018-05-11,103.02,100.55,100.55,1.0,103.25,103.02,905085.0,0.0
2018-05-14,102.89,103.11,102.4304,1.0,103.88,102.89,784048.0,0.0
2018-05-15,102.1,102.46,101.63,1.0,103.97,102.1,1220904.0,0.0
2018-05-16,99.13,101.35,91.5701,1.0,101.78,99.13,10720361.0,0.0
2018-05-17,97.83,99.35,97.4,1.0,99.35,97.83,2271330.0,0.0
2018-05-18,101.63,99.84,99.69,1.0,102.07,101.63,4200347.0,0.0
2018-05-21,102.21,101.71,101.42,1.0,103.37,102.21,1434938.0,0.0
2018-05-22,102.63,102.15,101.64,1.0,103.05,102.63,1387080.0,0.0
2018-05-23,102.44,101.81,101.54,1.0,103.15,102.44,1882580.0,0.0
2018-05-24,101.76,102.66,101.65,1.0,103.29,101.76,1223542.0,0.0
2018-05-25,100.5,101.76,100.09,1.0,101.99,100.5,1128663.0,0.0
2018-05-29,99.18,100.18,98.25,1.0,100.43,99.18,1240565.0,0.0
2018-05-30,100.48,99.88,99.7447,1.0,100.87,100.48,968866.0,0.0
2018-05-31,98.93,100.58,98.57,1.0,100.58,98.93,1818753.0,0.0
2018-06-01,100.49,99.46,98.6,1.0,100.58,100.49,669591.0,0.0
2018-06-04,101.24,100.41,99.84,1.0,101.28,101.24,750317.0,0.0
2018-06-05,101.88,101.36,100.44,1.0,101.92,101.88,756797.0,0.0
2018-06-06,103.69,101.8,101.4896,1.0,103.86,103.69,722385.0,0.0
2018-06-07,103.17,103.8,102.48,1.0,103.95,103.17,569757.0,0.0
2018-06-08,104.6,103.28,103.28,1.0,104.91,104.6,1090887.0,0.0
2018-06-11,104.17,104.53,103.83,1.0,104.67,104.17,636373.0,0.0
2018-06-12,104.95,104.16,104.16,1.0,105.23,104.95,705596.0,0.0
2018-06-13,103.36,103.0,102.29,1.0,103.62,103.36,4309684.0,0.0
2018-06-14,103.16,103.77,102.73,1.0,103.9,103.16,1751558.0,0.0
2018-06-15,103.28,102.63,101.81,1.0,103.4,103.28,2575702.0,0.0
2018-06-18,104.88,104.0,103.49,1.0,105.45,104.88,3648112.0,0.0
