date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,31.9778,32.21,32.05,1.0,33.79,33.11,3050156.0,0.0
2018-02-07,32.0454,32.95,32.71,1.0,33.93,33.18,2553613.0,0.0
2018-02-08,30.9734,33.2,32.06,1.0,33.28,32.07,2020289.0,0.0
2018-02-09,31.9681,32.33,31.91,1.0,33.39,33.1,2349936.0,0.0
2018-02-12,32.1613,33.22,32.7,1.0,33.48,33.3,2596419.0,0.0
2018-02-13,32.3931,33.25,32.94,1.0,33.79,33.54,1612596.0,0.0
2018-02-14,32.0551,33.25,32.73,1.0,33.35,33.19,1436544.0,0.0
2018-02-15,32.5669,33.43,33.06,1.0,33.74,33.72,2550643.0,0.0
2018-02-16,32.0357,34.87,33.13,1.0,35.25,33.17,3036165.0,0.0
2018-02-20,31.0216,32.75,31.89,1.0,33.15,32.12,3819550.0,0.0
2018-02-21,30.3939,31.89,31.45,1.0,32.35,31.47,2904235.0,0.0
2018-02-22,30.5001,31.7,31.34,1.0,32.03,31.58,2260723.0,0.0
2018-02-23,30.8671,31.78,31.76,1.0,32.04,31.96,1532965.0,0.0
2018-02-26,30.8575,32.08,31.81,1.0,32.3,31.95,1827745.0,0.0
2018-02-27,29.9882,32.03,31.02,1.0,32.26,31.05,2268387.0,0.0
2018-02-28,30.3842,31.21,30.95,1.0,31.56,31.46,2487705.0,0.0
2018-03-01,30.5484,31.36,31.15,1.0,32.0863,31.63,2161630.0,0.0
2018-03-02,30.4711,31.48,31.1,1.0,31.59,31.55,2046804.0,0.0
2018-03-05,31.0023,31.39,31.26,1.0,32.23,32.1,1724595.0,0.0
2018-03-06,31.2824,32.11,31.88,1.0,32.43,32.39,1310676.0,0.0
2018-03-07,31.5915,32.24,32.14,1.0,32.75,32.71,2005004.0,0.0
2018-03-08,31.5915,32.8,32.52,1.0,32.89,32.71,1584110.0,0.0
2018-03-09,32.113,32.76,32.55,1.0,33.25,33.25,2595775.0,0.0
2018-03-12,31.8812,33.29,32.86,1.0,33.38,33.01,2077870.0,0.0
2018-03-13,32.084,33.14,33.12,1.0,33.37,33.22,1610074.0,0.0
2018-03-14,32.4196,32.71,32.55,1.0,32.99,32.98,1995549.0,0.5875
2018-03-15,32.3312,32.98,32.62,1.0,33.09,32.89,1754290.0,0.0
2018-03-16,31.9675,32.44,31.87,1.0,32.59,32.52,5343807.0,0.0
2018-03-19,30.9255,32.23,31.33,1.0,32.23,31.46,1923289.0,0.0
2018-03-20,31.1909,31.47,31.37,1.0,31.74,31.73,1304035.0,0.0
2018-03-21,31.0729,31.72,31.39,1.0,31.97,31.61,1446775.0,0.0
2018-03-22,31.1024,31.46,31.42,1.0,32.03,31.64,2222089.0,0.0
2018-03-23,30.3652,31.67,30.78,1.0,31.87,30.89,1799698.0,0.0
2018-03-26,30.7387,31.12,30.95,1.0,31.35,31.27,1242562.0,0.0
2018-03-27,31.358,31.53,31.25,1.0,32.36,31.9,2193041.0,0.0
2018-03-28,32.1542,32.04,32.03,1.0,33.02,32.71,1776455.0,0.0
2018-03-29,32.3017,32.8,32.7,1.0,33.09,32.86,1901671.0,0.0
2018-04-02,31.82,32.87,32.33,1.0,32.95,32.37,2050578.0,0.0
2018-04-03,32.2624,32.43,32.15,1.0,32.96,32.82,1569902.0,0.0
2018-04-04,32.7342,32.54,32.5001,1.0,33.47,33.3,1390582.0,0.0
2018-04-05,33.1962,33.34,33.12,1.0,33.83,33.77,1680222.0,0.0
2018-04-06,32.9603,33.77,33.47,1.0,34.3146,33.53,2219906.0,0.0
