date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,408.33,390.68,385.511,1.0,412.57,408.33,1546270.0,0.0
2018-02-07,399.53,407.12,396.34,1.0,410.88,399.53,763049.0,0.0
2018-02-08,381.87,400.48,381.6,1.0,400.645,381.87,1118342.0,0.0
2018-02-09,392.91,386.93,380.0,1.0,396.83,392.91,1205740.0,0.0
2018-02-12,398.51,395.5,391.61,1.0,401.88,398.51,833324.0,0.0
2018-02-13,402.0,396.66,394.0,1.0,402.895,402.0,472189.0,0.0
2018-02-14,409.89,397.51,397.51,1.0,411.2072,409.89,491162.0,0.0
2018-02-15,418.56,413.0,410.0,1.0,418.81,418.56,516706.0,0.0
2018-02-16,415.98,418.56,414.46,1.0,421.13,415.98,452637.0,0.0
2018-02-20,421.76,415.51,415.46,1.0,427.38,421.76,890010.0,0.0
2018-02-21,416.56,421.29,416.3,1.0,426.81,416.56,586581.0,0.0
2018-02-22,419.79,419.72,418.39,1.0,425.95,419.79,559641.0,0.0
2018-02-23,427.51,421.31,418.972,1.0,427.75,427.51,460425.0,0.0
2018-02-26,432.0,430.0,426.0592,1.0,432.935,432.0,450207.0,0.0
2018-02-27,430.98,433.0,429.4068,1.0,435.4,430.98,639452.0,0.0
2018-02-28,426.45,431.46,426.21,1.0,436.21,426.45,593563.0,0.0
2018-03-01,412.13,428.44,409.89,1.0,428.85,412.13,924998.0,0.0
2018-03-02,417.39,409.57,406.17,1.0,418.35,417.39,546005.0,0.0
2018-03-05,424.25,413.22,412.36,1.0,426.11,424.25,579339.0,0.0
2018-03-06,426.5,426.01,423.46,1.0,432.11,426.5,584594.0,0.0
2018-03-07,430.46,422.7,421.365,1.0,432.16,430.46,772822.0,0.0
2018-03-08,432.36,430.88,428.97,1.0,433.33,432.36,380946.0,0.0
2018-03-09,440.46,434.0,434.0,1.0,444.96,440.46,699831.0,0.0
2018-03-12,438.95,440.53,438.03,1.0,445.1,438.95,740406.0,0.0
2018-03-13,440.22,441.62,437.96,1.0,444.7,440.22,549057.0,0.0
2018-03-14,440.77,442.38,439.1,1.0,444.9,440.77,605754.0,0.0
2018-03-15,441.95,440.0,437.05,1.0,444.16,441.95,431999.0,0.0
2018-03-16,435.86,443.37,433.81,1.0,444.5,435.86,863309.0,0.0
2018-03-19,426.86,433.28,421.59,1.0,436.1,426.86,636414.0,0.0
2018-03-20,430.19,428.74,427.06,1.0,433.1389,430.19,580899.0,0.0
2018-03-21,424.99,430.41,422.53,1.0,431.7,424.99,486980.0,0.0
2018-03-22,413.9,420.95,413.62,1.0,424.13,413.9,662360.0,0.0
2018-03-23,399.15,414.51,398.81,1.0,418.19,399.15,987837.0,0.0
2018-03-26,415.12,407.78,403.75,1.0,415.47,415.12,1130882.0,0.0
2018-03-27,405.22,416.31,402.08,1.0,418.83,405.22,640603.0,0.0
2018-03-28,402.39,406.39,397.2146,1.0,408.615,402.39,728450.0,0.0
2018-03-29,412.83,403.67,401.33,1.0,421.92,412.83,960221.0,0.0
2018-04-02,400.89,412.26,394.37,1.0,414.865,400.89,756018.0,0.0
2018-04-03,403.47,402.74,396.61,1.0,405.7391,403.47,621583.0,0.0
2018-04-04,401.92,398.0,393.57,1.0,404.21,401.92,1627556.0,0.0
2018-04-05,406.12,406.39,403.48,1.0,410.1,406.12,1004119.0,0.0
2018-04-06,396.55,403.52,394.0,1.0,406.8,396.55,627621.0,0.0
2018-04-09,405.65,400.89,400.06,1.0,413.45,405.65,542992.0,0.0
2018-04-10,418.7,411.61,410.0092,1.0,421.31,418.7,779948.0,0.0
2018-04-11,412.12,414.83,410.77,1.0,416.93,412.12,495186.0,0.0
2018-04-12,415.05,414.07,412.86,1.0,418.42,415.05,758162.0,0.0
2018-04-13,414.63,418.0,411.81,1.0,420.66,414.63,470072.0,0.0
2018-04-16,418.38,419.7,417.68,1.0,422.92,418.38,606555.0,0.0
2018-04-17,435.45,423.42,420.01,1.0,436.7,435.45,1344581.0,0.0
2018-04-18,471.03,453.75,448.9115,1.0,473.79,471.03,3474548.0,0.0
2018-04-19,462.71,467.01,458.18,1.0,468.0,462.71,1714788.0,0.0
