date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,124.02,119.73,116.88,1.0,124.92,124.02,2661841.0,0.0
2018-02-07,119.45,123.13,119.41,1.0,123.98,119.45,1632811.0,0.0
2018-02-08,114.26,120.0,114.22,1.0,120.0,114.26,1121403.0,0.0
2018-02-09,115.49,115.22,112.0508,1.0,117.0,115.49,1586192.0,0.0
2018-02-12,118.24,116.32,115.93,1.0,118.89,118.24,851910.0,0.0
2018-02-13,118.85,117.45,116.97,1.0,118.9,118.85,635339.0,0.0
2018-02-14,120.46,118.19,117.97,1.0,121.265,120.46,1071836.0,0.0
2018-02-15,117.93,121.37,117.7,1.0,121.37,117.93,1285393.0,0.0
2018-02-16,118.04,117.62,116.83,1.0,118.61,118.04,744853.0,0.0
2018-02-20,115.97,117.69,115.65,1.0,118.12,115.97,737608.0,0.0
2018-02-21,114.1,116.16,114.03,1.0,116.81,114.1,999470.0,0.0
2018-02-22,115.54,114.61,114.23,1.0,116.99,115.54,692411.0,0.0
2018-02-23,116.99,116.0,114.98,1.0,117.05,116.99,549229.0,0.0
2018-02-26,117.96,117.81,115.04,1.0,118.27,117.96,793008.0,0.0
2018-02-27,115.93,117.9,115.78,1.0,118.15,115.93,509057.0,0.0
2018-02-28,113.41,116.56,113.4,1.0,116.7,113.41,899605.0,0.0
2018-03-01,113.77,113.51,111.57,1.0,114.171,113.77,1321276.0,0.0
2018-03-02,116.65,113.07,112.56,1.0,117.07,116.65,1124140.0,0.0
2018-03-05,119.38,115.87,115.5,1.0,119.7,119.38,1152255.0,0.0
2018-03-06,120.96,119.6,118.6955,1.0,121.17,120.96,1034383.0,0.0
2018-03-07,122.96,119.8,119.725,1.0,123.41,122.96,950800.0,0.0
2018-03-08,120.55,123.45,120.185,1.0,123.61,120.55,577938.0,0.0
2018-03-09,122.81,121.14,120.72,1.0,122.88,122.81,607687.0,0.0
2018-03-12,124.08,123.24,122.8,1.0,124.41,124.08,575405.0,0.0
2018-03-13,124.33,124.52,123.63,1.0,124.7,124.33,635511.0,0.0
2018-03-14,123.21,124.55,122.25,1.0,124.65,123.21,705350.0,0.0
