date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,163.3121,158.21,156.261,1.0,165.0,164.14,2470395.0,0.0
2018-02-07,162.6156,163.65,163.12,1.0,167.65,163.44,1627791.0,0.0
2018-02-08,155.3624,163.4,155.97,1.0,163.91,156.15,2045035.0,0.0
2018-02-09,159.3223,158.19,154.65,1.0,161.55,160.13,2209257.0,0.0
2018-02-12,160.6058,161.02,159.34,1.0,163.23,161.42,1740148.0,0.0
2018-02-13,161.0336,160.37,160.2201,1.0,162.34,161.85,1205037.0,0.0
2018-02-14,161.6505,160.49,160.39,1.0,163.13,162.47,1294050.0,0.0
2018-02-15,162.536,163.5,161.55,1.0,164.2,163.36,1070528.0,0.0
2018-02-16,161.7301,162.92,162.32,1.0,164.82,162.55,1602871.0,0.0
2018-02-20,160.5262,161.59,160.645,1.0,163.04,161.34,1532032.0,0.0
2018-02-21,160.4466,161.57,161.22,1.0,164.35,161.26,1198715.0,0.0
2018-02-22,162.4962,162.28,161.55,1.0,164.99,163.32,1251253.0,0.0
2018-02-23,163.133,164.46,162.4642,1.0,164.83,163.96,758408.0,0.0
2018-02-26,164.6155,164.12,163.5,1.0,165.75,165.45,977123.0,0.0
2018-02-27,162.4166,165.45,163.19,1.0,167.04,163.24,762150.0,0.0
2018-02-28,160.6257,163.77,161.43,1.0,164.65,161.44,1161025.0,0.0
2018-03-01,157.6408,161.56,157.44,1.0,162.66,158.44,1871553.0,0.0
2018-03-02,157.7602,157.5,156.29,1.0,159.14,158.56,1412155.0,0.0
2018-03-05,158.8746,157.94,156.95,1.0,160.46,159.68,1840257.0,0.0
2018-03-06,160.8346,160.59,159.75,1.0,161.91,161.65,1230458.0,0.0
2018-03-07,162.1778,159.74,159.05,1.0,163.73,163.0,1194744.0,0.0
2018-03-08,165.4114,164.31,163.59,1.0,166.62,166.25,2396320.0,0.0
2018-03-09,169.441,167.18,166.53,1.0,171.09,170.3,2191856.0,0.0
2018-03-12,168.3466,170.5,167.8375,1.0,170.69,169.2,1787324.0,0.0
2018-03-13,169.0729,169.79,169.4,1.0,171.68,169.93,1627352.0,0.0
2018-03-14,168.4859,170.72,168.6,1.0,171.24,169.34,2172280.0,0.0
2018-03-15,169.3216,169.68,169.1,1.0,171.83,170.18,1163913.0,0.0
2018-03-16,170.0977,170.64,169.7,1.0,171.83,170.96,1918768.0,0.0
2018-03-19,166.7845,170.23,165.85,1.0,170.65,167.63,1256719.0,0.0
2018-03-20,166.9536,168.1,167.12,1.0,169.1,167.8,1395535.0,0.0
2018-03-21,167.3715,167.8,166.75,1.0,170.1,168.22,1235491.0,0.0
2018-03-22,161.9291,166.55,162.365,1.0,167.14,162.75,1272732.0,0.0
2018-03-23,156.1186,163.06,156.67,1.0,164.03,156.91,1866978.0,0.0
2018-03-26,159.2029,160.14,156.4,1.0,160.63,160.01,1506364.0,0.0
2018-03-27,154.855,160.36,154.61,1.0,160.59,155.64,1565442.0,0.0
2018-03-28,153.86,155.3,153.07,1.0,156.1178,153.86,1891022.0,0.78
2018-03-29,156.66,154.86,154.41,1.0,158.4,156.66,1148767.0,0.0
2018-04-02,152.86,155.7,150.74,1.0,155.99,152.86,2008771.0,0.0
2018-04-03,155.36,153.63,152.56,1.0,155.49,155.36,1582707.0,0.0
2018-04-04,158.03,151.87,151.64,1.0,158.31,158.03,1868876.0,0.0
2018-04-05,158.72,158.95,157.74,1.0,160.08,158.72,1493654.0,0.0
2018-04-06,152.6,157.09,151.34,1.0,157.65,152.6,1514755.0,0.0
2018-04-09,152.59,153.92,152.33,1.0,155.82,152.59,1011861.0,0.0
2018-04-10,156.26,156.19,154.44,1.0,157.51,156.26,1917209.0,0.0
2018-04-11,154.5,154.64,153.66,1.0,155.6,154.5,898888.0,0.0
2018-04-12,155.74,155.43,155.02,1.0,156.85,155.74,933491.0,0.0
2018-04-13,155.02,157.01,154.37,1.0,157.14,155.02,731953.0,0.0
2018-04-16,156.36,156.58,155.485,1.0,156.94,156.36,836356.0,0.0
2018-04-17,157.97,157.28,156.81,1.0,158.6,157.97,802681.0,0.0
2018-04-18,159.4,158.68,157.25,1.0,160.21,159.4,1269998.0,0.0
2018-04-19,159.09,159.32,157.54,1.0,159.65,159.09,976363.0,0.0
2018-04-20,158.29,159.06,157.58,1.0,159.665,158.29,1181326.0,0.0
2018-04-23,156.6,158.44,156.17,1.0,158.89,156.6,1128575.0,0.0
2018-04-24,149.65,157.18,147.59,1.0,157.99,149.65,2220628.0,0.0
2018-04-25,151.6,149.63,147.7,1.0,152.45,151.6,2070935.0,0.0
2018-04-26,141.41,148.83,140.44,1.0,148.84,141.41,4182644.0,0.0
2018-04-27,142.57,142.58,140.37,1.0,143.61,142.57,2946460.0,0.0
2018-04-30,142.02,143.64,141.93,1.0,145.0,142.02,2307635.0,0.0
2018-05-01,144.0,141.07,138.81,1.0,144.0,144.0,2667868.0,0.0
2018-05-02,143.11,143.25,142.94,1.0,145.37,143.11,2073827.0,0.0
2018-05-03,144.29,141.85,141.0,1.0,145.1,144.29,2312833.0,0.0
2018-05-04,145.47,144.04,142.77,1.0,146.38,145.47,1462368.0,0.0
2018-05-07,144.79,145.73,144.25,1.0,146.48,144.79,1289103.0,0.0
2018-05-08,144.49,143.27,143.17,1.0,145.74,144.49,1352490.0,0.0
2018-05-09,146.47,145.16,143.95,1.0,146.7533,146.47,1246818.0,0.0
2018-05-10,145.82,146.89,145.13,1.0,146.98,145.82,1246619.0,0.0
2018-05-11,145.79,146.17,145.34,1.0,147.179,145.79,1084940.0,0.0
2018-05-14,145.5,146.19,145.0,1.0,146.81,145.5,1273632.0,0.0
2018-05-15,145.96,144.74,144.15,1.0,146.1,145.96,1596818.0,0.0
2018-05-16,144.31,145.97,143.7802,1.0,146.56,144.31,1859876.0,0.0
2018-05-17,145.77,144.3,144.2,1.0,146.62,145.77,1448217.0,0.0
2018-05-18,146.8,145.82,145.59,1.0,147.62,146.8,1864505.0,0.0
2018-05-21,149.73,148.07,148.02,1.0,150.75,149.73,1658505.0,0.0
2018-05-22,147.26,149.67,147.18,1.0,150.71,147.26,1272056.0,0.0
2018-05-23,148.06,146.61,145.75,1.0,148.16,148.06,1146394.0,0.0
2018-05-24,147.36,147.6,146.25,1.0,148.27,147.36,889296.0,0.0
2018-05-25,147.43,146.55,146.48,1.0,148.21,147.43,671762.0,0.0
2018-05-29,144.02,145.94,143.49,1.0,146.33,144.02,1634752.0,0.0
2018-05-30,145.73,144.84,144.57,1.0,146.41,145.73,1115815.0,0.0
2018-05-31,143.7,145.99,142.81,1.0,146.09,143.7,2677818.0,0.0
2018-06-01,146.96,145.04,145.01,1.0,147.75,146.96,1266118.0,0.0
2018-06-04,146.2,147.48,146.13,1.0,147.965,146.2,1170012.0,0.0
2018-06-05,145.64,146.36,145.0,1.0,146.725,145.64,1987756.0,0.0
2018-06-06,147.18,146.15,145.27,1.0,147.2,147.18,1333784.0,0.0
2018-06-07,148.22,147.2,147.09,1.0,148.5,148.22,886708.0,0.0
2018-06-08,147.76,148.19,147.07,1.0,148.49,147.76,1199162.0,0.0
2018-06-11,149.18,148.03,148.03,1.0,149.77,149.18,1130286.0,0.0
2018-06-12,149.94,149.63,148.3,1.0,150.04,149.94,945560.0,0.0
2018-06-13,148.69,149.71,148.61,1.0,150.61,148.69,2243785.0,0.0
2018-06-14,148.89,149.12,148.66,1.0,151.25,148.89,1469670.0,0.0
2018-06-15,148.65,147.88,145.44,1.0,149.31,148.65,3289980.0,0.0
2018-06-18,145.72,146.89,145.33,1.0,147.65,145.72,1379536.0,0.0
2018-06-19,143.11,144.1,142.25,1.0,144.7,143.11,1866868.0,0.0
2018-06-20,142.97,143.21,142.36,1.0,143.63,142.97,1313153.0,0.0
2018-06-21,140.76,142.22,140.4,1.0,142.62,140.76,1633497.0,0.0
2018-06-22,141.46,141.91,141.11,1.0,143.37,141.46,2505190.0,0.0
2018-06-25,140.96,140.91,139.32,1.0,141.42,140.96,1631671.0,0.0
2018-06-26,140.95,141.78,140.78,1.0,142.31,140.95,2005509.0,0.0
2018-06-27,141.0,141.39,140.7572,1.0,143.56,141.0,1474811.0,0.0
2018-06-28,138.52,140.47,136.95,1.0,140.98,138.52,942385.0,0.0
