date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,32.9672,32.39,32.08,1.0,33.86,33.61,6412809.0,0.0
2018-02-07,32.8201,33.54,33.43,1.0,34.36,33.46,4162831.0,0.0
2018-02-08,31.3096,33.45,31.92,1.0,33.53,31.92,4143576.0,0.0
2018-02-09,31.8196,32.4,31.24,1.0,32.73,32.44,5316685.0,0.0
2018-02-12,31.8981,32.72,32.1537,1.0,32.95,32.52,2715961.0,0.0
2018-02-13,31.8883,32.49,32.31,1.0,33.01,32.51,3180873.0,0.0
2018-02-14,32.8201,32.06,31.92,1.0,33.19,33.17,3932443.0,0.29
2018-02-15,32.8399,33.4,32.86,1.0,33.81,33.19,3747809.0,0.0
2018-02-16,33.5622,33.12,33.02,1.0,34.05,33.92,4801236.0,0.0
2018-02-20,32.8597,33.71,33.05,1.0,34.03,33.21,4281635.0,0.0
2018-02-21,32.8696,33.34,33.2,1.0,33.95,33.22,3769741.0,0.0
2018-02-22,32.5925,33.36,32.85,1.0,33.6,32.94,3783075.0,0.0
2018-02-23,32.8399,33.06,32.8,1.0,33.2,33.19,2230435.0,0.0
2018-02-26,33.483,33.43,33.14,1.0,33.88,33.84,2636577.0,0.0
2018-02-27,32.6717,33.75,33.01,1.0,34.0,33.02,3266875.0,0.0
2018-02-28,32.1968,33.25,32.52,1.0,33.515,32.54,4098235.0,0.0
2018-03-01,31.4745,32.55,31.57,1.0,32.74,31.81,4218443.0,0.0
2018-03-02,31.8702,31.64,31.44,1.0,32.28,32.21,3727600.0,0.0
2018-03-05,32.3254,32.11,31.8,1.0,32.9,32.67,3225602.0,0.0
2018-03-06,32.7706,32.93,32.57,1.0,33.225,33.12,3012752.0,0.0
2018-03-07,32.9883,32.74,32.7,1.0,33.38,33.34,4082329.0,0.0
2018-03-08,33.5424,33.37,33.2,1.0,33.96,33.9,5522825.0,0.0
2018-03-09,34.1559,34.24,33.795,1.0,34.57,34.52,3514480.0,0.0
2018-03-12,34.1559,34.61,34.47,1.0,35.03,34.52,4189639.0,0.0
2018-03-13,33.7502,34.64,33.97,1.0,34.885,34.11,2831723.0,0.0
2018-03-14,32.9191,34.23,33.205,1.0,34.23,33.27,4175675.0,0.0
2018-03-15,32.5727,33.35,32.605,1.0,33.37,32.92,5065433.0,0.0
2018-03-16,32.8498,33.05,33.04,1.0,33.47,33.2,10855867.0,0.0
2018-03-19,32.2957,33.11,32.29,1.0,33.2,32.64,3390495.0,0.0
2018-03-20,32.1869,32.79,32.415,1.0,32.85,32.53,2888729.0,0.0
2018-03-21,32.5925,32.58,32.54,1.0,33.55,32.94,3744124.0,0.0
2018-03-22,31.1182,32.45,31.36,1.0,32.62,31.45,3983274.0,0.0
2018-03-23,30.3959,31.53,30.66,1.0,31.71,30.72,2925322.0,0.0
2018-03-26,31.7911,31.4,31.06,1.0,32.18,32.13,3999667.0,0.0
2018-03-27,31.0292,32.17,31.06,1.0,32.24,31.36,3904282.0,0.0
2018-03-28,31.1479,31.5,31.12,1.0,31.71,31.48,5263757.0,0.0
2018-03-29,31.6723,31.7,31.49,1.0,32.259,32.01,2217868.0,0.0
2018-04-02,30.5147,31.81,30.19,1.0,31.81,30.84,4322213.0,0.0
2018-04-03,30.9797,31.08,30.8,1.0,31.45,31.31,3653470.0,0.0
2018-04-04,31.3854,30.74,30.51,1.0,31.81,31.72,3176305.0,0.0
2018-04-05,31.4448,31.9,31.48,1.0,32.01,31.78,2438635.0,0.0
2018-04-06,30.3762,31.28,30.38,1.0,31.51,30.7,3526584.0,0.0
2018-04-09,30.3267,30.92,30.6,1.0,31.45,30.65,2481556.0,0.0
2018-04-10,30.9401,31.17,31.01,1.0,31.49,31.27,2737437.0,0.0
2018-04-11,30.2772,30.83,30.49,1.0,31.08,30.6,3271447.0,0.0
2018-04-12,30.4949,30.87,30.69,1.0,31.135,30.82,2599973.0,0.0
2018-04-13,30.208,30.99,30.39,1.0,31.06,30.53,2325686.0,0.0
2018-04-16,30.5246,30.78,30.65,1.0,31.12,30.85,2328046.0,0.0
2018-04-17,30.8016,31.16,30.95,1.0,31.41,31.13,2335228.0,0.0
2018-04-18,30.7818,31.2,31.09,1.0,31.53,31.11,2989551.0,0.0
2018-04-19,30.8907,31.15,30.905,1.0,31.41,31.22,1977942.0,0.0
2018-04-20,30.7324,31.3,30.72,1.0,31.47,31.06,3115460.0,0.0
2018-04-23,30.673,31.08,30.86,1.0,31.47,31.0,2894954.0,0.0
2018-04-24,30.3267,31.18,30.45,1.0,31.28,30.65,2691758.0,0.0
2018-04-25,30.4157,30.52,30.48,1.0,31.01,30.74,3808596.0,0.0
2018-04-26,29.5351,30.4,29.19,1.0,30.43,29.85,5975401.0,0.0
2018-04-27,29.2779,29.64,29.27,1.0,29.78,29.59,3729672.0,0.0
2018-04-30,28.6644,29.67,28.93,1.0,29.84,28.97,4081193.0,0.0
2018-05-01,28.14,28.84,28.04,1.0,29.015,28.44,4786054.0,0.0
2018-05-02,27.8432,28.44,28.08,1.0,28.48,28.14,2861372.0,0.0
2018-05-03,27.6651,28.0,27.35,1.0,28.05,27.96,3384717.0,0.0
2018-05-04,28.0905,27.77,27.6993,1.0,28.73,28.39,2704143.0,0.0
2018-05-07,28.1697,28.48,28.12,1.0,28.59,28.47,3380409.0,0.0
2018-05-08,27.8432,28.37,27.835,1.0,28.44,28.14,3746923.0,0.0
2018-05-09,27.6849,28.32,27.63,1.0,28.37,27.98,9792903.0,0.0
2018-05-10,28.14,27.81,27.79,1.0,28.42,28.14,3847022.0,0.3
2018-05-11,28.2,28.23,27.945,1.0,28.34,28.2,2690289.0,0.0
2018-05-14,28.55,28.26,28.18,1.0,28.68,28.55,3509680.0,0.0
2018-05-15,28.41,28.33,28.3,1.0,28.53,28.41,2391695.0,0.0
2018-05-16,28.51,28.35,28.33,1.0,28.795,28.51,2063128.0,0.0
2018-05-17,28.65,28.5,28.38,1.0,28.85,28.65,2074237.0,0.0
2018-05-18,28.63,28.65,28.44,1.0,28.72,28.63,2791708.0,0.0
2018-05-21,28.61,28.88,28.55,1.0,28.9101,28.61,2025813.0,0.0
2018-05-22,28.8,28.71,28.64,1.0,28.98,28.8,2514389.0,0.0
2018-05-23,28.43,28.6,28.22,1.0,28.68,28.43,2052827.0,0.0
2018-05-24,28.29,28.27,27.635,1.0,28.4,28.29,2870783.0,0.0
2018-05-25,28.25,28.13,28.08,1.0,28.44,28.25,1603521.0,0.0
2018-05-29,27.08,27.83,26.93,1.0,27.925,27.08,3364993.0,0.0
2018-05-30,27.48,27.39,27.2,1.0,27.6,27.48,2469286.0,0.0
2018-05-31,27.32,27.45,27.15,1.0,27.535,27.32,3750810.0,0.0
2018-06-01,27.72,27.7,27.59,1.0,27.92,27.72,2580045.0,0.0
2018-06-04,27.5,27.8,27.46,1.0,27.84,27.5,2872698.0,0.0
2018-06-05,27.46,27.55,27.26,1.0,27.69,27.46,4508813.0,0.0
2018-06-06,27.83,27.7,27.57,1.0,27.89,27.83,3867843.0,0.0
2018-06-07,27.76,27.99,27.59,1.0,28.23,27.76,2466391.0,0.0
