date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,37.0718,36.91,36.46,1.0,38.0,37.62,7396644.0,0.0
2018-02-07,37.0521,37.51,37.45,1.0,38.235,37.6,5143066.0,0.0
2018-02-08,36.0174,37.61,36.53,1.0,37.72,36.55,5352640.0,0.0
2018-02-09,35.7612,36.97,35.43,1.0,37.13,36.29,7982202.0,0.0
2018-02-12,36.8648,36.58,36.5201,1.0,37.63,37.41,8804625.0,0.0
2018-02-13,36.8451,37.26,37.13,1.0,37.82,37.39,4490911.0,0.0
2018-02-14,36.9634,37.1,37.1,1.0,37.68,37.51,7110967.0,0.0
2018-02-15,37.6335,37.75,37.45,1.0,38.26,38.19,6694697.0,0.0
2018-02-16,37.8601,38.17,38.09,1.0,38.84,38.42,4975067.0,0.0
2018-02-20,37.3181,38.19,37.75,1.0,38.47,37.87,3547140.0,0.0
2018-02-21,37.2984,37.86,37.82,1.0,38.55,37.85,2900277.0,0.0
2018-02-22,37.4265,38.1,37.83,1.0,38.675,37.98,3353522.0,0.0
2018-02-23,38.2543,38.13,38.05,1.0,38.85,38.82,3274752.0,0.0
2018-02-26,38.1755,38.87,38.4,1.0,39.0,38.74,3043915.0,0.0
2018-02-27,37.466,38.73,38.02,1.0,38.99,38.02,3517643.0,0.0
2018-02-28,36.3327,38.03,36.865,1.0,38.1792,36.87,4511939.0,0.0
2018-03-01,35.3768,36.87,35.06,1.0,36.87,35.9,9791625.0,0.0
2018-03-02,35.7415,35.51,34.99,1.0,36.35,36.27,6717177.0,0.0
2018-03-05,36.382,36.08,36.04,1.0,37.02,36.92,5658790.0,0.0
2018-03-06,36.8451,37.05,36.87,1.0,37.54,37.39,3705579.0,0.0
2018-03-07,36.5298,36.92,36.33,1.0,37.15,37.07,4190371.0,0.0
2018-03-08,37.0816,37.18,37.03,1.0,37.65,37.63,3840470.0,0.0
2018-03-09,37.9784,37.81,37.67,1.0,38.54,38.54,3016616.0,0.0
2018-03-12,38.136,39.25,38.43,1.0,39.51,38.7,5994352.0,0.0
2018-03-13,38.3134,39.01,38.81,1.0,39.69,38.88,4577121.0,0.0
2018-03-14,36.6776,39.05,37.15,1.0,39.05,37.22,7567487.0,0.0
2018-03-15,36.5101,37.29,36.77,1.0,37.34,37.05,5241651.0,0.0
2018-03-16,36.4214,36.73,36.56,1.0,36.91,36.7,7011590.0,0.26
2018-03-19,36.1336,36.69,36.13,1.0,36.86,36.41,4099670.0,0.0
2018-03-20,35.5779,36.43,35.61,1.0,36.51,35.85,6981216.0,0.0
2018-03-21,36.0542,35.98,35.85,1.0,36.76,36.33,4144533.0,0.0
2018-03-22,35.2305,36.02,35.43,1.0,36.415,35.5,6090431.0,0.0
2018-03-23,34.0694,35.5,34.21,1.0,35.69,34.33,5418509.0,0.0
2018-03-26,34.6748,34.72,33.89,1.0,35.0,34.94,5376671.0,0.0
2018-03-27,34.0595,34.86,34.09,1.0,35.12,34.32,4580115.0,0.0
2018-03-28,34.0297,34.43,33.92,1.0,34.56,34.29,6098111.0,0.0
2018-03-29,34.9725,34.42,34.42,1.0,35.475,35.24,4209254.0,0.0
2018-04-02,33.6724,35.06,33.55,1.0,35.14,33.93,4588478.0,0.0
2018-04-03,34.1686,33.98,33.57,1.0,34.46,34.43,4654956.0,0.0
2018-04-04,34.7343,33.91,33.77,1.0,35.09,35.0,4005510.0,0.0
2018-04-05,34.3373,34.16,33.92,1.0,35.14,34.6,5741054.0,0.0
2018-04-06,33.3846,34.42,33.43,1.0,34.52,33.64,4806239.0,0.0
