date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,63.8396,59.45,56.55,1.0,65.0,64.14,2536584.0,0.0
2018-02-07,65.7009,64.1,62.92,1.0,67.1,66.01,2075020.0,0.0
2018-02-08,62.5258,66.14,62.81,1.0,66.26,62.82,3531468.0,0.0
2018-02-09,61.9386,63.66,60.35,1.0,63.66,62.23,2028297.0,0.0
2018-02-12,62.7945,62.99,61.47,1.0,63.9,63.09,2032904.0,0.0
2018-02-13,61.9784,62.45,61.48,1.0,63.01,62.27,1327143.0,0.0
2018-02-14,63.3619,61.58,61.32,1.0,63.775,63.66,1668965.0,0.0
2018-02-15,63.5609,64.0,62.77,1.0,64.11,63.71,1508470.0,0.15
2018-02-16,63.0422,63.4,63.136,1.0,64.3,63.19,1436600.0,0.0
2018-02-20,62.3238,62.76,62.11,1.0,63.48,62.47,982934.0,0.0
2018-02-21,61.9148,62.4,62.05,1.0,63.51,62.06,1298125.0,0.0
2018-02-22,62.4535,62.48,62.08,1.0,63.84,62.6,994848.0,0.0
2018-02-23,62.2041,62.91,61.235,1.0,63.26,62.35,1873713.0,0.0
2018-02-26,62.8626,62.68,61.89,1.0,63.25,63.01,951438.0,0.0
2018-02-27,61.5955,62.92,61.72,1.0,63.64,61.74,2077899.0,0.0
2018-02-28,60.9171,62.18,61.05,1.0,62.62,61.06,2224211.0,0.0
2018-03-01,59.2012,60.91,59.17,1.0,61.04,59.34,1656937.0,0.0
2018-03-02,59.8995,58.56,58.29,1.0,60.16,60.04,1569448.0,0.0
2018-03-05,59.9694,59.52,59.28,1.0,60.62,60.11,1179896.0,0.0
2018-03-06,60.0591,60.26,59.915,1.0,60.6,60.2,1227322.0,0.0
2018-03-07,60.0492,59.48,59.27,1.0,60.36,60.19,910383.0,0.0
2018-03-08,59.4705,60.46,59.11,1.0,60.52,59.61,963449.0,0.0
2018-03-09,60.6577,60.29,59.87,1.0,60.89,60.8,1016143.0,0.0
2018-03-12,60.2886,60.79,59.84,1.0,60.79,60.43,990954.0,0.0
2018-03-13,59.9694,60.61,59.89,1.0,61.36,60.11,832475.0,0.0
2018-03-14,59.6401,60.33,59.635,1.0,61.0,59.78,1516251.0,0.0
2018-03-15,59.7998,59.95,59.7,1.0,60.69,59.94,1200167.0,0.0
2018-03-16,60.8074,60.0,59.89,1.0,61.05,60.95,1936861.0,0.0
2018-03-19,59.7698,60.61,59.36,1.0,60.6825,59.91,1269751.0,0.0
2018-03-20,59.9893,60.19,59.99,1.0,60.68,60.13,887251.0,0.0
2018-03-21,60.3884,60.07,59.9,1.0,61.17,60.53,620831.0,0.0
2018-03-22,57.5251,59.76,57.61,1.0,59.85,57.66,961095.0,0.0
2018-03-23,55.44,57.72,55.42,1.0,57.89,55.57,1401388.0,0.0
2018-03-26,57.6448,57.96,56.25,1.0,59.47,57.78,2318820.0,0.0
2018-03-27,56.0984,57.78,55.88,1.0,57.78,56.23,2261699.0,0.0
2018-03-28,56.7369,56.89,56.4,1.0,57.48,56.87,1825020.0,0.0
2018-03-29,59.0116,58.0,57.71,1.0,59.516,59.15,1408755.0,0.0
2018-04-02,57.585,58.83,56.7,1.0,58.89,57.72,1376858.0,0.0
2018-04-03,58.413,57.96,57.4,1.0,58.68,58.55,1027230.0,0.0
2018-04-04,60.0392,57.59,57.55,1.0,60.37,60.18,1652879.0,0.0
