date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,65.44,63.0,65.44,66.07,62.0,4957107.0,0.0,1.0
2018-02-07,66.11,69.59,66.11,69.95,64.73,6723331.0,0.0,1.0
2018-02-08,60.03,65.84,60.03,66.19,59.98,5990998.0,0.0,1.0
2018-02-09,59.8,60.4,59.8,60.8,56.21,7197961.0,0.0,1.0
2018-02-12,60.89,60.13,60.89,61.54,59.4,3655757.0,0.0,1.0
2018-02-13,62.38,60.88,62.38,62.96,60.56,3333805.0,0.0,1.0
2018-02-14,63.38,62.27,63.38,63.48,61.82,3041054.0,0.0,1.0
2018-02-15,64.73,63.9,64.73,64.77,63.4,3445036.0,0.0,1.0
2018-02-16,63.9,64.4,63.9,64.45,63.26,3042779.0,0.0,1.0
2018-02-20,63.97,63.49,63.97,64.225,62.65,3730525.0,0.0,1.0
2018-02-21,63.61,63.75,63.61,65.26,63.6,1715185.0,0.0,1.0
2018-02-22,63.77,63.95,63.77,64.75,63.56,1248823.0,0.0,1.0
2018-02-23,64.72,64.19,64.72,64.81,63.73,1436173.0,0.0,1.0
2018-02-26,64.9,64.88,64.9,65.41,64.22,1404201.0,0.0,1.0
2018-02-27,63.62,65.21,63.62,65.69,63.59,1720434.0,0.0,1.0
2018-02-28,62.93,64.0,62.93,64.1,62.91,1629075.0,0.0,1.0
2018-03-01,63.24,62.88,63.24,63.68,62.02,2476203.0,0.0,1.0
2018-03-02,61.87,62.46,61.87,62.46,60.63,2544623.0,0.0,1.0
2018-03-05,61.91,61.44,61.91,62.23,60.91,2800608.0,0.0,1.0
2018-03-06,62.07,61.82,62.07,62.53,61.56,1382006.0,0.0,1.0
2018-03-07,61.67,61.42,61.67,61.8396,60.81,2029924.0,0.0,1.0
2018-03-08,60.71,61.94,60.71,61.94,60.63,1700099.0,0.0,1.0
2018-03-09,61.4,60.99,61.4,61.73,60.79,1713169.0,0.0,1.0
2018-03-12,61.41,61.3,61.41,61.49,60.47,1531564.0,0.0,1.0
2018-03-13,62.28,61.94,62.28,62.9,61.79,1397466.0,0.0,1.0
