date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,61.6782,59.64,58.09,1.0,63.16,62.75,4725560.0,0.0
2018-02-07,61.8453,62.9,62.43,1.0,63.99,62.92,3074323.0,0.0
2018-02-08,59.3093,63.04,60.29,1.0,63.51,60.34,3836490.0,0.0
2018-02-09,60.42,61.08,58.06,1.0,62.15,61.47,5474380.0,0.0
2018-02-12,60.076,62.07,60.76,1.0,62.65,61.12,3611659.0,0.0
2018-02-13,61.8256,61.12,60.88,1.0,63.0,62.9,2194510.0,0.0
2018-02-14,63.4671,62.81,62.24,1.0,64.97,64.57,3245979.0,0.0
2018-02-15,64.0372,65.34,64.34,1.0,65.88,65.15,2135727.0,0.0
2018-02-16,64.4893,65.11,64.93,1.0,66.4,65.61,2229481.0,0.0
2018-02-20,63.2705,64.61,63.8,1.0,65.58,64.37,3537500.0,0.0
2018-02-21,62.3564,64.37,63.39,1.0,65.445,63.44,3331839.0,0.0
2018-02-22,63.644,64.0,63.7,1.0,65.48,64.75,3145385.0,0.0
2018-02-23,65.3346,65.18,64.94,1.0,66.709,66.47,3297571.0,0.0
2018-02-26,65.9539,66.89,65.95,1.0,67.4,67.1,3567051.0,0.0
2018-02-27,63.8898,69.16,64.89,1.0,69.48,65.0,5594756.0,0.0
2018-02-28,64.9611,65.53,65.14,1.0,66.76,66.09,4921161.0,0.0
2018-03-01,61.6782,64.78,60.51,1.0,65.11,62.75,11553735.0,0.0
2018-03-02,65.3641,61.85,61.61,1.0,66.7,66.5,7080328.0,0.0
2018-03-05,64.9611,66.26,65.2787,1.0,66.95,66.09,4261400.0,0.0
2018-03-06,65.6787,66.01,65.45,1.0,66.85,66.82,3255157.0,0.0
2018-03-07,64.0667,65.94,65.03,1.0,66.73,65.18,2758581.0,0.0
2018-03-08,61.1277,65.37,61.98,1.0,65.38,62.19,4758041.0,0.0
2018-03-09,61.8944,63.9,61.41,1.0,64.0,62.97,3953743.0,0.0
2018-03-12,61.9534,63.02,62.16,1.0,63.57,63.03,3079612.0,0.0
2018-03-13,63.6145,62.93,62.81,1.0,65.1099,64.11,3915119.0,0.61
2018-03-14,61.7689,64.14,62.0,1.0,64.2,62.25,2644019.0,0.0
2018-03-15,61.0148,62.69,60.81,1.0,62.83,61.49,3788181.0,0.0
2018-03-16,62.6421,61.37,61.0,1.0,63.619,63.13,7312353.0,0.0
2018-03-19,63.0589,63.17,62.44,1.0,63.99,63.55,3396443.0,0.0
2018-03-20,63.6641,63.72,63.43,1.0,64.25,64.16,2507886.0,0.0
2018-03-21,63.2474,63.96,63.53,1.0,65.21,63.74,2666807.0,0.0
2018-03-22,62.523,63.22,62.74,1.0,64.58,63.01,2149751.0,0.0
2018-03-23,61.501,63.34,61.98,1.0,63.76,61.98,3685032.0,0.0
2018-03-26,63.2772,62.85,62.45,1.0,63.97,63.77,3731435.0,0.0
2018-03-27,62.3147,63.75,62.4,1.0,64.5,62.8,3290948.0,0.0
2018-03-28,64.0611,62.95,62.59,1.0,65.4,64.56,4155113.0,0.0
2018-03-29,65.0037,64.71,64.64,1.0,66.01,65.51,4180310.0,0.0
2018-04-02,62.1956,65.26,61.57,1.0,65.8,62.68,5393506.0,0.0
2018-04-03,63.168,63.01,62.71,1.0,64.245,63.66,3172598.0,0.0
2018-04-04,65.0037,62.82,62.7,1.0,65.66,65.51,3112634.0,0.0
2018-04-05,66.3929,65.67,65.465,1.0,67.0,66.91,2728553.0,0.0
2018-04-06,63.5054,65.34,63.4348,1.0,66.24,64.0,5616452.0,0.0
2018-04-09,62.9398,64.31,63.37,1.0,65.15,63.43,4145745.0,0.0
2018-04-10,63.1482,64.27,62.13,1.0,64.4899,63.64,3900516.0,0.0
2018-04-11,62.8902,63.18,63.09,1.0,64.58,63.38,2533507.0,0.0
2018-04-12,62.5726,63.56,62.71,1.0,63.96,63.06,2774833.0,0.0
2018-04-13,60.8659,63.37,61.11,1.0,63.5466,61.34,3978700.0,0.0
2018-04-16,61.5903,61.89,61.06,1.0,62.21,62.07,3922393.0,0.0
2018-04-17,61.2926,62.51,61.5001,1.0,62.78,61.77,2289015.0,0.0
2018-04-18,60.7171,61.98,61.07,1.0,63.22,61.19,4229687.0,0.0
2018-04-19,59.6554,61.11,59.02,1.0,61.46,60.12,4787296.0,0.0
2018-04-20,57.9288,59.96,58.11,1.0,60.66,58.38,4520864.0,0.0
2018-04-23,59.1692,58.45,58.15,1.0,60.0,59.63,2832187.0,0.0
2018-04-24,58.7722,59.84,58.95,1.0,61.07,59.23,3340123.0,0.0
2018-04-25,59.5363,59.16,58.61,1.0,60.7,60.0,2441618.0,0.0
2018-04-26,60.3797,59.84,59.5,1.0,61.0,60.85,2840724.0,0.0
2018-04-27,61.8483,60.66,60.05,1.0,62.55,62.33,3442097.0,0.0
2018-04-30,61.6399,62.37,61.64,1.0,62.74,62.12,3351178.0,0.0
2018-05-01,61.5109,61.58,60.89,1.0,63.34,61.99,3723857.0,0.0
2018-05-02,62.5429,61.73,61.32,1.0,63.25,63.03,2784506.0,0.0
2018-05-03,62.7016,62.92,62.46,1.0,63.45,63.19,3673777.0,0.0
2018-05-04,62.6123,62.92,62.44,1.0,63.6915,63.1,2508897.0,0.0
2018-05-07,59.9134,63.16,59.431,1.0,63.4,60.38,5363988.0,0.0
2018-05-08,60.5385,60.23,60.04,1.0,61.585,61.01,3701379.0,0.0
2018-05-09,60.9156,61.22,59.87,1.0,61.57,61.39,3461129.0,0.0
2018-05-10,60.0622,60.84,57.89,1.0,60.84,60.53,5293241.0,0.0
2018-05-11,59.7645,58.71,58.64,1.0,60.44,60.23,4036448.0,0.0
2018-05-14,60.7072,60.54,60.17,1.0,61.61,61.18,2988332.0,0.0
2018-05-15,62.7016,61.02,60.69,1.0,63.3,63.19,3416935.0,0.0
2018-05-16,63.9221,64.4,62.08,1.0,64.99,64.42,5623031.0,0.0
2018-05-17,63.2275,64.15,63.32,1.0,64.89,63.72,3472457.0,0.0
2018-05-18,63.1779,63.32,62.52,1.0,63.94,63.67,2737524.0,0.0
2018-05-21,64.964,64.3,64.24,1.0,65.615,65.47,5147593.0,0.0
2018-05-22,60.1416,64.76,60.33,1.0,65.99,60.61,21469445.0,0.0
2018-05-23,61.7788,60.21,59.85,1.0,62.31,62.26,7366294.0,0.0
2018-05-24,64.0114,62.06,61.98,1.0,64.57,64.51,5287099.0,0.0
2018-05-25,64.7755,64.68,64.38,1.0,66.04,65.28,4261825.0,0.0
2018-05-29,66.1746,65.06,64.87,1.0,67.36,66.69,4987983.0,0.0
2018-05-30,67.3852,67.03,66.52,1.0,68.8,67.91,3715343.0,0.0
2018-05-31,66.2341,67.43,66.24,1.0,68.18,66.75,3354926.0,0.0
2018-06-01,67.8416,66.9,66.85,1.0,68.445,68.37,2722795.0,0.0
2018-06-04,71.007,68.77,68.5,1.0,71.82,71.56,4852207.0,0.0
2018-06-05,74.3608,71.66,71.66,1.0,75.67,74.94,6739708.0,0.0
