date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,47.6884,47.37,46.61,1.0,48.22,47.81,3429126.0,0.0
2018-02-07,47.7383,47.6,47.6,1.0,48.645,47.86,2157867.0,0.0
2018-02-08,45.9329,47.89,46.02,1.0,47.9,46.05,2048687.0,0.0
2018-02-09,46.6112,46.52,45.52,1.0,47.07,46.73,1996260.0,0.0
2018-02-12,47.3792,47.19,46.985,1.0,48.13,47.5,1879289.0,0.0
2018-02-13,47.9677,47.27,47.14,1.0,48.23,48.09,1587093.0,0.0
2018-02-14,48.7457,47.86,47.78,1.0,48.89,48.87,1157115.0,0.0
2018-02-15,49.7631,49.12,49.05,1.0,49.9,49.89,1679812.0,0.0
2018-02-16,49.9526,49.66,49.66,1.0,50.55,50.08,1743120.0,0.0
2018-02-20,49.7631,49.87,49.72,1.0,50.3203,49.89,1567561.0,0.0
2018-02-21,49.6235,49.89,49.72,1.0,50.44,49.75,1278494.0,0.0
2018-02-22,49.4739,49.88,49.58,1.0,50.32,49.6,1646157.0,0.0
2018-02-23,50.212,49.83,49.81,1.0,50.38,50.34,1237286.0,0.0
2018-02-26,50.601,50.48,50.32,1.0,50.74,50.73,1466533.0,0.0
2018-02-27,50.1147,50.61,50.18,1.0,51.25,50.18,1278932.0,0.0625
2018-02-28,49.2658,50.45,49.31,1.0,50.54,49.33,1196312.0,0.0
2018-03-01,48.5867,49.34,48.35,1.0,49.57,48.65,1550229.0,0.0
2018-03-02,48.7565,48.42,48.19,1.0,48.91,48.82,1450653.0,0.0
2018-03-05,50.3045,48.48,48.48,1.0,50.47,50.37,1926936.0,0.0
2018-03-06,50.8138,50.5,50.105,1.0,50.95,50.88,2546048.0,0.0
2018-03-07,50.8737,50.44,50.44,1.0,51.2,50.94,1616303.0,0.0
2018-03-08,51.1933,51.14,50.76,1.0,51.34,51.26,1690009.0,0.0
2018-03-09,51.6527,51.5,51.15,1.0,51.74,51.72,1888958.0,0.0
2018-03-12,51.443,51.74,51.26,1.0,51.99,51.51,1113370.0,0.0
2018-03-13,51.1734,51.78,51.195,1.0,51.9,51.24,1503163.0,0.0
2018-03-14,50.8937,51.45,50.91,1.0,51.62,50.96,2291777.0,0.0
2018-03-15,50.8737,51.06,50.89,1.0,51.5,50.94,1915032.0,0.0
2018-03-16,51.0935,50.72,50.72,1.0,51.43,51.16,2991739.0,0.0
2018-03-19,50.9237,51.14,50.69,1.0,51.44,50.99,1968854.0,0.0
2018-03-20,51.3431,51.2,51.2,1.0,51.75,51.41,2113421.0,0.0
2018-03-21,51.5229,51.5,51.48,1.0,52.05,51.59,1108312.0,0.0
2018-03-22,50.1747,51.06,50.22,1.0,51.44,50.24,1576148.0,0.0
2018-03-23,49.0062,50.25,48.99,1.0,50.555,49.07,1554325.0,0.0
2018-03-26,50.0548,49.68,49.22,1.0,50.19,50.12,1338244.0,0.0
2018-03-27,49.0361,49.96,48.91,1.0,50.16,49.1,2024326.0,0.0
2018-03-28,49.3757,49.09,49.0,1.0,49.68,49.44,1599374.0,0.0
2018-03-29,49.6653,49.68,49.63,1.0,50.14,49.73,1470074.0,0.0
2018-04-02,48.5867,49.68,47.935,1.0,50.02,48.65,1771975.0,0.0
2018-04-03,49.4057,48.82,48.78,1.0,49.57,49.47,1503851.0,0.0
2018-04-04,49.8651,48.75,48.75,1.0,50.03,49.93,1428919.0,0.0
2018-04-05,50.4443,50.2,50.1,1.0,50.79,50.51,1158472.0,0.0
2018-04-06,49.3158,50.17,49.1,1.0,50.58,49.38,1834423.0,0.0
2018-04-09,49.5654,49.62,49.43,1.0,50.43,49.63,1552024.0,0.0
2018-04-10,50.3644,50.28,50.19,1.0,50.74,50.43,1642951.0,0.0
2018-04-11,50.0149,49.87,49.83,1.0,50.305,50.08,1111505.0,0.0
2018-04-12,50.4743,50.35,50.35,1.0,50.83,50.54,1150680.0,0.0
2018-04-13,50.3644,50.92,50.33,1.0,50.93,50.43,1168657.0,0.0
2018-04-16,50.9536,50.87,50.79,1.0,51.23,51.02,1140726.0,0.0
2018-04-17,50.9337,51.25,50.81,1.0,51.3,51.0,1135612.0,0.0
2018-04-18,50.9536,51.16,50.95,1.0,51.531,51.02,1153374.0,0.0
2018-04-19,51.453,51.04,51.04,1.0,51.679,51.52,1119891.0,0.0
2018-04-20,51.5029,51.68,51.49,1.0,51.92,51.57,1536886.0,0.0
2018-04-23,51.5529,51.73,51.435,1.0,51.85,51.62,1189400.0,0.0
2018-04-24,51.2133,51.47,51.08,1.0,51.99,51.28,1761523.0,0.0
2018-04-25,51.473,51.28,50.961,1.0,51.76,51.54,1058883.0,0.0
2018-04-26,51.6328,51.54,51.36,1.0,51.96,51.7,1112896.0,0.0
2018-04-27,51.6827,51.59,51.47,1.0,51.85,51.75,1390678.0,0.0
2018-04-30,52.3918,51.84,51.84,1.0,53.04,52.46,1787600.0,0.0
2018-05-01,52.3718,52.28,51.93,1.0,52.52,52.44,958126.0,0.0
2018-05-02,51.0235,52.25,51.02,1.0,52.28,51.09,1382817.0,0.0
2018-05-03,50.3744,50.77,49.79,1.0,50.82,50.44,1475185.0,0.0
2018-05-04,50.9037,50.22,50.08,1.0,51.2,50.97,1169171.0,0.0
2018-05-07,51.1334,51.01,50.87,1.0,51.375,51.2,772622.0,0.0
2018-05-08,51.1634,51.27,50.87,1.0,51.5,51.23,1247444.0,0.0
2018-05-09,51.5429,51.52,51.2,1.0,51.69,51.61,828712.0,0.0
2018-05-10,51.7925,51.72,51.42,1.0,51.92,51.86,1056747.0,0.0
2018-05-11,51.6228,51.91,51.66,1.0,52.16,51.69,973703.0,0.0
2018-05-14,51.1933,51.82,51.175,1.0,51.84,51.26,1269107.0,0.0
2018-05-15,51.2732,51.15,51.13,1.0,51.47,51.34,1288833.0,0.0
2018-05-16,51.2333,51.3,51.02,1.0,51.48,51.3,726617.0,0.0
2018-05-17,51.3831,51.28,51.17,1.0,51.61,51.45,722242.0,0.0
2018-05-18,51.2433,51.43,51.11,1.0,51.43,51.31,1543331.0,0.0
2018-05-21,51.3531,51.51,51.29,1.0,51.66,51.42,837793.0,0.0
2018-05-22,51.2233,51.44,51.21,1.0,51.67,51.29,868635.0,0.0
2018-05-23,50.6341,51.11,50.46,1.0,51.16,50.7,877211.0,0.0
2018-05-24,50.0748,50.6,49.9998,1.0,50.605,50.14,831062.0,0.0
2018-05-25,49.6653,49.93,49.5,1.0,50.0344,49.73,916260.0,0.0
2018-05-29,47.99,49.13,47.785,1.0,49.13,47.99,1437367.0,0.0625
2018-05-30,48.78,48.4,48.13,1.0,48.88,48.78,1448800.0,0.0
2018-05-31,48.87,48.63,48.21,1.0,48.99,48.87,3070530.0,0.0
2018-06-01,49.18,49.39,48.91,1.0,49.42,49.18,1369369.0,0.0
2018-06-04,49.64,49.79,49.42,1.0,49.84,49.64,1682775.0,0.0
2018-06-05,49.62,49.62,49.17,1.0,49.695,49.62,1585319.0,0.0
2018-06-06,49.72,49.76,49.56,1.0,49.92,49.72,1112354.0,0.0
2018-06-07,50.13,49.8,49.77,1.0,50.2,50.13,1172257.0,0.0
2018-06-08,50.42,50.07,50.01,1.0,50.44,50.42,1003254.0,0.0
2018-06-11,50.03,50.56,50.02,1.0,50.63,50.03,890326.0,0.0
2018-06-12,49.78,50.03,49.61,1.0,50.12,49.78,1168814.0,0.0
2018-06-13,49.82,49.86,49.79,1.0,50.32,49.82,2161721.0,0.0
2018-06-14,49.61,49.94,49.4,1.0,50.03,49.61,1845634.0,0.0
2018-06-15,49.89,49.48,49.05,1.0,49.92,49.89,3376114.0,0.0
2018-06-18,49.93,49.44,49.355,1.0,49.95,49.93,1763752.0,0.0
2018-06-19,49.73,49.51,49.43,1.0,49.81,49.73,1750807.0,0.0
