date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,44.8513,42.57,42.0,1.0,45.9,45.58,3661616.0,0.0
2018-02-07,45.0481,45.34,45.23,1.0,47.04,45.78,2697801.0,0.0
2018-02-08,43.2868,45.67,43.99,1.0,45.83,43.99,1931766.0,0.0
2018-02-09,43.5721,44.47,43.07,1.0,44.7,44.28,1515935.0,0.0
2018-02-12,44.2019,44.54,44.42,1.0,45.32,44.92,1299801.0,0.0
2018-02-13,43.6804,44.65,44.14,1.0,44.86,44.39,1290917.0,0.0
2018-02-14,44.2117,44.0,44.0,1.0,45.06,44.93,1067607.0,0.0
2018-02-15,44.5168,45.16,44.93,1.0,45.469,45.24,1326652.0,0.0
2018-02-16,44.3298,45.13,45.04,1.0,45.76,45.05,1271423.0,0.0
2018-02-20,43.6607,44.93,44.23,1.0,45.13,44.37,1079770.0,0.0
2018-02-21,44.1625,44.52,44.52,1.0,45.51,44.88,777137.0,0.0
2018-02-22,43.6508,44.98,44.22,1.0,44.98,44.36,2060137.0,0.0
2018-02-23,44.0543,44.68,44.355,1.0,44.795,44.77,880129.0,0.0
2018-02-26,43.6115,44.72,44.3,1.0,44.72,44.32,1742514.0,0.0
2018-02-27,43.0998,44.48,43.79,1.0,45.0899,43.8,1511191.0,0.0
2018-02-28,42.7652,44.04,43.46,1.0,44.19,43.46,1412313.0,0.0
2018-03-01,41.6435,43.52,42.12,1.0,43.56,42.32,2550553.0,0.0
2018-03-02,41.1318,42.18,41.25,1.0,42.19,41.8,1973609.0,0.0
2018-03-05,43.2277,41.8,41.75,1.0,44.13,43.93,3047130.0,0.0
2018-03-06,44.7825,44.01,43.92,1.0,45.58,45.51,2699308.0,0.0
2018-03-07,44.3495,45.03,44.92,1.0,45.66,45.07,2133177.0,0.0
2018-03-08,44.5955,45.25,44.89,1.0,45.535,45.32,1206506.0,0.0
2018-03-09,45.6681,45.5,45.16,1.0,46.41,46.41,1920035.0,0.0
2018-03-12,46.1207,46.47,46.25,1.0,46.93,46.87,2109025.0,0.0
2018-03-13,46.2683,47.02,46.5,1.0,47.24,47.02,2822176.0,0.0
2018-03-14,47.0063,46.91,46.53,1.0,47.41,47.41,3412173.0,0.36
2018-03-15,45.6183,47.44,45.99,1.0,47.44,46.01,1729403.0,0.0
2018-03-16,45.8661,46.0,45.89,1.0,46.63,46.26,3156569.0,0.0
2018-03-19,45.42,46.07,45.36,1.0,46.22,45.81,1915369.0,0.0
2018-03-20,44.8449,46.0,45.14,1.0,46.19,45.23,586626.0,0.0
2018-03-21,44.8846,45.23,44.95,1.0,45.58,45.27,792882.0,0.0
2018-03-22,43.8534,44.95,44.22,1.0,45.28,44.23,955314.0,0.0
2018-03-23,42.7628,44.34,43.05,1.0,44.52,43.13,1030582.0,0.0
2018-03-26,43.4072,43.68,43.05,1.0,43.915,43.78,1252626.0,0.0
2018-03-27,43.2486,43.96,43.35,1.0,44.29,43.62,1372564.0,0.0
2018-03-28,43.5262,43.54,43.44,1.0,44.08,43.9,758606.0,0.0
2018-03-29,43.9823,44.11,43.84,1.0,44.55,44.36,609014.0,0.0
2018-04-02,42.9313,44.21,42.79,1.0,44.41,43.3,932183.0,0.0
2018-04-03,43.7741,43.42,43.06,1.0,44.22,44.15,901354.0,0.0
2018-04-04,44.5375,43.58,43.43,1.0,45.01,44.92,1026054.0,0.0
2018-04-05,44.6069,45.14,44.86,1.0,45.26,44.99,810095.0,0.0
2018-04-06,43.556,44.73,43.52,1.0,45.0,43.93,936207.0,0.0
2018-04-09,43.4469,44.23,43.75,1.0,44.6,43.82,816942.0,0.0
2018-04-10,44.1013,44.37,44.13,1.0,44.7445,44.48,622601.0,0.0
2018-04-11,44.0814,44.15,44.1,1.0,44.735,44.46,760491.0,0.0
2018-04-12,44.0319,44.59,44.33,1.0,44.74,44.41,756999.0,0.0
2018-04-13,43.9526,44.71,44.04,1.0,44.71,44.33,673429.0,0.0
2018-04-16,44.3888,44.67,44.36,1.0,45.05,44.77,867903.0,0.0
2018-04-17,44.6565,45.1,44.62,1.0,45.16,45.04,770936.0,0.0
2018-04-18,44.4582,45.25,44.81,1.0,45.391,44.84,1399965.0,0.0
2018-04-19,43.2089,44.62,43.32,1.0,44.67,43.58,1353016.0,0.0
2018-04-20,42.5347,43.54,42.68,1.0,43.64,42.9,1330480.0,0.0
2018-04-23,42.5645,42.98,42.69,1.0,43.19,42.93,936021.0,0.0
2018-04-24,41.9894,43.26,42.22,1.0,43.32,42.35,1127846.0,0.0
2018-04-25,41.4738,42.26,41.71,1.0,42.43,41.83,2385551.0,0.0
2018-04-26,42.3563,41.99,41.795,1.0,42.89,42.72,1853392.0,0.0
2018-04-27,40.7005,41.66,41.05,1.0,43.41,41.05,3400397.0,0.0
2018-04-30,40.2047,40.79,40.31,1.0,41.05,40.55,2668241.0,0.0
2018-05-01,40.0362,40.45,39.57,1.0,40.56,40.38,1648337.0,0.0
2018-05-02,40.413,40.28,40.08,1.0,41.205,40.76,1741280.0,0.0
2018-05-03,40.1849,40.8,40.09,1.0,40.8,40.53,1677059.0,0.0
2018-05-04,41.0673,40.32,40.13,1.0,41.66,41.42,1182534.0,0.0
2018-05-07,41.1962,41.63,41.36,1.0,41.68,41.55,1211599.0,0.0
2018-05-08,41.2755,41.65,41.371,1.0,42.045,41.63,1281426.0,0.0
2018-05-09,41.2458,41.76,41.32,1.0,42.0703,41.6,1407150.0,0.0
2018-05-10,41.4937,41.81,41.55,1.0,42.16,41.85,785051.0,0.0
2018-05-11,41.5135,41.91,41.71,1.0,42.07,41.87,566185.0,0.0
2018-05-14,41.3945,41.9,41.66,1.0,42.084,41.75,651682.0,0.0
2018-05-15,41.2557,41.57,41.2,1.0,41.64,41.61,1016521.0,0.0
2018-05-16,41.4044,41.67,41.41,1.0,41.98,41.76,853043.0,0.0
2018-05-17,41.5234,41.8,41.55,1.0,42.0,41.88,1596714.0,0.0
2018-05-18,41.7614,41.87,41.71,1.0,42.35,42.12,851761.0,0.0
2018-05-21,42.2175,42.49,42.29,1.0,42.75,42.58,530754.0,0.0
2018-05-22,41.5631,42.54,41.9,1.0,42.63,41.92,585342.0,0.0
2018-05-23,41.2954,41.74,41.33,1.0,42.02,41.65,751917.0,0.0
2018-05-24,41.2755,41.51,41.3,1.0,41.66,41.63,733703.0,0.0
2018-05-25,41.2755,41.58,41.5,1.0,41.9099,41.63,814764.0,0.0
2018-05-29,41.1367,41.49,41.15,1.0,41.77,41.49,1180914.0,0.0
2018-05-30,41.6622,41.75,41.48,1.0,42.24,42.02,995166.0,0.0
2018-05-31,40.9484,43.02,41.23,1.0,43.07,41.3,1656237.0,0.0
2018-06-01,41.0971,41.51,41.37,1.0,41.83,41.45,1188582.0,0.0
2018-06-04,41.5928,41.75,41.58,1.0,41.97,41.95,1083615.0,0.0
2018-06-05,41.9993,41.89,41.78,1.0,42.42,42.36,784235.0,0.0
2018-06-06,42.4058,42.36,42.04,1.0,42.77,42.77,1076419.0,0.0
2018-06-07,42.6636,42.75,42.572,1.0,43.08,43.03,955136.0,0.0
2018-06-08,43.2684,42.98,42.89,1.0,43.69,43.64,1231523.0,0.0
2018-06-11,44.0715,43.7,43.62,1.0,44.615,44.45,1693287.0,0.0
2018-06-12,44.3392,44.52,44.31,1.0,44.84,44.72,1142297.0,0.0
2018-06-13,43.6452,44.6,43.79,1.0,44.81,44.02,1160193.0,0.0
2018-06-14,44.25,43.93,43.77,1.0,44.41,44.25,1272485.0,0.38
2018-06-15,44.32,44.25,43.96,1.0,44.39,44.32,1723607.0,0.0
2018-06-18,44.08,43.89,43.82,1.0,44.2053,44.08,1180912.0,0.0
2018-06-19,44.15,43.68,43.35,1.0,44.18,44.15,1045492.0,0.0
2018-06-20,44.7,44.24,44.0393,1.0,44.84,44.7,1787449.0,0.0
2018-06-21,44.23,44.59,44.11,1.0,44.8097,44.23,671250.0,0.0
2018-06-22,43.69,44.43,43.52,1.0,44.48,43.69,2741573.0,0.0
2018-06-25,43.52,43.51,43.12,1.0,43.7,43.52,962690.0,0.0
2018-06-26,44.09,43.78,43.6,1.0,44.28,44.09,1638046.0,0.0
2018-06-27,43.98,44.15,43.74,1.0,44.73,43.98,1726511.0,0.0
2018-06-28,43.94,43.96,43.72,1.0,44.19,43.94,396416.0,0.0
