date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,200.7053,195.14,192.841,1.0,203.43,202.31,1010297.0,0.0
2018-02-07,206.0427,201.76,201.235,1.0,209.96,207.69,1017009.0,0.0
2018-02-08,197.2132,207.42,198.5,1.0,208.54,198.79,811251.0,0.0
2018-02-09,200.9037,200.83,198.81,1.0,205.33,202.51,886604.0,0.0
2018-02-12,202.8184,203.49,201.33,1.0,206.07,204.44,580436.0,0.0
2018-02-13,204.9712,204.05,203.74,1.0,207.25,206.61,866131.0,0.0
2018-02-14,207.3423,205.45,205.0,1.0,209.36,209.0,522418.0,0.0
2018-02-15,211.6578,210.45,209.23,1.0,213.45,213.35,561329.0,0.0
2018-02-16,211.2014,212.51,211.18,1.0,215.43,212.89,1106597.0,0.0
2018-02-20,209.3066,210.76,210.0,1.0,214.305,210.98,635396.0,0.0
2018-02-21,208.9891,210.99,210.25,1.0,214.0,210.66,566904.0,0.0
2018-02-22,210.3383,211.3,210.07,1.0,213.69,212.02,533943.0,0.0
2018-02-23,211.7173,212.68,210.74,1.0,213.645,213.41,324684.0,0.0
2018-02-26,213.2451,214.72,212.215,1.0,215.385,214.95,410855.0,0.0
2018-02-27,211.1518,215.15,212.84,1.0,216.27,212.84,408427.0,0.0
2018-02-28,206.6974,212.93,207.52,1.0,213.035,207.55,521257.0,0.8
2018-03-01,202.9429,208.06,201.89,1.0,208.3,203.78,779148.0,0.0
2018-03-02,204.4069,202.31,201.96,1.0,206.17,205.25,929485.0,0.0
2018-03-05,205.3828,203.73,202.1159,1.0,206.6525,206.23,421201.0,0.0
2018-03-06,204.377,206.97,203.61,1.0,206.97,205.22,379067.0,0.0
2018-03-07,204.5264,203.86,202.0,1.0,206.23,205.37,538019.0,0.0
2018-03-08,206.4285,206.56,205.08,1.0,207.55,207.28,322969.0,0.0
2018-03-09,209.5357,208.2,206.96,1.0,210.54,210.4,385938.0,0.0
2018-03-12,203.9288,210.07,203.725,1.0,210.39,204.77,614007.0,0.0
2018-03-13,205.6717,204.81,204.81,1.0,207.94,206.52,378984.0,0.0
2018-03-14,203.0325,207.11,202.87,1.0,207.12,203.87,394462.0,0.0
2018-03-15,202.913,204.66,203.14,1.0,204.83,203.75,306343.0,0.0
2018-03-16,204.5164,203.88,203.49,1.0,206.33,205.36,763416.0,0.0
2018-03-19,205.7513,205.17,203.05,1.0,206.98,206.6,560914.0,0.0
2018-03-20,205.9405,206.87,205.92,1.0,208.1,206.79,417080.0,0.0
2018-03-21,205.5023,206.72,205.31,1.0,208.29,206.35,313034.0,0.0
2018-03-22,199.527,204.95,199.7,1.0,205.615,200.35,766063.0,0.0
2018-03-23,200.8715,200.52,200.47,1.0,207.09,201.7,524509.0,0.0
2018-03-26,207.6734,204.58,203.72,1.0,208.81,208.53,661156.0,0.0
2018-03-27,203.6799,209.0,203.48,1.0,209.73,204.52,439462.0,0.0
2018-03-28,201.8076,204.33,200.66,1.0,204.79,202.64,683727.0,0.0
2018-03-29,207.1456,204.39,203.89,1.0,209.64,208.0,650398.0,0.0
2018-04-02,206.6476,207.03,203.73,1.0,208.13,207.5,1156639.0,0.0
2018-04-03,207.5738,207.92,205.77,1.0,208.695,208.43,735899.0,0.0
2018-04-04,209.8843,205.31,204.58,1.0,210.92,210.75,691862.0,0.0
2018-04-05,212.1947,212.14,210.18,1.0,213.74,213.07,664558.0,0.0
2018-04-06,206.9265,211.47,205.29,1.0,212.34,207.78,916335.0,0.0
2018-04-09,207.8128,209.45,207.99,1.0,210.73,208.67,458528.0,0.0
2018-04-10,209.8444,211.07,209.4,1.0,213.21,210.71,586481.0,0.0
2018-04-11,209.5457,209.23,209.23,1.0,212.22,210.41,469696.0,0.0
2018-04-12,210.6113,211.2,211.07,1.0,212.77,211.48,377982.0,0.0
2018-04-13,209.456,212.21,209.39,1.0,212.81,210.32,655532.0,0.0
2018-04-16,211.7765,211.91,210.41,1.0,212.95,212.65,503982.0,0.0
2018-04-17,213.0413,214.03,212.5,1.0,214.33,213.92,652893.0,0.0
2018-04-18,213.6288,215.0,213.45,1.0,215.4,214.51,488334.0,0.0
2018-04-19,215.1725,214.6,214.19,1.0,216.92,216.06,390206.0,0.0
2018-04-20,214.2064,216.78,214.8,1.0,216.78,215.09,467280.0,0.0
2018-04-23,214.0869,215.49,213.46,1.0,216.077,214.97,515643.0,0.0
2018-04-24,206.0003,216.21,204.77,1.0,216.93,206.85,747585.0,0.0
2018-04-25,201.1702,207.02,200.48,1.0,207.175,202.0,1048434.0,0.0
2018-04-26,200.1046,202.31,199.19,1.0,202.72,200.93,1118887.0,0.0
2018-04-27,196.4895,200.68,195.52,1.0,201.145,197.3,1027897.0,0.0
2018-04-30,195.0754,197.68,195.26,1.0,198.96,195.88,1875593.0,0.0
2018-05-01,186.2119,197.0,184.79,1.0,199.2,186.98,1979956.0,0.0
2018-05-02,183.5031,189.21,184.03,1.0,189.65,184.26,1110244.0,0.0
2018-05-03,182.4773,183.84,180.24,1.0,184.68,183.23,1107584.0,0.0
2018-05-04,183.2442,182.11,180.96,1.0,184.23,184.0,1087260.0,0.0
2018-05-07,187.6261,184.08,183.35,1.0,188.8,188.4,1656671.0,0.0
2018-05-08,191.5698,188.44,188.13,1.0,193.28,192.36,1450038.0,0.0
2018-05-09,192.9541,193.6,191.82,1.0,194.929,193.75,1060177.0,0.0
2018-05-10,194.7666,194.71,193.92,1.0,195.74,195.57,762609.0,0.0
2018-05-11,195.2945,195.08,194.78,1.0,196.49,196.1,1146889.0,0.0
2018-05-14,191.0818,196.69,190.47,1.0,196.75,191.87,1222927.0,0.0
2018-05-15,191.2412,191.3,190.63,1.0,193.05,192.03,519445.0,0.0
2018-05-16,192.5757,192.14,191.81,1.0,194.13,193.37,532421.0,0.0
2018-05-17,193.95,192.12,191.19,1.0,194.68,193.95,557391.0,0.8
2018-05-18,194.06,193.55,193.35,1.0,195.01,194.06,1486617.0,0.0
2018-05-21,196.61,195.05,194.78,1.0,197.1,196.61,482469.0,0.0
2018-05-22,194.29,196.4,193.835,1.0,196.4,194.29,818649.0,0.0
2018-05-23,196.19,193.97,193.14,1.0,196.35,196.19,738053.0,0.0
2018-05-24,198.65,196.16,195.905,1.0,199.1,198.65,718751.0,0.0
