date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,37.2204,37.78,36.84,1.0,38.03,37.51,3192454.0,0.0
2018-02-07,37.2105,37.5,37.35,1.0,38.04,37.5,1867028.0,0.0
2018-02-08,36.8533,37.49,37.13,1.0,38.145,37.14,2604560.0,0.0
2018-02-09,38.1234,37.14,37.14,1.0,38.72,38.42,3220511.0,0.0
2018-02-12,38.1829,38.43,38.04,1.0,38.67,38.48,2150281.0,0.0
2018-02-13,38.3318,38.31,37.89,1.0,38.755,38.63,1635319.0,0.0
2018-02-14,37.8158,38.38,38.05,1.0,38.49,38.11,1922432.0,0.0
2018-02-15,38.7485,38.32,38.23,1.0,39.06,39.05,1745055.0,0.0
2018-02-16,39.4431,38.93,38.87,1.0,39.81,39.75,3076356.0,0.0
2018-02-20,38.8378,39.51,38.95,1.0,39.7,39.14,2603841.0,0.0
2018-02-21,38.3219,39.0,38.62,1.0,39.4,38.62,1731243.0,0.0
2018-02-22,38.302,38.71,38.45,1.0,38.9854,38.6,1895619.0,0.0
2018-02-23,39.1157,38.33,38.01,1.0,39.42,39.42,1949657.0,0.0
2018-02-26,39.2248,39.45,39.1,1.0,39.59,39.53,1642900.0,0.0
2018-02-27,38.5005,39.5,38.79,1.0,39.82,38.8,1927720.0,0.0
2018-02-28,38.3516,38.97,38.64,1.0,39.12,38.65,1917067.0,0.0
2018-03-01,38.1929,38.71,38.32,1.0,39.2,38.49,2222189.0,0.0
2018-03-02,37.9249,38.58,37.85,1.0,38.96,38.22,2124209.0,0.0
2018-03-05,38.6295,38.05,37.91,1.0,38.99,38.93,2390164.0,0.0
2018-03-06,37.8753,38.58,38.11,1.0,38.71,38.17,1415141.0,0.0
2018-03-07,37.7662,38.11,37.92,1.0,38.32,38.06,1081202.0,0.0
2018-03-08,38.0242,38.07,38.07,1.0,38.43,38.32,997482.0,0.0
2018-03-09,38.4112,38.35,38.195,1.0,38.71,38.71,1721263.0,0.0
2018-03-12,38.9073,38.84,38.75,1.0,39.32,39.21,3190045.0,0.0
2018-03-13,38.9966,39.31,39.14,1.0,39.7,39.3,2121946.0,0.0
2018-03-14,39.2348,39.44,39.27,1.0,39.86,39.54,1787761.0,0.0
2018-03-15,39.3538,39.46,39.375,1.0,40.01,39.66,2027425.0,0.0
2018-03-16,39.8202,39.81,39.68,1.0,40.22,40.13,5747585.0,0.0
2018-03-19,39.5225,40.0,39.645,1.0,40.3,39.83,1553302.0,0.0
2018-03-20,39.3737,39.84,39.6,1.0,40.08,39.68,1115583.0,0.0
2018-03-21,39.3538,39.72,39.555,1.0,40.2,39.66,1078868.0,0.0
2018-03-22,39.5225,39.71,39.64,1.0,40.58,39.83,1636463.0,0.0
2018-03-23,39.1455,39.94,39.38,1.0,40.26,39.45,1930006.0,0.0
2018-03-26,39.5324,39.49,39.43,1.0,39.91,39.84,1280964.0,0.0
2018-03-27,40.2171,39.91,39.64,1.0,40.86,40.53,1691406.0,0.0
2018-03-28,40.3064,40.61,40.44,1.0,40.94,40.62,1985788.0,0.0
2018-03-29,40.5446,40.64,40.59,1.0,41.04,40.86,1485795.0,0.0
2018-04-02,40.4751,40.95,40.46,1.0,41.27,40.79,2066164.0,0.0
2018-04-03,40.5049,40.73,40.59,1.0,41.05,40.82,1731011.0,0.0
2018-04-04,40.6041,40.89,40.555,1.0,41.14,40.92,1759394.0,0.0
2018-04-05,41.0109,40.88,40.34,1.0,41.37,41.33,2004438.0,0.0
2018-04-06,40.7033,41.37,40.89,1.0,41.45,41.02,2155282.0,0.0
2018-04-09,40.7331,41.0,40.82,1.0,41.355,41.05,1684385.0,0.0
2018-04-10,40.4354,40.97,40.67,1.0,41.13,40.75,2198446.0,0.0
2018-04-11,40.7033,40.72,40.66,1.0,41.09,41.02,1907125.0,0.0
2018-04-12,40.2072,41.02,40.38,1.0,41.2,40.52,2067996.0,0.0
2018-04-13,40.7926,40.7,40.67,1.0,41.23,41.11,1469404.0,0.0
2018-04-16,41.2689,41.29,41.25,1.0,41.745,41.59,1292778.0,0.0
2018-04-17,41.5269,41.64,41.52,1.0,42.07,41.85,1476306.0,0.0
2018-04-18,41.2789,41.96,41.58,1.0,42.3,41.6,2232116.0,0.0
2018-04-19,41.2094,41.53,41.26,1.0,41.64,41.53,1373490.0,0.0
2018-04-20,41.2193,41.59,41.225,1.0,41.59,41.54,1672998.0,0.0
2018-04-23,41.3682,41.59,41.45,1.0,41.89,41.69,970252.0,0.0
2018-04-24,41.775,41.83,41.789,1.0,42.36,42.1,1713089.0,0.0
2018-04-25,41.904,41.97,41.82,1.0,42.5,42.23,1415004.0,0.0
2018-04-26,42.5291,42.29,42.03,1.0,42.965,42.86,1489795.0,0.0
2018-04-27,43.06,42.44,42.44,1.0,43.13,43.06,1291916.0,0.335
2018-04-30,42.95,43.22,42.89,1.0,43.27,42.95,1538928.0,0.0
2018-05-01,42.82,43.0,42.78,1.0,43.07,42.82,1234469.0,0.0
2018-05-02,42.87,42.76,42.64,1.0,43.18,42.87,1752677.0,0.0
2018-05-03,43.23,42.69,42.04,1.0,43.465,43.23,1753392.0,0.0
2018-05-04,43.27,43.26,43.06,1.0,43.45,43.27,1599650.0,0.0
2018-05-07,42.94,43.23,42.84,1.0,43.29,42.94,1040588.0,0.0
2018-05-08,41.72,42.76,41.64,1.0,42.76,41.72,1636785.0,0.0
2018-05-09,41.26,41.84,41.02,1.0,41.85,41.26,1663108.0,0.0
2018-05-10,41.74,41.57,41.35,1.0,41.765,41.74,1110803.0,0.0
2018-05-11,41.66,41.77,41.59,1.0,41.91,41.66,974622.0,0.0
2018-05-14,41.41,41.71,41.13,1.0,41.78,41.41,1424180.0,0.0
2018-05-15,41.05,41.08,40.74,1.0,41.34,41.05,1493325.0,0.0
2018-05-16,40.89,41.07,40.57,1.0,41.16,40.89,1472105.0,0.0
2018-05-17,40.64,40.87,40.545,1.0,41.13,40.64,1446372.0,0.0
2018-05-18,40.57,40.74,40.295,1.0,40.86,40.57,1760660.0,0.0
2018-05-21,40.28,40.6,40.16,1.0,40.71,40.28,2436430.0,0.0
2018-05-22,40.28,40.32,40.11,1.0,40.5,40.28,1422296.0,0.0
2018-05-23,40.49,40.39,40.26,1.0,40.66,40.49,1917778.0,0.0
2018-05-24,40.75,40.54,40.44,1.0,40.865,40.75,2062910.0,0.0
2018-05-25,40.79,40.74,40.66,1.0,40.94,40.79,1696361.0,0.0
2018-05-29,41.0,40.65,40.58,1.0,41.17,41.0,2773093.0,0.0
2018-05-30,41.44,40.8,40.74,1.0,41.55,41.44,2353158.0,0.0
2018-05-31,41.42,41.41,41.09,1.0,41.81,41.42,2012545.0,0.0
2018-06-01,40.63,41.3,40.47,1.0,41.3,40.63,1415365.0,0.0
2018-06-04,40.23,40.75,40.1,1.0,40.76,40.23,1360623.0,0.0
2018-06-05,39.75,40.24,39.53,1.0,40.31,39.75,1967121.0,0.0
2018-06-06,39.13,39.77,39.06,1.0,39.85,39.13,1626748.0,0.0
2018-06-07,39.19,39.15,38.99,1.0,39.65,39.19,1450377.0,0.0
2018-06-08,39.23,39.31,39.07,1.0,39.39,39.23,974850.0,0.0
2018-06-11,38.38,39.24,38.35,1.0,39.335,38.38,1128938.0,0.0
2018-06-12,39.05,38.37,38.22,1.0,39.1,39.05,1252621.0,0.0
2018-06-13,39.17,39.17,38.91,1.0,39.435,39.17,2028735.0,0.0
2018-06-14,39.62,39.18,39.18,1.0,39.65,39.62,1503509.0,0.0
2018-06-15,39.96,39.58,39.35,1.0,40.08,39.96,3015591.0,0.0
2018-06-18,40.33,39.93,39.86,1.0,40.35,40.33,1386180.0,0.0
2018-06-19,41.08,40.47,40.47,1.0,41.09,41.08,2097516.0,0.0
2018-06-20,41.05,41.13,40.775,1.0,41.255,41.05,1298788.0,0.0
2018-06-21,40.97,41.04,40.83,1.0,41.21,40.97,1102631.0,0.0
2018-06-22,41.09,41.28,40.865,1.0,41.28,41.09,1498748.0,0.0
2018-06-25,42.26,41.16,41.07,1.0,42.42,42.26,2735917.0,0.0
2018-06-26,42.28,42.17,41.54,1.0,42.65,42.28,1782468.0,0.0
2018-06-27,42.41,42.27,42.06,1.0,42.52,42.41,1342683.0,0.0
