date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,58.14,55.84,57.8337,58.43,55.55,6880780.0,0.0,1.0
2018-02-07,57.89,58.05,57.585,59.04,57.89,4442547.0,0.0,1.0
2018-02-08,55.63,57.88,55.3369,57.9299,55.6,8765413.0,0.0,1.0
2018-02-09,55.5,56.55,55.2076,56.79,54.011,6630007.0,0.0,1.0
2018-02-12,56.81,56.14,56.5107,57.28,55.71,4414277.0,0.0,1.0
2018-02-13,57.16,56.55,56.8589,57.245,56.155,3941073.0,0.0,1.0
2018-02-14,57.73,56.94,57.4259,58.38,56.85,4273732.0,0.0,1.0
2018-02-15,58.18,58.21,57.8735,58.46,57.47,3282556.0,0.0,1.0
2018-02-16,58.27,58.41,57.963,58.88,58.205,3811611.0,0.0,1.0
2018-02-20,57.73,58.08,57.4259,58.49,57.5,3554839.0,0.0,1.0
2018-02-21,58.03,57.82,57.7243,59.29,57.66,3445099.0,0.0,1.0
2018-02-22,57.32,58.41,57.018,58.69,57.2,4036404.0,0.0,1.0
2018-02-23,57.99,57.8,57.6845,58.03,57.47,3287694.0,0.0,1.0
2018-02-26,59.5,58.75,59.1865,59.84,58.65,4888909.0,0.0,1.0
2018-02-27,58.48,59.6,58.1719,59.72,58.4661,3554744.0,0.0,1.0
2018-02-28,57.84,58.66,57.5353,58.83,57.83,4814235.0,0.0,1.0
2018-03-01,58.01,57.78,57.7044,58.76,57.49,5400845.0,0.0,1.0
2018-03-02,57.81,57.49,57.5054,58.13,57.03,3806177.0,0.0,1.0
2018-03-05,58.38,57.68,58.0724,58.72,57.19,5096701.0,0.0,1.0
2018-03-06,58.25,58.47,58.0675,58.64,57.93,2930980.0,0.125,1.0
2018-03-07,57.57,57.67,57.3896,58.05,57.48,3981206.0,0.0,1.0
2018-03-08,58.37,57.74,58.1871,58.9,57.71,4748705.0,0.0,1.0
2018-03-09,59.7,58.91,59.5129,59.7,58.67,4019233.0,0.0,1.0
2018-03-12,59.76,59.88,59.5727,59.92,59.4,4600210.0,0.0,1.0
2018-03-13,60.33,60.05,60.141,60.76,59.78,5141205.0,0.0,1.0
2018-03-14,59.62,60.37,59.4332,60.83,59.3255,4663999.0,0.0,1.0
2018-03-15,59.94,59.69,59.7522,60.27,59.21,3830811.0,0.0,1.0
2018-03-16,60.9,60.27,60.7092,61.375,60.2,5356883.0,0.0,1.0
2018-03-19,60.6,60.67,60.4101,61.24,60.18,4358787.0,0.0,1.0
2018-03-20,60.69,60.73,60.4998,60.99,60.5,2775943.0,0.0,1.0
2018-03-21,57.78,58.05,57.5989,58.4,56.66,13577027.0,0.0,1.0
2018-03-22,57.0,57.51,56.8214,58.27,56.98,7032066.0,0.0,1.0
2018-03-23,56.72,56.85,56.5423,57.97,56.35,6869027.0,0.0,1.0
2018-03-26,57.59,57.5,57.4095,57.86,56.9,5429307.0,0.0,1.0
2018-03-27,56.69,57.84,56.5124,57.95,56.28,4399779.0,0.0,1.0
2018-03-28,56.25,56.71,56.0737,56.92,55.87,4703104.0,0.0,1.0
2018-03-29,57.28,56.39,57.1005,57.59,56.31,3087471.0,0.0,1.0
2018-04-02,54.34,57.19,54.1697,57.19,53.79,5337023.0,0.0,1.0
2018-04-03,55.97,54.94,55.7946,56.04,54.46,4294034.0,0.0,1.0
2018-04-04,56.36,55.06,56.1834,56.49,54.85,3641840.0,0.0,1.0
2018-04-05,56.86,56.76,56.6818,57.18,56.27,3689858.0,0.0,1.0
