date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,111.8212,106.09,106.0,1.0,114.35,113.82,3985233.0,0.0
2018-02-07,108.3336,113.13,110.2,1.0,114.225,110.27,3151762.0,0.0
2018-02-08,103.9323,110.09,105.51,1.0,110.56,105.79,2536140.0,0.0
2018-02-09,105.1112,107.15,102.821,1.0,107.83,106.99,3110431.0,0.0
2018-02-12,107.7736,108.23,108.14,1.0,110.71,109.7,2239151.0,0.0
2018-02-13,107.7146,109.37,108.04,1.0,110.5886,109.64,1840142.0,0.0
2018-02-14,110.0332,108.71,108.24,1.0,112.64,112.0,1754472.0,0.0
2018-02-15,108.0388,113.3,108.74,1.0,114.45,109.97,3115474.0,0.0
2018-02-16,106.7027,109.8,108.26,1.0,110.4799,108.61,2755706.0,0.0
2018-02-20,106.6831,108.0,107.41,1.0,109.63,108.59,2287510.0,0.0
2018-02-21,107.1743,108.66,108.35,1.0,111.26,109.09,1940422.0,0.0
2018-02-22,108.8837,109.8,109.49,1.0,111.71,110.83,1495305.0,0.0
2018-02-23,109.6402,111.49,110.3,1.0,112.14,111.6,1503290.0,0.0
2018-02-26,108.5694,111.85,109.61,1.0,111.98,110.51,2366601.0,0.0
2018-02-27,107.7343,110.51,109.18,1.0,110.94,109.66,1955572.0,0.0
2018-02-28,106.3196,110.2,108.17,1.0,110.29,108.22,2116669.0,0.0
2018-03-01,106.2312,108.29,107.33,1.0,110.53,108.13,3693767.0,0.0
2018-03-02,106.3098,106.62,105.04,1.0,107.54,107.21,2403928.0,1.0
2018-03-05,107.7575,106.77,105.93,1.0,109.03,108.67,2413583.0,0.0
2018-03-06,108.8185,109.26,108.61,1.0,111.13,109.74,1794573.0,0.0
2018-03-07,108.4615,108.94,107.77,1.0,109.97,109.38,2144003.0,0.0
2018-03-08,108.4516,109.92,108.46,1.0,110.35,109.37,1664194.0,0.0
2018-03-09,111.3372,110.33,109.8601,1.0,112.49,112.28,1705916.0,0.0
2018-03-12,110.2068,112.68,110.83,1.0,112.83,111.14,1824275.0,0.0
2018-03-13,109.4135,111.64,109.96,1.0,112.59,110.34,2030798.0,0.0
2018-03-14,107.8368,111.2,108.36,1.0,111.2,108.75,1581040.0,0.0
2018-03-15,106.5676,109.35,107.05,1.0,109.42,107.47,2007793.0,0.0
2018-03-16,106.28,107.49,106.58,1.0,108.56,107.18,4279229.0,0.0
2018-03-19,105.8735,107.21,105.5,1.0,107.32,106.77,2082606.0,0.0
2018-03-20,106.5676,107.49,106.93,1.0,108.59,107.47,2361997.0,0.0
2018-03-21,110.2762,107.49,106.79,1.0,112.36,111.21,3240965.0,0.0
2018-03-22,105.7049,109.7,106.44,1.0,110.68,106.6,2620283.0,0.0
2018-03-23,103.6721,106.67,104.41,1.0,107.5,104.55,2536587.0,0.0
2018-03-26,104.2076,105.81,103.44,1.0,106.49,105.09,2456689.0,0.0
2018-03-27,103.2655,105.75,103.72,1.0,106.35,104.14,2000211.0,0.0
2018-03-28,102.2838,104.12,102.32,1.0,105.44,103.15,2304176.0,0.0
2018-03-29,104.7926,103.29,103.29,1.0,106.21,105.68,2258674.0,0.0
2018-04-02,102.8391,105.41,102.36,1.0,105.95,103.71,1750224.0,0.0
2018-04-03,103.2655,103.93,102.43,1.0,104.405,104.14,1724496.0,0.0
2018-04-04,101.8674,101.11,96.19,1.0,102.97,102.73,4713551.0,0.0
2018-04-05,103.9696,103.39,103.205,1.0,105.49,104.85,2069745.0,0.0
2018-04-06,99.9437,103.51,99.92,1.0,104.0,100.79,2404111.0,0.0
2018-04-09,98.5951,101.53,99.4,1.0,101.83,99.43,3719946.0,0.0
2018-04-10,101.4806,101.42,100.83,1.0,103.78,102.34,3205416.0,0.0
2018-04-11,101.3517,101.85,101.08,1.0,102.61,102.21,1708111.0,0.0
2018-04-12,102.8292,103.2,102.82,1.0,104.53,103.7,4214910.0,0.0
2018-04-13,102.1748,104.06,102.63,1.0,104.58,103.04,1750231.0,0.0
2018-04-16,103.6622,104.18,103.51,1.0,105.25,104.54,2314532.0,0.0
2018-04-17,105.1496,105.32,104.62,1.0,106.52,106.04,1788540.0,0.0
2018-04-18,107.9558,107.24,106.73,1.0,109.45,108.87,3163178.0,0.0
2018-04-19,106.6965,108.41,106.6606,1.0,108.46,107.6,2390271.0,0.0
2018-04-20,106.7758,107.75,106.71,1.0,108.31,107.68,2673923.0,0.0
2018-04-23,107.4104,107.5,107.24,1.0,108.53,108.32,2178516.0,0.0
2018-04-24,105.0504,108.71,104.81,1.0,109.53,105.94,2491121.0,0.0
2018-04-25,104.505,105.5,104.1,1.0,105.98,105.39,2554737.0,0.0
2018-04-26,105.5958,105.77,105.1,1.0,107.135,106.49,2058189.0,0.0
2018-04-27,105.7743,109.15,105.0,1.0,109.54,106.67,3208172.0,0.0
2018-04-30,104.8422,106.67,105.32,1.0,107.74,105.73,2200486.0,0.0
2018-05-01,102.9185,105.5,103.06,1.0,105.7499,103.79,2341611.0,0.0
2018-05-02,103.8704,104.14,103.72,1.0,105.6399,104.75,2599838.0,0.0
2018-05-03,103.0771,104.68,102.675,1.0,104.88,103.95,2170914.0,0.0
2018-05-04,103.9101,103.53,102.46,1.0,104.98,104.79,2129453.0,0.0
2018-05-07,103.7217,104.99,104.16,1.0,106.09,104.6,1903563.0,0.0
2018-05-08,103.6622,104.5,103.46,1.0,104.66,104.54,3054781.0,0.0
2018-05-09,108.9772,105.24,105.24,1.0,110.4,109.9,3547028.0,0.0
2018-05-10,111.476,109.88,109.73,1.0,113.51,112.42,3471986.0,0.0
2018-05-11,111.6247,112.47,111.97,1.0,113.53,112.57,2234442.0,0.0
2018-05-14,111.0397,112.87,111.57,1.0,113.3284,111.98,1854391.0,0.0
2018-05-15,111.2281,111.65,111.15,1.0,112.49,112.17,1534176.0,0.0
2018-05-16,114.3417,113.94,113.78,1.0,116.38,115.31,3360147.0,0.0
2018-05-17,115.2144,115.1,114.93,1.0,116.28,116.19,2311451.0,0.0
2018-05-18,115.2441,116.11,115.91,1.0,116.87,116.22,1903891.0,0.0
2018-05-21,116.5431,117.0,116.23,1.0,117.71,117.53,1770785.0,0.0
2018-05-22,115.1945,117.78,116.05,1.0,118.79,116.17,1715326.0,0.0
2018-05-23,114.6888,115.2,113.17,1.0,115.82,115.66,1573412.0,0.0
2018-05-24,116.0374,115.64,115.5,1.0,119.39,117.02,2659054.0,0.0
2018-05-25,112.8048,115.8,113.05,1.0,116.22,113.76,2545295.0,0.0
2018-05-29,110.5142,112.68,110.97,1.0,114.47,111.45,2548003.0,0.0
2018-05-30,112.9237,112.42,111.75,1.0,114.14,113.88,1866354.0,0.0
2018-05-31,111.1785,113.83,111.89,1.0,113.83,112.12,2126893.0,0.0
2018-06-01,112.1701,114.42,112.45,1.0,115.26,113.12,1667298.0,0.0
2018-06-04,112.4379,113.58,113.07,1.0,114.35,113.39,1377520.0,0.0
2018-06-05,114.4706,112.98,112.98,1.0,115.73,115.44,1850959.0,0.0
2018-06-06,117.0488,116.51,115.56,1.0,118.07,118.04,2368054.0,0.0
2018-06-07,117.5446,118.01,117.4,1.0,118.85,118.54,2256881.0,0.0
