date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,169.031,160.5,156.8,1.0,169.36,169.28,7204970.0,0.0
2018-02-07,168.4818,169.0,167.45,1.0,172.61,168.73,4337676.0,0.0
2018-02-08,160.3837,168.77,160.46,1.0,169.24,160.62,6381119.0,0.0
2018-02-09,164.957,161.67,158.565,1.0,166.49,165.2,6274630.0,0.0
2018-02-12,167.9426,166.8,165.58,1.0,168.82,168.19,5133239.0,0.0
2018-02-13,169.8697,167.33,167.01,1.0,170.77,170.12,3464919.0,0.0
2018-02-14,172.2662,169.36,169.0,1.0,172.66,172.52,4203662.0,0.0
2018-02-15,174.433,173.95,171.36,1.0,174.7,174.69,3893736.0,0.0
2018-02-16,175.3916,174.35,174.14,1.0,176.67,175.65,4125123.0,0.0
2018-02-20,175.0921,174.88,174.04,1.0,176.43,175.35,3629863.0,0.0
2018-02-21,172.0665,175.35,172.28,1.0,176.35,172.32,5635043.0,0.0
2018-02-22,172.6956,173.34,170.8,1.0,173.83,172.95,5592275.0,0.0
2018-02-23,175.5015,173.9,172.49,1.0,175.78,175.76,2973893.0,0.0
2018-02-26,177.6083,176.5,176.06,1.0,178.14,177.87,4085897.0,0.0
2018-02-27,175.6712,177.72,175.93,1.0,179.17,175.93,3774999.0,0.0
2018-02-28,175.5015,176.29,175.75,1.0,178.97,175.76,4115948.0,0.0
2018-03-01,173.2348,176.35,172.151,1.0,177.35,173.49,4658478.0,0.0
2018-03-02,174.7625,171.56,169.2703,1.0,175.33,175.02,4190095.0,0.0
2018-03-05,178.2674,174.13,172.91,1.0,179.27,178.53,4826505.0,0.0
2018-03-06,177.2688,179.18,176.95,1.0,180.09,177.53,3820901.0,0.0
2018-03-07,178.9464,175.76,175.55,1.0,179.71,179.21,2766055.0,0.0
2018-03-08,178.9863,179.35,177.56,1.0,179.89,179.25,2192336.0,0.0
2018-03-09,182.9705,180.25,179.97,1.0,183.33,183.24,3664702.0,0.0
2018-03-12,182.2715,182.83,181.7,1.0,183.52,182.54,3580582.0,0.0
2018-03-13,180.7437,183.47,180.15,1.0,183.73,181.01,3249854.0,0.0
2018-03-14,179.855,181.99,179.62,1.0,182.0,180.12,2810081.0,0.0
2018-03-15,180.6838,180.57,180.02,1.0,182.17,180.95,2249932.0,0.0
2018-03-16,182.2815,181.01,181.01,1.0,183.17,182.55,4272163.0,0.0
2018-03-19,180.3144,181.79,179.1111,1.0,182.3,180.58,3696074.0,0.0
2018-03-20,182.2415,181.31,181.22,1.0,183.25,182.51,2807202.0,0.0
2018-03-21,180.4841,182.96,180.74,1.0,183.5,180.75,3236218.0,0.0
2018-03-22,175.2618,179.2,175.11,1.0,180.26,175.52,4358154.0,0.0
2018-03-23,171.5772,176.18,171.66,1.0,177.79,171.83,4139453.0,0.0
2018-03-26,176.9094,175.33,173.06,1.0,177.47,177.17,5178854.0,0.0
2018-03-27,172.2662,178.36,170.97,1.0,178.5,172.52,4619313.0,0.0
2018-03-28,170.0994,172.25,168.55,1.0,172.93,170.35,5166602.0,0.0
2018-03-29,174.9023,171.72,170.82,1.0,176.66,175.16,3719229.0,0.0
2018-04-02,171.3476,174.64,169.04,1.0,175.77,171.6,4222361.0,0.0
2018-04-03,172.2163,172.36,169.81,1.0,172.89,172.47,3612644.0,0.0
2018-04-04,173.4345,169.18,167.94,1.0,174.01,173.69,4628330.0,0.0
2018-04-05,175.5414,175.13,174.535,1.0,177.44,175.8,3434123.0,0.0
2018-04-06,169.7,173.37,168.96,1.0,175.15,169.7,5005487.0,0.25
2018-04-09,170.34,171.27,170.14,1.0,174.09,170.34,3910687.0,0.0
2018-04-10,174.72,173.14,172.02,1.0,175.45,174.72,3461490.0,0.0
2018-04-11,172.36,173.7,172.12,1.0,175.6,172.36,2783033.0,0.0
2018-04-12,174.8,173.33,173.16,1.0,176.48,174.8,3065620.0,0.0
2018-04-13,174.27,176.0,172.7,1.0,176.1,174.27,3059947.0,0.0
2018-04-16,173.87,175.62,172.97,1.0,176.1,173.87,4668552.0,0.0
2018-04-17,178.34,175.77,174.67,1.0,179.19,178.34,4210184.0,0.0
2018-04-18,179.46,178.5,177.07,1.0,179.8,179.46,3150576.0,0.0
2018-04-19,179.01,179.08,178.26,1.0,179.5746,179.01,3560370.0,0.0
