date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,58.1816,58.59,57.37,1.0,59.88,59.65,3231069.0,0.0
2018-02-07,58.7083,59.41,59.36,1.0,61.78,60.19,1924635.0,0.0
2018-02-08,56.9233,60.02,58.35,1.0,60.34,58.36,1690240.0,0.0
2018-02-09,58.9229,58.67,58.2,1.0,60.96,60.41,1839620.0,0.0
2018-02-12,59.3033,60.45,58.66,1.0,61.04,60.8,1715314.0,0.0
2018-02-13,59.3325,60.44,59.845,1.0,61.16,60.83,844448.0,0.0
2018-02-14,60.0446,60.22,59.39,1.0,61.85,61.56,1471397.0,0.0
2018-02-15,59.5959,61.33,60.36,1.0,61.91,61.1,1795845.0,0.0
2018-02-16,59.1667,61.04,59.9,1.0,61.65,60.66,1642485.0,0.0
2018-02-20,58.64,59.81,59.255,1.0,60.72,59.38,1122442.0,0.74
2018-02-21,57.2377,59.38,57.81,1.0,59.38,57.96,1272205.0,0.0
2018-02-22,58.0672,58.13,58.13,1.0,59.1301,58.8,1417581.0,0.0
2018-02-23,58.6202,58.98,58.43,1.0,59.42,59.36,1202660.0,0.0
2018-02-26,59.0646,59.525,59.07,1.0,59.85,59.81,1322086.0,0.0
2018-02-27,57.1291,60.29,57.83,1.0,60.74,57.85,1025051.0,0.0
2018-02-28,58.2055,57.96,57.78,1.0,60.85,58.94,3065110.0,0.0
2018-03-01,58.3931,58.93,58.45,1.0,60.29,59.13,1190894.0,0.0
2018-03-02,58.3042,58.86,58.02,1.0,59.22,59.04,772180.0,0.0
2018-03-05,58.4227,58.57,58.57,1.0,59.93,59.16,1928890.0,0.0
2018-03-06,58.4425,59.2,58.44,1.0,59.48,59.18,713680.0,0.0
2018-03-07,58.5314,58.94,58.36,1.0,59.56,59.27,1066952.0,0.0
2018-03-08,58.0475,59.4,58.47,1.0,59.4,58.78,1235822.0,0.0
2018-03-09,57.2969,58.85,56.86,1.0,58.88,58.02,1272814.0,0.0
2018-03-12,57.376,57.96,57.45,1.0,58.445,58.1,1210950.0,0.0
2018-03-13,58.1561,58.4,57.98,1.0,59.103,58.89,656261.0,0.0
2018-03-14,58.8573,58.7,58.4,1.0,59.69,59.6,1802214.0,0.0
2018-03-15,58.3734,59.62,58.71,1.0,60.01,59.11,1562098.0,0.0
2018-03-16,58.1956,58.98,58.39,1.0,59.41,58.93,2499117.0,0.0
2018-03-19,57.1291,59.03,57.42,1.0,59.09,57.85,1331324.0,0.0
2018-03-20,56.6452,57.96,56.98,1.0,58.41,57.36,681178.0,0.0
2018-03-21,56.7637,57.34,56.83,1.0,57.8,57.48,830847.0,0.0
2018-03-22,57.1587,57.33,57.33,1.0,58.68,57.88,1491479.0,0.0
2018-03-23,56.5662,58.0,57.05,1.0,58.15,57.28,848848.0,0.0
2018-03-26,57.1192,57.77,56.89,1.0,57.94,57.84,788207.0,0.0
2018-03-27,54.8084,56.55,54.35,1.0,56.85,55.5,3148368.0,0.0
2018-03-28,56.2008,55.87,55.7,1.0,57.41,56.91,945620.0,0.0
2018-03-29,55.3219,56.8,55.68,1.0,57.215,56.02,1105280.0,0.0
2018-04-02,54.6997,55.99,55.01,1.0,56.489,55.39,1646223.0,0.0
2018-04-03,55.4206,55.37,54.67,1.0,56.6,56.12,1070261.0,0.0
2018-04-04,57.8203,55.76,55.745,1.0,58.74,58.55,1954023.0,0.0
2018-04-05,57.6722,58.61,57.5,1.0,59.21,58.4,1136601.0,0.0
2018-04-06,56.6353,58.14,57.16,1.0,58.71,57.35,912245.0,0.0
2018-04-09,56.497,57.45,56.77,1.0,57.9,57.21,729597.0,0.0
2018-04-10,57.0797,57.58,57.035,1.0,57.9,57.8,761361.0,0.0
2018-04-11,57.3562,57.56,57.06,1.0,58.75,58.08,1150215.0,0.0
2018-04-12,56.8822,58.12,56.92,1.0,58.12,57.6,1096456.0,0.0
2018-04-13,57.0994,57.69,57.04,1.0,58.17,57.82,1403906.0,0.0
2018-04-16,57.1291,57.94,57.62,1.0,58.53,57.85,601852.0,0.0
2018-04-17,57.613,57.86,57.43,1.0,58.92,58.34,853661.0,0.0
2018-04-18,57.3463,58.61,57.9,1.0,58.76,58.07,622915.0,0.0
2018-04-19,56.8328,57.99,56.415,1.0,58.07,57.55,2770631.0,0.0
2018-04-20,56.7834,59.72,56.685,1.0,60.0,57.5,3922998.0,0.0
2018-04-23,55.6576,57.67,56.31,1.0,57.89,56.36,1892570.0,0.0
2018-04-24,55.4799,56.36,55.82,1.0,56.56,56.18,1769276.0,0.0
2018-04-25,54.5615,56.15,55.05,1.0,56.48,55.25,1307082.0,0.0
2018-04-26,55.0849,55.47,55.04,1.0,56.26,55.78,2489117.0,0.0
2018-04-27,56.8526,55.74,55.74,1.0,58.266,57.57,1437334.0,0.0
2018-04-30,56.9019,57.84,57.13,1.0,58.25,57.62,1412889.0,0.0
2018-05-01,57.1587,57.62,57.11,1.0,58.15,57.88,1059675.0,0.0
2018-05-02,56.8526,57.12,56.52,1.0,57.98,57.57,1407294.0,0.0
2018-05-03,57.376,57.17,56.82,1.0,58.31,58.1,1146459.0,0.0
2018-05-04,58.2746,57.97,57.87,1.0,59.04,59.01,2138863.0,0.0
2018-05-07,58.64,58.54,58.1,1.0,58.69,58.64,941917.0,0.74
2018-05-08,57.72,58.37,57.64,1.0,58.69,57.72,1494939.0,0.0
2018-05-09,57.48,57.72,57.32,1.0,58.27,57.48,824362.0,0.0
2018-05-10,57.57,57.46,57.25,1.0,57.75,57.57,923574.0,0.0
2018-05-11,56.94,57.62,56.75,1.0,57.83,56.94,1102865.0,0.0
2018-05-14,55.88,56.85,55.405,1.0,57.3,55.88,1520379.0,0.0
2018-05-15,54.11,55.61,53.65,1.0,55.86,54.11,2251684.0,0.0
2018-05-16,54.46,54.67,54.23,1.0,54.98,54.46,1153215.0,0.0
2018-05-17,54.59,54.61,54.36,1.0,55.03,54.59,859068.0,0.0
2018-05-18,54.84,54.53,54.35,1.0,55.44,54.84,2439289.0,0.0
2018-05-21,55.14,55.02,53.545,1.0,55.54,55.14,1036704.0,0.0
2018-05-22,55.04,55.14,54.54,1.0,55.27,55.04,950226.0,0.0
2018-05-23,55.41,55.14,54.78,1.0,55.56,55.41,762618.0,0.0
2018-05-24,54.75,55.41,54.52,1.0,55.76,54.75,706802.0,0.0
2018-05-25,54.75,54.84,54.34,1.0,54.96,54.75,667214.0,0.0
2018-05-29,55.32,54.45,54.32,1.0,55.77,55.32,1100640.0,0.0
2018-05-30,56.15,55.29,54.82,1.0,56.21,56.15,1166770.0,0.0
