date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,139.2891,134.07,131.0,1.0,140.23,140.03,2811276.0,0.0
2018-02-07,138.9012,139.25,138.6601,1.0,142.77,139.64,1766896.0,0.0
2018-02-08,133.1717,139.61,133.81,1.0,139.94,133.88,2155218.0,0.0
2018-02-09,135.5689,134.54,131.1,1.0,137.47,136.29,2589309.0,0.0
2018-02-12,138.3641,137.42,137.27,1.0,139.93,139.1,2814901.0,0.0
2018-02-13,139.8661,138.45,137.711,1.0,141.02,140.61,1967829.0,0.0
2018-02-14,144.4716,141.0,140.32,1.0,145.4,145.24,3390778.0,0.0
2018-02-15,140.5425,142.12,140.85,1.0,144.95,141.29,4290880.0,0.0
2018-02-16,137.7672,140.76,138.48,1.0,141.44,138.5,2839415.0,0.0
2018-02-20,139.697,138.14,138.1313,1.0,140.95,140.44,2141859.0,0.0
2018-02-21,141.2089,140.81,140.62,1.0,144.86,141.96,3798838.0,0.0
2018-02-22,140.1844,142.19,139.82,1.0,142.71,140.6,2026820.0,0.33
2018-02-23,141.7497,141.82,140.65,1.0,142.24,142.17,1313821.0,0.0
2018-02-26,140.9322,142.58,141.23,1.0,143.17,141.35,1872319.0,0.0
2018-02-27,137.7117,141.79,138.08,1.0,142.35,138.12,2166186.0,0.0
2018-02-28,140.7926,138.5,138.5,1.0,143.34,141.21,2402140.0,0.0
2018-03-01,137.1334,141.21,137.17,1.0,142.07,137.54,3060861.0,0.0
2018-03-02,139.1674,136.52,135.13,1.0,139.95,139.58,2386071.0,0.0
2018-03-05,135.3288,138.45,134.29,1.0,138.96,135.73,3635842.0,0.0
2018-03-06,137.2032,136.58,136.0,1.0,138.4721,137.61,2380269.0,0.0
2018-03-07,138.5692,137.0,136.52,1.0,139.44,138.98,1629541.0,0.0
2018-03-08,138.9381,139.19,138.85,1.0,140.21,139.35,1543182.0,0.0
2018-03-09,142.8664,141.86,140.19,1.0,144.61,143.29,2455640.0,0.0
2018-03-12,141.3908,143.22,141.31,1.0,143.67,141.81,2189039.0,0.0
2018-03-13,141.331,142.48,141.57,1.0,143.36,141.75,2007114.0,0.0
2018-03-14,141.0119,142.42,140.67,1.0,142.99,141.43,1306409.0,0.0
2018-03-15,141.311,141.58,140.94,1.0,143.04,141.73,1306491.0,0.0
2018-03-16,140.643,142.01,141.05,1.0,142.45,141.06,2437255.0,0.0
2018-03-19,139.4067,139.93,138.5,1.0,140.55,139.82,1638411.0,0.0
2018-03-20,140.1345,140.52,140.15,1.0,141.3,140.55,1301957.0,0.0
2018-03-21,140.0049,140.27,139.54,1.0,141.32,140.42,1220325.0,0.0
2018-03-22,136.8443,139.09,137.15,1.0,140.96,137.25,1597985.0,0.0
2018-03-23,133.3646,137.06,133.75,1.0,137.94,133.76,2003719.0,0.0
2018-03-26,138.5093,135.49,134.99,1.0,139.12,138.92,1934709.0,0.0
2018-03-27,135.1892,139.41,134.97,1.0,139.67,135.59,1748717.0,0.0
2018-03-28,133.5042,135.6,132.56,1.0,136.5,133.9,2212007.0,0.0
2018-03-29,135.578,134.89,134.5104,1.0,137.49,135.98,2524739.0,0.0
2018-04-02,131.6796,134.96,130.39,1.0,136.41,132.07,3154038.0,0.0
2018-04-03,132.1083,133.19,131.37,1.0,134.17,132.5,3643526.0,0.0
2018-04-04,135.4085,130.87,130.42,1.0,136.15,135.81,3194621.0,0.0
2018-04-05,134.0426,136.91,133.23,1.0,138.41,134.44,2917398.0,0.0
2018-04-06,130.543,133.15,129.53,1.0,134.23,130.93,2625495.0,0.0
2018-04-09,130.3336,131.9,130.57,1.0,133.27,130.72,2449652.0,0.0
2018-04-10,129.4562,132.46,128.97,1.0,132.83,129.84,3669731.0,0.0
2018-04-11,131.6397,130.75,130.75,1.0,133.64,132.03,3893071.0,0.0
2018-04-12,132.6168,132.51,131.86,1.0,133.7,133.01,2901478.0,0.0
2018-04-13,130.6726,133.54,130.51,1.0,133.93,131.06,1352666.0,0.0
2018-04-16,133.0755,132.05,131.92,1.0,134.28,133.47,1501563.0,0.0
2018-04-17,136.4056,134.67,134.46,1.0,137.55,136.81,2928633.0,0.0
2018-04-18,137.9012,136.88,136.69,1.0,139.19,138.31,1612196.0,0.0
2018-04-19,137.2132,137.93,136.99,1.0,138.65,137.62,1156345.0,0.0
2018-04-20,137.0736,137.15,136.73,1.0,138.25,137.48,1380501.0,0.0
2018-04-23,137.2232,137.9,136.82,1.0,138.79,137.63,843602.0,0.0
2018-04-24,136.4953,138.84,135.36,1.0,139.5,136.9,1562100.0,0.0
2018-04-25,136.8343,136.39,135.28,1.0,137.79,137.24,1123208.0,0.0
2018-04-26,137.3528,138.16,136.22,1.0,138.8,137.76,1240862.0,0.0
2018-04-27,137.0138,137.28,136.56,1.0,139.0,137.42,1112751.0,0.0
2018-04-30,136.276,138.12,136.4701,1.0,139.48,136.68,1115099.0,0.0
2018-05-01,137.1933,136.19,135.49,1.0,137.76,137.6,1046617.0,0.0
2018-05-02,133.7634,137.12,134.01,1.0,137.72,134.16,2324271.0,0.0
2018-05-03,134.242,133.4,130.72,1.0,135.19,134.64,2474517.0,0.0
2018-05-04,135.4484,133.92,133.18,1.0,137.06,135.85,2832772.0,0.0
2018-05-07,136.2361,136.58,135.85,1.0,137.25,136.64,2331085.0,0.0
2018-05-08,138.8982,136.53,136.0,1.0,139.45,139.31,3771084.0,0.0
2018-05-09,137.4924,138.43,134.245,1.0,139.1655,137.9,3999747.0,0.0
2018-05-10,138.1604,138.12,137.395,1.0,138.99,138.57,2114771.0,0.0
2018-05-11,139.4067,138.88,138.18,1.0,140.11,139.82,1509102.0,0.0
2018-05-14,138.9381,139.91,138.96,1.0,140.2792,139.35,1845416.0,0.0
2018-05-15,138.4495,139.0,137.84,1.0,139.14,138.86,1492672.0,0.0
2018-05-16,140.0249,139.21,138.61,1.0,141.61,140.44,1620222.0,0.0
2018-05-17,138.29,139.89,138.05,1.0,140.01,138.29,1894560.0,0.41
2018-05-18,138.52,139.47,137.72,1.0,139.47,138.52,1444562.0,0.0
2018-05-21,138.8,138.88,137.98,1.0,139.84,138.8,1124303.0,0.0
2018-05-22,137.78,139.39,137.5,1.0,139.39,137.78,1099409.0,0.0
2018-05-23,137.59,136.76,136.76,1.0,137.84,137.59,1061330.0,0.0
2018-05-24,137.87,137.43,137.25,1.0,138.365,137.87,1504303.0,0.0
2018-05-25,137.97,137.81,137.27,1.0,139.18,137.97,1396668.0,0.0
2018-05-29,134.55,136.32,134.07,1.0,136.86,134.55,2011712.0,0.0
2018-05-30,136.27,135.02,134.6,1.0,136.94,136.27,1271711.0,0.0
2018-05-31,135.36,136.32,134.66,1.0,136.75,135.36,2316286.0,0.0
2018-06-01,138.34,136.58,135.71,1.0,138.99,138.34,1558520.0,0.0
2018-06-04,138.69,138.82,137.41,1.0,138.99,138.69,1277663.0,0.0
2018-06-05,138.22,138.5,137.84,1.0,139.8399,138.22,1334011.0,0.0
2018-06-06,141.57,137.97,137.7,1.0,141.72,141.57,2113466.0,0.0
2018-06-07,139.44,141.66,139.01,1.0,142.1896,139.44,1622736.0,0.0
2018-06-08,138.38,139.48,137.94,1.0,139.62,138.38,1609216.0,0.0
2018-06-11,139.14,138.04,137.745,1.0,139.84,139.14,1809825.0,0.0
2018-06-12,139.86,139.56,139.24,1.0,140.42,139.86,1354205.0,0.0
2018-06-13,138.35,140.0,137.76,1.0,140.48,138.35,1662692.0,0.0
2018-06-14,138.75,138.7,138.15,1.0,139.39,138.75,1216094.0,0.0
2018-06-15,138.83,139.0,137.22,1.0,139.19,138.83,2321156.0,0.0
2018-06-18,138.67,137.82,137.501,1.0,138.86,138.67,826478.0,0.0
2018-06-19,136.58,137.14,135.5,1.0,137.52,136.58,1364059.0,0.0
2018-06-20,135.99,136.75,135.83,1.0,138.22,135.99,1794920.0,0.0
2018-06-21,133.73,135.79,133.42,1.0,135.99,133.73,1684111.0,0.0
2018-06-22,132.61,133.95,132.48,1.0,134.31,132.61,1813937.0,0.0
2018-06-25,129.1,131.47,128.66,1.0,131.99,129.1,2432145.0,0.0
2018-06-26,129.43,129.45,128.96,1.0,130.14,129.43,1748818.0,0.0
2018-06-27,126.94,129.56,126.7,1.0,130.77,126.94,2282226.0,0.0
2018-06-28,124.75,127.04,124.22,1.0,127.29,124.75,1013002.0,0.0
