date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,163.0941,158.35,158.25,1.0,166.05,165.18,6782929.0,0.0
2018-02-07,163.6174,164.86,164.52,1.0,168.26,165.71,4926698.0,0.0
2018-02-08,156.9625,165.69,158.76,1.0,165.7329,158.97,5412844.0,0.0
2018-02-09,158.7694,159.98,155.23,1.0,161.98,160.8,7172175.0,0.0
2018-02-12,161.8303,162.37,161.5,1.0,165.89,163.9,5244251.0,0.0
2018-02-13,160.3492,163.0,161.72,1.0,163.83,162.4,5401178.0,0.0
2018-02-14,157.9697,161.44,159.68,1.0,162.02,159.99,5846477.0,0.0
2018-02-15,158.7497,161.14,158.81,1.0,161.52,160.78,4926716.0,0.0
2018-02-16,155.7974,159.47,157.76,1.0,159.9,157.79,7148544.0,0.0
2018-02-20,155.1754,157.0,156.275,1.0,159.16,157.16,5185970.0,0.0
2018-02-21,156.6367,157.76,157.6,1.0,161.32,158.64,6512546.0,0.0
2018-02-22,158.6312,158.95,158.9,1.0,161.4,160.66,4393003.0,0.0
2018-02-23,161.0009,161.44,161.44,1.0,163.31,163.06,4209915.0,0.0
2018-02-26,161.5143,164.0,162.3,1.0,164.75,163.58,3895851.0,0.0
2018-02-27,158.6312,164.19,160.64,1.0,164.5,160.66,4895502.0,0.0
2018-02-28,156.7453,160.43,157.72,1.0,161.21,157.74,6043547.0,1.01
2018-03-01,154.7182,157.8,155.21,1.0,160.43,155.7,5608962.0,0.0
2018-03-02,147.335,148.91,146.84,1.0,150.45,148.27,11754262.0,0.0
2018-03-05,150.0776,148.28,147.92,1.0,151.48,151.03,6397841.0,0.0
2018-03-06,150.2466,151.25,150.13,1.0,151.71,151.2,5015408.0,0.0
2018-03-07,151.4191,149.86,149.68,1.0,152.74,152.38,4492049.0,0.0
2018-03-08,153.4661,152.73,152.65,1.0,154.61,154.44,4246657.0,0.0
2018-03-09,156.2485,155.62,154.84,1.0,157.73,157.24,4722315.0,0.0
