date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,91.92,88.14,91.1714,91.92,87.9,5098625.0,0.0,1.0
2018-02-07,82.91,87.55,82.2347,89.0,82.81,13461654.0,0.0,1.0
2018-02-08,79.9,83.0,79.2493,83.21,79.24,7520589.0,0.0,1.0
2018-02-09,81.04,80.77,80.38,81.98,78.33,5423879.0,0.0,1.0
2018-02-12,83.02,81.51,82.3438,83.51,81.51,4989235.0,0.0,1.0
2018-02-13,80.81,82.11,80.1518,82.71,80.13,4246164.0,0.0,1.0
2018-02-14,82.21,80.04,81.5404,82.38,80.0,3643694.0,0.0,1.0
2018-02-15,82.49,83.11,81.8182,83.28,81.0,3559161.0,0.0,1.0
2018-02-16,83.41,82.23,82.7307,83.819,82.23,3488132.0,0.0,1.0
2018-02-20,84.86,82.64,84.5289,86.52,82.64,3902152.0,0.363,1.0
2018-02-21,84.15,85.23,83.8217,85.84,83.6,3143827.0,0.0,1.0
2018-02-22,83.92,84.18,83.5926,85.63,83.25,2189985.0,0.0,1.0
2018-02-23,85.16,84.81,84.8277,85.22,83.67,1961478.0,0.0,1.0
2018-02-26,86.38,85.45,86.043,86.46,85.25,2113138.0,0.0,1.0
2018-02-27,88.55,87.76,88.2045,92.27,87.61,6091670.0,0.0,1.0
2018-02-28,88.93,89.42,88.583,90.51,88.7,4026028.0,0.0,1.0
2018-03-01,89.02,89.02,88.6727,90.0,87.56,3838358.0,0.0,1.0
2018-03-02,91.29,92.39,90.9338,93.75,89.0,8528589.0,0.0,1.0
2018-03-05,94.47,91.73,94.1014,94.91,91.09,3937415.0,0.0,1.0
2018-03-06,96.57,94.99,96.1932,96.76,93.74,4781505.0,0.0,1.0
2018-03-07,95.57,95.08,95.1971,96.0842,94.22,3004108.0,0.0,1.0
2018-03-08,95.34,97.0,94.968,97.16,94.56,3851447.0,0.0,1.0
2018-03-09,98.97,96.91,98.5838,99.13,96.45,4250562.0,0.0,1.0
2018-03-12,100.24,99.53,99.8489,100.5,99.3,2915349.0,0.0,1.0
2018-03-13,98.03,100.99,97.6475,101.48,97.48,3639788.0,0.0,1.0
2018-03-14,97.25,98.53,96.8706,98.695,96.76,2327347.0,0.0,1.0
2018-03-15,97.53,97.44,97.1495,97.82,96.86,1690708.0,0.0,1.0
2018-03-16,98.18,97.6,97.7969,98.8,97.24,2556310.0,0.0,1.0
2018-03-19,96.97,97.24,96.5916,97.47,94.89,2580576.0,0.0,1.0
2018-03-20,98.54,97.33,98.1555,98.91,97.01,2213972.0,0.0,1.0
2018-03-21,99.21,98.06,98.8229,100.27,98.045,2484556.0,0.0,1.0
2018-03-22,96.55,97.65,96.1733,98.83,96.5,2187486.0,0.0,1.0
2018-03-23,94.01,96.7,93.6432,97.0,94.01,3519479.0,0.0,1.0
2018-03-26,97.99,95.99,97.6077,98.08,94.61,1693770.0,0.0,1.0
2018-03-27,94.4,98.67,94.0317,99.09,93.73,2693716.0,0.0,1.0
2018-03-28,91.16,94.07,90.8043,94.39,90.93,3675539.0,0.0,1.0
2018-03-29,91.36,91.93,91.0035,92.61,90.45,4269410.0,0.0,1.0
2018-04-02,87.63,90.99,87.2881,91.5,87.23,4366054.0,0.0,1.0
2018-04-03,89.03,88.39,88.6826,89.2,87.35,2398648.0,0.0,1.0
2018-04-04,90.18,87.16,89.8281,90.41,86.91,2115538.0,0.0,1.0
2018-04-05,89.62,90.62,89.2703,90.92,88.44,1992298.0,0.0,1.0
2018-04-06,86.27,88.39,85.9334,89.71,85.88,2461719.0,0.0,1.0
2018-04-09,86.2,87.13,85.8637,89.0299,86.12,3704488.0,0.0,1.0
2018-04-10,88.73,88.07,88.3838,89.24,86.96,2291164.0,0.0,1.0
2018-04-11,88.5,87.62,88.1547,90.0,87.47,2110589.0,0.0,1.0
2018-04-12,89.06,89.16,88.7125,89.91,88.54,3052034.0,0.0,1.0
2018-04-13,87.33,89.57,86.9893,89.68,87.0,2451714.0,0.0,1.0
2018-04-16,86.23,88.2,85.8936,88.2,85.96,3794338.0,0.0,1.0
2018-04-17,89.07,86.84,88.7225,89.63,86.75,2975184.0,0.0,1.0
