date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,152.52,150.39,151.8097,155.335,148.06,2994658.0,0.0,1.0
2018-02-07,152.83,151.61,152.1182,156.29,151.29,1479696.0,0.0,1.0
2018-02-08,150.23,152.62,149.5303,155.68,150.13,2747864.0,0.0,1.0
2018-02-09,148.93,152.15,148.2364,152.21,144.85,2229275.0,0.0,1.0
2018-02-12,149.02,149.62,148.326,151.46,147.91,1256906.0,0.0,1.0
2018-02-13,146.18,145.0,145.4992,147.4,143.08,2456529.0,0.0,1.0
2018-02-14,148.77,145.36,148.0771,150.09,145.01,1859982.0,0.0,1.0
2018-02-15,148.7,149.28,148.0074,149.62,146.21,1527354.0,0.0,1.0
2018-02-16,150.5,148.23,149.7991,152.04,148.06,1714695.0,0.0,1.0
2018-02-20,148.85,150.0,148.1567,150.67,147.92,1066215.0,0.0,1.0
2018-02-21,149.59,148.72,148.8933,151.41,148.65,1134653.0,0.0,1.0
2018-02-22,150.09,149.76,149.391,152.82,149.36,1577632.0,0.0,1.0
2018-02-23,152.65,150.72,151.939,153.065,150.3,1209943.0,0.0,1.0
2018-02-26,154.52,152.51,153.8003,155.27,152.22,1263204.0,0.0,1.0
2018-02-27,153.68,155.0,152.9642,155.38,151.85,1965704.0,0.0,1.0
2018-02-28,149.23,153.75,148.8734,153.9,149.09,1776729.0,0.34,1.0
2018-03-01,146.54,149.51,146.1898,150.3375,145.75,1993106.0,0.0,1.0
2018-03-02,149.9,145.8,149.5418,150.15,144.81,1511193.0,0.0,1.0
2018-03-05,151.31,149.28,150.9484,152.13,147.955,1309612.0,0.0,1.0
2018-03-06,151.17,151.71,150.8088,151.91,149.98,1162680.0,0.0,1.0
2018-03-07,151.75,150.0,151.3874,152.22,149.935,715061.0,0.0,1.0
2018-03-08,153.98,151.76,153.612,154.05,151.75,1389556.0,0.0,1.0
2018-03-09,155.79,154.8,155.4177,156.26,154.095,1256971.0,0.0,1.0
2018-03-12,157.8,156.11,157.4229,158.29,155.755,1286680.0,0.0,1.0
2018-03-13,157.69,158.47,157.3132,160.87,157.37,1487222.0,0.0,1.0
2018-03-14,155.44,158.04,155.0686,158.78,154.0,1985172.0,0.0,1.0
2018-03-15,153.96,155.44,153.5921,156.89,153.6,2169071.0,0.0,1.0
2018-03-16,152.33,154.08,151.966,154.225,151.75,3513184.0,0.0,1.0
2018-03-19,147.62,151.92,147.2672,152.5,147.5,2641590.0,0.0,1.0
2018-03-20,141.81,148.0,141.4711,148.73,140.72,3051279.0,0.0,1.0
2018-03-21,142.92,141.6,142.5785,144.5,141.22,1279657.0,0.0,1.0
2018-03-22,141.69,142.0,141.3514,143.77,141.17,1656552.0,0.0,1.0
