date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,157.94,150.87,157.1272,157.97,147.34,1980356.0,0.0,1.0
2018-02-07,157.98,157.02,157.167,161.25,156.43,1030791.0,0.0,1.0
2018-02-08,152.14,157.95,151.357,160.12,151.85,1659053.0,0.0,1.0
2018-02-09,154.64,154.67,153.8442,158.55,149.295,2307152.0,0.0,1.0
2018-02-12,159.28,156.8,158.4603,161.38,155.72,1212608.0,0.0,1.0
2018-02-13,161.6,157.67,160.7684,161.77,156.72,673803.0,0.0,1.0
2018-02-14,163.55,160.94,162.7083,164.22,159.8,1356920.0,0.0,1.0
2018-02-15,166.99,165.05,166.1306,166.99,163.25,934076.0,0.0,1.0
2018-02-16,168.21,166.26,167.7821,169.06,165.93,744504.0,0.44,1.0
2018-02-20,168.13,167.44,167.7023,169.51,166.35,660980.0,0.0,1.0
2018-02-21,166.99,168.06,166.5652,170.62,166.872,793028.0,0.0,1.0
2018-02-22,167.17,167.88,166.7447,168.75,166.34,592122.0,0.0,1.0
2018-02-23,169.3,167.22,168.8693,169.3,166.37,662272.0,0.0,1.0
2018-02-26,170.2,170.4,169.767,170.8,168.615,739538.0,0.0,1.0
2018-02-27,168.37,169.9,167.9417,171.65,168.37,742336.0,0.0,1.0
2018-02-28,166.88,169.4,166.4555,171.07,166.86,1019447.0,0.0,1.0
2018-03-01,166.52,166.72,166.0964,168.83,164.8,837469.0,0.0,1.0
2018-03-02,166.94,164.59,166.5153,167.21,162.94,780863.0,0.0,1.0
2018-03-05,167.5,161.75,167.0739,168.31,160.79,880325.0,0.0,1.0
2018-03-06,166.06,168.0,165.6376,168.5,164.24,1095112.0,0.0,1.0
2018-03-07,166.76,164.0,166.3358,167.35,163.81,773260.0,0.0,1.0
2018-03-08,168.37,167.15,167.9417,168.79,166.71,749622.0,0.0,1.0
2018-03-09,170.05,169.77,169.6174,171.68,168.17,825966.0,0.0,1.0
2018-03-12,169.86,170.01,169.4279,170.795,168.89,609369.0,0.0,1.0
2018-03-13,169.08,170.73,168.6499,171.05,168.69,549643.0,0.0,1.0
2018-03-14,166.69,169.47,166.266,169.47,166.16,689830.0,0.0,1.0
2018-03-15,166.48,167.15,166.0565,167.48,165.43,570253.0,0.0,1.0
2018-03-16,167.3,166.62,166.8744,168.31,165.54,852791.0,0.0,1.0
2018-03-19,165.39,167.0,164.9693,167.66,164.28,490505.0,0.0,1.0
2018-03-20,167.46,166.02,167.034,168.38,165.3,449738.0,0.0,1.0
2018-03-21,167.21,167.72,166.7846,169.43,167.15,526784.0,0.0,1.0
2018-03-22,160.91,165.59,160.5007,166.31,160.7,759984.0,0.0,1.0
2018-03-23,158.42,161.16,158.017,162.63,158.39,986936.0,0.0,1.0
2018-03-26,163.3,161.54,162.8846,163.64,159.91,550284.0,0.0,1.0
2018-03-27,159.54,164.13,159.1341,164.13,158.43,785019.0,0.0,1.0
2018-03-28,158.94,159.94,158.5357,160.74,156.32,784106.0,0.0,1.0
2018-03-29,161.3,159.8,160.8897,162.48,158.49,856929.0,0.0,1.0
