date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,46.2,45.06,45.7841,46.38,44.58,13672080.0,0.0,1.0
2018-02-07,46.26,45.95,45.8435,46.93,45.83,9009638.0,0.0,1.0
2018-02-08,44.28,46.31,43.8813,46.42,44.26,9023310.0,0.0,1.0
2018-02-09,44.61,45.0,44.2084,45.02,43.38,9939277.0,0.0,1.0
2018-02-12,44.62,44.99,44.2183,45.21,44.13,9873164.0,0.0,1.0
2018-02-13,45.2,44.45,44.7931,45.25,44.18,8075789.0,0.0,1.0
2018-02-14,46.7,45.6,46.2795,46.9,45.26,9548192.0,0.0,1.0
2018-02-15,46.73,47.06,46.3093,47.28,46.095,6638940.0,0.0,1.0
2018-02-16,46.64,46.42,46.2201,47.045,46.23,7670393.0,0.0,1.0
2018-02-20,46.89,46.5,46.4678,47.14,46.32,6970121.0,0.0,1.0
2018-02-21,46.95,46.89,46.5273,47.667,46.86,6252603.0,0.0,1.0
2018-02-22,46.63,47.09,46.2102,47.325,46.505,5572907.0,0.0,1.0
2018-02-23,47.47,46.7,47.0426,47.48,46.7,4283849.0,0.0,1.0
2018-02-26,47.55,47.63,47.1219,47.86,47.19,5233258.0,0.0,1.0
2018-02-27,47.22,47.52,46.7949,48.19,47.22,5751203.0,0.0,1.0
2018-02-28,46.19,47.41,45.7741,47.66,46.18,7219228.0,0.0,1.0
2018-03-01,45.73,46.23,45.3183,46.71,45.35,7827930.0,0.0,1.0
2018-03-02,45.5,45.33,45.0904,45.68,44.66,7111227.0,0.0,1.0
2018-03-05,46.39,45.09,45.9723,46.65,45.09,7212594.0,0.0,1.0
2018-03-06,47.07,46.54,46.6462,47.31,46.49,7415596.0,0.0,1.0
2018-03-07,47.05,46.53,46.6264,47.15,46.39,5008356.0,0.0,1.0
2018-03-08,46.84,47.15,46.4183,47.1899,46.44,4049183.0,0.0,1.0
2018-03-09,47.84,47.36,47.4093,48.01,47.22,5026145.0,0.0,1.0
2018-03-12,47.02,47.83,46.5967,47.84,47.01,6002402.0,0.0,1.0
2018-03-13,47.1,47.3,46.6759,47.46,46.77,5657401.0,0.0,1.0
2018-03-14,46.91,47.32,46.4877,47.4,46.79,6472800.0,0.0,1.0
2018-03-15,46.96,47.2,46.5372,47.26,46.7701,3889838.0,0.0,1.0
2018-03-16,47.32,46.92,46.894,47.68,46.92,8305698.0,0.0,1.0
2018-03-19,47.09,47.42,46.666,47.56,46.56,5973125.0,0.0,1.0
2018-03-20,47.2,47.12,46.775,47.445,47.12,5721330.0,0.0,1.0
2018-03-21,47.22,47.39,46.7949,47.79,47.16,4665920.0,0.0,1.0
2018-03-22,45.71,46.55,45.2985,46.74,45.555,5612629.0,0.0,1.0
2018-03-23,44.08,45.83,43.6831,45.94,44.04,5524704.0,0.0,1.0
2018-03-26,46.15,45.21,45.7345,46.29,45.0,7131265.0,0.0,1.0
2018-03-27,45.49,46.11,45.0804,46.47,45.225,6692089.0,0.0,1.0
2018-03-28,45.9,45.66,45.4868,46.33,45.21,7056625.0,0.0,1.0
2018-03-29,45.89,45.93,45.4768,46.4,45.89,6535166.0,0.0,1.0
2018-04-02,45.02,45.85,44.6147,46.05,44.44,7454740.0,0.0,1.0
2018-04-03,45.63,45.26,45.2192,45.83,44.96,6481487.0,0.0,1.0
2018-04-04,45.85,44.68,45.4372,45.94,44.58,8082172.0,0.0,1.0
2018-04-05,46.03,46.15,45.6156,46.37,45.82,5740793.0,0.0,1.0
2018-04-06,45.27,45.47,44.8624,45.96,44.84,8637080.0,0.0,1.0
2018-04-09,45.55,45.59,45.1399,46.415,45.51,4904033.0,0.0,1.0
2018-04-10,46.46,46.25,46.0417,46.81,46.12,4742063.0,0.0,1.0
2018-04-11,46.05,46.05,45.6354,46.49,45.85,4781716.0,0.0,1.0
2018-04-12,47.03,46.53,46.6066,47.32,46.43,5150817.0,0.0,1.0
2018-04-13,46.92,47.39,46.4976,47.49,46.695,4520801.0,0.0,1.0
