date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,34.88,33.69,34.6313,35.32,33.47,9391012.0,0.0,1.0
2018-02-07,34.68,34.82,34.4327,35.47,34.57,6571291.0,0.0,1.0
2018-02-08,33.5,34.69,33.2611,34.69,33.44,10891662.0,0.0,1.0
2018-02-09,33.43,33.66,33.1916,33.82,32.14,17940210.0,0.0,1.0
2018-02-12,33.2,33.75,32.9633,33.75,32.75,9404268.0,0.0,1.0
2018-02-13,33.13,33.35,32.8937,33.35,32.87,8750438.0,0.0,1.0
2018-02-14,34.44,32.89,34.1944,34.49,32.89,12986553.0,0.0,1.0
2018-02-15,35.0,34.75,34.7504,35.055,34.35,9129388.0,0.0,1.0
2018-02-16,34.47,34.85,34.2242,35.0359,34.42,8278483.0,0.0,1.0
2018-02-20,34.71,33.0,34.4625,35.21,32.99,14114655.0,0.0,1.0
2018-02-21,34.4,34.93,34.1547,35.44,34.4,7417574.0,0.0,1.0
2018-02-22,34.51,34.66,34.2639,34.8,34.175,5138575.0,0.0,1.0
2018-02-23,35.38,34.63,35.1277,35.4,34.6,4415690.0,0.0,1.0
2018-02-26,35.33,35.45,35.0781,35.57,34.99,4759421.0,0.0,1.0
2018-02-27,34.27,35.48,34.0256,35.53,34.24,6048449.0,0.0,1.0
2018-02-28,34.23,34.36,33.9859,34.72,34.04,6813948.0,0.0,1.0
2018-03-01,33.28,34.31,33.0427,34.38,32.88,9505179.0,0.0,1.0
2018-03-02,33.73,32.94,33.4895,33.875,32.84,11015608.0,0.0,1.0
2018-03-05,33.85,33.55,33.6086,34.04,33.36,8278532.0,0.0,1.0
2018-03-06,34.75,34.08,34.5022,34.775,33.87,7490418.0,0.0,1.0
2018-03-07,34.86,34.3,34.6114,34.8978,34.28,5511686.0,0.0,1.0
2018-03-08,35.91,35.31,35.7731,35.99,35.175,6760267.0,0.12,1.0
2018-03-09,36.79,36.03,36.6497,36.815,35.86,7616719.0,0.0,1.0
2018-03-12,36.77,36.83,36.6298,36.91,36.56,5269329.0,0.0,1.0
2018-03-13,35.79,37.0,35.6535,37.125,35.69,6539339.0,0.0,1.0
2018-03-14,35.69,35.91,35.5539,36.0,35.46,4563174.0,0.0,1.0
2018-03-15,35.68,35.75,35.5439,36.09,35.58,3320093.0,0.0,1.0
2018-03-16,35.99,35.76,35.8528,36.275,35.68,4360049.0,0.0,1.0
2018-03-19,36.28,36.03,36.1417,36.34,35.77,12572151.0,0.0,1.0
2018-03-20,36.73,36.21,36.5899,36.81,36.08,5711521.0,0.0,1.0
2018-03-21,36.12,36.71,35.9823,36.71,36.03,9123184.0,0.0,1.0
2018-03-22,34.53,35.46,34.3983,35.88,34.51,7391396.0,0.0,1.0
2018-03-23,33.26,34.57,33.1332,34.62,33.06,12063228.0,0.0,1.0
2018-03-26,34.92,33.78,34.7868,34.98,33.68,12611824.0,0.0,1.0
2018-03-27,34.86,35.28,34.7271,35.87,34.67,9496053.0,0.0,1.0
2018-03-28,34.1,34.76,33.97,34.85,33.97,6561745.0,0.0,1.0
2018-03-29,35.02,34.25,34.8865,35.21,34.21,7153535.0,0.0,1.0
2018-04-02,33.88,35.23,33.7508,35.54,33.6367,7749403.0,0.0,1.0
2018-04-03,34.44,34.24,34.3087,34.54,33.89,5251101.0,0.0,1.0
2018-04-04,34.93,33.74,34.7968,34.95,33.23,7024217.0,0.0,1.0
2018-04-05,35.57,35.11,35.4344,35.99,35.11,7945873.0,0.0,1.0
2018-04-06,34.13,35.24,33.9999,35.49,33.745,9692272.0,0.0,1.0
2018-04-09,34.37,34.31,34.2389,34.97,34.21,5072150.0,0.0,1.0
2018-04-10,34.67,34.9,34.5378,35.07,34.415,12493541.0,0.0,1.0
2018-04-11,33.68,34.47,33.5516,34.695,33.55,12078770.0,0.0,1.0
2018-04-12,34.93,33.81,34.7968,35.67,33.65,16895200.0,0.0,1.0
2018-04-13,34.4,35.33,34.2688,35.47,34.28,5985256.0,0.0,1.0
2018-04-16,34.77,34.7,34.6374,35.18,34.45,6200726.0,0.0,1.0
2018-04-17,36.11,35.2,35.9723,36.2,35.04,6874413.0,0.0,1.0
2018-04-18,36.41,36.32,36.2712,36.8,36.17,7470131.0,0.0,1.0
2018-04-19,35.56,36.42,35.4244,36.52,35.41,10344680.0,0.0,1.0
2018-04-20,35.44,35.58,35.3049,35.66,35.27,5153366.0,0.0,1.0
2018-04-23,36.17,35.69,36.0321,36.51,35.56,9774205.0,0.0,1.0
2018-04-24,35.52,36.44,35.3846,36.73,35.32,8368464.0,0.0,1.0
2018-04-25,35.33,35.45,35.1953,35.53,34.7,7494888.0,0.0,1.0
