date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,209.5939,204.97,203.39,1.0,212.91,210.46,1265763.0,0.0
2018-02-07,217.9494,209.34,208.89,1.0,219.03,218.85,1213577.0,0.0
2018-02-08,207.5623,217.03,208.18,1.0,218.55,208.42,897848.0,0.0
2018-02-09,213.4978,210.19,205.871,1.0,216.19,214.38,893253.0,0.0
2018-02-12,211.8845,215.97,210.39,1.0,216.96,212.76,1059664.0,0.0
2018-02-13,217.5112,222.02,215.67,1.0,229.66,218.41,1498034.0,0.0
2018-02-14,214.8124,215.56,211.0,1.0,216.35,215.7,1401306.0,0.0
2018-02-15,221.674,218.03,216.63,1.0,225.099,222.59,1153527.0,0.0
2018-02-16,215.3601,221.63,213.84,1.0,223.52,216.25,709904.0,0.0
2018-02-20,213.209,215.26,211.605,1.0,216.39,214.09,824849.0,0.0
2018-02-21,211.4363,215.16,212.25,1.0,217.47,212.31,332944.0,0.0
2018-02-22,211.2471,213.02,210.9,1.0,214.9,212.12,537422.0,0.0
2018-02-23,210.7093,212.91,210.5,1.0,214.3,211.58,492567.0,0.0
2018-02-26,210.311,211.99,208.005,1.0,213.18,211.18,757216.0,0.0
2018-02-27,205.3515,210.97,204.64,1.0,212.18,206.2,742029.0,0.0
2018-02-28,203.0908,206.9,203.85,1.0,207.48,203.93,549255.0,0.0
2018-03-01,203.2103,204.49,202.68,1.0,207.8295,204.05,661053.0,0.0
2018-03-02,203.9074,201.83,196.61,1.0,205.11,204.31,853416.0,0.44
2018-03-05,205.0152,202.95,201.34,1.0,206.43,205.42,474880.0,0.0
2018-03-06,208.2189,206.25,204.33,1.0,210.6,208.63,465940.0,0.0
2018-03-07,207.7399,207.76,205.25,1.0,209.44,208.15,630785.0,0.0
2018-03-08,206.6021,208.14,204.635,1.0,210.48,207.01,729980.0,0.0
2018-03-09,208.7678,208.77,208.02,1.0,209.98,209.18,440054.0,0.0
2018-03-12,209.3068,210.07,207.56,1.0,210.44,209.72,356161.0,0.0
2018-03-13,209.9056,211.16,209.49,1.0,212.77,210.32,285286.0,0.0
2018-03-14,206.3227,211.79,205.11,1.0,211.79,206.73,371952.0,0.0
2018-03-15,205.0452,207.03,203.53,1.0,209.21,205.45,741458.0,0.0
2018-03-16,206.7917,206.64,205.05,1.0,209.05,207.2,772176.0,0.0
2018-03-19,204.0971,206.76,201.92,1.0,207.41,204.5,595108.0,0.0
2018-03-20,203.8076,205.31,202.02,1.0,206.27,204.21,593064.0,0.0
2018-03-21,206.3326,204.83,203.8005,1.0,209.27,206.74,554782.0,0.0
2018-03-22,201.3126,205.66,201.54,1.0,206.88,201.71,498209.0,0.0
2018-03-23,205.2747,202.45,202.0,1.0,209.0,205.68,1229938.0,0.0
2018-03-26,208.8776,208.79,205.61,1.0,210.26,209.29,604593.0,0.0
2018-03-27,205.0252,210.58,204.47,1.0,210.58,205.43,435840.0,0.0
2018-03-28,201.3924,206.02,200.4,1.0,206.46,201.79,581243.0,0.0
2018-03-29,206.8915,203.38,201.56,1.0,208.55,207.3,674322.0,0.0
2018-04-02,200.9732,205.88,198.51,1.0,206.2,201.37,979759.0,0.0
2018-04-03,200.9333,201.37,197.95,1.0,202.49,201.33,575117.0,0.0
2018-04-04,203.9773,198.15,196.78,1.0,204.85,204.38,520095.0,0.0
2018-04-05,207.6401,205.24,205.24,1.0,209.57,208.05,562200.0,0.0
2018-04-06,201.8216,206.06,200.79,1.0,206.84,202.22,342938.0,0.0
2018-04-09,199.2167,202.66,198.675,1.0,203.2936,199.61,520353.0,0.0
2018-04-10,204.7957,201.15,201.13,1.0,206.09,205.2,514913.0,0.0
2018-04-11,202.4204,203.37,201.97,1.0,204.29,202.82,565069.0,0.0
2018-04-12,202.0212,203.75,202.0,1.0,204.03,202.42,354159.0,0.0
2018-04-13,195.7336,202.45,195.27,1.0,203.76,196.12,719191.0,0.0
2018-04-16,198.6478,197.72,196.66,1.0,200.7393,199.04,447530.0,0.0
2018-04-17,201.4523,200.08,200.08,1.0,204.0,201.85,619815.0,0.0
2018-04-18,203.139,203.13,202.89,1.0,205.2,203.54,658681.0,0.0
2018-04-19,197.7795,203.37,197.58,1.0,203.96,198.17,435385.0,0.0
2018-04-20,196.3324,199.07,195.8,1.0,199.7,196.72,470557.0,0.0
2018-04-23,196.542,196.44,195.54,1.0,198.06,196.93,338081.0,0.0
2018-04-24,192.9191,197.81,190.36,1.0,199.46,193.3,483271.0,0.0
2018-04-25,195.8533,193.23,191.76,1.0,196.63,196.24,561391.0,0.0
2018-04-26,195.4741,196.8,192.92,1.0,197.25,195.86,844092.0,0.0
2018-04-27,195.9432,195.86,194.9415,1.0,196.92,196.33,465504.0,0.0
2018-04-30,194.3862,196.5,194.66,1.0,201.11,194.77,620235.0,0.0
2018-05-01,194.7455,194.81,189.265,1.0,195.36,195.13,721175.0,0.0
2018-05-02,196.5021,198.57,196.29,1.0,201.2499,196.89,745830.0,0.0
2018-05-03,202.0112,198.31,195.74,1.0,204.95,202.41,1437900.0,0.0
2018-05-04,203.598,200.76,200.03,1.0,205.43,204.0,695819.0,0.0
2018-05-07,204.2068,204.54,202.92,1.0,205.58,204.61,617094.0,0.0
2018-05-08,213.0394,203.0,200.565,1.0,216.0,213.46,1484493.0,0.0
2018-05-09,212.1911,214.66,209.69,1.0,214.73,212.61,907089.0,0.0
2018-05-10,210.3048,213.87,210.34,1.0,214.19,210.72,594079.0,0.0
2018-05-11,215.0255,211.59,211.01,1.0,216.16,215.45,588836.0,0.0
2018-05-14,213.0494,215.63,212.48,1.0,216.01,213.47,408719.0,0.0
2018-05-15,216.7122,212.77,211.77,1.0,218.075,217.14,653923.0,0.0
2018-05-16,217.8399,217.92,216.5,1.0,220.71,218.27,446291.0,0.0
2018-05-17,213.0893,217.46,212.43,1.0,218.88,213.51,752538.0,0.0
2018-05-18,218.8779,213.81,213.52,1.0,219.9,219.31,752800.0,0.0
2018-05-21,217.3908,219.97,217.23,1.0,220.9,217.82,434648.0,0.0
2018-05-22,215.7041,218.87,215.78,1.0,219.3,216.13,407429.0,0.0
2018-05-23,218.8978,214.53,213.45,1.0,219.47,219.33,593522.0,0.0
2018-05-24,217.9797,218.24,216.13,1.0,219.93,218.41,434786.0,0.0
2018-05-25,217.2711,218.8,216.56,1.0,219.67,217.7,381333.0,0.0
2018-05-29,219.2971,215.95,215.14,1.0,222.4,219.73,585124.0,0.0
2018-05-30,220.345,220.16,218.3,1.0,222.05,220.78,416195.0,0.0
2018-05-31,222.87,221.04,219.3,1.0,227.48,222.87,841871.0,0.44
2018-06-01,225.15,224.1,223.07,1.0,227.3,225.15,792758.0,0.0
2018-06-04,227.34,225.41,225.06,1.0,227.59,227.34,725539.0,0.0
2018-06-05,226.72,227.13,226.22,1.0,228.81,226.72,604328.0,0.0
2018-06-06,227.58,226.45,225.02,1.0,228.565,227.58,682239.0,0.0
2018-06-07,229.55,228.52,227.08,1.0,230.2,229.55,933194.0,0.0
2018-06-08,229.56,229.0,227.1,1.0,230.53,229.56,520776.0,0.0
2018-06-11,229.71,229.58,227.715,1.0,230.25,229.71,419625.0,0.0
2018-06-12,230.29,230.1,228.87,1.0,231.68,230.29,446290.0,0.0
2018-06-13,229.96,230.6,229.21,1.0,232.885,229.96,486486.0,0.0
2018-06-14,230.2,230.82,228.89,1.0,232.39,230.2,532891.0,0.0
2018-06-15,229.26,230.0,228.67,1.0,231.35,229.26,691219.0,0.0
2018-06-18,230.68,228.65,228.46,1.0,231.08,230.68,511299.0,0.0
2018-06-19,227.58,228.7,226.45,1.0,229.47,227.58,496996.0,0.0
2018-06-20,228.58,228.79,226.45,1.0,229.22,228.58,400783.0,0.0
2018-06-21,224.64,227.75,224.5,1.0,229.73,224.64,309181.0,0.0
2018-06-22,227.43,225.29,221.25,1.0,228.0,227.43,512956.0,0.0
2018-06-25,224.96,226.51,223.26,1.0,227.85,224.96,492726.0,0.0
2018-06-26,222.36,225.0,220.28,1.0,225.42,222.36,586203.0,0.0
2018-06-27,219.77,223.37,219.21,1.0,224.95,219.77,560539.0,0.0
2018-06-28,218.45,219.5,216.25,1.0,220.655,218.45,192535.0,0.0
