date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,64.21,63.1,64.21,64.32,61.15,3314908.0,0.0,1.0
2018-02-07,64.55,63.73,64.55,65.11,63.58,2844657.0,0.0,1.0
2018-02-08,61.99,64.39,61.99,64.62,61.94,2042958.0,0.0,1.0
2018-02-09,62.89,62.28,62.89,63.42,61.18,2230108.0,0.0,1.0
2018-02-12,64.08,63.15,64.08,64.48,63.0,2048380.0,0.0,1.0
2018-02-13,63.39,63.61,63.39,63.77,62.87,2011762.0,0.0,1.0
2018-02-14,63.9,62.84,63.9,64.0,62.41,1702743.0,0.0,1.0
2018-02-15,65.61,64.09,65.61,65.65,63.8,1684835.0,0.0,1.0
2018-02-16,65.48,65.97,65.48,66.43,65.1055,1547441.0,0.0,1.0
2018-02-20,64.6,64.98,64.6,65.585,64.32,1817329.0,0.0,1.0
2018-02-21,65.02,64.75,65.02,66.26,64.67,2226940.0,0.0,1.0
2018-02-22,64.93,65.1,64.93,65.77,64.72,2119401.0,0.0,1.0
2018-02-23,65.88,65.4,65.88,65.9501,64.68,1877307.0,0.0,1.0
2018-02-26,65.81,66.12,65.81,66.35,65.165,1686952.0,0.0,1.0
2018-02-27,64.17,65.9,64.17,66.25,64.16,2774858.0,0.0,1.0
2018-02-28,63.37,64.75,63.37,64.85,63.3,3855760.0,0.0,1.0
2018-03-01,54.22,57.45,54.22,57.94,54.0,14689391.0,0.0,1.0
2018-03-02,54.16,53.7,54.16,54.24,52.73,6638169.0,0.0,1.0
2018-03-05,55.74,55.01,55.74,56.635,54.4814,6449372.0,0.0,1.0
2018-03-06,55.67,55.9,55.67,55.9,54.44,3811972.0,0.0,1.0
2018-03-07,55.55,55.36,55.55,55.88,54.92,3047840.0,0.0,1.0
2018-03-08,56.83,55.59,56.83,56.9799,55.37,2854486.0,0.0,1.0
2018-03-09,58.06,57.1,58.06,58.06,56.54,3844544.0,0.0,1.0
2018-03-12,58.43,57.99,58.43,59.35,57.99,4011948.0,0.0,1.0
2018-03-13,58.69,58.77,58.69,59.37,58.47,3301411.0,0.0,1.0
2018-03-14,58.73,58.87,58.73,58.99,57.73,3031058.0,0.0,1.0
2018-03-15,58.19,58.71,58.19,59.34,57.88,2253695.0,0.0,1.0
2018-03-16,58.64,58.2,58.64,58.91,57.69,3738479.0,0.0,1.0
2018-03-19,58.27,58.42,58.27,58.66,57.71,4377075.0,0.0,1.0
2018-03-20,58.68,58.58,58.68,58.92,58.23,2535393.0,0.0,1.0
2018-03-21,58.08,58.53,58.08,58.87,57.77,3046247.0,0.0,1.0
2018-03-22,56.78,57.74,56.78,58.03,56.71,2928519.0,0.0,1.0
2018-03-23,55.86,56.77,55.86,57.12,55.86,3101965.0,0.0,1.0
2018-03-26,56.87,56.81,56.87,57.13,55.92,1920272.0,0.0,1.0
2018-03-27,56.25,57.25,56.25,57.51,55.91,1757561.0,0.0,1.0
2018-03-28,56.24,56.37,56.24,56.98,56.05,1623951.0,0.0,1.0
2018-03-29,57.21,56.63,57.21,57.59,56.43,1861021.0,0.0,1.0
2018-04-02,55.62,56.89,55.62,57.02,55.09,2793490.0,0.0,1.0
2018-04-03,55.73,56.01,55.73,56.05,55.27,3458675.0,0.0,1.0
2018-04-04,56.77,55.29,56.77,57.03,55.0,2985790.0,0.0,1.0
2018-04-05,57.41,57.15,57.41,57.8,56.83,1931843.0,0.0,1.0
2018-04-06,55.93,56.79,55.93,57.24,55.43,3123379.0,0.0,1.0
2018-04-09,56.23,56.48,56.23,57.0,56.01,2061460.0,0.0,1.0
2018-04-10,56.32,56.66,56.32,56.82,55.74,2283349.0,0.0,1.0
2018-04-11,56.22,55.78,56.22,56.49,55.51,2039528.0,0.0,1.0
2018-04-12,56.53,56.26,56.53,56.83,56.1,1763768.0,0.0,1.0
2018-04-13,56.68,56.81,56.68,57.16,56.31,1481369.0,0.0,1.0
2018-04-16,56.98,57.19,56.98,57.35,56.67,1294469.0,0.0,1.0
2018-04-17,57.68,57.13,57.68,57.78,56.64,2922392.0,0.0,1.0
2018-04-18,57.47,57.68,57.47,57.78,57.21,1726079.0,0.0,1.0
2018-04-19,57.31,57.1,57.31,58.0,56.86,5414520.0,0.0,1.0
2018-04-20,56.5,56.94,56.5,57.16,56.17,3806265.0,0.0,1.0
2018-04-23,56.87,56.73,56.87,57.46,56.49,2440266.0,0.0,1.0
2018-04-24,55.73,57.22,55.73,57.22,55.36,2853784.0,0.0,1.0
2018-04-25,54.41,55.64,54.41,55.729,54.3,4295025.0,0.0,1.0
2018-04-26,55.1,54.38,55.1,55.58,54.01,3425973.0,0.0,1.0
2018-04-27,56.19,55.07,56.19,56.44,54.95,2265553.0,0.0,1.0
2018-04-30,55.0,56.26,55.0,56.63,54.83,3135543.0,0.0,1.0
2018-05-01,55.2,54.88,55.2,55.26,54.13,1952075.0,0.0,1.0
2018-05-02,52.72,55.0,52.72,55.08,52.62,4799239.0,0.0,1.0
2018-05-03,52.31,52.71,52.31,53.14,51.76,4377027.0,0.0,1.0
2018-05-04,52.76,52.12,52.76,53.31,52.08,5239228.0,0.0,1.0
2018-05-07,53.31,52.87,53.31,53.51,52.7,4854675.0,0.0,1.0
2018-05-08,53.08,53.34,53.08,54.31,53.04,3990428.0,0.0,1.0
2018-05-09,49.11,49.5,49.11,49.75,48.09,9616615.0,0.0,1.0
2018-05-10,50.06,49.19,50.06,50.86,49.16,3815243.0,0.0,1.0
2018-05-11,49.27,50.12,49.27,50.2699,49.0,4638859.0,0.0,1.0
2018-05-14,48.93,49.34,48.93,49.61,48.76,3931841.0,0.0,1.0
2018-05-15,48.2,48.6,48.2,48.95,47.94,3988358.0,0.0,1.0
2018-05-16,48.09,48.3,48.09,48.52,47.71,3250331.0,0.0,1.0
