date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,17.1355,16.31,16.14,1.0,17.3267,17.23,16038696.0,0.0
2018-02-07,16.2405,17.16,16.32,1.0,17.645,16.33,17417995.0,0.0
2018-02-08,15.594,16.38,15.68,1.0,16.7038,15.68,14856767.0,0.0
2018-02-09,15.425,15.77,14.87,1.0,15.919,15.51,17695555.0,0.0
2018-02-12,16.1808,15.76,15.74,1.0,16.47,16.27,15493111.0,0.0
2018-02-13,15.9819,16.1,15.9,1.0,16.22,16.07,8338998.0,0.0
2018-02-14,16.8571,15.81,15.72,1.0,17.01,16.95,13877757.0,0.0
2018-02-15,16.2305,16.95,15.49,1.0,16.95,16.32,28714741.0,0.0
2018-02-16,15.5642,16.22,15.62,1.0,16.25,15.65,17605249.0,0.0
2018-02-20,15.8128,15.63,15.625,1.0,16.23,15.85,22265158.0,0.05
2018-02-21,15.2641,15.8,15.29,1.0,16.04,15.3,16805609.0,0.0
2018-02-22,15.1444,15.41,15.15,1.0,15.62,15.18,17839870.0,0.0
2018-02-23,15.5036,15.29,15.11,1.0,15.55,15.54,13811690.0,0.0
2018-02-26,15.304,15.57,15.2116,1.0,15.5986,15.34,13620849.0,0.0
2018-02-27,14.9648,15.3,14.99,1.0,15.5,15.0,12579021.0,0.0
2018-02-28,14.4859,15.07,14.51,1.0,15.17,14.52,15707762.0,0.0
2018-03-01,14.4959,14.55,14.37,1.0,14.94,14.53,13600310.0,0.0
2018-03-02,14.8252,14.46,14.27,1.0,14.89,14.86,11468734.0,0.0
2018-03-05,15.1145,14.82,14.78,1.0,15.23,15.15,12024009.0,0.0
2018-03-06,14.9948,15.26,15.0,1.0,15.32,15.03,9045204.0,0.0
2018-03-07,14.7653,14.84,14.605,1.0,15.02,14.8,8609635.0,0.0
2018-03-08,14.7952,14.86,14.62,1.0,14.93,14.83,10534691.0,0.0
2018-03-09,15.1843,14.92,14.9,1.0,15.25,15.22,8530507.0,0.0
2018-03-12,15.0546,15.13,15.021,1.0,15.405,15.09,10087426.0,0.0
2018-03-13,14.7852,15.22,14.74,1.0,15.24,14.82,15709993.0,0.0
2018-03-14,14.8351,14.95,14.8,1.0,15.03,14.87,12222708.0,0.0
2018-03-15,14.875,14.93,14.76,1.0,15.035,14.91,10794209.0,0.0
2018-03-16,15.0845,14.97,14.9048,1.0,15.32,15.12,18731664.0,0.0
2018-03-19,14.8152,15.05,14.72,1.0,15.19,14.85,9562580.0,0.0
2018-03-20,15.2242,14.98,14.95,1.0,15.37,15.26,12112251.0,0.0
