date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,102.76,99.66,101.8071,103.18,99.04,3167032.0,0.0,1.0
2018-02-07,102.63,102.78,101.6783,104.16,102.34,2071660.0,0.0,1.0
2018-02-08,98.74,102.95,97.8244,103.0,98.72,1944764.0,0.0,1.0
2018-02-09,99.13,99.51,98.2107,100.32,96.94,3171530.0,0.0,1.0
2018-02-12,101.3,99.82,100.3606,102.01,99.635,1235843.0,0.0,1.0
2018-02-13,101.94,100.84,100.9947,102.09,100.2,1024513.0,0.0,1.0
2018-02-14,105.02,101.62,104.0461,105.22,101.3,1658535.0,0.0,1.0
2018-02-15,106.13,105.64,105.1458,106.365,104.62,1694021.0,0.0,1.0
2018-02-16,105.91,105.83,104.9279,107.08,105.01,1030615.0,0.0,1.0
2018-02-20,105.75,105.26,104.7694,106.97,104.84,1417601.0,0.0,1.0
2018-02-21,104.99,106.1,104.0164,106.65,104.97,1107293.0,0.0,1.0
2018-02-22,104.73,105.33,103.7588,106.25,104.27,1131883.0,0.0,1.0
2018-02-23,106.73,105.43,105.7403,107.11,105.27,1219736.0,0.0,1.0
2018-02-26,106.82,107.15,105.8294,107.29,106.27,973445.0,0.0,1.0
2018-02-27,106.62,106.99,105.6313,107.64,106.2209,1206024.0,0.0,1.0
2018-02-28,106.15,106.72,105.1656,107.78,106.15,1066046.0,0.0,1.0
2018-03-01,106.32,107.17,105.3341,107.53,105.25,1335922.0,0.0,1.0
2018-03-02,106.29,105.67,105.3043,106.61,105.3,818239.0,0.0,1.0
2018-03-05,107.27,106.09,106.2753,107.95,105.594,957440.0,0.0,1.0
2018-03-06,108.38,107.59,107.375,108.75,107.32,955448.0,0.0,1.0
2018-03-07,108.84,107.57,107.8307,109.18,107.57,898965.0,0.0,1.0
2018-03-08,108.47,109.2,107.4641,109.225,107.37,838373.0,0.0,1.0
2018-03-09,109.09,108.5,108.0784,109.49,108.23,1623271.0,0.0,1.0
2018-03-12,108.85,109.12,107.8406,109.42,108.53,1322012.0,0.0,1.0
2018-03-13,109.22,109.24,108.2072,110.29,108.64,1420278.0,0.0,1.0
2018-03-14,108.95,109.43,108.4549,109.74,108.55,932804.0,0.52,1.0
2018-03-15,108.8,108.95,108.3055,109.49,108.52,928444.0,0.0,1.0
2018-03-16,108.83,109.0,108.3354,109.82,108.62,1227336.0,0.0,1.0
2018-03-19,108.75,108.32,108.2558,109.0399,107.72,1018916.0,0.0,1.0
2018-03-20,109.39,109.05,108.8929,109.83,108.73,1073263.0,0.0,1.0
2018-03-21,109.09,109.03,108.5942,109.79,108.85,1070311.0,0.0,1.0
2018-03-22,107.2,108.31,106.7128,108.77,107.13,1025599.0,0.0,1.0
2018-03-23,104.28,107.53,103.8061,107.805,104.28,969611.0,0.0,1.0
2018-03-26,105.79,105.58,105.3092,106.48,104.95,1281197.0,0.0,1.0
2018-03-27,105.93,106.35,105.4486,107.12,105.28,2002407.0,0.0,1.0
2018-03-28,103.96,105.67,103.4875,106.38,103.92,867943.0,0.0,1.0
2018-03-29,105.3,104.49,104.8214,105.85,104.06,920501.0,0.0,1.0
2018-04-02,104.52,105.01,104.045,105.72,103.18,1445071.0,0.0,1.0
2018-04-03,104.93,105.27,104.4531,106.42,104.4,1325175.0,0.0,1.0
2018-04-04,106.07,103.78,105.5879,106.4192,103.6822,1603068.0,0.0,1.0
2018-04-05,106.69,106.93,106.2051,107.69,106.12,1409480.0,0.0,1.0
2018-04-06,103.98,105.77,103.5074,106.46,103.7,1080416.0,0.0,1.0
2018-04-09,104.71,104.71,104.2341,105.77,104.55,1018757.0,0.0,1.0
2018-04-10,107.55,106.01,107.0612,107.8,105.77,1075204.0,0.0,1.0
2018-04-11,107.63,106.95,107.1409,108.27,106.42,773851.0,0.0,1.0
2018-04-12,108.33,108.24,107.8377,108.95,107.68,729875.0,0.0,1.0
2018-04-13,107.69,108.38,107.2006,108.575,107.29,548909.0,0.0,1.0
2018-04-16,108.92,107.95,108.425,109.455,106.91,743534.0,0.0,1.0
2018-04-17,110.65,109.25,110.1471,110.93,108.99,798605.0,0.0,1.0
2018-04-18,111.42,110.84,110.9136,111.91,110.39,721131.0,0.0,1.0
2018-04-19,110.71,110.86,110.2069,111.4,110.54,832328.0,0.0,1.0
2018-04-20,110.57,111.06,110.0675,111.46,110.15,719241.0,0.0,1.0
2018-04-23,109.82,110.85,109.3209,111.68,109.65,762807.0,0.0,1.0
2018-04-24,109.64,109.97,109.1417,111.29,108.92,1096276.0,0.0,1.0
2018-04-25,109.42,109.25,108.9227,109.62,108.4309,803556.0,0.0,1.0
2018-04-26,109.83,109.59,109.3309,110.34,109.18,548134.0,0.0,1.0
2018-04-27,110.15,109.85,109.6494,110.25,109.14,921847.0,0.0,1.0
2018-04-30,109.83,110.4,109.3309,110.94,109.46,899750.0,0.0,1.0
2018-05-01,108.48,109.83,107.987,109.88,106.84,1209641.0,0.0,1.0
2018-05-02,107.63,108.7,107.1409,109.1,107.47,959650.0,0.0,1.0
2018-05-03,107.69,107.52,107.2006,107.96,105.5,1843195.0,0.0,1.0
2018-05-04,108.03,107.96,107.539,109.15,105.06,2377996.0,0.0,1.0
2018-05-07,107.31,108.53,106.8223,108.56,106.65,1615181.0,0.0,1.0
2018-05-08,107.84,107.3,107.3499,108.48,106.89,1136975.0,0.0,1.0
2018-05-09,105.78,107.89,105.2993,108.21,105.41,1866747.0,0.0,1.0
2018-05-10,108.75,106.32,108.2558,108.92,106.25,1517801.0,0.0,1.0
2018-05-11,108.37,108.59,107.8775,108.67,107.5,1065483.0,0.0,1.0
2018-05-14,107.38,108.43,106.892,109.34,107.11,1239310.0,0.0,1.0
2018-05-15,107.98,107.02,107.4893,108.06,106.765,1145615.0,0.0,1.0
2018-05-16,107.3,107.92,106.8124,108.35,107.17,968471.0,0.0,1.0
2018-05-17,106.25,106.65,105.7671,107.0,106.11,1121982.0,0.0,1.0
2018-05-18,106.41,106.12,105.9264,106.97,105.89,2433443.0,0.0,1.0
2018-05-21,108.38,107.11,107.8874,108.48,106.82,1337648.0,0.0,1.0
2018-05-22,109.31,109.0,108.8132,109.79,108.31,1964399.0,0.0,1.0
2018-05-23,110.84,108.63,110.3363,110.85,108.38,1282737.0,0.0,1.0
2018-05-24,110.86,110.43,110.3562,111.07,110.04,1344975.0,0.0,1.0
2018-05-25,110.57,111.1,110.0675,111.52,110.135,907480.0,0.0,1.0
2018-05-29,109.68,110.06,109.1815,110.43,109.1,1297994.0,0.0,1.0
2018-05-30,109.47,109.8,108.9725,110.65,109.46,1063260.0,0.0,1.0
2018-05-31,107.34,109.9,106.8522,109.9,107.22,3675824.0,0.0,1.0
2018-06-01,109.11,108.02,108.6141,109.15,107.73,819320.0,0.0,1.0
2018-06-04,109.91,109.16,109.4105,110.02,108.78,646364.0,0.0,1.0
2018-06-05,112.34,109.99,111.8295,112.43,109.51,1342261.0,0.0,1.0
2018-06-06,113.58,112.29,113.0638,113.6,111.53,1660722.0,0.0,1.0
2018-06-07,112.22,113.66,111.71,113.69,111.39,1378736.0,0.0,1.0
2018-06-08,112.3,112.23,111.7896,112.92,111.24,789790.0,0.0,1.0
2018-06-11,112.51,112.22,111.9987,112.9,112.01,732903.0,0.0,1.0
2018-06-12,113.28,112.9,112.7652,113.36,112.14,695219.0,0.0,1.0
2018-06-13,113.63,113.62,113.1136,114.46,113.06,702907.0,0.0,1.0
2018-06-14,113.9,113.33,113.9,114.45,113.33,822326.0,0.52,1.0
2018-06-15,114.52,113.68,114.52,114.7,112.82,1693764.0,0.0,1.0
2018-06-18,115.5,113.61,115.5,115.58,113.59,889232.0,0.0,1.0
2018-06-19,115.8,114.55,115.8,115.88,114.36,1051263.0,0.0,1.0
2018-06-20,115.97,115.94,115.97,116.68,115.265,730155.0,0.0,1.0
2018-06-21,117.05,116.64,117.05,117.62,116.02,849954.0,0.0,1.0
2018-06-22,117.71,117.24,117.71,118.37,117.11,1749534.0,0.0,1.0
2018-06-25,116.05,117.62,116.05,117.88,115.41,1072347.0,0.0,1.0
2018-06-26,115.48,115.98,115.48,116.4,115.44,1155843.0,0.0,1.0
2018-06-27,115.41,115.78,115.41,116.03,114.93,1125350.0,0.0,1.0
2018-06-28,117.11,115.0,117.11,117.36,114.86,976665.0,0.0,1.0
