date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,637.28,623.2,637.28,641.61,618.68,209746.0,0.0,1.0
2018-02-07,641.96,636.71,641.96,649.71,636.71,166002.0,0.0,1.0
2018-02-08,601.0,644.04,601.0,646.44,601.0,253064.0,0.0,1.0
2018-02-09,600.37,614.06,600.37,637.99,580.43,412801.0,0.0,1.0
2018-02-12,613.87,605.54,613.87,619.22,602.13,167790.0,0.0,1.0
2018-02-13,613.69,611.62,613.69,617.35,603.0,139037.0,0.0,1.0
2018-02-14,624.67,611.51,624.67,625.0,608.17,172693.0,0.0,1.0
2018-02-15,631.97,625.81,631.97,632.69,619.35,138633.0,0.0,1.0
2018-02-16,634.37,628.94,634.37,639.95,628.94,101816.0,0.0,1.0
2018-02-20,624.22,632.81,624.22,634.88,620.26,122504.0,0.0,1.0
2018-02-21,628.61,624.66,628.61,646.97,624.66,153860.0,0.0,1.0
2018-02-22,624.97,631.99,624.97,639.57,622.75,129893.0,0.0,1.0
2018-02-23,636.1,628.94,636.1,636.7,625.44,80276.0,0.0,1.0
2018-02-26,636.63,636.94,636.63,639.69,629.4,72331.0,0.0,1.0
2018-02-27,625.57,635.08,625.57,636.76,624.81,120073.0,0.0,1.0
2018-02-28,616.22,628.41,616.22,632.22,616.21,160028.0,0.0,1.0
2018-03-01,596.17,618.1,596.17,618.1,590.58,240847.0,0.0,1.0
2018-03-02,593.26,589.6,593.26,594.62,585.33,273588.0,0.0,1.0
2018-03-05,599.95,592.16,599.95,602.69,585.5887,239665.0,0.0,1.0
2018-03-06,605.29,601.42,605.29,606.54,596.185,192730.0,0.0,1.0
2018-03-07,611.54,599.3,611.54,612.92,599.3,175793.0,0.0,1.0
2018-03-08,606.88,614.22,606.88,614.22,601.62,171908.0,0.0,1.0
2018-03-09,616.0,610.11,616.0,619.65,606.03,127918.0,0.0,1.0
2018-03-12,615.91,615.4,615.91,620.66,613.69,223477.0,0.0,1.0
2018-03-13,612.0,618.42,612.0,619.64,608.12,120602.0,0.0,1.0
2018-03-14,606.13,615.0,606.13,615.0,604.07,103644.0,0.0,1.0
2018-03-15,613.83,608.62,613.83,618.8,606.17,167377.0,0.0,1.0
2018-03-16,613.88,614.61,613.88,617.54,611.28,189781.0,0.0,1.0
2018-03-19,611.51,610.3,611.51,613.5,606.53,188106.0,0.0,1.0
2018-03-20,611.9,613.55,611.9,618.54,610.37,119397.0,0.0,1.0
2018-03-21,606.41,612.9,606.41,618.99,606.41,125741.0,0.0,1.0
2018-03-22,585.39,601.27,585.39,605.129,583.34,212563.0,0.0,1.0
2018-03-23,566.87,586.01,566.87,594.24,565.86,224571.0,0.0,1.0
