date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,58.2,55.99,58.2,58.35,55.2001,2466420.0,0.0,1.0
2018-02-07,57.74,57.93,57.74,59.01,57.53,1518534.0,0.0,1.0
2018-02-08,56.01,57.75,56.01,58.04,56.0,1791592.0,0.0,1.0
2018-02-09,56.21,56.57,56.21,57.04,54.25,1740923.0,0.0,1.0
2018-02-12,57.45,56.84,57.45,57.86,56.44,1829719.0,0.0,1.0
2018-02-13,57.5,57.24,57.5,57.67,56.87,1499958.0,0.0,1.0
2018-02-14,58.88,56.95,58.88,58.94,56.88,1464306.0,0.0,1.0
2018-02-15,59.36,59.28,59.36,59.64,58.77,1908152.0,0.0,1.0
2018-02-16,59.11,59.01,59.11,59.5,58.61,1036722.0,0.0,1.0
2018-02-20,58.95,58.69,58.95,59.66,58.6,1504303.0,0.0,1.0
2018-02-21,58.72,59.19,58.72,59.48,58.72,1743208.0,0.0,1.0
2018-02-22,57.29,59.53,57.29,59.61,56.95,2572245.0,0.0,1.0
2018-02-23,57.9,58.08,57.9,58.2,57.29,1251851.0,0.0,1.0
2018-02-26,57.95,58.35,57.95,58.5,57.25,1379167.0,0.0,1.0
2018-02-27,56.27,57.94,56.27,58.44,56.17,1823848.0,0.0,1.0
2018-02-28,56.9,56.26,56.9,58.0,56.08,13020538.0,0.0,1.0
2018-03-01,56.77,57.0,56.77,57.5,56.09,3016655.0,0.0,1.0
2018-03-02,56.44,56.13,56.44,56.78,55.53,4246074.0,0.0,1.0
2018-03-05,55.58,56.28,55.58,56.39,54.86,2327409.0,0.0,1.0
2018-03-06,56.0,55.76,56.0,56.14,55.42,1980406.0,0.0,1.0
2018-03-07,55.5,55.4,55.5,56.0,54.99,1877277.0,0.0,1.0
2018-03-08,55.45,55.8,55.45,56.08,55.25,1823003.0,0.0,1.0
2018-03-09,57.15,55.78,57.15,57.2,55.58,2755028.0,0.0,1.0
2018-03-12,56.58,57.2,56.58,57.43,56.38,1896388.0,0.0,1.0
2018-03-13,56.65,56.93,56.65,57.24,56.49,1588923.0,0.0,1.0
2018-03-14,55.95,56.75,55.95,57.03,55.67,1576422.0,0.0,1.0
2018-03-15,55.34,56.06,55.34,56.09,55.26,1528931.0,0.0,1.0
2018-03-16,56.12,55.24,56.12,56.24,55.23,2456681.0,0.0,1.0
2018-03-19,55.42,56.12,55.42,56.27,55.1,1533309.0,0.0,1.0
2018-03-20,55.72,55.73,55.72,56.31,55.345,1301519.0,0.0,1.0
2018-03-21,54.17,55.75,54.17,55.93,54.09,2224188.0,0.0,1.0
2018-03-22,52.71,54.27,52.71,55.03,52.55,2547381.0,0.0,1.0
2018-03-23,51.4,52.88,51.4,53.1,51.3,2366787.0,0.0,1.0
2018-03-26,52.44,52.21,52.44,52.465,51.31,1587027.0,0.0,1.0
2018-03-27,52.87,52.52,52.87,54.16,52.32,2717891.0,0.0,1.0
2018-03-28,52.48,52.87,52.48,53.3,51.74,5257969.0,0.0,1.0
2018-03-29,52.97,52.7,52.97,53.4,52.26,1782373.0,0.0,1.0
2018-04-02,51.97,53.0,51.97,53.24,51.37,1545363.0,0.0,1.0
2018-04-03,52.39,52.22,52.39,52.63,51.81,1542566.0,0.0,1.0
2018-04-04,53.04,51.65,53.04,53.17,51.39,1362407.0,0.0,1.0
2018-04-05,54.39,53.29,54.39,54.68,52.9,3784541.0,0.0,1.0
2018-04-06,53.21,54.04,53.21,54.35,52.73,2407684.0,0.0,1.0
2018-04-09,53.03,53.4,53.03,53.96,52.97,1033671.0,0.0,1.0
2018-04-10,52.0,53.58,52.0,53.62,50.98,3227539.0,0.0,1.0
2018-04-11,52.33,51.99,52.33,52.71,51.755,1940737.0,0.0,1.0
2018-04-12,53.34,52.69,53.34,53.69,52.64,1718305.0,0.0,1.0
2018-04-13,52.42,53.55,52.42,53.94,52.29,1487641.0,0.0,1.0
2018-04-16,53.44,52.77,53.44,53.8,52.77,1223937.0,0.0,1.0
2018-04-17,53.88,54.0,53.88,54.27,53.63,1652675.0,0.0,1.0
2018-04-18,55.43,56.13,55.43,56.5,54.84,2828982.0,0.0,1.0
2018-04-19,54.96,55.41,54.96,55.49,54.56,1342563.0,0.0,1.0
2018-04-20,55.65,54.97,55.65,55.73,54.8525,1410289.0,0.0,1.0
2018-04-23,56.75,55.78,56.75,57.08,55.45,2245623.0,0.0,1.0
2018-04-24,56.11,57.18,56.11,57.37,55.77,1416579.0,0.0,1.0
2018-04-25,56.38,56.17,56.38,56.61,55.46,1231635.0,0.0,1.0
2018-04-26,55.05,57.0,55.05,57.15,54.74,2228327.0,0.0,1.0
2018-04-27,54.75,55.05,54.75,55.85,54.52,1514392.0,0.0,1.0
2018-04-30,53.47,54.96,53.47,55.03,53.33,2295439.0,0.0,1.0
2018-05-01,53.86,53.24,53.86,53.89,52.79,2029657.0,0.0,1.0
2018-05-02,52.03,54.93,52.03,55.78,51.71,3130214.0,0.0,1.0
2018-05-03,51.1,52.11,51.1,52.1302,50.69,2026855.0,0.0,1.0
2018-05-04,51.51,51.15,51.51,51.8,50.8,1847843.0,0.0,1.0
2018-05-07,50.31,51.01,50.31,51.46,50.16,2467122.0,0.0,1.0
2018-05-08,50.65,50.31,50.65,51.45,50.25,1853478.0,0.0,1.0
2018-05-09,51.16,50.86,51.16,51.17,50.48,1808755.0,0.0,1.0
2018-05-10,51.4,51.38,51.4,51.96,51.195,1118969.0,0.0,1.0
2018-05-11,51.46,51.26,51.46,51.545,51.0,993042.0,0.0,1.0
2018-05-14,51.42,51.48,51.42,51.74,51.26,1185304.0,0.0,1.0
2018-05-15,51.71,51.32,51.71,51.82,51.24,1494319.0,0.0,1.0
2018-05-16,52.5,52.0,52.5,53.0,51.52,2375829.0,0.0,1.0
2018-05-17,52.49,52.22,52.49,52.86,52.22,2048189.0,0.0,1.0
2018-05-18,52.97,52.5,52.97,53.19,52.1724,1322352.0,0.0,1.0
2018-05-21,53.32,53.19,53.32,53.78,53.04,1570205.0,0.0,1.0
2018-05-22,53.18,53.31,53.18,53.55,53.12,1278846.0,0.0,1.0
2018-05-23,52.85,52.83,52.85,53.4,52.42,1438693.0,0.0,1.0
2018-05-24,53.67,52.95,53.67,53.89,52.81,1569248.0,0.0,1.0
2018-05-25,54.13,53.58,54.13,54.37,53.42,2213486.0,0.0,1.0
2018-05-29,52.81,53.68,52.81,54.065,52.64,2905992.0,0.0,1.0
2018-05-30,52.77,53.16,52.77,53.22,52.62,1503478.0,0.0,1.0
2018-05-31,52.34,52.87,52.34,52.97,52.04,1763165.0,0.0,1.0
2018-06-01,53.18,52.55,53.18,53.2,52.55,1714228.0,0.0,1.0
2018-06-04,53.03,53.26,53.03,53.45,52.86,1468014.0,0.0,1.0
2018-06-05,50.8,51.14,50.8,51.65,50.26,3590757.0,0.0,1.0
2018-06-06,51.55,50.73,51.55,51.58,50.36,1541415.0,0.0,1.0
