date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,77.72,74.91,77.0128,78.01,72.98,2777788.0,0.0,1.0
2018-02-07,77.27,77.52,76.5669,78.65,77.24,1437720.0,0.0,1.0
2018-02-08,75.21,77.17,74.5256,77.93,74.8,1440238.0,0.0,1.0
2018-02-09,76.11,75.22,75.4174,76.66,73.83,1559397.0,0.0,1.0
2018-02-12,77.56,77.05,76.8542,78.14,77.04,1132161.0,0.0,1.0
2018-02-13,78.5,77.38,77.7857,78.655,77.06,741646.0,0.0,1.0
2018-02-14,79.76,78.2,79.0342,79.86,77.9,1242788.0,0.0,1.0
2018-02-15,80.38,80.44,79.6486,80.68,78.6,851723.0,0.0,1.0
2018-02-16,79.02,79.92,78.3009,80.3,78.86,1071717.0,0.0,1.0
2018-02-20,78.8,78.85,78.0829,80.435,78.55,1153013.0,0.0,1.0
2018-02-21,79.12,79.06,78.4,80.66,78.84,871786.0,0.0,1.0
2018-02-22,78.2,79.32,77.4884,79.66,77.9601,487547.0,0.0,1.0
2018-02-23,80.48,78.66,79.7477,80.5,78.52,1432744.0,0.0,1.0
2018-02-26,81.66,81.08,80.9169,81.72,80.66,1129999.0,0.0,1.0
2018-02-27,81.69,81.74,80.9466,82.54,81.23,1047104.0,0.0,1.0
2018-02-28,80.75,82.13,80.0152,82.71,80.74,689698.0,0.0,1.0
2018-03-01,79.6,81.0,78.8757,81.0,79.22,660199.0,0.0,1.0
2018-03-02,80.59,79.28,79.8567,80.775,79.05,461168.0,0.0,1.0
2018-03-05,81.77,80.19,81.0259,81.94,79.99,541317.0,0.0,1.0
2018-03-06,83.91,82.57,83.1464,84.47,82.04,1232684.0,0.0,1.0
2018-03-07,83.95,83.05,83.1861,84.11,83.03,555025.0,0.0,1.0
2018-03-08,84.86,84.22,84.0878,85.01,83.64,602765.0,0.0,1.0
2018-03-09,86.53,85.41,85.7426,86.67,85.085,680145.0,0.0,1.0
2018-03-12,85.89,86.72,85.1084,87.0,85.18,826988.0,0.0,1.0
2018-03-13,85.25,86.47,84.4742,86.47,85.02,477142.0,0.0,1.0
2018-03-14,84.37,85.6,83.6023,85.64,84.1,548145.0,0.0,1.0
2018-03-15,84.08,84.36,83.6914,84.36,83.54,657563.0,0.38,1.0
2018-03-16,83.97,84.19,83.5819,84.485,83.56,860832.0,0.0,1.0
2018-03-19,83.62,83.92,83.2336,84.2,82.86,488544.0,0.0,1.0
2018-03-20,84.15,84.01,83.7611,84.74,83.73,902023.0,0.0,1.0
2018-03-21,84.21,84.12,83.8208,84.89,83.99,534274.0,0.0,1.0
2018-03-22,82.02,83.61,81.641,84.13,81.92,678657.0,0.0,1.0
2018-03-23,80.72,82.21,80.347,82.65,80.62,603095.0,0.0,1.0
2018-03-26,83.5,81.94,83.1141,83.71,81.77,818337.0,0.0,1.0
2018-03-27,81.92,83.71,81.5414,84.46,81.39,1378318.0,0.0,1.0
2018-03-28,83.49,81.94,83.1042,84.73,81.94,1489345.0,0.0,1.0
2018-03-29,86.22,84.37,85.8215,86.61,84.02,1436008.0,0.0,1.0
2018-04-02,85.53,86.22,85.1347,86.405,84.46,1627648.0,0.0,1.0
2018-04-03,86.65,85.58,86.2496,86.71,85.1,1639109.0,0.0,1.0
2018-04-04,86.22,85.41,85.8215,86.4,85.14,1274170.0,0.0,1.0
2018-04-05,86.31,86.5,85.9111,86.94,86.01,1058110.0,0.0,1.0
2018-04-06,85.2,85.9,84.8063,86.19,84.49,935959.0,0.0,1.0
2018-04-09,85.29,85.46,84.8958,86.66,84.96,599385.0,0.0,1.0
2018-04-10,85.95,86.14,85.5528,86.41,85.03,800935.0,0.0,1.0
2018-04-11,85.75,85.33,85.3537,86.22,85.16,762716.0,0.0,1.0
2018-04-12,86.62,85.56,86.2197,87.03,85.56,828763.0,0.0,1.0
2018-04-13,85.93,86.82,85.5329,86.93,85.69,566394.0,0.0,1.0
