date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,37.63,37.41,37.3555,37.83,37.02,8927804.0,0.0,1.0
2018-02-07,37.03,37.62,36.7599,37.86,36.88,8713819.0,0.0,1.0
2018-02-08,36.61,37.19,36.3429,37.23,36.5501,13369643.0,0.0,1.0
2018-02-09,36.76,36.88,36.4918,36.88,35.98,10984050.0,0.0,1.0
2018-02-12,36.91,36.9,36.6408,37.19,36.42,6252815.0,0.0,1.0
2018-02-13,37.02,36.93,36.75,37.23,36.74,5274888.0,0.0,1.0
2018-02-14,39.0,36.93,38.7155,39.31,36.85,8173046.0,0.0,1.0
2018-02-15,39.41,39.2,39.1225,39.43,38.475,5359797.0,0.0,1.0
2018-02-16,39.11,39.14,38.8247,39.39,38.68,5395581.0,0.0,1.0
2018-02-20,38.39,38.74,38.11,39.085,38.185,5698252.0,0.0,1.0
2018-02-21,38.16,38.58,37.8816,39.13,38.09,5689805.0,0.0,1.0
2018-02-22,37.63,37.97,37.3555,38.73,37.58,4903517.0,0.0,1.0
2018-02-23,38.69,37.8,38.4078,38.75,37.69,4778106.0,0.0,1.0
2018-02-26,39.32,39.02,39.0332,39.365,38.65,4740877.0,0.0,1.0
2018-02-27,38.44,39.1,38.1596,39.31,38.16,5333684.0,0.0,1.0
2018-02-28,38.2,38.48,37.9213,39.046,38.165,6166161.0,0.0,1.0
2018-03-01,38.11,38.04,37.832,38.27,37.135,6502706.0,0.0,1.0
2018-03-02,37.93,38.28,37.6533,38.59,37.93,5202883.0,0.0,1.0
2018-03-05,38.28,37.79,38.0008,38.37,37.48,4398531.0,0.0,1.0
2018-03-06,38.85,38.63,38.5666,39.16,38.425,6411487.0,0.0,1.0
2018-03-07,37.7,38.59,37.564,38.88,37.61,5732367.0,0.14,1.0
2018-03-08,37.66,37.72,37.5241,37.89,37.32,4095074.0,0.0,1.0
2018-03-09,37.71,37.65,37.5739,37.85,37.24,5614341.0,0.0,1.0
2018-03-12,37.98,37.31,37.843,38.03,37.28,3640797.0,0.0,1.0
2018-03-13,38.22,38.08,38.0821,38.47,38.01,3811644.0,0.0,1.0
2018-03-14,38.19,38.31,38.0522,38.54,38.07,3307287.0,0.0,1.0
2018-03-15,37.31,37.83,37.1754,38.0799,37.27,4154487.0,0.0,1.0
2018-03-16,37.39,37.4,37.2551,37.63,36.96,10243733.0,0.0,1.0
2018-03-19,37.47,37.39,37.3348,37.6,37.11,5000652.0,0.0,1.0
2018-03-20,37.3,37.44,37.1654,37.54,37.19,3478240.0,0.0,1.0
