date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,327.5,314.11,325.2704,329.0,313.01,1692072.0,0.0,1.0
2018-02-07,337.66,326.76,335.3612,342.14,326.01,2068784.0,0.0,1.0
2018-02-08,324.01,338.41,321.8041,341.67,323.46,1453832.0,0.0,1.0
2018-02-09,332.69,327.91,330.425,337.9951,323.465,1745936.0,0.0,1.0
2018-02-12,337.44,334.6,335.1427,341.34,330.57,1272071.0,0.0,1.0
2018-02-13,343.36,335.12,341.0224,344.38,335.12,897875.0,0.0,1.0
2018-02-14,349.62,346.15,347.2398,350.42,342.4,1534386.0,0.0,1.0
2018-02-15,356.91,352.99,354.4802,357.0,352.06,1316940.0,0.0,1.0
2018-02-16,356.0,355.91,353.5764,358.84,354.74,938648.0,0.0,1.0
2018-02-20,350.36,352.45,347.9748,355.16,348.58,1153261.0,0.0,1.0
2018-02-21,350.82,352.31,348.4316,356.31,350.4211,1337078.0,0.0,1.0
2018-02-22,348.63,351.79,346.2565,352.563,347.52,841647.0,0.0,1.0
2018-02-23,351.51,350.0,349.1169,351.58,348.17,815897.0,0.0,1.0
2018-02-26,355.09,353.2,352.6725,355.84,352.15,503243.0,0.0,1.0
2018-02-27,353.66,354.65,351.2523,359.43,353.58,872614.0,0.0,1.0
2018-02-28,350.04,354.3,347.6569,357.2564,349.77,1012759.0,0.0,1.0
2018-03-01,339.54,351.12,337.2284,351.87,337.22,1461099.0,0.0,1.0
2018-03-02,343.05,336.68,341.807,344.69,334.4,1147299.0,1.1,1.0
2018-03-05,344.79,340.95,343.5407,345.39,337.55,1387117.0,0.0,1.0
2018-03-06,341.87,345.44,340.6313,346.21,340.82,908293.0,0.0,1.0
2018-03-07,346.82,337.99,345.5634,347.43,336.36,869795.0,0.0,1.0
2018-03-08,346.36,348.1,345.105,348.22,344.27,638401.0,0.0,1.0
2018-03-09,349.64,347.24,348.3732,349.87,344.01,708980.0,0.0,1.0
2018-03-12,344.72,352.83,343.471,352.83,342.64,852915.0,0.0,1.0
2018-03-13,344.33,346.27,343.0824,348.64,342.85,944642.0,0.0,1.0
2018-03-14,340.1,346.69,338.8677,346.75,338.06,811217.0,0.0,1.0
2018-03-15,340.82,340.9,339.5851,342.54,338.52,733937.0,0.0,1.0
2018-03-16,338.63,340.67,337.403,343.1999,338.2,1138164.0,0.0,1.0
