date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,28.75,25.87,28.2446,29.09,25.56,19525416.0,0.0,1.0
2018-02-07,29.46,28.62,28.9422,30.17,28.57,16068901.0,0.0,1.0
2018-02-08,27.91,29.38,27.4194,29.46,27.44,13943050.0,0.0,1.0
2018-02-09,27.61,28.53,27.1247,28.7,26.26,23208077.0,0.0,1.0
2018-02-12,27.3,27.85,26.8201,28.27,27.04,11236617.0,0.0,1.0
2018-02-13,26.6,27.04,26.1324,27.46,26.47,7934590.0,0.0,1.0
2018-02-14,27.2,26.49,26.7219,27.5,26.45,7708872.0,0.0,1.0
2018-02-15,27.64,27.5,27.1542,27.73,27.1,8094729.0,0.0,1.0
2018-02-16,28.23,27.69,27.7338,28.48,26.54,14338414.0,0.0,1.0
2018-02-20,27.39,27.98,26.9086,28.54,27.365,7348926.0,0.0,1.0
2018-02-21,26.83,27.4,26.3584,27.88,26.825,7365188.0,0.0,1.0
2018-02-22,26.71,26.88,26.2405,27.615,26.7,7809225.0,0.0,1.0
2018-02-23,26.8,26.95,26.3289,27.38,26.6,7170019.0,0.0,1.0
2018-02-26,27.82,27.01,27.331,27.98,26.53,5621356.0,0.0,1.0
2018-02-27,26.96,27.61,26.7121,27.94,26.88,6928889.0,0.23,1.0
2018-02-28,25.69,27.03,25.4537,27.15,25.65,8804684.0,0.0,1.0
2018-03-01,26.5,27.5,26.2563,27.67,26.05,16611920.0,0.0,1.0
2018-03-02,26.59,26.42,26.3455,26.92,26.255,9439771.0,0.0,1.0
2018-03-05,28.09,26.61,27.8317,28.165,26.52,10047939.0,0.0,1.0
2018-03-06,27.89,28.01,27.6335,28.09,27.3598,8216404.0,0.0,1.0
2018-03-07,27.2,27.58,26.9499,27.725,26.85,5233579.0,0.0,1.0
2018-03-08,27.67,27.3,27.4155,27.74,27.02,4544632.0,0.0,1.0
2018-03-09,27.32,27.39,27.0688,27.55,26.98,7427062.0,0.0,1.0
2018-03-12,28.99,27.45,28.7234,29.09,27.44,11124150.0,0.0,1.0
2018-03-13,28.6,29.07,28.337,29.55,28.28,19455202.0,0.0,1.0
2018-03-14,28.43,28.73,28.1685,29.22,28.191,9424808.0,0.0,1.0
2018-03-15,28.89,28.37,28.6243,28.97,28.2,8961855.0,0.0,1.0
2018-03-16,28.66,28.96,28.3964,29.23,28.6,17427416.0,0.0,1.0
2018-03-19,26.79,28.99,26.5436,29.2,26.605,15941190.0,0.0,1.0
2018-03-20,27.2,26.75,26.9499,27.67,26.36,10531834.0,0.0,1.0
2018-03-21,26.81,27.18,26.5634,27.3386,26.79,4661443.0,0.0,1.0
2018-03-22,25.84,26.52,25.6024,26.72,25.74,7131928.0,0.0,1.0
2018-03-23,25.35,25.85,25.1169,26.01,25.245,6583553.0,0.0,1.0
2018-03-26,26.06,25.89,25.8203,26.07,25.08,14716383.0,0.0,1.0
2018-03-27,25.19,25.42,24.9583,25.8,24.6,11456569.0,0.0,1.0
2018-03-28,25.28,25.25,25.0475,25.6,25.05,6753093.0,0.0,1.0
2018-03-29,25.48,25.42,25.2457,25.87,25.0,6517198.0,0.0,1.0
2018-04-02,24.73,25.4,24.5026,25.63,24.435,7121021.0,0.0,1.0
2018-04-03,24.9,24.95,24.671,25.05,24.45,5469010.0,0.0,1.0
2018-04-04,25.67,24.47,25.4339,25.755,24.43,7182433.0,0.0,1.0
2018-04-05,26.22,25.77,25.9789,26.36,25.755,3974919.0,0.0,1.0
2018-04-06,25.79,26.04,25.5528,26.45,25.45,4267277.0,0.0,1.0
2018-04-09,25.52,25.87,25.2853,25.99,25.39,3756425.0,0.0,1.0
2018-04-10,25.83,25.87,25.5925,26.095,25.39,4024502.0,0.0,1.0
2018-04-11,25.92,25.71,25.6816,26.06,25.66,3633434.0,0.0,1.0
2018-04-12,25.76,26.06,25.5231,26.15,25.625,5428451.0,0.0,1.0
2018-04-13,25.72,26.01,25.4835,26.09,25.6,4235556.0,0.0,1.0
2018-04-16,26.25,25.89,26.0086,26.41,25.655,4725004.0,0.0,1.0
2018-04-17,27.37,27.06,27.1183,27.661,26.81,6864377.0,0.0,1.0
2018-04-18,27.23,27.38,26.9796,27.545,27.12,3624399.0,0.0,1.0
2018-04-19,26.68,27.25,26.4346,27.25,26.26,6258043.0,0.0,1.0
2018-04-20,26.44,26.77,26.1968,26.85,26.23,2757793.0,0.0,1.0
2018-04-23,26.47,26.66,26.2266,26.92,26.11,4902579.0,0.0,1.0
2018-04-24,26.77,26.75,26.5238,27.215,26.41,11763537.0,0.0,1.0
2018-04-25,27.18,26.82,26.93,27.215,26.57,3423484.0,0.0,1.0
2018-04-26,26.96,27.12,26.7121,27.28,26.69,5822670.0,0.0,1.0
2018-04-27,27.74,26.92,27.4849,27.8,26.87,5163784.0,0.0,1.0
2018-04-30,27.63,27.73,27.3759,27.76,27.515,6496717.0,0.0,1.0
2018-05-01,27.05,27.46,26.8012,27.5,26.54,9676532.0,0.0,1.0
2018-05-02,26.85,27.08,26.6031,28.05,26.72,6994406.0,0.0,1.0
2018-05-03,26.69,26.82,26.4446,26.91,26.27,9314914.0,0.0,1.0
2018-05-04,27.65,26.8,27.3957,28.38,26.75,11682677.0,0.0,1.0
2018-05-07,27.58,27.66,27.3264,27.68,27.07,5705962.0,0.0,1.0
2018-05-08,27.31,27.58,27.0588,27.675,27.24,5539458.0,0.0,1.0
2018-05-09,26.96,27.33,26.7121,27.48,26.91,4651839.0,0.0,1.0
2018-05-10,27.42,27.2,27.1678,27.61,27.1401,5675211.0,0.0,1.0
2018-05-11,27.06,27.35,26.8111,27.54,26.85,5505837.0,0.0,1.0
2018-05-14,27.11,27.13,26.8607,27.25,27.01,2626141.0,0.0,1.0
2018-05-15,26.34,26.98,26.0978,27.06,26.14,5967052.0,0.0,1.0
2018-05-16,26.5,26.32,26.2563,26.52,26.055,4671802.0,0.0,1.0
2018-05-17,27.02,26.55,26.7715,27.08,26.3481,6866236.0,0.0,1.0
2018-05-18,26.32,27.05,26.078,27.19,26.07,6143971.0,0.0,1.0
2018-05-21,26.39,26.5,26.1473,26.72,26.27,3465628.0,0.0,1.0
2018-05-22,26.23,26.45,25.9888,26.7252,26.17,5477107.0,0.0,1.0
2018-05-23,25.88,26.19,25.642,26.35,25.63,7248912.0,0.0,1.0
2018-05-24,25.11,25.74,24.8791,25.86,24.9,9247114.0,0.0,1.0
2018-05-25,25.26,25.02,25.0277,25.435,25.01,3727512.0,0.0,1.0
2018-05-29,24.83,25.05,24.6017,25.3,24.61,7637951.0,0.0,1.0
2018-05-30,24.78,24.83,24.78,24.965,24.385,5854348.0,0.23,1.0
2018-05-31,23.58,24.78,23.58,24.8,23.41,11681855.0,0.0,1.0
2018-06-01,23.12,23.59,23.12,23.7067,22.6,13858629.0,0.0,1.0
2018-06-04,23.22,23.16,23.22,23.34,22.69,9310997.0,0.0,1.0
2018-06-05,23.58,23.27,23.58,23.59,23.14,9715526.0,0.0,1.0
2018-06-06,24.1,23.67,24.1,24.12,23.41,5022597.0,0.0,1.0
2018-06-07,24.47,24.05,24.47,24.75,24.05,10818596.0,0.0,1.0
2018-06-08,24.68,24.29,24.68,24.74,24.215,5852219.0,0.0,1.0
2018-06-11,25.59,25.1,25.59,25.69,24.96,14419185.0,0.0,1.0
2018-06-12,26.32,25.58,26.32,26.41,25.45,10133321.0,0.0,1.0
2018-06-13,26.04,26.46,26.04,26.68,26.01,6301178.0,0.0,1.0
2018-06-14,26.39,26.19,26.39,26.71,26.05,6488065.0,0.0,1.0
2018-06-15,26.05,26.3,26.05,26.6,25.88,6645418.0,0.0,1.0
2018-06-18,25.92,25.76,25.92,26.01,25.48,4722137.0,0.0,1.0
2018-06-19,26.26,25.67,26.26,26.43,25.56,5410726.0,0.0,1.0
2018-06-20,26.3,26.43,26.3,26.71,25.95,4086480.0,0.0,1.0
2018-06-21,25.78,26.25,25.78,26.395,25.71,3106636.0,0.0,1.0
2018-06-22,26.21,25.82,26.21,26.42,25.82,7342819.0,0.0,1.0
2018-06-25,26.02,25.96,26.02,26.22,25.56,5746955.0,0.0,1.0
2018-06-26,26.22,26.19,26.22,26.36,25.67,6485012.0,0.0,1.0
2018-06-27,25.96,26.05,25.96,26.44,25.64,8620764.0,0.0,1.0
2018-06-28,25.71,25.97,25.71,26.09,25.275,3385678.0,0.0,1.0
