date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,50.07,49.76,49.2199,50.66,49.01,3754917.0,0.0,1.0
2018-02-07,48.92,50.1,48.0895,50.95,48.89,5864264.0,0.0,1.0
2018-02-08,47.56,48.84,46.7525,49.3257,47.54,4321849.0,0.0,1.0
2018-02-09,48.9,47.87,48.0698,49.28,47.42,3228485.0,0.0,1.0
2018-02-12,48.68,49.06,47.8535,49.23,47.25,4287391.0,0.0,1.0
2018-02-13,48.99,48.65,48.1583,49.18,47.96,2841446.0,0.0,1.0
2018-02-14,48.1,48.55,47.2834,48.65,47.78,2723401.0,0.0,1.0
2018-02-15,49.28,48.27,48.4433,49.37,48.14,2999410.0,0.0,1.0
2018-02-16,49.96,49.33,49.1118,50.0346,49.31,2903116.0,0.0,1.0
2018-02-20,49.4,49.9,48.5613,50.25,49.39,2977308.0,0.0,1.0
2018-02-21,48.39,49.28,47.5685,49.57,48.34,3497652.0,0.0,1.0
2018-02-22,49.3,48.56,48.463,49.75,48.26,2940524.0,0.0,1.0
2018-02-23,50.2,49.46,49.3477,50.24,49.34,2363774.0,0.0,1.0
2018-02-26,50.6,50.38,49.7409,50.78,50.16,2814620.0,0.0,1.0
2018-02-27,49.37,50.68,48.5318,50.84,49.35,3215993.0,0.0,1.0
2018-02-28,49.18,49.5,48.5603,49.8,49.15,3394288.0,0.219,1.0
2018-03-01,49.61,49.17,48.9849,49.85,48.84,2497850.0,0.0,1.0
2018-03-02,49.73,49.45,49.1034,49.78,49.15,2017567.0,0.0,1.0
2018-03-05,50.31,49.58,49.6761,50.64,49.58,1806536.0,0.0,1.0
2018-03-06,50.54,50.15,49.9032,50.57,49.91,1814717.0,0.0,1.0
2018-03-07,50.85,50.4,50.2093,50.9,50.13,1445142.0,0.0,1.0
2018-03-08,50.58,50.88,49.9427,51.15,50.33,1579000.0,0.0,1.0
2018-03-09,50.87,50.59,50.229,50.87,50.0968,1482853.0,0.0,1.0
2018-03-12,51.25,50.9,50.6042,51.38,50.7,1680040.0,0.0,1.0
2018-03-13,51.45,51.45,50.8017,52.01,51.33,1443235.0,0.0,1.0
2018-03-14,51.39,51.45,50.7425,51.79,51.285,1706971.0,0.0,1.0
2018-03-15,51.14,51.55,50.4956,51.65,50.91,1388591.0,0.0,1.0
2018-03-16,51.47,51.14,50.8215,51.7162,50.86,2586246.0,0.0,1.0
2018-03-19,50.9,51.45,50.2587,51.5888,50.58,1737123.0,0.0,1.0
2018-03-20,50.48,50.95,49.8439,51.2799,50.21,1722168.0,0.0,1.0
2018-03-21,49.9,50.55,49.2713,50.6442,49.58,2314552.0,0.0,1.0
2018-03-22,49.87,49.82,49.2416,50.685,49.82,1877592.0,0.0,1.0
2018-03-23,49.33,49.93,48.7084,50.09,49.12,1980709.0,0.0,1.0
2018-03-26,49.95,49.66,49.3206,49.99,49.35,1616083.0,0.0,1.0
2018-03-27,50.32,49.97,49.686,50.94,49.4271,1544021.0,0.0,1.0
2018-03-28,51.76,50.68,51.1078,52.1,50.56,2036065.0,0.0,1.0
2018-03-29,51.73,51.99,51.2949,52.14,51.45,2506605.0,0.2195,1.0
2018-04-02,51.17,51.62,50.7396,51.94,50.86,2175580.0,0.0,1.0
2018-04-03,51.74,51.24,51.3048,51.92,50.64,1908783.0,0.0,1.0
2018-04-04,52.45,51.51,52.0089,52.7,51.23,1662188.0,0.0,1.0
2018-04-05,52.37,52.35,51.9295,52.44,51.87,1162052.0,0.0,1.0
2018-04-06,52.08,52.5,51.642,53.18,51.99,1574502.0,0.0,1.0
