date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,73.78,71.97,72.5973,74.54,71.4,2897875.0,0.0,1.0
2018-02-07,75.38,73.99,74.1716,76.31,73.64,2143484.0,0.0,1.0
2018-02-08,75.91,75.94,74.6931,79.19,75.6,5468887.0,0.0,1.0
2018-02-09,76.95,76.25,75.7165,77.59,74.36,4298919.0,0.0,1.0
2018-02-12,78.78,77.71,77.5171,79.3,77.52,5087430.0,0.0,1.0
2018-02-13,79.56,78.35,78.2846,80.91,78.33,4294407.0,0.0,1.0
2018-02-14,82.78,81.61,81.453,83.34,81.06,6821944.0,0.0,1.0
2018-02-15,77.28,78.66,76.0412,79.22,76.05,6200776.0,0.0,1.0
2018-02-16,78.72,77.88,77.4581,79.28,77.6,4254540.0,0.0,1.0
2018-02-20,78.36,78.58,77.1039,79.56,77.61,4630090.0,0.0,1.0
2018-02-21,77.03,78.34,75.7952,79.66,76.96,3331311.0,0.0,1.0
2018-02-22,76.79,77.35,75.559,78.03,76.51,2110593.0,0.0,1.0
2018-02-23,77.31,77.18,76.0707,77.79,76.4,1645974.0,0.0,1.0
2018-02-26,78.1,77.72,76.848,78.155,77.32,1566346.0,0.0,1.0
2018-02-27,76.94,78.0,75.7066,78.28,76.93,2033923.0,0.0,1.0
2018-02-28,76.23,77.38,75.008,77.62,76.2,1898742.0,0.0,1.0
2018-03-01,74.85,74.76,73.6501,75.492,73.5,4389145.0,0.0,1.0
2018-03-02,75.65,75.65,74.4373,76.56,74.89,2155331.0,0.0,1.0
2018-03-05,75.88,75.5,74.6636,76.37,75.5,1912517.0,0.0,1.0
2018-03-06,75.34,76.13,74.1323,76.17,74.15,3459985.0,0.0,1.0
2018-03-07,74.11,74.99,72.922,75.29,73.59,3338227.0,0.0,1.0
2018-03-08,73.51,73.97,72.922,74.03,72.56,2241458.0,0.6,1.0
2018-03-09,73.73,73.59,73.1402,74.08,73.135,1980882.0,0.0,1.0
2018-03-12,73.45,73.98,72.8625,74.28,73.31,2143045.0,0.0,1.0
2018-03-13,73.72,73.52,73.1303,73.95,72.715,1826376.0,0.0,1.0
2018-03-14,73.96,74.14,73.3684,74.2,73.41,1731346.0,0.0,1.0
2018-03-15,73.88,73.88,73.289,74.11,73.05,2267136.0,0.0,1.0
2018-03-16,73.98,73.88,73.3882,74.665,73.88,2367651.0,0.0,1.0
2018-03-19,73.56,73.84,72.9716,74.4,73.19,1846280.0,0.0,1.0
2018-03-20,72.18,73.86,71.6026,74.14,71.885,2080163.0,0.0,1.0
2018-03-21,72.44,72.16,71.8606,72.7,71.82,1977930.0,0.0,1.0
2018-03-22,70.8,72.03,70.2337,72.33,70.77,2268527.0,0.0,1.0
2018-03-23,70.19,70.77,69.6286,71.52,70.09,1715380.0,0.0,1.0
2018-03-26,71.76,70.74,71.186,72.01,70.26,1868396.0,0.0,1.0
2018-03-27,72.72,72.02,72.1383,73.44,71.74,2683657.0,0.0,1.0
2018-03-28,72.64,72.79,72.059,74.17,72.51,1900994.0,0.0,1.0
2018-03-29,72.67,72.9,72.0887,73.595,72.6,1559526.0,0.0,1.0
2018-04-02,71.27,72.53,70.6999,72.94,70.75,2212261.0,0.0,1.0
2018-04-03,71.27,71.44,70.6999,71.79,70.71,1781672.0,0.0,1.0
2018-04-04,72.01,70.69,71.434,72.115,70.31,2162691.0,0.0,1.0
2018-04-05,72.5,72.33,71.9201,72.67,71.5,1887189.0,0.0,1.0
2018-04-06,71.74,72.31,71.1662,72.7,71.01,1278690.0,0.0,1.0
2018-04-09,71.62,72.09,71.0471,72.78,71.52,1970038.0,0.0,1.0
2018-04-10,72.41,72.38,71.8308,72.82,71.79,1469049.0,0.0,1.0
2018-04-11,72.03,72.17,71.4538,72.36,71.81,1070685.0,0.0,1.0
2018-04-12,71.65,72.28,71.0769,72.505,71.08,1118135.0,0.0,1.0
2018-04-13,71.86,72.12,71.2852,72.34,71.57,1832509.0,0.0,1.0
2018-04-16,74.03,71.73,73.4378,74.4699,71.05,4584600.0,0.0,1.0
2018-04-17,74.9,75.24,74.3009,76.75,74.21,4286577.0,0.0,1.0
2018-04-18,74.75,74.87,74.1521,75.81,74.75,1886228.0,0.0,1.0
2018-04-19,75.03,75.29,74.4298,76.19,74.88,2580880.0,0.0,1.0
2018-04-20,73.74,74.91,73.1502,75.4,73.28,2815910.0,0.0,1.0
2018-04-23,73.88,73.82,73.289,74.12,73.37,1531760.0,0.0,1.0
2018-04-24,73.3,74.24,72.7137,74.44,72.97,1942947.0,0.0,1.0
2018-04-25,74.38,73.36,73.785,74.74,73.06,1518349.0,0.0,1.0
2018-04-26,74.48,74.53,73.8842,74.8,74.11,1627879.0,0.0,1.0
2018-04-27,73.91,74.96,73.3188,75.05,73.77,1439751.0,0.0,1.0
2018-04-30,73.66,74.41,73.0708,74.97,73.65,1640667.0,0.0,1.0
2018-05-01,74.22,73.36,73.6263,74.32,73.06,1519736.0,0.0,1.0
2018-05-02,73.52,74.1,72.9319,74.4,73.5,1342658.0,0.0,1.0
2018-05-03,74.13,73.51,73.537,74.41,72.87,1485127.0,0.0,1.0
2018-05-04,74.58,73.81,73.9834,74.96,73.39,1223227.0,0.0,1.0
2018-05-07,74.05,74.89,73.4577,74.89,73.14,1727579.0,0.0,1.0
