date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,49.4,47.33,49.197,49.51,46.8101,25762565.0,0.0,1.0
2018-02-07,48.87,49.2,48.6692,49.85,48.82,14829532.0,0.0,1.0
2018-02-08,46.84,49.09,46.6475,49.12,46.81,20411169.0,0.0,1.0
2018-02-09,47.73,47.58,47.5339,48.1504,45.92,23120892.0,0.0,1.0
2018-02-12,48.15,48.22,47.9522,48.4868,47.72,16202848.0,0.0,1.0
2018-02-13,48.49,48.01,48.2908,48.68,47.77,12352626.0,0.0,1.0
2018-02-14,49.45,48.19,49.2468,49.52,48.14,14193640.0,0.0,1.0
2018-02-15,50.64,49.7,50.4319,50.685,49.43,13812618.0,0.0,1.0
2018-02-16,50.71,50.55,50.5016,51.14,50.49,11075219.0,0.0,1.0
2018-02-20,49.89,50.2,49.685,50.31,49.655,14069855.0,0.0,1.0
2018-02-21,49.43,49.87,49.2269,50.34,49.43,12412168.0,0.0,1.0
2018-02-22,49.59,49.59,49.3862,50.055,49.405,9361372.0,0.0,1.0
2018-02-23,50.5,49.79,50.2925,50.57,49.62,8639157.0,0.0,1.0
2018-02-26,51.17,50.59,50.9597,51.26,50.5,12510429.0,0.0,1.0
2018-02-27,50.73,51.07,50.5216,51.4,50.535,14271722.0,0.0,1.0
2018-02-28,50.67,51.06,50.4618,51.5,50.67,14586818.0,0.0,1.0
2018-03-01,49.71,50.96,49.5057,50.96,49.415,16539779.0,0.0,1.0
2018-03-02,50.32,49.33,50.1132,50.4,49.155,17290989.0,0.0,1.0
2018-03-05,51.29,49.9,51.0792,51.49,49.85,18771549.0,0.0,1.0
2018-03-06,51.5,51.56,51.2884,51.79,51.22,13907083.0,0.0,1.0
2018-03-07,51.72,51.06,51.5075,51.81,51.03,11727303.0,0.0,1.0
2018-03-08,52.13,51.94,51.9158,52.16,51.465,14106457.0,0.0,1.0
2018-03-09,52.97,52.35,52.7523,53.0,52.2,15761851.0,0.0,1.0
2018-03-12,52.9,52.98,52.6826,53.44,52.665,14076625.0,0.0,1.0
2018-03-13,52.58,53.24,52.3639,53.48,52.34,12640710.0,0.0,1.0
2018-03-14,52.32,52.88,52.105,53.15,52.18,10877757.0,0.0,1.0
2018-03-15,52.37,52.22,52.1548,52.665,52.11,11679999.0,0.0,1.0
2018-03-16,52.27,52.4,52.0552,52.69,52.25,17883567.0,0.0,1.0
2018-03-19,51.95,52.43,51.7365,52.58,51.51,23478850.0,0.0,1.0
2018-03-20,47.05,46.8,46.8567,47.75,46.43,68331479.0,0.0,1.0
2018-03-21,47.02,47.29,46.8268,48.06,47.01,34523536.0,0.0,1.0
2018-03-22,45.89,46.72,45.7014,47.0215,45.73,25449926.0,0.0,1.0
2018-03-23,44.79,45.98,44.606,46.34,44.76,21296732.0,0.0,1.0
2018-03-26,46.48,45.55,46.289,46.64,45.385,19751401.0,0.0,1.0
2018-03-27,45.38,46.63,45.1935,46.82,45.0,18566310.0,0.0,1.0
2018-03-28,44.98,45.28,44.7952,45.36,44.51,22156930.0,0.0,1.0
2018-03-29,45.75,45.31,45.562,46.29,45.01,14256447.0,0.0,1.0
2018-04-02,45.01,45.65,44.8251,45.85,44.42,15343314.0,0.0,1.0
2018-04-03,44.89,45.33,44.7055,45.33,44.29,15734569.0,0.0,1.0
2018-04-04,45.51,44.07,45.323,45.62,44.04,18505940.0,0.0,1.0
2018-04-05,45.96,45.73,45.7712,46.18,45.55,12312979.0,0.0,1.0
2018-04-06,44.83,45.51,44.6458,45.75,44.6,13893643.0,0.0,1.0
2018-04-09,44.9,45.11,44.7155,45.65,44.88,15199976.0,0.0,1.0
2018-04-10,45.82,45.55,45.6317,46.07,45.46,17177233.0,0.0,1.0
2018-04-11,45.61,45.4,45.4226,45.99,45.36,14911438.0,0.0,1.0
2018-04-12,45.88,45.69,45.6915,46.17,45.645,13970339.0,0.0,1.0
2018-04-13,46.08,46.31,45.8907,46.53,45.61,12493597.0,0.0,1.0
2018-04-16,46.05,46.03,46.05,46.39,45.595,11639037.0,0.19,1.0
2018-04-17,46.66,46.41,46.66,46.93,46.39,10762747.0,0.0,1.0
2018-04-18,47.08,46.68,47.08,47.29,46.68,11312882.0,0.0,1.0
2018-04-19,46.82,46.99,46.82,47.11,46.7,8563187.0,0.0,1.0
2018-04-20,46.23,46.47,46.23,46.62,45.98,15675644.0,0.0,1.0
2018-04-23,45.8,46.38,45.8,46.47,45.72,14904389.0,0.0,1.0
2018-04-24,45.53,45.93,45.53,46.365,45.28,13356952.0,0.0,1.0
2018-04-25,45.75,45.42,45.75,45.84,45.05,11764000.0,0.0,1.0
2018-04-26,45.96,46.09,45.96,46.21,45.9,12175800.0,0.0,1.0
2018-04-27,45.53,46.12,45.53,46.12,45.465,14420754.0,0.0,1.0
2018-04-30,45.67,45.66,45.67,46.015,45.56,13896566.0,0.0,1.0
2018-05-01,45.95,45.39,45.95,45.95,45.39,8838034.0,0.0,1.0
2018-05-02,45.51,45.89,45.51,46.08,45.47,10715198.0,0.0,1.0
2018-05-03,45.06,45.36,45.06,45.39,44.49,15370217.0,0.0,1.0
2018-05-04,45.71,44.93,45.71,45.92,44.8,10571831.0,0.0,1.0
2018-05-07,46.07,45.94,46.07,46.239,45.78,9006006.0,0.0,1.0
2018-05-08,45.94,45.88,45.94,45.99,45.55,9830551.0,0.0,1.0
2018-05-09,46.58,46.23,46.58,46.68,45.98,11822388.0,0.0,1.0
2018-05-10,46.93,46.8,46.93,47.1,46.61,10974199.0,0.0,1.0
2018-05-11,46.82,47.11,46.82,47.15,46.64,9498144.0,0.0,1.0
2018-05-14,46.82,46.81,46.82,47.26,46.69,9689474.0,0.0,1.0
2018-05-15,46.81,46.51,46.81,46.82,46.25,11304873.0,0.0,1.0
2018-05-16,46.73,46.93,46.73,46.93,46.45,9874195.0,0.0,1.0
2018-05-17,46.54,46.69,46.54,47.055,46.42,10162341.0,0.0,1.0
2018-05-18,46.32,46.69,46.32,46.79,46.24,13517330.0,0.0,1.0
2018-05-21,47.21,46.53,47.21,47.285,46.49,13416333.0,0.0,1.0
2018-05-22,46.37,47.24,46.37,47.54,46.31,18505113.0,0.0,1.0
2018-05-23,46.9,46.08,46.9,46.97,46.02,9204379.0,0.0,1.0
