date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,254.9,245.15,254.9,255.72,241.68,1353966.0,0.0,1.0
2018-02-07,252.08,254.03,252.08,258.4,250.51,1649515.0,0.0,1.0
2018-02-08,252.22,256.0,252.22,262.36,248.441,2412563.0,0.0,1.0
2018-02-09,249.83,254.82,249.83,256.36,239.82,1758726.0,0.0,1.0
2018-02-12,248.25,250.6,248.25,252.89,244.66,935391.0,0.0,1.0
2018-02-13,245.31,247.09,245.31,248.87,243.08,749105.0,0.0,1.0
2018-02-14,247.55,244.06,247.55,249.52,242.38,1088765.0,0.0,1.0
2018-02-15,252.29,248.62,252.29,252.29,247.6035,839404.0,0.0,1.0
2018-02-16,251.1,251.99,251.1,253.54,249.43,695200.0,0.0,1.0
2018-02-20,252.38,250.05,252.38,254.89,247.73,767908.0,0.0,1.0
2018-02-21,247.69,255.05,247.69,258.76,247.53,973181.0,0.0,1.0
2018-02-22,247.36,248.47,247.36,251.87,246.65,561417.0,0.0,1.0
2018-02-23,254.13,249.08,254.13,254.22,249.08,602686.0,0.0,1.0
2018-02-26,254.97,254.4,254.97,255.03,251.5,753525.0,0.0,1.0
2018-02-27,238.58,253.4,238.58,253.67,238.41,1963790.0,0.0,1.0
2018-02-28,244.19,240.88,244.19,250.31,239.01,1166105.0,0.0,1.0
2018-03-01,243.26,243.63,243.26,248.16,240.54,938926.0,0.0,1.0
2018-03-02,241.01,242.33,241.01,244.13,237.7036,934884.0,0.0,1.0
2018-03-05,246.85,240.0,246.85,246.91,240.0,744538.0,0.0,1.0
2018-03-06,251.74,246.78,251.74,252.78,245.64,661269.0,0.0,1.0
2018-03-07,242.78,249.32,242.78,250.5,242.43,880431.0,0.0,1.0
2018-03-08,242.34,244.42,242.34,244.86,241.665,653957.0,0.0,1.0
2018-03-09,250.51,244.44,250.51,250.83,243.25,634564.0,0.0,1.0
2018-03-12,249.12,250.52,249.12,251.0081,246.01,702823.0,0.0,1.0
2018-03-13,250.82,250.13,250.82,253.44,248.15,643714.0,0.0,1.0
2018-03-14,249.14,251.4,249.14,253.145,248.19,493029.0,0.0,1.0
2018-03-15,248.84,249.55,248.84,252.315,248.5,419197.0,0.0,1.0
2018-03-16,251.16,250.08,251.16,253.342,248.3,895803.0,0.0,1.0
2018-03-19,248.7,250.16,248.7,254.11,246.43,743260.0,0.0,1.0
2018-03-20,247.61,249.63,247.61,250.57,246.879,453299.0,0.0,1.0
2018-03-21,247.05,247.43,247.05,251.895,246.9,621354.0,0.0,1.0
2018-03-22,241.16,244.9,241.16,247.4739,240.97,955159.0,0.0,1.0
2018-03-23,239.44,241.37,239.44,245.99,239.38,826392.0,0.0,1.0
2018-03-26,245.4,242.94,245.4,245.97,241.1,878556.0,0.0,1.0
2018-03-27,238.97,246.66,238.97,247.6898,238.26,854459.0,0.0,1.0
2018-03-28,242.72,239.4,242.72,245.49,239.26,673748.0,0.0,1.0
2018-03-29,247.38,243.86,247.38,249.96,243.86,714299.0,0.0,1.0
2018-04-02,236.08,245.48,236.08,247.36,232.335,1206804.0,0.0,1.0
2018-04-03,237.77,236.63,237.77,240.83,234.2337,757099.0,0.0,1.0
2018-04-04,242.03,234.25,242.03,242.92,234.06,800112.0,0.0,1.0
2018-04-05,243.87,243.93,243.87,245.0,239.28,634147.0,0.0,1.0
2018-04-06,237.19,242.64,237.19,243.4,234.36,661852.0,0.0,1.0
2018-04-09,232.28,237.08,232.28,239.35,231.85,857815.0,0.0,1.0
2018-04-10,236.69,235.24,236.69,237.85,232.42,691784.0,0.0,1.0
2018-04-11,232.79,234.68,232.79,236.33,232.3,796608.0,0.0,1.0
2018-04-12,229.85,232.21,229.85,234.115,229.79,754421.0,0.0,1.0
2018-04-13,224.87,231.15,224.87,232.22,222.72,1374745.0,0.0,1.0
2018-04-16,226.77,227.26,226.77,229.36,223.76,733789.0,0.0,1.0
2018-04-17,224.01,226.76,224.01,227.34,223.51,898577.0,0.0,1.0
2018-04-18,226.73,225.31,226.73,229.1,224.735,857771.0,0.0,1.0
2018-04-19,222.95,225.81,222.95,226.58,221.63,931496.0,0.0,1.0
2018-04-20,221.48,222.76,221.48,223.68,217.64,897464.0,0.0,1.0
2018-04-23,222.58,222.24,222.58,224.46,220.945,643238.0,0.0,1.0
2018-04-24,224.63,224.33,224.63,227.62,223.08,1111451.0,0.0,1.0
2018-04-25,227.67,224.4,227.67,229.59,224.4,1730007.0,0.0,1.0
2018-04-26,257.4,254.94,257.4,262.0,249.5,3738433.0,0.0,1.0
2018-04-27,263.29,259.23,263.29,265.0,256.53,1551195.0,0.0,1.0
2018-04-30,256.07,263.98,256.07,264.57,256.07,1239328.0,0.0,1.0
2018-05-01,258.76,254.09,258.76,259.745,254.09,843013.0,0.0,1.0
2018-05-02,259.5,258.26,259.5,261.98,255.75,829829.0,0.0,1.0
2018-05-03,258.94,258.64,258.94,260.9886,255.16,613257.0,0.0,1.0
2018-05-04,259.51,257.18,259.51,262.3024,256.19,662108.0,0.0,1.0
2018-05-07,263.17,259.98,263.17,264.0,259.41,777977.0,0.0,1.0
2018-05-08,265.74,262.95,265.74,266.2,261.09,791128.0,0.0,1.0
2018-05-09,265.41,266.17,265.41,267.89,258.7334,1003259.0,0.0,1.0
2018-05-10,265.2,265.55,265.2,265.55,261.75,507072.0,0.0,1.0
2018-05-11,269.62,264.96,269.62,270.89,263.06,724308.0,0.0,1.0
2018-05-14,272.85,269.67,272.85,274.95,267.745,841931.0,0.0,1.0
2018-05-15,272.45,271.81,272.45,273.55,266.64,734855.0,0.0,1.0
2018-05-16,271.26,273.38,271.26,274.96,269.93,616216.0,0.0,1.0
2018-05-17,272.89,270.49,272.89,276.34,269.96,692319.0,0.0,1.0
2018-05-18,272.09,273.9,272.09,273.9,270.61,521001.0,0.0,1.0
2018-05-21,276.18,273.85,276.18,278.835,272.28,653554.0,0.0,1.0
2018-05-22,267.45,280.02,267.45,280.4,264.5,1135748.0,0.0,1.0
2018-05-23,271.24,266.58,271.24,271.31,266.316,774212.0,0.0,1.0
2018-05-24,268.64,270.29,268.64,271.5,265.11,756294.0,0.0,1.0
