date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,47.63,48.27,46.7583,48.33,46.58,4558723.0,0.0,1.0
2018-02-07,47.7,47.59,46.827,48.48,47.54,3239464.0,0.0,1.0
2018-02-08,46.73,47.48,45.8748,48.14,46.68,5252221.0,0.0,1.0
2018-02-09,47.24,46.68,46.3754,47.61,46.2,5007885.0,0.0,1.0
2018-02-12,47.62,47.33,46.7485,47.85,46.79,5107321.0,0.0,1.0
2018-02-13,48.04,47.46,47.1608,48.15,47.08,2493197.0,0.0,1.0
2018-02-14,47.62,47.63,46.7485,48.11,47.37,2307802.0,0.0,1.0
2018-02-15,48.61,47.69,47.7203,48.61,47.61,2694204.0,0.0,1.0
2018-02-16,49.43,48.72,48.5253,49.67,48.53,2474856.0,0.0,1.0
2018-02-20,49.29,49.19,48.3879,49.5,48.86,4733405.0,0.0,1.0
2018-02-21,48.53,49.31,47.6418,49.61,48.495,2668432.0,0.0,1.0
2018-02-22,49.18,48.68,48.2799,49.46,48.42,2805120.0,0.0,1.0
2018-02-23,50.53,49.01,49.6052,50.56,48.55,2617096.0,0.0,1.0
2018-02-26,50.3,50.59,49.3794,50.85,50.14,2579371.0,0.0,1.0
2018-02-27,48.79,50.28,47.897,50.41,48.78,3997776.0,0.0,1.0
2018-02-28,48.43,48.97,47.5436,49.28,48.42,2953560.0,0.0,1.0
2018-03-01,48.29,48.47,47.4062,49.02,47.9264,3615311.0,0.0,1.0
2018-03-02,47.7,48.27,46.827,48.58,47.08,3558288.0,0.0,1.0
2018-03-05,48.07,47.64,47.1902,48.265,47.25,4358244.0,0.0,1.0
2018-03-06,47.19,48.02,46.3263,48.055,47.08,3251328.0,0.0,1.0
2018-03-07,46.38,46.7,45.9729,46.84,46.19,3288404.0,0.45,1.0
2018-03-08,46.83,46.59,46.419,47.02,46.36,2697142.0,0.0,1.0
2018-03-09,47.05,46.91,46.637,47.11,46.25,2368406.0,0.0,1.0
2018-03-12,47.58,47.11,47.1624,47.69,47.05,3133530.0,0.0,1.0
2018-03-13,47.39,47.66,46.9741,48.08,47.2,2736415.0,0.0,1.0
2018-03-14,48.45,47.52,48.0248,48.53,47.49,3582233.0,0.0,1.0
2018-03-15,48.65,48.39,48.223,49.1,48.39,3534717.0,0.0,1.0
2018-03-16,49.29,48.76,48.8574,49.365,48.59,5955542.0,0.0,1.0
2018-03-19,49.3,49.21,48.8673,49.75,48.8925,2751836.0,0.0,1.0
2018-03-20,48.98,49.18,48.5501,49.49,48.81,3912385.0,0.0,1.0
2018-03-21,48.39,49.02,47.9653,49.39,48.25,3127824.0,0.0,1.0
2018-03-22,48.26,48.34,47.8364,49.19,48.195,2388964.0,0.0,1.0
2018-03-23,47.9,48.47,47.4796,48.98,47.84,2546883.0,0.0,1.0
2018-03-26,48.43,47.98,48.0049,48.51,47.9,1702750.0,0.0,1.0
2018-03-27,49.32,48.51,48.8871,49.97,48.42,2812333.0,0.0,1.0
2018-03-28,49.36,49.47,48.9268,49.6405,49.24,2801745.0,0.0,1.0
2018-03-29,50.24,49.61,49.799,50.41,49.47,3650837.0,0.0,1.0
2018-04-02,49.87,50.38,49.4323,50.41,49.505,3259289.0,0.0,1.0
2018-04-03,50.3,49.85,49.8585,50.6,49.54,2691468.0,0.0,1.0
2018-04-04,50.37,50.21,49.9279,50.53,49.77,2223460.0,0.0,1.0
2018-04-05,50.73,50.39,50.2847,50.81,49.73,1926368.0,0.0,1.0
2018-04-06,50.1,50.77,49.6603,50.98,49.94,3382917.0,0.0,1.0
2018-04-09,50.31,50.13,49.8684,50.75,49.94,2340152.0,0.0,1.0
2018-04-10,49.85,50.31,49.4125,50.5,49.74,2799625.0,0.0,1.0
2018-04-11,49.86,49.76,49.4224,49.92,49.44,2294580.0,0.0,1.0
2018-04-12,49.44,50.02,49.0061,50.1,49.305,4628680.0,0.0,1.0
2018-04-13,49.88,49.71,49.4422,50.41,49.67,3278356.0,0.0,1.0
2018-04-16,50.41,50.3,49.9675,50.61,50.01,3034298.0,0.0,1.0
2018-04-17,50.87,50.5,50.4235,51.03,50.35,2088878.0,0.0,1.0
2018-04-18,50.45,50.96,50.0072,51.38,50.43,1720113.0,0.0,1.0
2018-04-19,50.03,50.18,49.5909,50.48,49.815,2182175.0,0.0,1.0
2018-04-20,49.51,50.13,49.0754,50.21,49.32,2157844.0,0.0,1.0
2018-04-23,49.38,49.53,48.9466,49.8,49.02,2544315.0,0.0,1.0
2018-04-24,49.93,49.57,49.4918,50.09,49.28,3030094.0,0.0,1.0
2018-04-25,50.34,49.73,49.8982,50.36,49.46,3422651.0,0.0,1.0
2018-04-26,51.17,50.41,50.7209,51.27,50.15,3218794.0,0.0,1.0
2018-04-27,51.53,50.95,51.0777,51.775,50.84,3027573.0,0.0,1.0
2018-04-30,52.15,51.62,51.6923,52.31,51.31,3304913.0,0.0,1.0
2018-05-01,51.86,51.95,51.4048,52.35,51.6,3188871.0,0.0,1.0
2018-05-02,51.46,51.87,51.0083,51.98,50.99,3542738.0,0.0,1.0
2018-05-03,51.87,51.37,51.4147,52.11,50.99,2240826.0,0.0,1.0
2018-05-04,52.1,51.87,51.6427,52.24,51.825,1496910.0,0.0,1.0
2018-05-07,51.88,52.1,51.4246,52.24,51.83,1619974.0,0.0,1.0
2018-05-08,51.08,51.68,50.6317,51.68,50.98,3453823.0,0.0,1.0
2018-05-09,50.57,51.18,50.1261,51.29,50.34,2183611.0,0.0,1.0
2018-05-10,51.13,50.86,50.6812,51.1801,50.59,1557253.0,0.0,1.0
2018-05-11,51.15,51.26,50.7011,51.37,50.98,1736904.0,0.0,1.0
2018-05-14,50.89,51.24,50.4433,51.29,50.66,1685029.0,0.0,1.0
2018-05-15,50.24,50.67,49.799,50.78,49.98,2605993.0,0.0,1.0
2018-05-16,49.87,50.24,49.4323,50.28,49.75,1923385.0,0.0,1.0
2018-05-17,49.56,49.99,49.125,50.05,49.34,2547348.0,0.0,1.0
2018-05-18,49.73,49.75,49.2935,49.99,49.43,2582694.0,0.0,1.0
2018-05-21,50.06,49.73,49.6206,50.16,49.38,1838338.0,0.0,1.0
2018-05-22,50.54,50.0,50.0964,50.715,49.99,2757300.0,0.0,1.0
2018-05-23,51.35,50.55,50.8993,51.56,50.55,3430575.0,0.0,1.0
2018-05-24,51.93,51.44,51.4742,52.03,51.35,2332567.0,0.0,1.0
2018-05-25,52.4,52.03,51.9401,52.73,51.98,1910576.0,0.0,1.0
2018-05-29,52.63,52.43,52.1681,52.96,52.2,2582386.0,0.0,1.0
2018-05-30,52.69,52.48,52.2275,52.865,52.11,4021089.0,0.0,1.0
2018-05-31,52.98,52.54,52.515,53.325,52.34,5552598.0,0.0,1.0
2018-06-01,52.55,53.0,52.0888,53.15,52.13,3769546.0,0.0,1.0
2018-06-04,52.27,52.87,51.8112,53.08,52.04,3725385.0,0.0,1.0
2018-06-05,51.97,52.27,51.5139,52.48,51.72,2558091.0,0.0,1.0
2018-06-06,51.02,52.0,50.5722,52.03,50.85,2705366.0,0.0,1.0
2018-06-07,50.82,50.73,50.82,51.1,50.37,3308479.0,0.45,1.0
2018-06-08,50.89,50.89,50.89,51.06,50.605,2439643.0,0.0,1.0
2018-06-11,50.81,51.05,50.81,51.15,50.56,2865136.0,0.0,1.0
2018-06-12,51.93,50.86,51.93,51.99,50.795,2671693.0,0.0,1.0
2018-06-13,51.78,51.91,51.78,52.36,51.62,2830032.0,0.0,1.0
2018-06-14,52.22,51.78,52.22,52.2649,51.62,2171784.0,0.0,1.0
2018-06-15,52.53,52.13,52.53,52.57,51.61,4402525.0,0.0,1.0
2018-06-18,52.85,52.54,52.85,53.04,52.41,2046096.0,0.0,1.0
2018-06-19,52.86,52.81,52.86,53.25,52.16,3776670.0,0.0,1.0
2018-06-20,53.06,52.89,53.06,53.07,52.6,3126544.0,0.0,1.0
2018-06-21,53.12,52.95,53.12,53.41,52.895,3840887.0,0.0,1.0
2018-06-22,53.34,53.22,53.34,53.545,52.98,4248185.0,0.0,1.0
2018-06-25,54.24,53.51,54.24,54.42,53.4,2987475.0,0.0,1.0
2018-06-26,53.72,54.1,53.72,54.36,53.645,2730357.0,0.0,1.0
2018-06-27,54.06,53.64,54.06,54.26,53.57,3004769.0,0.0,1.0
2018-06-28,54.19,54.12,54.19,54.48,53.93,3033726.0,0.0,1.0
