date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,113.56,112.44,111.6874,113.95,110.15,6333224.0,0.0,1.0
2018-02-07,113.5,113.97,111.6284,115.77,112.75,4882891.0,0.0,1.0
2018-02-08,110.15,113.7,108.3337,113.72,110.09,3715447.0,0.0,1.0
2018-02-09,111.18,110.81,109.3467,111.99,108.88,4498919.0,0.0,1.0
2018-02-12,111.93,111.9,110.0843,112.75,111.06,4686573.0,0.0,1.0
2018-02-13,112.14,112.0,110.2908,112.67,110.68,5255091.0,0.0,1.0
2018-02-14,109.11,111.67,107.3108,111.9,108.76,7660067.0,0.0,1.0
2018-02-15,110.97,109.53,109.1401,111.04,108.72,5099005.0,0.0,1.0
2018-02-16,111.06,111.06,109.2287,111.7,109.76,5545735.0,0.0,1.0
2018-02-20,109.48,110.96,107.6747,110.98,109.34,3802055.0,0.0,1.0
2018-02-21,108.0,109.35,106.2191,109.8405,107.94,4471381.0,0.0,1.0
2018-02-22,109.26,108.33,107.4583,109.97,108.02,5138756.0,0.0,1.0
2018-02-23,109.68,109.36,107.8714,110.05,108.57,4656003.0,0.0,1.0
2018-02-26,110.94,110.12,109.1106,111.17,110.03,4881530.0,0.0,1.0
2018-02-27,110.89,111.19,109.0615,112.08,110.71,6016248.0,0.0,1.0
2018-02-28,109.73,111.0,107.9206,111.65,109.68,4549498.0,0.0,1.0
2018-03-01,108.12,109.21,107.1289,109.88,107.241,6896334.0,0.805,1.0
2018-03-02,109.04,107.91,108.0404,109.32,107.9,4903615.0,0.0,1.0
2018-03-05,109.43,108.46,108.4268,109.6,108.02,3781706.0,0.0,1.0
2018-03-06,109.58,109.36,108.5755,109.62,108.44,3380798.0,0.0,1.0
2018-03-07,109.84,108.89,108.8331,110.06,108.61,4612636.0,0.0,1.0
2018-03-08,112.08,110.03,111.0526,112.13,109.58,5007334.0,0.0,1.0
