date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,64.54,62.4,63.4214,64.91,61.3698,2418835.0,0.0,1.0
2018-02-07,63.92,64.1,62.8122,65.49,63.85,1564333.0,0.0,1.0
2018-02-08,60.38,63.42,59.3335,63.8,60.37,1519783.0,0.0,1.0
2018-02-09,61.39,61.31,60.326,61.925,59.25,1861139.0,0.0,1.0
2018-02-12,61.84,62.25,60.7682,64.8697,60.62,2068730.0,0.0,1.0
2018-02-13,61.72,61.66,60.6503,61.9,61.05,1106952.0,0.0,1.0
2018-02-14,63.27,61.51,62.1735,63.48,61.24,1386394.0,0.0,1.0
2018-02-15,62.87,63.67,61.7804,64.44,62.21,1876476.0,0.0,1.0
2018-02-16,63.05,62.45,61.9573,63.5,62.22,1487247.0,0.0,1.0
2018-02-20,62.7,62.56,61.6133,63.35,62.42,1435682.0,0.0,1.0
2018-02-21,63.3,62.78,62.2029,64.42,62.78,1711369.0,0.0,1.0
2018-02-22,62.37,63.43,61.289,63.79,62.15,1662305.0,0.0,1.0
2018-02-23,63.15,62.77,62.0555,63.24,62.41,972990.0,0.0,1.0
2018-02-26,63.98,63.54,62.8711,64.09,63.28,1150909.0,0.0,1.0
2018-02-27,63.57,63.78,62.4683,64.73,63.56,1365629.0,0.0,1.0
2018-02-28,62.33,63.81,61.2497,64.17,62.32,1849298.0,0.0,1.0
2018-03-01,61.19,62.37,60.1295,62.86,61.03,2860038.0,0.0,1.0
2018-03-02,61.09,60.45,60.5324,61.25,59.42,1467274.0,0.51,1.0
2018-03-05,61.37,60.52,60.8098,61.86,60.08,2383345.0,0.0,1.0
2018-03-06,61.59,61.76,61.0278,62.0,61.13,1223546.0,0.0,1.0
2018-03-07,61.58,60.87,61.0179,61.82,60.69,1631314.0,0.0,1.0
2018-03-08,61.37,61.64,60.8098,61.7942,60.655,1839489.0,0.0,1.0
2018-03-09,63.05,61.76,62.4745,63.15,61.72,1841424.0,0.0,1.0
2018-03-12,63.05,63.12,62.4745,63.4077,62.825,1371103.0,0.0,1.0
2018-03-13,62.68,63.46,62.1079,63.5839,62.51,1548075.0,0.0,1.0
2018-03-14,62.05,63.14,61.4836,63.14,61.81,893840.0,0.0,1.0
2018-03-15,61.97,62.26,61.4044,62.57,61.94,1099918.0,0.0,1.0
2018-03-16,62.11,62.25,61.5431,62.86,61.85,2316394.0,0.0,1.0
2018-03-19,61.62,62.12,61.0576,62.43,61.04,1076067.0,0.0,1.0
2018-03-20,61.74,61.95,61.1765,62.43,61.64,961868.0,0.0,1.0
2018-03-21,62.2,61.89,61.6323,62.99,61.64,1103226.0,0.0,1.0
2018-03-22,59.93,61.39,59.383,62.8662,59.84,3292099.0,0.0,1.0
2018-03-23,57.76,60.26,57.2328,60.4,57.62,1460273.0,0.0,1.0
2018-03-26,59.23,58.6,58.6894,59.5047,57.945,1948822.0,0.0,1.0
2018-03-27,58.79,59.27,58.2534,60.26,58.38,1622547.0,0.0,1.0
2018-03-28,59.4,58.98,58.8578,59.83,58.37,1778427.0,0.0,1.0
2018-03-29,60.91,59.54,60.354,61.27,59.11,2544804.0,0.0,1.0
2018-04-02,59.42,60.62,58.8776,61.42,58.5,3180383.0,0.0,1.0
2018-04-03,60.19,59.68,59.6406,60.33,59.02,2643941.0,0.0,1.0
2018-04-04,61.04,59.29,60.4829,61.25,58.76,1991159.0,0.0,1.0
2018-04-05,61.31,61.34,60.7504,61.61,60.99,1952302.0,0.0,1.0
2018-04-06,59.61,60.69,59.0659,61.18,58.93,2293118.0,0.0,1.0
2018-04-09,59.63,59.84,59.0857,60.73,59.56,1737411.0,0.0,1.0
2018-04-10,61.07,60.38,60.5126,61.46,60.26,1945856.0,0.0,1.0
2018-04-11,60.18,60.33,59.6307,60.84,60.09,2129655.0,0.0,1.0
2018-04-12,61.05,60.69,60.4928,61.39,60.35,1219560.0,0.0,1.0
2018-04-13,60.65,61.77,60.0964,61.9926,60.43,1850170.0,0.0,1.0
2018-04-16,61.06,60.96,60.5027,61.53,60.6,1819209.0,0.0,1.0
2018-04-17,60.25,61.69,59.7001,61.69,60.03,3484335.0,0.0,1.0
2018-04-18,60.89,60.42,60.3342,61.27,60.38,1792940.0,0.0,1.0
2018-04-19,61.0,60.9,60.4432,61.4975,60.62,1246656.0,0.0,1.0
2018-04-20,60.89,61.19,60.3342,61.33,60.48,1832240.0,0.0,1.0
2018-04-23,61.46,61.17,60.899,61.67,60.97,1627416.0,0.0,1.0
