date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,30.16,28.53,29.98,30.36,28.33,5977615.0,0.0,1.0
2018-02-07,29.91,30.08,29.7315,31.02,29.9,5551941.0,0.0,1.0
2018-02-08,28.67,29.96,28.4989,30.15,28.67,5481010.0,0.0,1.0
2018-02-09,28.71,29.09,28.5386,29.19,28.029,6837138.0,0.0,1.0
2018-02-12,29.18,29.07,29.0058,29.49,28.89,6565276.0,0.0,1.0
2018-02-13,29.0,29.08,28.8269,29.27,28.8,3832806.0,0.0,1.0
2018-02-14,29.46,28.79,29.2842,29.64,28.665,6084113.0,0.0,1.0
2018-02-15,29.5,29.75,29.3239,29.75,29.035,5294848.0,0.0,1.0
2018-02-16,29.74,29.61,29.5625,30.02,29.53,4874650.0,0.0,1.0
2018-02-20,29.47,29.68,29.2941,29.84,29.26,3353010.0,0.0,1.0
2018-02-21,29.34,29.59,29.1649,30.42,29.34,5213345.0,0.0,1.0
2018-02-22,29.19,29.46,29.0158,29.55,29.125,3462435.0,0.0,1.0
2018-02-23,29.27,29.23,29.0953,29.3651,28.75,3869287.0,0.0,1.0
2018-02-26,29.34,29.46,29.1649,29.5,28.96,2875388.0,0.0,1.0
2018-02-27,28.5,29.47,28.3299,29.94,28.49,5302504.0,0.0,1.0
2018-02-28,28.07,28.57,27.9024,28.74,27.84,8013132.0,0.0,1.0
2018-03-01,28.72,28.11,28.5486,28.72,27.94,8429666.0,0.0,1.0
2018-03-02,28.95,28.43,28.7772,29.005,28.21,5344840.0,0.0,1.0
2018-03-05,29.31,28.79,29.135,29.52,28.64,6868065.0,0.0,1.0
2018-03-06,29.9,29.49,29.7215,29.93,29.19,4124656.0,0.0,1.0
2018-03-07,29.62,29.7,29.4432,29.99,29.4172,2835429.0,0.0,1.0
2018-03-08,29.52,29.73,29.3438,29.76,29.165,3224333.0,0.0,1.0
2018-03-09,30.04,29.7,29.8607,30.05,29.275,2645106.0,0.0,1.0
2018-03-12,30.18,30.0,29.9999,30.3,29.92,3647675.0,0.0,1.0
2018-03-13,30.44,30.42,30.2583,30.725,30.32,2845682.0,0.0,1.0
2018-03-14,29.55,30.47,29.3736,30.47,29.52,7108891.0,0.0,1.0
2018-03-15,28.97,29.6,28.8865,29.68,28.885,3479138.0,0.09,1.0
2018-03-16,29.38,28.97,29.2954,29.48,28.61,6152935.0,0.0,1.0
2018-03-19,29.1,29.26,29.0162,29.4,28.85,2272148.0,0.0,1.0
2018-03-20,28.93,29.17,28.8467,29.385,28.89,2559170.0,0.0,1.0
2018-03-21,29.39,29.01,29.3053,29.71,28.89,4498666.0,0.0,1.0
2018-03-22,29.0,29.11,28.9165,29.745,29.0,4744018.0,0.0,1.0
2018-03-23,28.65,29.28,28.5675,29.79,28.615,2969909.0,0.0,1.0
2018-03-26,29.17,29.07,29.086,29.35,28.66,3078814.0,0.0,1.0
2018-03-27,29.23,29.26,29.1458,29.645,29.01,4195521.0,0.0,1.0
2018-03-28,29.08,29.18,28.9962,29.46,28.9,3896418.0,0.0,1.0
2018-03-29,29.49,29.22,29.405,29.68,29.125,5929981.0,0.0,1.0
2018-04-02,28.57,29.41,28.4877,29.435,27.95,5365220.0,0.0,1.0
2018-04-03,28.68,28.71,28.5974,28.79,28.025,3574682.0,0.0,1.0
2018-04-04,30.5,28.57,30.4121,30.655,28.36,7778887.0,0.0,1.0
2018-04-05,30.81,30.75,30.7212,31.17,30.495,6343219.0,0.0,1.0
2018-04-06,30.03,30.52,29.9435,30.91,29.58,5011367.0,0.0,1.0
2018-04-09,29.86,30.2,29.774,30.5,29.82,3067937.0,0.0,1.0
2018-04-10,29.83,30.14,29.7441,30.44,29.73,3647566.0,0.0,1.0
2018-04-11,29.55,29.65,29.4649,30.01,29.475,2901112.0,0.0,1.0
2018-04-12,29.11,29.69,29.0261,29.73,28.91,5056904.0,0.0,1.0
2018-04-13,29.29,29.31,29.2056,29.625,28.96,2863572.0,0.0,1.0
2018-04-16,29.57,29.44,29.4848,29.86,29.17,3331679.0,0.0,1.0
2018-04-17,29.87,29.79,29.7839,29.99,29.61,1890536.0,0.0,1.0
2018-04-18,29.95,30.05,29.8637,30.26,29.94,2525493.0,0.0,1.0
2018-04-19,28.76,29.88,28.6771,29.92,28.3601,5059359.0,0.0,1.0
