date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,60.74,60.15,59.8351,61.21,59.165,4531106.0,0.0,1.0
2018-02-07,60.04,60.55,59.1456,61.91,59.97,4135859.0,0.0,1.0
2018-02-08,58.33,60.07,57.4611,61.05,58.3,4453558.0,0.0,1.0
2018-02-09,60.32,58.7,59.4214,60.88,58.28,3356069.0,0.0,1.0
2018-02-12,60.15,60.63,59.2539,60.79,58.44,3646507.0,0.0,1.0
2018-02-13,61.16,60.05,60.2489,61.43,59.84,2429241.0,0.0,1.0
2018-02-14,60.54,60.79,59.6381,60.79,59.89,2670570.0,0.0,1.0
2018-02-15,61.41,60.76,60.4952,61.44,60.34,3052210.0,0.0,1.0
2018-02-16,61.98,61.46,61.0567,62.48,61.42,2842192.0,0.0,1.0
2018-02-20,61.23,61.72,60.3178,62.5,61.15,3628870.0,0.0,1.0
2018-02-21,59.91,61.15,59.0175,61.51,59.86,2684899.0,0.0,1.0
2018-02-22,59.94,60.17,59.0471,60.58,59.74,3353192.0,0.0,1.0
2018-02-23,61.26,60.34,60.3474,61.49,60.16,3237933.0,0.0,1.0
2018-02-26,61.31,61.53,60.3967,61.56,60.9,2464388.0,0.0,1.0
2018-02-27,60.36,61.5,59.4608,61.51,59.83,2467954.0,0.0,1.0
2018-02-28,60.68,60.73,59.776,61.43,60.58,4618515.0,0.0,1.0
2018-03-01,60.72,60.51,59.8154,61.37,60.23,2161192.0,0.0,1.0
2018-03-02,60.22,60.55,59.3229,60.63,59.25,2436904.0,0.0,1.0
2018-03-05,61.09,59.77,60.1799,61.46,59.74,1704743.0,0.0,1.0
2018-03-06,61.6,61.02,60.6823,61.7,60.68,1920232.0,0.0,1.0
2018-03-07,61.92,61.6,60.9976,61.94,61.1,2284914.0,0.0,1.0
2018-03-08,62.38,62.11,61.4507,62.45,61.73,1409799.0,0.0,1.0
2018-03-09,63.69,62.58,62.7412,63.7,62.0,2443661.0,0.0,1.0
2018-03-12,63.56,63.54,62.6131,63.87,63.15,3133176.0,0.0,1.0
2018-03-13,63.37,63.86,62.426,64.02,63.05,1910011.0,0.0,1.0
2018-03-14,63.22,63.05,62.7511,63.4,62.85,1718966.0,0.48,1.0
2018-03-15,63.44,63.35,62.9694,63.649,63.08,1841522.0,0.0,1.0
2018-03-16,63.83,63.49,63.3565,63.98,63.03,2750010.0,0.0,1.0
2018-03-19,63.34,63.83,62.8702,63.83,62.935,1430345.0,0.0,1.0
2018-03-20,63.58,63.49,63.1084,63.94,63.13,1564997.0,0.0,1.0
2018-03-21,62.63,63.47,62.1654,63.74,62.22,1652110.0,0.0,1.0
2018-03-22,61.71,62.37,61.2523,63.12,61.59,1971276.0,0.0,1.0
2018-03-23,60.11,61.76,59.6641,61.89,59.91,2397001.0,0.0,1.0
2018-03-26,61.23,60.9,60.7758,61.41,60.34,1806518.0,0.0,1.0
2018-03-27,62.04,61.84,61.5798,63.07,61.4,2947069.0,0.0,1.0
2018-03-28,62.53,62.38,62.0662,62.95,62.31,2137939.0,0.0,1.0
2018-03-29,62.99,62.86,62.5228,63.36,62.64,2455542.0,0.0,1.0
2018-04-02,61.4,63.17,60.9446,63.18,60.82,2424208.0,0.0,1.0
2018-04-03,61.73,61.41,61.2721,62.0,60.96,2205646.0,0.0,1.0
2018-04-04,62.15,61.25,61.689,62.24,60.97,2593203.0,0.0,1.0
2018-04-05,61.76,62.28,61.3019,62.36,61.27,1865655.0,0.0,1.0
2018-04-06,61.24,61.89,60.7857,62.5346,61.01,1921512.0,0.0,1.0
2018-04-09,61.32,61.47,60.8651,62.25,61.295,2350326.0,0.0,1.0
2018-04-10,61.6,61.68,61.1431,62.09,61.45,2260072.0,0.0,1.0
2018-04-11,61.62,61.37,61.1629,62.2,61.32,1716018.0,0.0,1.0
2018-04-12,61.64,62.79,61.1828,62.87,61.47,1842284.0,0.0,1.0
2018-04-13,62.26,61.85,61.7982,62.31,61.46,1899860.0,0.0,1.0
2018-04-16,62.6,62.3,62.1357,62.87,61.825,2392448.0,0.0,1.0
2018-04-17,65.3,63.43,64.8156,65.75,63.35,3776244.0,0.0,1.0
2018-04-18,65.66,65.62,65.173,66.15,65.27,2819993.0,0.0,1.0
2018-04-19,65.23,65.66,64.7461,65.79,64.88,2104552.0,0.0,1.0
2018-04-20,64.99,65.22,64.5079,65.45,64.77,2391685.0,0.0,1.0
2018-04-23,64.88,65.08,64.3987,65.36,64.51,1533055.0,0.0,1.0
2018-04-24,65.22,65.17,64.7362,65.88,64.74,2272683.0,0.0,1.0
2018-04-25,64.64,64.94,64.1605,65.04,64.21,1943439.0,0.0,1.0
2018-04-26,65.87,65.22,65.3814,66.34,64.89,1349490.0,0.0,1.0
2018-04-27,66.58,65.76,66.0861,66.995,65.72,1687480.0,0.0,1.0
2018-04-30,64.91,64.11,64.4285,65.79,63.9,9085685.0,0.0,1.0
2018-05-01,65.07,65.14,64.5873,65.45,64.91,4037691.0,0.0,1.0
2018-05-02,64.75,64.89,64.2697,65.33,64.41,3940237.0,0.0,1.0
2018-05-03,64.8,64.55,64.3193,65.06,64.39,2319120.0,0.0,1.0
2018-05-04,65.25,64.64,64.766,65.5575,64.59,2514749.0,0.0,1.0
2018-05-07,65.49,65.52,65.0042,65.65,65.21,3248233.0,0.0,1.0
2018-05-08,65.19,65.47,64.7064,65.75,65.09,2979165.0,0.0,1.0
2018-05-09,65.22,65.19,64.7362,65.41,64.9,2875781.0,0.0,1.0
2018-05-10,65.59,65.41,65.1035,65.67,65.29,2893613.0,0.0,1.0
