date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,113.96,110.33,113.0451,114.2,109.6,2183849.0,0.0,1.0
2018-02-07,114.13,113.86,113.2138,116.74,113.48,2060036.0,0.0,1.0
2018-02-08,110.3,113.89,109.4145,114.2,110.27,2055306.0,0.0,1.0
2018-02-09,112.37,111.76,111.4679,113.2,108.74,1712012.0,0.0,1.0
2018-02-12,113.98,113.0,113.065,114.73,112.86,1190266.0,0.0,1.0
2018-02-13,114.56,113.44,113.6403,114.82,112.6,1397413.0,0.0,1.0
2018-02-14,116.32,113.85,115.3862,116.82,113.47,1274311.0,0.0,1.0
2018-02-15,116.19,116.24,115.7036,116.55,114.81,1273406.0,0.45,1.0
2018-02-16,116.16,115.86,115.6737,117.23,115.37,979404.0,0.0,1.0
2018-02-20,115.4,115.35,114.9169,116.12,114.745,953927.0,0.0,1.0
2018-02-21,115.62,115.48,115.136,117.73,115.32,1003701.0,0.0,1.0
2018-02-22,115.86,116.27,115.375,117.095,115.59,846529.0,0.0,1.0
2018-02-23,117.46,116.68,116.9683,117.6,115.88,726702.0,0.0,1.0
2018-02-26,117.53,117.55,117.038,117.75,116.24,960607.0,0.0,1.0
2018-02-27,115.31,117.75,114.8273,117.88,115.27,1088853.0,0.0,1.0
2018-02-28,112.44,113.7,111.9693,114.72,112.29,2702964.0,0.0,1.0
2018-03-01,111.11,111.95,110.6449,113.13,110.3,1603734.0,0.0,1.0
2018-03-02,110.25,110.23,109.7885,110.89,109.59,1360195.0,0.0,1.0
2018-03-05,112.76,109.5,112.288,113.09,109.5,1997128.0,0.0,1.0
2018-03-06,115.07,113.09,114.5883,116.14,112.7,1531033.0,0.0,1.0
2018-03-07,115.02,113.78,114.5385,115.32,113.7,1311632.0,0.0,1.0
2018-03-08,115.4,115.41,114.9169,115.64,114.84,959384.0,0.0,1.0
2018-03-09,117.65,116.21,117.1575,117.74,115.95,1347053.0,0.0,1.0
2018-03-12,116.46,117.65,115.9725,118.62,115.6,1287443.0,0.0,1.0
2018-03-13,116.07,117.2,115.5841,117.83,115.48,1328815.0,0.0,1.0
2018-03-14,115.04,116.48,114.5584,116.75,114.68,994280.0,0.0,1.0
2018-03-15,114.28,115.21,113.8016,115.84,113.965,1107586.0,0.0,1.0
2018-03-16,114.93,114.29,114.4489,115.21,113.85,2361473.0,0.0,1.0
2018-03-19,113.22,114.42,112.7461,114.86,112.62,1085854.0,0.0,1.0
2018-03-20,113.85,115.0,113.3734,115.58,113.7,1430140.0,0.0,1.0
2018-03-21,113.95,114.0,113.473,115.45,113.715,1197792.0,0.0,1.0
2018-03-22,111.31,113.12,110.8441,113.76,111.12,1218355.0,0.0,1.0
2018-03-23,109.48,111.44,109.0217,112.49,109.39,1353447.0,0.0,1.0
2018-03-26,111.93,110.62,111.4615,112.1,110.01,1080818.0,0.0,1.0
2018-03-27,111.91,112.59,111.4415,113.92,111.47,1525931.0,0.0,1.0
2018-03-28,109.97,112.18,109.5097,112.84,109.935,2016709.0,0.0,1.0
2018-03-29,111.6,110.36,111.1328,112.53,110.04,1276966.0,0.0,1.0
2018-04-02,108.26,111.55,107.8068,111.58,107.04,1504673.0,0.0,1.0
2018-04-03,110.18,108.5,109.7188,110.43,107.79,2202951.0,0.0,1.0
2018-04-04,110.79,108.39,110.3262,110.89,107.95,1259378.0,0.0,1.0
2018-04-05,111.67,111.7,111.2025,112.3,111.09,1472489.0,0.0,1.0
2018-04-06,109.39,110.6,108.9321,111.86,108.4,1677839.0,0.0,1.0
2018-04-09,109.61,110.3,109.1512,111.37,109.37,1270109.0,0.0,1.0
2018-04-10,110.36,110.62,109.898,111.25,109.9,1526241.0,0.0,1.0
2018-04-11,109.28,109.38,108.8225,109.85,108.57,1298793.0,0.0,1.0
2018-04-12,110.04,109.75,109.5794,110.43,108.63,1901928.0,0.0,1.0
2018-04-13,110.0,110.65,109.5395,110.93,109.56,1185925.0,0.0,1.0
2018-04-16,111.77,110.88,111.3021,112.0,110.455,1739282.0,0.0,1.0
2018-04-17,113.08,112.2,112.6066,113.49,111.665,1604179.0,0.0,1.0
2018-04-18,113.19,113.31,112.7162,113.83,112.775,2156821.0,0.0,1.0
2018-04-19,109.64,113.75,109.181,113.895,108.38,2373977.0,0.0,1.0
2018-04-20,108.87,109.46,108.4143,110.167,108.24,1971154.0,0.0,1.0
2018-04-23,108.88,108.8,108.4242,109.8,108.7,1431060.0,0.0,1.0
2018-04-24,105.77,108.97,105.3272,109.45,104.39,2372240.0,0.0,1.0
2018-04-25,107.88,107.46,107.4284,109.47,105.92,2645294.0,0.0,1.0
2018-04-26,107.7,107.97,107.2492,108.09,106.44,1173732.0,0.0,1.0
2018-04-27,107.97,107.31,107.518,108.34,107.2,1022701.0,0.0,1.0
2018-04-30,105.88,108.51,105.4368,108.9,105.75,1413093.0,0.0,1.0
2018-05-01,106.92,105.1,106.4724,106.94,104.015,1316596.0,0.0,1.0
2018-05-02,105.71,107.05,105.2675,107.27,105.4,1889887.0,0.0,1.0
2018-05-03,104.96,105.55,104.5206,106.2,104.28,1281255.0,0.0,1.0
2018-05-04,106.4,104.48,105.9546,107.035,104.14,1193942.0,0.0,1.0
2018-05-07,106.21,106.48,105.7654,106.98,105.64,997701.0,0.0,1.0
2018-05-08,106.68,106.07,106.2334,107.16,105.95,900605.0,0.0,1.0
2018-05-09,107.05,106.71,107.05,107.41,106.11,1153285.0,0.45,1.0
2018-05-10,106.11,107.26,106.11,107.7,105.94,1951494.0,0.0,1.0
2018-05-11,100.43,105.85,100.43,106.29,100.36,7284993.0,0.0,1.0
2018-05-14,102.97,101.04,102.97,102.97,100.97,3719794.0,0.0,1.0
2018-05-15,103.03,102.78,103.03,103.2438,101.785,1787840.0,0.0,1.0
2018-05-16,103.5,101.89,103.5,103.98,101.21,2090344.0,0.0,1.0
2018-05-17,104.41,103.26,104.41,104.715,103.25,1292872.0,0.0,1.0
2018-05-18,104.95,104.16,104.95,105.3,104.03,2829956.0,0.0,1.0
2018-05-21,105.03,105.5,105.03,105.86,104.84,1229718.0,0.0,1.0
2018-05-22,102.84,105.03,102.84,105.2325,102.72,1549365.0,0.0,1.0
2018-05-23,102.71,102.24,102.71,102.98,101.7,1312466.0,0.0,1.0
2018-05-24,102.5,102.36,102.5,102.93,101.5,1087487.0,0.0,1.0
2018-05-25,103.4,102.04,103.4,103.51,101.67,1121484.0,0.0,1.0
2018-05-29,101.04,102.44,101.04,103.11,100.61,1618416.0,0.0,1.0
2018-05-30,101.43,101.53,101.43,101.842,100.36,2070076.0,0.0,1.0
2018-05-31,100.92,101.68,100.92,101.77,100.82,1774387.0,0.0,1.0
2018-06-01,102.01,101.57,102.01,102.945,100.87,1420552.0,0.0,1.0
2018-06-04,102.43,102.45,102.43,102.86,101.97,1013874.0,0.0,1.0
2018-06-05,102.5,102.46,102.5,102.92,101.97,854894.0,0.0,1.0
2018-06-06,103.93,102.53,103.93,104.1,101.86,1366955.0,0.0,1.0
2018-06-07,103.09,104.19,103.09,104.2,102.41,1261289.0,0.0,1.0
2018-06-08,104.15,102.99,104.15,104.38,102.53,1444909.0,0.0,1.0
2018-06-11,103.93,103.89,103.93,104.39,103.46,1094659.0,0.0,1.0
2018-06-12,103.53,104.0,103.53,104.31,102.72,2211716.0,0.0,1.0
2018-06-13,103.3,103.62,103.3,104.05,103.03,2391528.0,0.0,1.0
2018-06-14,103.96,103.62,103.96,104.17,102.7,2071450.0,0.0,1.0
2018-06-15,105.38,104.09,105.38,105.42,103.9,3221930.0,0.0,1.0
2018-06-18,105.0,104.44,105.0,105.01,103.76,1978600.0,0.0,1.0
2018-06-19,104.13,104.05,104.13,104.29,103.0,2613804.0,0.0,1.0
2018-06-20,105.14,104.01,105.14,105.26,104.01,1810651.0,0.0,1.0
2018-06-21,104.3,104.81,104.3,104.81,103.59,3472563.0,0.0,1.0
2018-06-22,105.42,104.65,105.42,105.86,104.52,4180560.0,0.0,1.0
2018-06-25,105.11,105.11,105.11,105.18,104.5,3175597.0,0.0,1.0
2018-06-26,105.83,105.51,105.83,106.73,105.29,2075000.0,0.0,1.0
2018-06-27,105.11,106.27,105.11,106.34,104.99,2166776.0,0.0,1.0
2018-06-28,105.72,105.5,105.72,106.94,103.9,2833490.0,0.0,1.0
