date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,30.07,30.01,29.1656,30.24,29.205,8863922.0,0.0,1.0
2018-02-07,30.27,30.13,29.3596,30.655,29.96,7209348.0,0.0,1.0
2018-02-08,29.52,30.22,28.6321,30.42,29.52,6245986.0,0.0,1.0
2018-02-09,30.06,29.73,29.1559,30.33,29.4,7010566.0,0.0,1.0
2018-02-12,30.46,30.15,29.5438,30.635,29.93,6187842.0,0.0,1.0
2018-02-13,30.7,30.38,29.7766,30.83,30.1418,3730715.0,0.0,1.0
2018-02-14,30.27,30.48,29.3596,30.61,30.25,4338872.0,0.0,1.0
2018-02-15,31.1,30.4,30.1646,31.1,30.33,6225475.0,0.0,1.0
2018-02-16,31.45,31.21,30.5041,31.59,31.02,5408813.0,0.0,1.0
2018-02-20,30.83,31.28,29.9027,31.41,30.705,3902355.0,0.0,1.0
2018-02-21,30.11,30.78,29.2044,30.97,30.09,5523793.0,0.0,1.0
2018-02-22,29.52,30.31,28.6321,30.33,29.28,11020150.0,0.0,1.0
2018-02-23,30.34,29.55,29.4275,30.47,29.52,6155616.0,0.0,1.0
2018-02-26,29.82,30.4,28.9231,30.4399,29.73,6137252.0,0.0,1.0
2018-02-27,29.17,29.85,28.2926,29.94,29.16,8294403.0,0.0,1.0
2018-02-28,28.65,29.2,27.7883,29.29,28.64,7434169.0,0.0,1.0
2018-03-01,28.24,28.65,27.3906,28.98,28.11,8240691.0,0.0,1.0
2018-03-02,27.73,28.23,26.896,28.42,27.475,6857392.0,0.0,1.0
2018-03-05,28.32,27.75,27.4682,28.45,27.61,6596476.0,0.0,1.0
2018-03-06,27.68,28.52,26.8475,28.52,27.67,7402280.0,0.0,1.0
2018-03-07,27.62,27.61,26.7893,28.15,27.49,12359584.0,0.0,1.0
2018-03-08,27.77,27.25,27.3324,27.81,27.12,8387493.0,0.41,1.0
2018-03-09,27.54,27.75,27.106,27.83,27.37,7649188.0,0.0,1.0
2018-03-12,27.89,27.63,27.4505,28.01,27.58,6683152.0,0.0,1.0
2018-03-13,27.76,27.94,27.3226,28.02,27.52,6170903.0,0.0,1.0
2018-03-14,27.93,27.8,27.4899,28.245,27.74,5999261.0,0.0,1.0
2018-03-15,27.84,27.94,27.4013,28.22,27.53,8615672.0,0.0,1.0
2018-03-16,28.12,27.87,27.6769,28.3,27.84,21080860.0,0.0,1.0
2018-03-19,27.41,28.13,26.9781,28.21,27.34,10018396.0,0.0,1.0
2018-03-20,27.26,27.46,26.8305,27.54,27.22,5652508.0,0.0,1.0
2018-03-21,27.22,27.31,26.7911,27.64,27.125,5009668.0,0.0,1.0
2018-03-22,27.32,27.2,26.8895,27.93,27.19,6708004.0,0.0,1.0
2018-03-23,27.13,27.25,26.7025,27.6,27.08,5999238.0,0.0,1.0
2018-03-26,27.45,27.23,27.0175,27.54,27.185,5935933.0,0.0,1.0
2018-03-27,27.9,27.45,27.4604,28.15,27.27,6983739.0,0.0,1.0
2018-03-28,28.17,27.99,27.7261,28.48,27.97,7166018.0,0.0,1.0
