date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,146.93,143.06,146.8572,147.68,141.06,1385307.0,0.0,1.0
2018-02-07,149.21,152.8,149.1361,152.8,149.03,784605.0,0.0,1.0
2018-02-08,142.68,148.37,142.6093,148.55,142.58,908675.0,0.0,1.0
2018-02-09,144.09,143.67,144.0186,145.3,139.43,985129.0,0.0,1.0
2018-02-12,146.78,144.44,146.7073,148.29,144.44,697601.0,0.0,1.0
2018-02-13,146.98,146.22,146.9072,147.89,146.07,411856.0,0.0,1.0
2018-02-14,150.66,146.16,150.5854,151.38,146.06,1381657.0,0.0,1.0
2018-02-15,151.55,150.78,151.4749,151.55,148.04,748394.0,0.0,1.0
2018-02-16,148.55,150.2,148.4764,150.27,147.27,648708.0,0.0,1.0
2018-02-20,146.68,147.33,146.6074,147.75,145.94,573213.0,0.0,1.0
2018-02-21,148.06,146.65,147.9867,150.88,146.65,394798.0,0.0,1.0
2018-02-22,149.34,148.9,149.266,150.75,148.56,545629.0,0.0,1.0
2018-02-23,148.86,149.96,148.7863,149.9826,147.7,756889.0,0.0,1.0
2018-02-26,149.56,149.43,149.4859,150.56,147.755,542045.0,0.0,1.0
2018-02-27,147.72,150.58,147.6843,152.13,147.55,882002.0,0.0375,1.0
2018-02-28,144.28,148.17,144.2451,149.01,144.17,1017707.0,0.0,1.0
2018-03-01,142.65,143.89,142.6155,145.01,141.19,1183389.0,0.0,1.0
2018-03-02,143.62,141.87,143.5853,143.81,139.52,947882.0,0.0,1.0
2018-03-05,143.63,142.79,143.5953,144.15,141.06,898740.0,0.0,1.0
2018-03-06,143.0,143.99,142.9655,144.42,142.56,888688.0,0.0,1.0
2018-03-07,140.49,141.88,140.4561,143.07,139.1,1388239.0,0.0,1.0
2018-03-08,140.26,141.54,140.2261,142.95,139.8,941014.0,0.0,1.0
2018-03-09,143.07,140.83,143.0354,143.18,140.49,611603.0,0.0,1.0
2018-03-12,143.32,143.06,143.2854,144.51,142.6,576438.0,0.0,1.0
2018-03-13,143.34,144.41,143.3054,144.86,142.66,508634.0,0.0,1.0
2018-03-14,143.67,144.13,143.6353,144.55,142.59,1475796.0,0.0,1.0
2018-03-15,142.38,144.36,142.3456,144.36,141.1,600356.0,0.0,1.0
2018-03-16,143.77,142.63,143.7353,144.96,142.63,824178.0,0.0,1.0
2018-03-19,142.57,143.72,142.5356,144.77,141.25,776280.0,0.0,1.0
2018-03-20,144.78,142.7,144.745,145.68,142.09,617510.0,0.0,1.0
2018-03-21,143.0,144.68,142.9655,145.78,142.95,572206.0,0.0,1.0
2018-03-22,141.45,142.26,141.4158,143.26,141.29,575534.0,0.0,1.0
2018-03-23,139.86,142.22,139.8262,143.99,139.73,559250.0,0.0,1.0
2018-03-26,145.25,144.18,145.2149,146.41,140.93,1042252.0,0.0,1.0
2018-03-27,143.16,145.0,143.1254,145.72,142.39,970995.0,0.0,1.0
2018-03-28,144.02,144.3,143.9852,145.72,143.19,1846516.0,0.0,1.0
2018-03-29,151.43,151.95,151.3934,154.74,150.0,2752890.0,0.0,1.0
2018-04-02,150.92,151.63,150.8835,153.85,149.81,1747630.0,0.0,1.0
2018-04-03,155.16,151.53,155.1225,155.48,150.98,1524087.0,0.0,1.0
2018-04-04,155.41,154.0,155.3725,155.88,153.3375,1111019.0,0.0,1.0
2018-04-05,159.51,155.87,159.4715,160.22,155.61,1225168.0,0.0,1.0
2018-04-06,156.73,158.36,156.6921,159.97,155.26,1240723.0,0.0,1.0
2018-04-09,155.59,158.0,155.5524,158.85,155.5,930895.0,0.0,1.0
2018-04-10,157.95,157.0,157.9118,158.63,155.86,989622.0,0.0,1.0
2018-04-11,158.01,156.68,157.9718,159.425,156.68,765705.0,0.0,1.0
2018-04-12,162.25,159.36,162.2108,162.79,159.0,1079929.0,0.0,1.0
2018-04-13,159.13,163.51,159.0916,163.58,157.55,1093681.0,0.0,1.0
2018-04-16,160.43,160.48,160.3912,161.7,159.39,1303360.0,0.0,1.0
2018-04-17,161.27,161.16,161.231,161.97,159.995,1708847.0,0.0,1.0
2018-04-18,161.01,162.19,160.9711,163.78,160.61,931509.0,0.0,1.0
2018-04-19,160.36,160.84,160.3213,161.65,159.66,630610.0,0.0,1.0
2018-04-20,159.48,159.92,159.4415,160.6,158.82,843250.0,0.0,1.0
2018-04-23,160.26,160.09,160.2213,161.96,159.74,659231.0,0.0,1.0
2018-04-24,159.83,161.23,159.7914,161.98,159.3217,743492.0,0.0,1.0
2018-04-25,158.77,159.59,158.7316,161.08,158.29,614289.0,0.0,1.0
2018-04-26,160.59,158.51,160.5512,160.91,157.38,526263.0,0.0,1.0
2018-04-27,160.51,160.61,160.4712,162.34,159.975,601238.0,0.0,1.0
2018-04-30,159.67,160.93,159.6314,161.44,159.67,618879.0,0.0,1.0
2018-05-01,155.36,158.75,155.3225,159.56,155.0,973176.0,0.0,1.0
2018-05-02,152.26,154.36,152.2232,154.981,150.88,1476304.0,0.0,1.0
2018-05-03,151.46,151.1,151.4234,152.58,150.25,1084295.0,0.0,1.0
2018-05-04,152.27,151.31,152.2332,152.83,149.15,1027305.0,0.0,1.0
2018-05-07,151.52,152.17,151.4834,152.57,149.755,837463.0,0.0,1.0
2018-05-08,151.71,151.66,151.6734,152.61,150.7,850388.0,0.0,1.0
2018-05-09,153.06,151.71,153.023,153.34,151.37,750087.0,0.0,1.0
2018-05-10,153.0,153.45,152.963,153.975,151.95,722040.0,0.0,1.0
2018-05-11,153.19,153.25,153.153,153.9,152.46,492424.0,0.0,1.0
2018-05-14,154.32,153.52,154.2827,155.28,152.92,760561.0,0.0,1.0
2018-05-15,154.61,153.91,154.5727,156.11,153.05,605319.0,0.0,1.0
2018-05-16,155.21,155.0,155.21,156.63,154.04,759542.0,0.0375,1.0
2018-05-17,156.24,154.64,156.24,158.25,154.02,1037785.0,0.0,1.0
2018-05-18,155.11,155.49,155.11,155.89,153.96,607039.0,0.0,1.0
2018-05-21,154.54,155.53,154.54,156.455,154.305,718182.0,0.0,1.0
2018-05-22,154.62,155.4,154.62,155.88,153.93,970014.0,0.0,1.0
2018-05-23,158.04,154.38,158.04,158.92,154.23,1017447.0,0.0,1.0
2018-05-24,158.54,157.6,158.54,159.06,156.86,592735.0,0.0,1.0
2018-05-25,157.82,157.96,157.82,158.87,157.25,565898.0,0.0,1.0
2018-05-29,155.11,156.65,155.11,157.395,154.77,1276780.0,0.0,1.0
2018-05-30,155.5,156.0,155.5,157.01,155.3705,2218082.0,0.0,1.0
2018-05-31,160.0,155.75,160.0,160.46,155.04,2821650.0,0.0,1.0
2018-06-01,158.96,162.0,158.96,162.4875,157.72,1283662.0,0.0,1.0
2018-06-04,159.83,159.1,159.83,159.83,157.26,911315.0,0.0,1.0
2018-06-05,160.96,159.85,160.96,161.19,158.8,947411.0,0.0,1.0
2018-06-06,164.4,161.54,164.4,164.5,160.7,1124383.0,0.0,1.0
2018-06-07,165.11,165.0,165.11,167.7,164.6,969707.0,0.0,1.0
2018-06-08,168.16,165.0,168.16,168.27,164.26,837218.0,0.0,1.0
2018-06-11,166.5,168.52,166.5,169.22,166.38,562243.0,0.0,1.0
2018-06-12,166.21,166.45,166.21,167.41,165.56,677540.0,0.0,1.0
2018-06-13,162.3,165.93,162.3,166.41,162.0,878120.0,0.0,1.0
2018-06-14,160.24,162.44,160.24,162.44,159.98,1107168.0,0.0,1.0
2018-06-15,161.41,159.73,161.41,161.6,159.565,987858.0,0.0,1.0
2018-06-18,163.61,160.61,163.61,164.01,160.46,758439.0,0.0,1.0
2018-06-19,160.39,161.68,160.39,162.4599,159.5,985460.0,0.0,1.0
2018-06-20,157.35,160.45,157.35,160.74,156.64,931088.0,0.0,1.0
2018-06-21,154.4,157.14,154.4,157.51,154.02,1089906.0,0.0,1.0
2018-06-22,152.08,155.23,152.08,155.24,152.03,1508700.0,0.0,1.0
2018-06-25,149.75,150.7,149.75,150.98,148.8,1244412.0,0.0,1.0
2018-06-26,153.83,151.5,153.83,155.0,151.48,1597301.0,0.0,1.0
2018-06-27,151.7,153.41,151.7,155.66,150.8701,1049138.0,0.0,1.0
2018-06-28,151.37,150.63,151.37,151.98,149.33,878880.0,0.0,1.0
