date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,75.68,72.63,75.68,76.515,72.25,19176878.0,0.0,1.0
2018-02-07,75.59,75.35,75.59,77.58,74.94,11547002.0,0.0,1.0
2018-02-08,72.32,75.63,72.32,75.91,72.27,12732232.0,0.0,1.0
2018-02-09,74.75,73.14,74.75,75.27,71.63,13466714.0,0.0,1.0
2018-02-12,75.28,75.49,75.28,76.28,74.852,10380424.0,0.0,1.0
2018-02-13,74.97,74.81,74.97,75.6,74.55,7647944.0,0.0,1.0
2018-02-14,77.27,74.18,77.27,77.36,74.13,8776669.0,0.0,1.0
2018-02-15,78.295,78.01,78.295,78.3,76.58,8866072.0,0.0,1.0
2018-02-16,78.37,78.2,78.37,78.75,77.53,9459255.0,0.0,1.0
2018-02-20,77.06,77.7,77.06,78.54,76.66,6805122.0,0.0,1.0
2018-02-21,76.51,77.2,76.51,78.496,76.465,8186338.0,0.0,1.0
2018-02-22,77.7,76.8,77.7,78.37,76.77,6568273.0,0.0,1.0
2018-02-23,79.69,78.26,79.69,79.7,77.391,7453813.0,0.0,1.0
2018-02-26,79.35,80.0,79.35,80.05,78.98,7103517.0,0.0,1.0
2018-02-27,79.46,79.11,79.46,79.929,78.61,8798204.0,0.0,1.0
2018-02-28,79.41,79.9,79.41,82.17,79.39,10720543.0,0.0,1.0
2018-03-01,78.64,79.6,78.64,80.44,77.88,8443335.0,0.0,1.0
2018-03-02,78.87,77.52,78.87,79.11,76.93,9426242.0,0.0,1.0
2018-03-05,79.07,78.07,79.07,79.42,77.09,6652980.0,0.0,1.0
2018-03-06,79.23,79.33,79.23,79.95,78.85,7477760.0,0.0,1.0
2018-03-07,79.52,78.65,79.52,79.555,78.01,5546703.0,0.0,1.0
2018-03-08,79.87,79.85,79.87,80.49,79.53,6428399.0,0.0,1.0
2018-03-09,80.71,80.26,80.71,80.85,80.11,6402337.0,0.0,1.0
2018-03-12,80.6,80.75,80.6,81.17,80.35,6214564.0,0.0,1.0
2018-03-13,80.2,80.69,80.2,80.99,79.27,6309172.0,0.0,1.0
2018-03-14,83.31,80.74,83.31,83.5,80.64,13481306.0,0.0,1.0
2018-03-15,82.57,83.75,82.57,83.99,81.57,9047478.0,0.0,1.0
2018-03-16,82.16,82.8,82.16,83.23,81.27,7554648.0,0.0,1.0
2018-03-19,80.3,80.89,80.3,81.44,79.11,8853780.0,0.0,1.0
2018-03-20,80.86,80.18,80.86,81.19,80.0535,7249737.0,0.0,1.0
2018-03-21,81.04,80.94,81.04,82.35,80.51,6575070.0,0.0,1.0
2018-03-22,78.56,79.81,78.56,80.12,78.46,9308694.0,0.0,1.0
2018-03-23,76.44,78.5,76.44,79.06,76.35,9224006.0,0.0,1.0
2018-03-26,78.95,77.98,78.95,79.17,77.0301,8616491.0,0.0,1.0
2018-03-27,76.31,79.59,76.31,79.9,75.65,7871834.0,0.0,1.0
2018-03-28,75.06,75.7,75.06,76.75,74.74,14370325.0,0.0,1.0
2018-03-29,75.87,75.31,75.87,77.2,74.55,11064269.0,0.0,1.0
2018-04-02,75.0,75.23,75.0,76.3001,74.01,11417691.0,0.0,1.0
2018-04-03,74.56,75.28,74.56,75.41,73.35,8885973.0,0.0,1.0
2018-04-04,74.78,73.0,74.78,75.06,72.52,8230790.0,0.0,1.0
2018-04-05,76.95,75.59,76.95,77.82,75.48,10015717.0,0.0,1.0
2018-04-06,73.86,75.52,73.86,76.4,73.7,8179131.0,0.0,1.0
2018-04-09,75.19,74.6,75.19,76.88,74.6,7328434.0,0.0,1.0
2018-04-10,76.79,76.51,76.79,77.31,75.8003,6217464.0,0.0,1.0
2018-04-11,76.5,76.2,76.5,77.4,76.08,4581013.0,0.0,1.0
2018-04-12,77.46,76.8,77.46,77.99,76.61,5034799.0,0.0,1.0
