date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,64.4,62.31,63.1787,64.53,62.2,23822914.0,0.0,1.0
2018-02-07,65.04,64.22,63.8066,66.12,64.02,14730520.0,0.0,1.0
2018-02-08,62.42,64.63,61.2362,65.07,62.4,11192886.0,0.0,1.0
2018-02-09,63.99,62.95,62.7765,64.32,61.46,20105590.0,0.0,1.0
2018-02-12,65.66,64.89,64.4148,65.7,64.39,13435166.0,0.0,1.0
2018-02-13,65.7,65.23,64.454,65.76,64.98,7640265.0,0.0,1.0
2018-02-14,66.59,65.15,65.3272,66.8,65.1044,10108274.0,0.0,1.0
2018-02-15,65.28,66.38,64.042,66.38,63.86,15451878.0,0.0,1.0
2018-02-16,64.85,64.77,63.6202,65.83,64.595,11656992.0,0.0,1.0
2018-02-20,63.99,63.01,62.7765,64.14,61.86,26059795.0,0.0,1.0
2018-02-21,63.4,63.12,62.1977,63.86,62.65,14060731.0,0.0,1.0
2018-02-22,62.18,63.15,61.0008,63.58,62.03,10482026.0,0.0,1.0
2018-02-23,63.32,62.81,62.1192,63.32,62.03,6557720.0,0.0,1.0
2018-02-26,66.98,64.55,65.7098,67.3599,64.19,27254782.0,0.0,1.0
2018-02-27,66.34,67.0,65.6411,67.629,66.01,14082342.0,0.57,1.0
2018-02-28,65.0,66.7,64.3152,66.72,64.911,9455150.0,0.0,1.0
2018-03-01,64.96,65.03,64.2756,66.2372,64.33,10799216.0,0.0,1.0
2018-03-02,64.74,64.31,64.0579,64.85,64.03,10612696.0,0.0,1.0
2018-03-05,64.01,64.34,63.3356,65.6,63.54,15445533.0,0.0,1.0
2018-03-06,62.14,63.5,61.4853,63.55,61.06,23450350.0,0.0,1.0
2018-03-07,62.49,61.49,61.8317,62.61,61.425,12602357.0,0.0,1.0
2018-03-08,61.82,62.65,61.1687,62.74,61.5655,7393546.0,0.0,1.0
2018-03-09,63.03,62.36,62.366,63.06,62.12,7258898.0,0.0,1.0
2018-03-12,62.81,63.05,62.1483,63.48,62.3,11063244.0,0.0,1.0
2018-03-13,59.7,59.77,59.071,61.4,59.13,38456431.0,0.0,1.0
2018-03-14,60.12,59.9,59.4866,60.38,57.895,29325659.0,0.0,1.0
2018-03-15,59.89,60.03,59.259,60.28,59.56,8711578.0,0.0,1.0
2018-03-16,60.62,60.6,59.9814,61.49,60.48,24843472.0,0.0,1.0
2018-03-19,58.37,60.19,57.7551,60.35,57.9,13980683.0,0.0,1.0
2018-03-20,58.26,58.99,57.6462,59.0899,57.95,10343166.0,0.0,1.0
2018-03-21,56.81,57.5,56.2115,58.28,56.77,12122169.0,0.0,1.0
2018-03-22,55.58,56.24,54.9945,56.83,55.52,13218154.0,0.0,1.0
2018-03-23,53.66,55.63,53.0947,56.15,53.65,14509870.0,0.0,1.0
2018-03-26,56.13,54.58,55.5387,56.14,54.25,11905323.0,0.0,1.0
2018-03-27,54.84,56.59,54.2622,57.24,54.54,11972935.0,0.0,1.0
2018-03-28,54.7,54.81,54.1237,55.97,54.455,12925503.0,0.0,1.0
2018-03-29,55.41,55.04,54.8262,55.93,54.6217,8482462.0,0.0,1.0
2018-04-02,53.81,55.1,53.2431,55.24,53.07,16469583.0,0.0,1.0
2018-04-03,54.78,54.29,54.2029,55.05,53.62,7930674.0,0.0,1.0
2018-04-04,54.99,53.8,54.4107,55.12,53.421,7496667.0,0.0,1.0
2018-04-05,55.04,55.49,54.4601,55.5,54.44,5823253.0,0.0,1.0
2018-04-06,53.12,54.42,52.5604,54.77,53.11,8322160.0,0.0,1.0
2018-04-09,53.43,53.52,52.8671,54.89,53.34,7608458.0,0.0,1.0
2018-04-10,54.77,54.58,54.193,55.01,54.215,12331362.0,0.0,1.0
2018-04-11,55.01,54.19,54.4305,55.07,54.15,6205294.0,0.0,1.0
2018-04-12,55.2,55.47,54.6185,55.65,55.02,7412746.0,0.0,1.0
2018-04-13,55.73,56.61,55.1429,56.79,55.4189,12588216.0,0.0,1.0
2018-04-16,54.77,55.94,54.193,55.99,54.57,7850467.0,0.0,1.0
2018-04-17,55.35,54.99,54.7669,55.6767,54.78,7089710.0,0.0,1.0
2018-04-18,55.23,55.14,54.6481,55.62,54.88,4796812.0,0.0,1.0
2018-04-19,52.57,54.0,52.0162,54.14,52.5,19179461.0,0.0,1.0
2018-04-20,51.44,52.81,50.8981,52.89,51.32,11838157.0,0.0,1.0
