date,4. close,1. open,5. adjusted close,2. high,3. low,6. volume,7. dividend amount,8. split coefficient
2018-02-06,79.07,74.99,79.07,79.25,74.11,3621447.0,0.0,1.0
2018-02-07,78.09,78.75,78.09,80.02,78.07,3288945.0,0.0,1.0
2018-02-08,76.85,78.09,76.85,80.62,76.81,2453524.0,0.0,1.0
2018-02-09,77.85,77.76,77.85,79.8,75.5,3143451.0,0.0,1.0
2018-02-12,79.17,78.34,79.17,79.95,77.94,1571305.0,0.0,1.0
2018-02-13,79.35,78.8,79.35,79.7,78.51,1108289.0,0.0,1.0
2018-02-14,78.82,78.81,78.82,79.83,78.45,1707713.0,0.0,1.0
2018-02-15,78.56,78.97,78.56,79.72,77.48,1393180.0,0.0,1.0
2018-02-16,77.31,78.37,77.31,78.82,77.29,1376903.0,0.0,1.0
2018-02-20,80.17,77.37,80.17,80.88,77.37,2280283.0,0.0,1.0
2018-02-21,79.95,80.38,79.95,80.84,79.72,1730590.0,0.0,1.0
2018-02-22,78.5,80.17,78.5,80.6,78.12,1489195.0,0.0,1.0
2018-02-23,80.13,78.98,80.13,80.16,78.57,1059122.0,0.0,1.0
2018-02-26,81.48,80.13,81.48,81.49,79.86,1011791.0,0.0,1.0
2018-02-27,81.21,81.58,81.21,82.28,81.18,1139396.0,0.0,1.0
2018-02-28,80.71,81.25,80.71,81.93,80.15,975918.0,0.0,1.0
2018-03-01,78.61,80.83,78.61,81.09,78.16,1488423.0,0.0,1.0
2018-03-02,81.13,77.87,81.13,81.3,77.87,1667251.0,0.0,1.0
2018-03-05,83.19,80.65,83.19,83.5325,80.65,1692518.0,0.0,1.0
2018-03-06,83.68,83.46,83.68,84.24,83.25,1261323.0,0.0,1.0
2018-03-07,83.32,82.83,83.32,84.3,82.77,1778541.0,0.0,1.0
2018-03-08,84.23,83.5,84.23,84.29,82.7,1359265.0,0.0,1.0
2018-03-09,85.51,84.45,85.51,85.51,83.8844,1414753.0,0.0,1.0
2018-03-12,86.39,86.0,86.39,86.84,83.96,1298113.0,0.0,1.0
2018-03-13,83.42,86.56,83.42,86.56,83.07,1729347.0,0.0,1.0
2018-03-14,82.22,83.46,82.22,83.75,81.25,1311968.0,0.0,1.0
2018-03-15,79.0,79.48,79.0,80.02,74.79,6675758.0,0.0,1.0
2018-03-16,80.75,79.29,80.75,81.62,78.99,2736319.0,0.0,1.0
2018-03-19,78.42,79.8,78.42,80.31,77.42,2474662.0,0.0,1.0
2018-03-20,75.07,75.05,75.07,76.66,73.52,4225423.0,0.0,1.0
2018-03-21,74.18,75.07,74.18,75.9196,73.92,2045319.0,0.0,1.0
2018-03-22,72.65,73.43,72.65,74.43,72.19,2585681.0,0.0,1.0
2018-03-23,71.55,72.76,71.55,73.4,70.61,2143997.0,0.0,1.0
2018-03-26,73.34,72.55,73.34,73.53,71.26,1807590.0,0.0,1.0
2018-03-27,70.23,73.49,70.23,73.57,69.6345,1771292.0,0.0,1.0
2018-03-28,68.54,69.93,68.54,70.87,68.13,1717767.0,0.0,1.0
2018-03-29,70.45,69.12,70.45,71.06,68.25,1542246.0,0.0,1.0
2018-04-02,68.53,70.07,68.53,70.44,68.06,1275205.0,0.0,1.0
2018-04-03,69.71,69.01,69.71,69.93,68.65,1093764.0,0.0,1.0
2018-04-04,71.51,68.22,71.51,71.59,67.81,1231813.0,0.0,1.0
2018-04-05,71.41,71.66,71.41,72.4,70.935,1622911.0,0.0,1.0
2018-04-06,69.72,70.7,69.72,71.53,69.33,1291546.0,0.0,1.0
2018-04-09,69.59,70.1,69.59,71.44,69.57,1157476.0,0.0,1.0
2018-04-10,71.24,70.8,71.24,71.64,70.41,1092987.0,0.0,1.0
2018-04-11,72.2,70.91,72.2,72.82,70.42,1026649.0,0.0,1.0
2018-04-12,72.51,72.72,72.51,73.39,72.02,1486408.0,0.0,1.0
2018-04-13,72.55,72.9,72.55,72.9,71.62,829457.0,0.0,1.0
2018-04-16,72.28,72.75,72.28,72.91,71.22,1075327.0,0.0,1.0
2018-04-17,73.47,72.86,73.47,73.83,72.56,810277.0,0.0,1.0
2018-04-18,73.12,73.26,73.12,73.77,72.13,950358.0,0.0,1.0
2018-04-19,70.63,71.4,70.63,71.77,69.71,2796749.0,0.0,1.0
2018-04-20,69.88,70.78,69.88,71.03,68.54,1670409.0,0.0,1.0
2018-04-23,68.68,70.21,68.68,70.67,68.3,2354668.0,0.0,1.0
2018-04-24,68.06,68.89,68.06,69.46,67.745,2218242.0,0.0,1.0
2018-04-25,67.66,68.11,67.66,68.65,67.14,1453350.0,0.0,1.0
2018-04-26,68.48,68.43,68.48,69.145,67.29,1250168.0,0.0,1.0
2018-04-27,67.38,68.59,67.38,68.59,67.22,1451121.0,0.0,1.0
2018-04-30,67.4,67.34,67.4,68.44,66.3,2140126.0,0.0,1.0
2018-05-01,71.8,68.65,71.8,72.46,68.34,2420988.0,0.0,1.0
2018-05-02,74.24,72.0,74.24,74.69,71.86,3812094.0,0.0,1.0
2018-05-03,76.73,74.03,76.73,77.75,70.78,3987962.0,0.0,1.0
2018-05-04,79.49,76.19,79.49,79.54,75.84,1761248.0,0.0,1.0
2018-05-07,79.64,79.83,79.64,81.41,79.16,2452228.0,0.0,1.0
2018-05-08,79.89,79.2,79.89,80.42,78.8798,1702058.0,0.0,1.0
2018-05-09,80.21,79.94,80.21,80.86,79.5,1249156.0,0.0,1.0
2018-05-10,81.99,80.79,81.99,82.05,80.0,1204525.0,0.0,1.0
2018-05-11,81.64,81.26,81.64,82.09,81.26,854165.0,0.0,1.0
2018-05-14,81.67,82.33,81.67,83.42,81.045,1202330.0,0.0,1.0
2018-05-15,80.1,81.13,80.1,81.26,79.46,1158804.0,0.0,1.0
2018-05-16,81.05,80.38,81.05,81.24,80.2,1106577.0,0.0,1.0
2018-05-17,80.61,79.165,80.61,81.19,79.165,686415.0,0.0,1.0
2018-05-18,79.59,80.02,79.59,80.15,78.75,1734369.0,0.0,1.0
2018-05-21,81.15,80.47,81.15,81.83,79.81,1344703.0,0.0,1.0
2018-05-22,80.78,81.57,80.78,82.29,80.63,1061182.0,0.0,1.0
2018-05-23,81.3,81.18,81.3,81.34,80.0,1259333.0,0.0,1.0
2018-05-24,81.23,81.32,81.23,81.94,80.5,1370131.0,0.0,1.0
2018-05-25,81.49,81.48,81.49,82.0847,81.27,1066520.0,0.0,1.0
2018-05-29,79.94,80.86,79.94,81.05,78.98,1582577.0,0.0,1.0
2018-05-30,80.93,79.91,80.93,81.04,79.65,1143500.0,0.0,1.0
2018-05-31,80.25,80.81,80.25,81.54,80.02,1120581.0,0.0,1.0
2018-06-01,81.81,80.63,81.81,82.0,80.3,1218477.0,0.0,1.0
2018-06-04,81.69,82.0,81.69,82.0,80.9175,794580.0,0.0,1.0
2018-06-05,81.72,81.97,81.72,82.25,81.24,735717.0,0.0,1.0
2018-06-06,80.09,81.41,80.09,81.72,79.16,2314882.0,0.0,1.0
2018-06-07,81.04,79.95,81.04,82.11,79.52,1684506.0,0.0,1.0
2018-06-08,80.16,79.09,80.16,80.98,78.42,1682526.0,0.0,1.0
2018-06-11,79.83,79.99,79.83,80.3,79.64,599377.0,0.0,1.0
2018-06-12,80.73,79.84,80.73,81.24,79.545,916428.0,0.0,1.0
2018-06-13,80.4,81.01,80.4,81.5,80.02,1176605.0,0.0,1.0
2018-06-14,83.65,80.84,83.65,83.96,80.5,2588336.0,0.0,1.0
2018-06-15,85.12,83.67,85.12,85.24,82.87,2786950.0,0.0,1.0
2018-06-18,85.79,85.01,85.79,86.5,84.22,2090330.0,0.0,1.0
2018-06-19,83.51,84.73,83.51,85.215,82.83,1037230.0,0.0,1.0
2018-06-20,83.46,84.3,83.46,84.49,83.19,872682.0,0.0,1.0
2018-06-21,82.23,83.83,82.23,83.83,82.09,703954.0,0.0,1.0
2018-06-22,82.05,82.83,82.05,82.94,81.46,1599582.0,0.0,1.0
2018-06-25,80.36,81.7,80.36,81.97,79.4114,984023.0,0.0,1.0
2018-06-26,81.72,80.43,81.72,82.115,79.86,858131.0,0.0,1.0
2018-06-27,79.89,81.81,79.89,82.32,79.88,670704.0,0.0,1.0
2018-06-28,80.48,79.62,80.48,80.63,79.31,597341.0,0.0,1.0
