date,5. adjusted close,1. open,3. low,8. split coefficient,2. high,4. close,6. volume,7. dividend amount
2018-02-06,239.7028,225.98,225.98,1.0,243.0,242.32,940275.0,0.0
2018-02-07,244.0355,242.31,242.23,1.0,250.68,246.7,669203.0,0.0
2018-02-08,238.4564,246.0,241.06,1.0,247.42,241.06,514076.0,0.0
2018-02-09,237.1803,243.41,237.42,1.0,243.41,239.77,510691.0,0.0
2018-02-12,236.8935,241.57,237.44,1.0,244.23,239.48,472345.0,0.0
2018-02-13,235.6075,239.15,236.42,1.0,239.15,238.18,380288.0,0.0
2018-02-14,239.9699,237.52,237.43,1.0,243.26,242.59,280150.0,0.0
2018-02-15,239.772,243.51,240.06,1.0,244.65,242.39,368446.0,0.0
2018-02-16,240.6326,241.75,240.36,1.0,244.2,243.26,269624.0,0.0
2018-02-20,240.6326,243.17,240.62,1.0,245.0,243.26,373431.0,0.0
2018-02-21,237.3485,243.16,239.78,1.0,245.0,239.94,371748.0,0.0
2018-02-22,236.8143,240.86,239.295,1.0,243.4599,239.4,382345.0,0.0
2018-02-23,240.3161,239.68,236.52,1.0,243.13,242.94,255433.0,0.0
2018-02-26,239.0202,243.66,240.13,1.0,243.66,241.63,335891.0,0.0
2018-02-27,240.5535,242.26,240.84,1.0,244.945,243.18,367282.0,0.0
2018-02-28,237.6453,244.47,240.24,1.0,245.02,240.24,283931.0,0.0
2018-03-01,235.8053,241.27,238.0,1.0,242.95,238.38,315380.0,0.0
2018-03-02,236.4187,237.34,236.99,1.0,239.27,239.0,226260.0,0.0
2018-03-05,251.6029,245.0,243.06,1.0,255.34,254.35,507208.0,0.0
2018-03-06,253.235,252.62,249.335,1.0,255.47,254.7,423129.0,1.3
2018-03-07,254.1,252.64,251.96,1.0,256.14,255.57,350524.0,0.0
2018-03-08,255.83,255.39,253.71,1.0,257.68,257.31,256770.0,0.0
2018-03-09,261.1095,258.54,256.165,1.0,263.435,262.62,400192.0,0.0
2018-03-12,259.8866,262.24,260.36,1.0,263.35,261.39,212569.0,0.0
2018-03-13,260.2644,262.46,260.03,1.0,262.46,261.77,184433.0,0.0
2018-03-14,258.8724,262.35,259.3,1.0,263.25,260.37,279401.0,0.0
2018-03-15,257.8782,261.43,258.66,1.0,261.96,259.37,283085.0,0.0
2018-03-16,259.8965,259.37,259.37,1.0,263.63,261.4,539001.0,0.0
2018-03-19,261.1592,261.18,260.38,1.0,263.34,262.67,218766.0,0.0
2018-03-20,258.7631,263.13,260.12,1.0,263.13,260.26,210221.0,0.0
2018-03-21,258.0969,259.45,256.64,1.0,264.88,259.59,151795.0,0.0
2018-03-22,251.8332,257.86,253.17,1.0,258.93,253.29,274291.0,0.0
2018-03-23,247.2,254.26,248.63,1.0,256.04,248.63,342944.0,0.0
2018-03-26,250.998,251.29,248.77,1.0,252.6,252.45,227833.0,0.0
2018-03-27,249.258,253.55,249.7,1.0,255.29,250.7,220541.0,0.0
2018-03-28,256.8442,251.42,251.35,1.0,259.195,258.33,361375.0,0.0
2018-03-29,255.3428,259.65,256.71,1.0,259.65,256.82,329960.0,0.0
2018-04-02,252.9567,257.77,251.66,1.0,259.47,254.42,293216.0,0.0
2018-04-03,255.5616,256.07,255.29,1.0,259.29,257.04,267005.0,0.0
2018-04-04,256.7845,254.78,253.51,1.0,258.6,258.27,282378.0,0.0
2018-04-05,254.9153,259.96,256.17,1.0,259.96,256.39,240368.0,0.0
2018-04-06,252.7876,254.86,252.19,1.0,256.91,254.25,249335.0,0.0
2018-04-09,256.357,255.66,253.611,1.0,261.89,257.84,316489.0,0.0
2018-04-10,254.7264,259.92,255.33,1.0,260.9,256.2,286807.0,0.0
